Note,ID, ,hr,min,deg,min,Con.,Type,2000,Uran,VPSA,V-mag,arc-min,Brightness,C1,MDM,Comments
 ,NGC 7814, ,0,3.3,16,8,Peg,Sa,10,170,124,12,1.0x5.0,22.4,0.7,77,"edge-on, with dust lane"
 ,NGC 40, ,0,12.9,72,32,Cep,Plan,1,3,10,10.5,1.0x0.7,18.7,2.2,110,central star mag 11.5
 ,NGC 45, ,0,13.9,-23,10,Cet,S,18,305,268,12.1,8.0x5.5,24.8,-0.2,14, 
 ,NGC 55, ,0,15.0,-39,13,Scl,Irr,18,386,336,7.8,25x40,23.9,0.1,3, 
!!!,NGC 104, ,0,24.1,-72,4,Tuc,Glob,24,440,406,4.5,25x25,20.1,1.7,3,47 Tucanae
 ,NGC 128, ,0,29.3,2,52,Psc,E8,10,216,196,12.8,2.2x0.4,21.3,1.2,192,box shape
 ,NGC 134, ,0,30.4,-33,15,Scl,Sb,18,351,304,11.4,5.0x1.0,21.8,1,77, 
 ,NGC 147, ,0,33.1,48,31,Cas,E4,4,60,40,12.1,6.5x3.8,24.2,0,20,companion to M31
 ,NGC 150, ,0,34.3,-27,48,Scl,SB,18,306,304,12.2,2.0x1.0,21.6,1.1,77, 
 ,NGC 157, ,0,34.8,-8,23,Cet,Sc,10,261,232,11.1,2.8x2.1,21.7,1,37, 
 ,NGC 175, ,0,37.4,-19,55,Cet,SBb,10,306,268,12.8,1.5x1.3,22.2,0.8,59,theta shape
 ,NGC 185, ,0,38.9,48,21,Cas,E1,4,60,40,11.8,3.5x2.8,22.9,0.5,27,companion to M31
*,NGC 205,M110,0,40.3,41,41,And,E6,4,60,64,10.8,8.0x3.0,22.9,0.5,26,M110
 ,NGC 188, ,0,44.2,85,19,Cep,OpCl,1,1,1,10,15x15,24.5,-0.1,5,oldest open cluster
!!!!*,NGC 224,M31,0,42.7,41,16,And,Sb,4,60,64,4,150x50,22.3,0.8,2,"M31, Great Galaxy in Andromeda"
*,NGC 221,M32,0,42.7,40,52,And,E2,4,60,64,9.5,3.6x3.1,20.7,1.4,25,M32
S,NGC 225, ,0,43.8,61,46,Cas,OpCl,1,16,22,8,14x14,22.4,0.8,5,20 stars mag 9+
*,NGC 246, ,0,47.1,-11,53,Cet,Plan,10,261,233,8.5,4.0x2.5,19.6,1.8,31,central star mag 12
 ,NGC 247, ,0,47.1,-20,45,Cet,Sc,18,306,269,10.7,18.0x5.0,24.2,0,15, 
!!*,NGC 253, ,0,47.6,-25,18,Scl,Sc,18,306,305,7,22x6,20.9,1.3,13, 
 ,NGC 255, ,0,47.7,-11,29,Cet,Sb,10,261,233,12.8,1.5x1.5,22.3,0.8,51,15' from NGC 246
 ,NGC 278, ,0,52.0,47,34,Cas,Sc,4,60,40,11.6,1.2x1.2,20.6,1.5,64,compact spiral with dust lanes
!!!,NGC 292, ,0,51.7,-73,14,Tuc,Irr,24,460,406,1.5,210x210,21.7,1,1,Small Magellanic Cloud
 ,NGC 288, ,0,52.6,-26,36,Scl,Glob,18,307,305,7.2,10x10,20.8,1.4,8, 
 ,NGC 281, ,0,53.3,56,35,Cas,Neb,1,36,22,8,23x27,23.6,0.3,3, 
 ,NGC 300, ,0,55.0,-37,42,Scl,Sc,18,351,337,11.3,21x14,26.1,-0.7,5, 
 ,NGC 309, ,0,56.5,-9,57,Cet,Sc,10,262,233,12.5,2.4x2.1,22.9,0.5,37, 
 ,Scl-Sys, ,0,59.4,-33,44,Scl,DwEl,18,351,305,8.8,60x60,26.3,-0.8,1,Sculptor System (see Notes)
 ,NGC 337, ,0,59.8,-7,35,Cet,SBc,10,262,233,12.8,3.0x0.5,21.9,1,154,distorted
!,NGC 362, ,1,2.3,-70,51,Tuc,Glob,24,441,406,6,10x10,19.6,1.8,8, 
 ,I.1613, ,1,5.1,2,8,Cet,Irr,10,217,197,12,11x9,25.6,-0.5,9,member of Local Group
 ,NGC 404, ,1,9.4,35,43,And,E0,4,91,65,11.9,1.3x1.3,21.1,1.3,59, 
 ,NGC 428, ,1,13.0,0,59,Cet,Sc,10,217,197,11.7,3.9x3.5,23.2,0.4,22, 
 ,NGC 457, ,1,19.0,58,20,Cas,OpCl,1,36,22,7,10x10,20.6,1.4,8,100 stars mag 8+
 ,NGC 488, ,1,21.7,5,16,Psc,Sb,10,218,161,11.2,3.5x3.0,22.4,0.7,26, 
 ,NGC 520, ,1,24.6,3,48,Psc,Pec,10,218,198,12.4,3.0x0.7,21.8,1,110, 
 ,NGC 581,M103,1,33.2,60,42,Cas,OpCl,1,37,23,8,8x8,21.1,1.2,10,"M103, 40 stars mag 8-12"
!!*,NGC 598,M33,1,33.9,30,39,Tri,Sc,4,91,94,5.3,60x60,22.8,0.6,1,"M33, Triangulum Galaxy"
