#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
NGC55 in Sculptor	8.0	32.3 x 5.6	142	0055	Very elongated, dust & bright knots	Scl	b	00h 14m 54s	39° 11' S
NGC147 in Cassiopeia *	9.3	5.0 x 3.0	12	0147	Elongated galaxy	Cas		00h 33m 12s	48° 30' N
NGC185 in Cassiopeia *	9.2	3.0 x 2.0	5	0185	Round galaxy	Cas		00h 39m 00s	48° 20' N
M110 in Andromeda *	8.0	15.0 x 8.0	94	0205	Elongated galaxy	And	C	00h 40m 24s	41° 41' N
M32 in Andromeda *	9.1	8.8 x 6.5	45	0221	Round galaxy with bright core	And	C	00h 42m 42s	40° 52' N
M31 Andromeda Galaxy *	3.5	175 x 62	8,522	0224	Very elongated galaxy, dusty with bright core	And	B	00h 42m 42s	41° 16' N
NGC247 in Cetus	8.9	19.0 x 5.0	75	0247	Very elongated galaxy with bright core	Cet	b	00h 47m 06s	20° 46' S
NGC253 Sculptor Galaxy	7.1	25.0 x 5.0	98	0253	Very elongated galaxy, dust & bright knots	Scl	C	00h 47m 36s	25° 17' S
SMC in Tucana *	3.5	319 x 186	46,601	0292	Elongated galaxy	Tuc		00h 52m 38s	72° 48' S
NGC300 in Sculptor	9.0	22.1 x 15.6	271	0300	Galaxy, very large, low brightness	Scl	b	00h 54m 54s	37° 41' S
#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
PGC03589 in Sculptor *	8.8	40.0 x 30.8	968		Elongated galaxy	Scl		01h 00m 09s	33° 43' S
IC1613 in Cetus *	9.0	12.0 x 11.0	104		Round galaxy	Cet	c	01h 04m 48s	02° 07' N
M33 Triangulum Galaxy *	5.7	64.0 x 35.0	1,759	0598	Spiral galaxy structure with bright knots	Tri	C	01h 33m 54s	30° 39' N
M74 in Pisces	9.2	11.0 x 9.0	78	0628	Spiral galaxy structure	Psc	D	01h 36m 42s	15° 47' N
NGC1023 in Perseus	9.5	3.5 x 1.5	25	1023	Very elongated galaxy with bright core	Per	C	02h 40m 24s	39° 04' N
M77 in Cetus	8.8	7.0	38	1068	Round galaxy with bright core	Cet	D	02h 42m 42s	00° 01' S
NGC1097 in Formax	9.3	8.0 x 7.0	44	1097	Very elongated galaxy, close companion	For	c	02h 46m 18s	30° 17' S
NGC1232 in Eridanus	9.9	8.5 x 7.5	50	1232	Spiral galaxy structure	Eri	C	03h 09m 48s	20° 35' S
NGC1291 in Eridanus	8.5	9.7 x 8.1	62	1291	Round galaxy with bright core	Eri	b	03h 17m 18s	41° 08' S
NGC1313 in Reticulum	9.0	9 x 6.9	49	1313	Barred spiral galaxy structure	Ret	c	03h 18m 18s	66° 30' S
#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
NGC1316 in Formax	8.9	11.9 x 8.5	79	1316	Round galaxy with bright core	For	c	03h 22m 42s	37° 12' S
NGC1365 in Formax	9.5	11.2 x 6.2	55	1365	Barred spiral galaxy structure	For	c	03h 33m 36s	36° 08' S
NGC1399 in Formax	9.9	6.9 x 6.4	35	1399	Round galaxy, brightest in rich cluster	For		03h 38m 30s	35° 27' S
NGC1398 in Formax	9.7	6.0 x 4.5	21	1398	Round galaxy with bright core	For		03h 38m 54s	26° 20' S
NGC1407 in Eridanus	9.8	0.9 x 0.8	21	1407	Round galaxy with bright core	Eri		03h 40m 12s	18° 35' S
IC342 in Camelopardus	9.0	20.0	314		Round galaxy	Cam	b	03h 46m 48s	68° 06' N
NGC1549 in Doradus	9.9	4.9 x 4.1	16	1549	Round galaxy with bright core	Dor		04h 15m 42s	55° 36' S
NGC1553 in Doradus	9.5	4.5 x 2.8	10	1553	Elongated galaxy with bright core	Dor		04h 16m 12s	55° 47' S
NGC1566 in Doradus	9.4	8.3 x 6.5	42	1566	Elongated galaxy with bright core	Dor		04h 20m 00s	54° 56' S
NGC1808 in Columba	9.9	6.4 x 3.9	20	1808	Very elongated galaxy with bright core	Col		05h 07m 42s	37° 31' S
#Common Name	Mag.	Size	Area	NGC	Type	Const.	VQ	R.A. (E2000)	Dec. (E2000)
LMC in Doradus *	1.9	650 x 550	280,780		Spiral Galaxy	Dor		05h 18m	68° 36' S
PGC19441 in Carina *	7.8	23.3 x 15.4	282		Elongated galaxy	Car		06h 41m 37s	50° 58' S
NGC2403 in Camelopardus	8.4	18.0 x 10.1	141	2403	Spiral galaxy structure with bright knots	Cam	b	07h 36m 54s	65° 36' N
NGC2683 in Lynx	9.7	8.0 x 1.8	11	2683	Very elongated galaxy, dusty, bright core	Lyn		08h 52m 42s	33° 25' N
NGC2841 in Ursa Major	9.3	7.0 x 3.0	16	2841	Elongated galaxy, dusty	UMa	C	09h 22m 00s	50° 58' N
NGC2903 in Leo	8.9	13.0 x 5.0	51	2903	Elongated galaxy, dusty	Leo	b	09h 32m 12s	21° 30' N
M81 Bode's Nebula in Ursa Major	6.9	20.0 x 9.0	141	3031	Spiral galaxy structure	UMa	C	09h 55m 36s	69° 04' N
M82 in Ursa Major	8.4	8.4 x 3.4	22	3034	Very elongated galaxy, dust & bright knots	UMa	C	09h 55m 48s	69° 41' N
NGC3077 in Ursa Major	9.9	3.4 x 2.8	7	3077	Elongated galaxy	UMa		10h 03m 18s	68° 44' N
