#  Object      R.A.    DEC     Mag    PA*   Type     Size      Const  Urn  SA   
                                                                      
NGC104     00 24.1  -72 05  4.5    -----  GbCl  25.0'        Tuc    440  24   
SMC         00 52.8  -72 50  2.7     10    Glxy  316'X186'    Tuc    441  24   
NGC362     01 03.2  -70 51  6.6    -----  GbCl  12.9'        Tuc    441  24   
NGC1261    03 12.3  -55 13  8.4    -----  GbCl  6.9'         Hor    419  24   
NGC1851    05 14.1  -40 03  7.2    -----  GbCl  11.0'        Col    393  19   
                                                                      
LMC         05 23.6  -69 45  0.9     170   Glxy  646'X550'    Dor    444  24   
NGC2070    05 38.6  -69 05  8.2    -----  BNeb  40'X25'      Dor    445  24   
NGC2451    07 45.4  -37 58  2.8    -----  OpCl  45.0'        Pup    362  19   
NGC2477    07 52.3  -38 33  5.8    -----  OpCl  27.0'        Pup    362  19   
NGC2516    07 58.3  -60 52  3.8    -----  OpCl  29.0'        Car    424  24   
                                                                      
NGC2547    08 10.7  -49 16  4.7    -----  OpCl  20.0'        Vel    396  20   
NGC2546    08 12.4  -37 38  6.3    -----  OpCl  40.0'        Pup    362  20   
NGC2627    08 37.3  -29 57  8.4    -----  OpCl  11.0'        Pyx    363  20   
IC2391    08 40.2  -53 04  2.5    -----  OpCl  50.0'        Vel    425  25   
IC2395    08 41.1  -48 12  4.6    -----  OpCl  7.0'         Vel    397  20   
                                                                      
NGC2659    08 42.6  -44 57  8.6    -----  OpCl  2.7'         Vel    397  20   
NGC2670    08 45.5  -48 47  7.8    -----  OpCl  9.0'         Vel    397  20   
NGC2808    09 12.0  -64 52  6.3    -----  GbCl  13.8'        Car    448  25   
IC2488    09 27.6  -56 59  7.4    -----  OpCl  14.0'        Vel    425  25   
NGC2910    09 30.4  -52 54  7.2    -----  OpCl  5.0'         Vel    426  25   
                                                                      
NGC2925    09 33.7  -53 26  8.3    -----  OpCl  12.0'        Vel    426  25   
NGC3114    10 02.7  -60 07  4.2    -----  OpCl  35.0'        Car    426  25   
NGC3201    10 17.6  -46 25  6.7    -----  GbCl  18.0'        Vel    399  20   
NGC3228    10 21.8  -51 43  6.0    -----  OpCl  18.0'        Vel    426  25   
NGC3293    10 35.8  -58 14  4.7    -----  OpCl  5.0'         Car    427  25   
                                                                      
Mel101     10 42.1  -65 06  8.0    -----  OpCl  13.0'        Car    449  25   
IC2602    10 43.2  -64 24  1.9    -----  OpCl  50.0'        Car    449  25   
NGC3372    10 43.8  -59 52  1.0    -----  BNeb  120'X120'    Car    427  25   
NGC3532    11 06.4  -58 40  3.0    -----  OpCl  55.0'        Car    427  25   
IC2714    11 17.9  -62 42  8.2    -----  OpCl  12.0'        Car    449  25   
                                                                      
Mel105     11 19.5  -63 30  8.5    -----  OpCl  4.0'         Car    449  25   
NGC3766    11 36.1  -61 37  5.3    -----  OpCl  12.0'        Cen    428  25   
NGC4052    12 01.9  -63 12  8.8    -----  OpCl  7.0'         Cru    450  25   
NGC4103    12 06.7  -61 15  7.4    -----  OpCl  6.0'         Cru    428  25   
NGC4337    12 23.9  -58 08  8.9    -----  OpCl  3.5'         Cru    428  25   
                                                                      
NGC4349    12 24.5  -61 54  7.4    -----  OpCl  15.0'        Cru    428  25   
H5       12 29.0  -60 46  8.5    -----  OpCl  7.0'         Cru    428  25   
NGC4463    12 30.0  -64 48  7.2    -----  OpCl  5.0'         Mus    450  25   
H6       12 37.9  -68 28  9.9    -----  OpCl  7.0'         Mus    450  25   
NGC4609    12 42.3  -62 58  6.9    -----  OpCl  5.0'         Cru    451  25   
                                                                      
COALSACK    12 52.0  -63 00  ---    -----  DkNb  240'X360'    Cru    451  25   
NGC4755    12 53.6  -60 20  4.2    -----  OpCl  10.0'        Cru    429  25   
NGC4815    12 58.0  -64 57  8.6    -----  OpCl  3.0'         Mus    451  25   
NGC4833    12 59.6  -70 53  7.3    -----  GbCl  13.5'        Mus    451  25   
NGC4852    13 00.1  -59 36  8.9    -----  OpCl  11.0'        Cen    429  25   
                                                                      
NGC5128    13 25.5  -43 01  7.0     35    Glxy  18'X14'      Cen    403  21   
NGC5139    13 26.8  -47 29  3.5    -----  GbCl  36.0'        Cen    403  21   
NGC5286    13 46.4  -51 22  7.6    -----  GbCl  9.1'         Cen    430  25   
NGC5316    13 53.9  -61 52  6.0    -----  OpCl  13.0'        Cen    430  25   
NGC5460    14 07.6  -48 19  5.6    -----  OpCl  25.0'        Cen    404  21   
                                                                      
NGC5617    14 29.8  -60 43  6.3    -----  OpCl  10.0'        Cen    430  25   
NGC5662    14 35.2  -56 33  5.5    -----  OpCl  12.0'        Cen    431  25   
NGC5822    15 05.2  -54 21  6.5    -----  OpCl  39.0'        Lup    431  25   
NGC5823    15 05.7  -55 36  7.9    -----  OpCl  10.0'        Cir    431  25   
NGC5925    15 27.7  -54 31  8.4    -----  OpCl  14.0'        Nor    431  25   
                                                                      
NGC6025    16 03.7  -60 30  5.1    -----  OpCl  12.0'        TrA    432  26   
NGC6067    16 13.2  -54 13  5.6    -----  OpCl  12.0'        Nor    432  26   
H10      16 19.9  -54 59  9.0    -----  OpCl  30.0'        Nor    432  26   
NGC6087    16 18.9  -57 54  5.4    -----  OpCl  12.0'        Nor    432  26   
NGC6124    16 25.6  -40 40  5.8    -----  OpCl  40.0'        Sco    407  22   
                                                                      
NGC6134    16 27.7  -49 09  7.2    -----  OpCl  6.0'         Nor    407  22   
NGC6152    16 32.7  -52 37  8.1    -----  OpCl  29.0'        Nor    433  26   
NGC6167    16 34.4  -49 36  6.7    -----  OpCl  7.0'         Nor    407  22   
