# Object ID	RaDec	Con	Type	Magn	Size
i239	023627.9+385812	And	eg	11.10:11.80	4.57x4.17
n6709	1851.5+1020	Aql	oc	6.7 9.07m*	13 i
b143	1940.7+1057	Aql	dn		80x50
Aur_OB1	0521.7+3352	Aur	obj		360x300
n2281	0649.3+4104	Aur	oc	5.4 7.3m*	15
n2715	090807.1+780511	Cam	eg	11.23:11.79	4.90x1.66 22°
n2359 Duck gn=Thor's Helmet	0717.8-1313	CMa	gn	vFT 11m*	8x6 i
n3114	1002.7-6006	Car	oc	4.2 7.31m*	35
n3199	1016.9-5758	Car	gn	vBT 11.1m*	22x22
n3293	1035.9-5814	Car	oc	4.7 6.52m*	6
i2714	1117.8-6241	Car	oc	8.2p 10pm*	12
anon	0005+58.0	Cas	jc		30
be4	0045.5+6424	Cas	oc	10.6 12.57m*	5.0

i59 GAMMA Cas gn 0056.7+6104     Cas	gn pFT 2.47vm*  10x5
i63 GAMMA Cas gn	0059.5+6049  Cas	gn pFT 2.47vm*  10x3


cr463	0148.4+7157	Cas	oc	5.7 8.49m*	36
n743	0158.7+6011	Cas	oc	10pm*	5
st2	0215.0+5916	Cas	oc	4.4 8.18m*	60
st12	2337.2+5225	Cas	oc	8pm*	20
n7789	2357.0+5643	Cas	oc	6.7 10.7m*	16
n3918 Blue pn	115017.84-571056.5	Cen	pn	8.4 13.24m*	12" round
n5102	132157.8-363747	Cen	eg	9.63:10.35	8.71x2.82 48°
n5281	1346.6-6253	Cen	oc	5.9 6.61m*	5'
n5460	1407.6-4818	Cen	oc	5.6 8.01m*	25
i1396	2139.0+5730	Cep	oc + gn	3.5 3.82m*	50
n7160	2153.8+6236	Cep	oc	6.1 7.04m*	7
anon	2205+62.5	Cep	jc		
be94	2222.7+5551	Cep	oc	8.7 9.65m*	4.0
n7380	2247.0+5806	Cep	oc	7.2 8.58m*	12
n941	022827.7-010906	Cet	eg	12.41:12.93	2.63x1.95 170°
n955	023033.6-010626	Cet	eg	11.97:12.93	2.75x0.71 19°
n4359	122411.9+313120	Com	eg	:13.40p	3.55x0.79 108°
n4314	122232.2+295347	Com	eg	10.58:11.43	4.17x3.72 150°
n4283	122021.0+291840	Com	eg	12.07:13.00	1.51x1.48
n4278	122007.2+291647	Com	eg	10.16:11.09	4.07x3.80
n4245	121737.0+293634	Com	eg	11.40:12.31	2.88x2.19
n4212	121539.1+135405	Com	eg	11.16:11.83	3.16x1.95 75°
n4189	121346.8+132536	Com	eg	11.74:12.51	2.40x1.74 85°
n4103	1206.7-6113	Cru	oc	7.4p 10pm*	7 i
n4190	121344.7+363800	CVn	eg	13.32:13.9	1.66x1.51
n4117	120746.2+430734	CVn	eg	:14.04p	1.78x0.87 18°
n4109	120651.4+425945	CVn	eg	:14.84p	1.00x0.89
Cyg_Star_Cloud	1945+33	Cyg	sc		
do36	2002.5+4206	Cyg	oc		14
n6871	2005.9+3546	Cyg	oc	5.2 6.83m*	20
Biur1	2007.5+3541	Cyg	oc		15
Biur2	2009.2+3529	Cyg	oc	6.3 7.87m*	13
n6883	2011.3+3551	Cyg	oc	8.0p	15
do3	2015.7+3648	Cyg	oc		15
i4996	2016.4+3739	Cyg	oc	7.3 8.51m*	6
n6910 "Y-shaped oc"	2023.1+4047	Cyg	oc	7.4 9.61m*	8
b346 b348=b349=N Coalsack	2036.8+4210	Cyg	dn		15.780°
n6991	2056.7+4724	Cyg	oc		5
n7031	2107.3+5050	Cyg	oc	9.1 11.31m*	5
n7082	2129.4+4705	Cyg	oc	7.2 9.90m*	25
anon	2138+50.3	Cyg	jc		about 60
n2210	0611.4-6907	Dor	lmc oc	10.2	1.7 round
n2187	060348.3-693459	Dor	eg	:13.05p	2.45x1.12
n2164	0558.7-6831	Dor	lmc oc	10.5	round
n2157	0557.3-6911	Dor	lmc oc	10	SM round
n1865	0512.2-6847	Dor	lmc oc	vFT	pLG round
n1860	0510.4-6846	Dor	lmc oc	FT	pLG round
n1858	0509.7-6854	Dor	lmc oc	BT	LG oval i
n1856	0509.4-6908	Dor	lmc oc	10	12" round
n1854	0509.1-6851	Dor	lmc oc	10	SM round
n1850	0508.5-6846	Dor	lmc oc	9.36	3.4 oval
n1847	0506.9-6859	Dor	lmc oc	BT	SM oval
n1839	0505.9-6837	Dor	lmc oc	pBT	i
n1836	0505.3-6837	Dor	lmc oc		
n1825	0504.1-6855	Dor	lmc oc		
n1805	0502.2-6606	Dor	lmc oc	10.5	vSM
n1703	045252.0-594433	Dor	eg	11.34:11.9	2.95x2.63 45°
n1688	044823.4-594802	Dor	eg	:12.57p	2.40x1.86 177°
n1602	042737.8-550137	Dor	eg	11.16:12.10	3.72x0.95 20°
