Name,Assoc,Page,GLON,GLAT,RAh,RAm,DE-,DEd,DEm,POSS,X,Y
Sgr OB5,ASS-1,2371,0.16,-1.25,17,47.7,-,29,26,SO-90    17 46 -30,210,212
Sgr OB1,ASS-2,2373,8.99,-0.6,18,4.9,-,21,28,O- 326   18 12 -24,316,307
Sgr OB7?,ASS-3,--,10.64,-1.5,18,11.7,-,20,28,O-1106   18 00 -18,100,46
Sgr OB4,ASS-4,2377,11.95,-0.97,18,12.4,-,19,4,O-1106   18 00 -18,94,117
Sgr OB6,ASS-5,2379,13.41,1.01,18,8.1,-,16,50,O-1106   18 00 -12,140,212
Ser OB1,ASS-6,2381,16.5,0,18,17.9,-,14,36,O- 296   18 24 -12,318,23
Ser-Sct,ASS-7,2383,16.81,-4.52,18,35.2,-,16,26,O- 569   18 24 -18,100,260
Sct OB3,ASS-8,2385,17.34,-0.85,18,22.7,-,14,16,O- 296   18 24 -12,257,53
Ser OB2,ASS-9,2387,18.56,1.71,18,15.8,-,11,59,O- 503   18 00 -12,37,173
Sct I,ASS-10,2389,27.56,-2.45,18,47.7,-,5,57,O-1085   18 48 -06,253,169
Aql OB1,ASS-11,2391,37.29,-0.59,18,59,+,3,32,O- 264   18 48 +06,84,30
Sct OB2,ASS-12,2393,39.04,7.62,18,32.8,-,9,10,O- 296   18 24 -12,125,327
Vul OB1,ASS-13,2395,60.3,0.15,19,41.9,+,24,6,O- 186   19 30 +24,73,172
Vul OB4,ASS-14,2397,60.5,0.5,19,41,+,24,27,O- 186   19 30 +24,89,193
Vul OB2,ASS-15,2399,64.7,1.75,19,45.6,+,28,42,O- 275   19 30 +30,46,98
Cyg OB5,ASS-16,2401,67.1,2.1,19,49.9,+,30,57,O- 771   19 56 +30,194,202
Cyg OB3,ASS-17,2403,72.55,2.3,20,2.8,+,35,41,O- 200   20 04 +36,222,142
Cyg OB1,ASS-18,2405,75.5,1.1,20,15.9,+,37,29,O- 200   20 04 +36,82,238
Cyg OB8,ASS-19,2409,77.75,3.75,20,11.1,+,40,49,O-1145   20 00 +42,87,97
Cyg OB9,ASS-20,2411,78,1.5,20,21.5,+,39,46,O- 754   20 30 +42,289,35
Cyg OB2,ASS-21,2413,80.1,0.9,20,30.6,+,41,7,O- 754   20 30 +42,196,111
Cyg OB4,ASS-22,2417,82.5,-7.3,21,11.1,+,37,40,O- 279   21 00 +36,92,246
Cyg OB6,ASS-23,2419,86,1,20,50.3,+,45,48,O- 533   20 58 +48,267,30
Cyg OB7,ASS-24,2421,90,2.05,21,1.1,+,49,31,O- 533   20 58 +48,170,232
Lac OB1,ASS-25,2423,97,-17.15,22,38.9,+,38,49,O- 778   22 24 +36,65,300
Cep-Lac,ASS-26,2427,101,-2,22,11.8,+,53,46,O- 581   22 10 +54,160,151
Cep OB2,ASS-27,2429,102.5,5.7,21,46.4,+,60,50,O- 594   22 00 +60,279,198
Cep OB1,ASS-28,2433,103,-1.85,22,22.7,+,54,59,O- 581   22 10 +54,104,205
Cep OB5,ASS-29,2435,108.45,-2.75,23,0,+,56,45,O- 812   22 48 +54,112,300
Cep OB3,ASS-30,2437,111.15,3.75,22,58.4,+,63,47,O- 553   22 32 +66,33,31
Cas OB2,ASS-31,2441,112.05,0.25,23,17.1,+,60,53,O-1173   23 28 +60,269,195
Cas OB9,ASS-32,2443,113.5,-2.5,23,34.9,+,58,44,O-1173   23 28 +60,155,78
Cas OB5,ASS-33,2445,116.45,-1.85,23,56.2,+,60,5,O-1173   23 28 +60,18,146
Cep OB4,ASS-34,2447,118,5.2,23,57,+,67,18,O- 555    0 00 +66,193,262
Cas II,ASS-35,2449,119.48,-0.11,0,18.7,+,62,17,O-1233    0 00 +60,81,268
Cas OB4,ASS-36,2451,120.3,-0.05,0,25.6,+,62,25,O- 596    0 44 +60,320,278
Cas OB14,ASS-37,2453,120.4,0.6,0,26,+,63,5,O- 596    0 44 +60,314,317
Cas OB7,ASS-38,2455,123.45,0.84,0,53,+,63,26,O-1234    0 52 +66,202,10
Cas OB1,ASS-39,2457,124.05,-1.35,0,57.7,+,61,14,O- 596    0 44 +60,115,212
Cas OB8,ASS-40,2459,129.45,-0.85,1,42.7,+,61,4,O-1240    1 28 +60,117,206
Cas OB10,ASS-41,2461,130.8,-6.35,1,44,+,55,25,O-1245    1 54 +54,293,230
Per OB1,ASS-42,2463,134,-3.75,2,11,+,57,5,O-1245    1 54 +54,93,322
Cas OB6,ASS-43,2467,135.9,1.35,2,39.3,+,61,10,O- 968    2 56 +60,322,226
Cam OB1,ASS-44,2469,142.5,2,3,27.6,+,58,28,O- 957    3 40 +60,312,83
Cam OB3,ASS-45,2471,147,2.95,3,58.4,+,56,29,O-1236    3 48 +54,144,300
