Barnard,RAJ2000,DECJ2000
B1,"3h 32' 57""",+31бу 09'
B2,"3h 33' 31""",+32бу 19'
B3,"3h 40' 01""",+31бу 58'
B4,"3h 44' 02""",+31бу 47'
B5,"3h 47' 53""",+32бу 53'
B6,"3h 56' 23""",+56бу 07'
B8,"4h 17' 50""",+55бу 14'
B9,"4h 18' 00""",+55бу 03'
B7,"4h 17' 25""",+28бу 33'
B10,"4h 18' 41""",+28бу 16'
B11,"4h 26' 37""",+55бу 02'
B12,"4h 29' 47""",+54бу 14'
B13,"4h 31' 18""",+54бу 53'
B15,"4h 31' 56""",+46бу 37'
B16,"4h 32' 26""",+46бу 36'
B17,"4h 32' 30""",+46бу 31'
B18,"4h 31' 13""",+24бу 21'
B19,"4h 33' 00""",+26бу 16'
B20,"4h 37' 04""",+50бу 58'
B21,"4h 37' 57""",+55бу 21'
B22,"4h 38' 00""",+26бу 03'
B14,"4h 39' 59""",+25бу 44'
B23,"4h 40' 33""",+29бу 52'
B24,"4h 42' 53""",+29бу 44'
B25,"4h 52' 04""",+46бу 00'
B26,"4h 54' 38""",+30бу 37'
B27,"4h 55' 08""",+30бу 33'
B28,"4h 55' 52""",+30бу 38'
B29,"5h 06' 23""",+31бу 35'
B30,"5h 30' 16""",+12бу 46'
B31,"5h 32' 01""",+12бу 45'
B32,"5h 32' 08""",+12бу 25'
B33,"5h 40' 52""",-02бу 27'
B34,"5h 43' 30""",+32бу 38'
B35,"5h 45' 30""",+09бу 03'
B36,"5h 49' 00""",+07бу 25'
B37,"6h 32' 00""",+10бу 28'
B38,"6h 33' 41""",+11бу 04'
B39,"6h 38' 02""",+10бу 19'
B40,"16h 14' 38""",-18бу 58'
B41,"16h 22' 17""",-19бу 37'
B42,"16h 25' 00""",-23бу 26'
B43,"16h 30' 00""",-19бу 46'
B44,"16h 40' 00""",-24бу 04'
B44a,"16h 44' 45""",-40бу 20'
B45,"16h 46' 00""",-21бу 35'
B46,"16h 57' 12""",-22бу 43'
B47,"16h 59' 42""",-22бу 38'
B48,"17h 01' 00""",-40бу 41'
B49,"17h 02' 39""",-33бу 16'
B50,"17h 02' 54""",-34бу 23'
B51,"17h 04' 44""",-22бу 15'
B53,"17h 06' 00""",-33бу 35'
B54,"17h 06' 34""",-34бу 15'
B55,"17h 07' 33""",-32бу 00'
B56,"17h 08' 48""",-32бу 05'
B57,"17h 08' 22""",-22бу 49'
B58,"17h 11' 12""",-40бу 24'
B59,"17h 11' 23""",-27бу 29'
B60,"17h 11' 51""",-22бу 26'
B61,"17h 14' 59""",-20бу 28'
B62,"17h 16' 12""",-20бу 52'
B63,"17h 16' 00""",-21бу 28'
B64,"17h 17' 18""",-18бу 29'
B65,"17h 19' 36""",-26бу 42'
B66,"17h 19' 57""",-26бу 53'
B67,"17h 20' 57""",-26бу 51'
B67a,"17h 22' 30""",-21бу 53'
B68,"17h 22' 36""",-23бу 47'
B69,"17h 22' 55""",-23бу 55'
B71,"17h 23' 02""",-24бу 00'
B70,"17h 23' 32""",-24бу 02'
B72,"17h 23' 35""",-23бу 37'
B73,"17h 24' 08""",-24бу 17'
B74,"17h 25' 08""",-24бу 12'
B75,"17h 25' 17""",-22бу 01'
B76,"17h 25' 00""",-24бу 24'
B77,"17h 28' 00""",-23бу 51'
B78,"17h 32' 00""",-25бу 35'
B79,"17h 37' 23""",-19бу 36'
