RCW,GLON,GLAT,RAh,RAm,DE-,DEd,DEm,MajAxis,MinAxis,Br,IDs,Rem
1,225.0,-0.6,7,8.0,-,11,57,150,150,m,"NGC2327; HS111,113,114;G2,3",*
2,223.8,-1.9,7,2.0,-,10,27,14,14,b,IC2177;HS109;G1,R
3,224.2,1.2,7,14.0,-,9,18,4,4,b,HS115,--
4,224.4,3.2,7,21.5,-,8,30,60,60,f,--,--
5,227.8,-0.2,7,16.1,-,13,9,8,8,b,NGC2359; HS116; G4,R
6,231.6,-4.3,7,8.0,-,18,24,12,10,b,G5,R
7,232.6,0.9,7,29.5,-,16,51,17,15,m,(NGC2409?); G6,R
8,233.9,-0.1,7,28.3,-,18,27,3,2,b,--,--
9,234.4,-12.2,6,43.0,-,24,20,90,30,f,--,R
10,234.4,-0.2,7,29.0,-,18,54,18,14,f,--,--
11,234.6,-10.0,6,52.0,-,23,35,60,20,f,--,R
12,234.7,0.9,7,33.7,-,18,42,6,3,b,G7,--
13,234.8,-0.1,7,30.1,-,19,18,12,10,m,--,R
14,235.6,-4.1,7,17.0,-,21,50,6,4,m,(NGC2367),R
15,237.5,-7.3,7,8.0,-,25,0,300,300,f,--,R
16,243.3,0.6,7,51.2,-,26,15,33,33,b,(NGC2467); G9,R
17,243.5,-1.0,7,45.4,-,27,13,2,2,b,--,--
18,250.3,-2.2,7,57.2,-,33,42,1,1,b,--,--
19,253.8,-0.5,8,13.5,-,35,42,48,40,b,G10,R
20,254.5,0.0,8,17.5,-,36,0,10,10,m,NGC2579; G11,R
21,257.6,0.6,8,28.8,-,38,10,1,1,b,--,--
22,258.1,12.1,9,13.5,-,31,10,45,45,m,--,R
23,258.5,1.4,8,35.0,-,38,21,2,1,b,--,--
24,258.7,-1.4,8,23.6,-,40,12,3,2,f,--,--
25,259.2,1.3,8,36.9,-,39,2,2,1,b,--,--
26,259.7,2.9,8,44.6,-,38,27,3,3,m,--,--
27,260.1,0.5,8,36.5,-,40,12,100,100,m,G14,R
28,260.1,-3.4,8,19.6,-,42,33,2,1,b,--,--
29,260.2,-3.3,8,20.0,-,42,32,2,2,b,G13,--
30,260.2,-3.1,8,21.1,-,42,29,2,2,b,G13,R
31,260.7,-3.2,8,22.3,-,42,55,3,2,b,--,R
32,261.6,0.9,8,43.0,-,41,9,27,27,m,G15,R
33,263.0,1.4,8,49.5,-,41,54,95,80,m,G17,R
34,264.4,1.4,8,54.4,-,42,56,2,2,b,G19,--
35,264.6,0.1,8,49.7,-,43,55,30,30,m,G18,--
36,265.2,1.4,8,57.5,-,43,33,12,6,m,G20,R
37,267.0,0.1,8,58.5,-,45,45,13,3,f,Part of NGC2736,R
38,268.0,-1.0,8,57.5,-,47,16,40,40,m,"G22,23,24",R
39,269.2,-1.1,9,1.9,-,48,12,2,2,b,--,--
40,269.3,-1.4,9,1.0,-,48,27,8,8,b,G25,R
41,270.3,0.8,9,14.8,-,47,45,8,4,m,--,--
42,274.1,-1.3,9,22.4,-,51,54,9,7,b,G26,R
43,277.2,-3.8,9,25.5,-,55,54,2,2,b,NGC2899; G27,R
44,277.8,-3.6,9,29.6,-,56,5,2,2,f,--,--
45,282.2,-0.1,10,10.0,-,56,9,16,16,f,--,--
46,282.4,-1.3,10,6.0,-,57,15,15,15,f,--,--
47,283.0,-2.7,10,3.5,-,58,42,25,20,m,--,--
48,283.5,-1.0,10,14.0,-,57,36,15,10,b,NGC3199; G28,R
49,284.3,-0.3,10,22.0,-,57,27,90,35,b,(NGC3247); G29,R
50,284.3,0.4,10,24.5,-,56,54,12,12,m,--,R
51,286.0,0.5,10,36.1,-,57,42,12,12,b,--,R
52,287.2,0.4,10,43.5,-,58,18,15,15,b,BBW22500; G32,R
53,287.4,-0.9,10,40.0,-,59,30,210,210,vb,"NGC3293,3324,IC2599;BBW22500;",*
54,289.4,-0.6,10,58.0,-,60,6,210,60,m,"(NGC3503)?(NGC3572)?G34,5,6,7",*
55,290.4,-3.0,10,54.2,-,62,45,8,8,m,--,R
56,291.1,-2.1,11,3.3,-,62,12,2,1,m,--,--
57,291.6,-0.5,11,12.5,-,60,56,170,40,m,"NGC3603; G38,a,b",R
58,292.4,-4.9,11,4.3,-,65,18,7,7,m,--,--
59,293.0,4.5,11,35.0,-,56,40,180,150,m,--,R
60,293.7,-1.4,11,26.5,-,62,30,50,50,b,"IC2872; BBW2620; G39,40",R
61,294.2,-2.3,11,28.3,-,63,30,15,15,b,G41,R
62,294.8,-1.5,11,35.0,-,62,54,80,80,b,"IC2944,8; BBW26201;G42",R
63,297.6,10.3,12,17.0,-,52,0,250,40,f,--,*
64,299.4,-0.3,12,16.7,-,62,41,3,2,b,--,--
65,301.0,1.2,12,31.5,-,61,18,11,6,m,G43,R
66,301.1,0.9,12,32.6,-,61,39,2,1,m,G44,--
67,301.2,0.8,12,33.0,-,61,45,4,4,m,--,--
68,301.7,1.0,12,37.3,-,61,36,15,15,f,--,--
69,302.2,0.3,12,41.5,-,62,18,5,3,m,G45,--
70,302.7,-1.0,12,45.6,-,63,34,1,1,b,--,--
71,302.9,1.3,12,47.3,-,61,18,4,3,b,G46,--
72,303.2,1.6,12,50.3,-,61,0,2,2,f,--,--
73,303.4,1.4,12,52.0,-,61,12,2,2,m,--,--
74,305.2,0.0,13,7.8,-,62,33,15,12,f,--,R
75,306.3,0.2,13,16.5,-,62,15,18,13,m,BBW27300; G48a,R
76,307.2,-3.5,13,29.8,-,65,45,3,2,b,NGC5189; G47,R
77,307.6,-5.0,13,35.4,-,67,10,1,1,b,--,--
78,307.9,0.2,13,30.5,-,62,0,45,30,f,BBW27500; G48b,R
79,308.7,0.6,13,36.5,-,61,30,9,5,m,BBW27600; G48c,--
80,309.3,-0.5,13,43.5,-,62,24,21,10,m,BBW27700; G48d,--
81,310.6,0.6,13,51.9,-,61,6,1,1,m,--,--
82,311.0,0.4,13,55.7,-,61,12,5,4,b,--,R
83,311.9,-0.5,14,5.0,-,61,50,60,50,f,BBW27901,--
84,312.6,-2.7,14,16.4,-,63,40,1,1,m,--,--
85,313.5,-0.4,14,17.0,-,61,10,25,20,f,BBW28100,R
86,315.0,-2.3,14,35.5,-,62,27,3,3,m,--,R
87,320.2,0.8,15,1.0,-,57,19,2,2,b,--,--
88,320.2,0.5,15,2.7,-,57,36,3,2,b,--,--
89,320.4,-1.0,15,9.5,-,58,46,4,4,f,--,--
90,321.0,2.2,15,1.5,-,55,46,1,1,m,--,*
91,321.2,-0.5,15,12.5,-,58,1,11,10,f,BBW28801,R
92,322.2,0.6,15,14.5,-,56,30,8,5,f,BBW28900,--
93,322.6,-2.5,15,29.7,-,58,54,2,2,m,--,R
94,326.2,0.9,15,37.0,-,54,0,20,20,f,BBW29400a,R
95,326.7,0.8,15,39.7,-,53,47,3,2,b,BBW29400c,--
96,326.9,-1.0,15,48.9,-,55,6,2,2,f,--,R
