BHe,m_BHe,IDs,RAh,RAm,DE-,DEd,DEm,Type,u_Type,Br,u_Br,Color,u_Color,Abs,u_Abs,BDiam,u_BDiam,RDiam,u_RDiam,Rem
1,--,--,7,59.1,-,45,19,I,--,M,--,B,--,Str,--,1.3,--,--,--,--
2,--,--,8,3.2,-,31,22,I,--,M,--,mB,--,Str,--,1.3,--,1.0,--,--
3,a,--,8,2.9,-,39,11,I-II,--,F,--,B,--,Str,--,1.3,--,--,--,--
3,b,--,8,3.0,-,39,12,I-II,--,F,--,B,--,Str,--,0.8,--,--,--,--
3,c,--,8,3.1,-,39,10,I-II,--,F,--,B,--,Str,--,--,--,--,--,--
4,--,--,8,7.6,-,38,43,II,--,F,--,B,--,Str,--,3.5,--,--,--,--
5,--,--,8,5.5,-,35,48,I,--,Br,--,--,--,Mod,:,0.6,--,--,--,*
6,--,RS Pup,8,11.1,-,34,26,II,--,F,--,B,--,Wk,--,1.1,--,0.3,--,--
7,--,--,8,11.5,-,38,17,I,--,F,--,B,--,Mod,--,7.2,--,--,--,--
8,--,--,8,12.0,-,35,59,II,--,F,--,B,--,Wk,--,1.1,--,--,--,--
9,a,--,8,14.0,-,35,39,I-II,--,F,--,B,--,Wk,--,0.3,--,--,--,--
9,b,--,8,14.1,-,36,0,I-II,--,F,--,mR,--,Wk,--,0.3,--,0.5,--,--
10,--,--,8,15.5,-,42,5,II,--,F,--,B,--,Str,--,0.8,--,--,--,--
11,--,--,8,16.3,-,41,57,I-II,--,Br,--,vB,--,Str,--,2.4,--,0.5,--,--
12,a,--,8,19.1,-,50,9,I,--,Br,--,B,--,Str,--,2.4,--,0.8,--,--
12,b,--,8,18.5,-,49,58,I,--,F,--,B,--,Str,--,0.3,--,--,--,--
13,a,NGC 2580,8,19.1,-,36,5,I,--,vBr,--,vR,--,Wk,--,1.1,--,1.3,--,*
13,b,--,8,19.1,-,36,5,II,--,vBr,--,vR,--,Wk,--,0.3,--,0.6,--,--
14,a,--,8,20.5,-,40,17,I,--,M,--,B,--,Mod,--,0.5,--,0.3,--,--
14,b,--,8,20.7,-,40,15,I,--,M,--,mR,--,Mod,--,--,--,0.3,--,--
15,a,--,8,21.4,-,41,56,II,--,F,--,I,--,Mod,--,2.1,--,--,--,--
15,b,--,8,21.2,-,41,55,II,--,F,--,I,--,Mod,--,--,--,--,--,--
15,c,--,8,20.9,-,41,56,II,--,F,--,I,--,Mod,--,--,--,--,--,--
15,d,--,8,20.4,-,41,55,II,--,F,--,I,--,Mod,--,--,--,--,--,--
16,--,--,8,26.2,-,50,59,II,--,F,--,mR,--,Mod,--,0.8,--,0.8,--,--
17,a,NGC 2626,8,34.0,-,40,30,I,--,vBr,--,--,--,Mod,--,5.3,--,--,--,*
18,--,--,8,35.2,-,39,14,I-II,:,F,--,--,--,Mod,--,0.6,--,--,--,*
19,--,--,8,35.6,-,47,1,II,--,F,--,B,--,Wk,--,2.4,--,--,--,--
20,--,--,8,37.6,-,40,17,II,--,F,--,--,--,Mod,--,1.6,--,--,--,*
21,a,--,8,44.3,-,43,29,I,--,M,--,B,--,Mod,--,1.1,--,--,--,--
21,b,--,8,45.4,-,43,32,I,--,F,--,B,--,Mod,--,0.3,--,--,--,--
22,a,--,8,50.8,-,48,33,I,--,F,--,B,--,Mod,--,--,--,--,--,--
22,b,--,8,51.1,-,48,35,II,--,F,--,B,--,Mod,--,--,--,--,--,--
22,c,--,8,49.7,-,48,56,II,--,F,--,B,--,Mod,--,--,--,--,--,--
22,d,--,8,49.7,-,48,54,II,--,F,--,B,--,Mod,--,--,--,--,--,--
22,e,--,8,49.5,-,48,54,II,--,F,--,B,--,Mod,--,--,--,--,--,--
23,--,--,8,52.9,-,46,44,--,--,vF,--,B,:,Mod,--,--,--,--,--,*
24,--,--,8,53.3,-,43,16,I-II,--,F,--,B,--,Mod,--,1.6,--,--,--,--
25,a,RCW 34,8,54.7,-,42,54,I-II,--,M,--,vR,--,Mod,--,0.5,--,--,--,*
25,b,--,8,54.8,-,43,1,II,--,M,--,B,--,Mod,--,0.8,--,--,--,--
26,--,--,8,56.4,-,47,11,I,--,M,--,B,:,Str,--,1.7,--,--,--,--
27,a,--,8,56.2,-,42,38,I-II,--,F,--,B,--,Str,--,0.8,--,--,--,--
27,b,--,8,56.2,-,42,30,II,--,vF,--,--,--,Str,--,--,--,--,--,--
28,--,--,8,56.6,-,43,14,I,--,M,--,B,--,Str,--,1.0,--,0.3,--,--
29,a,--,9,10.0,-,45,26,I,--,M,--,B,--,Str,--,0.3,--,--,--,--
29,b,--,9,9.5,-,45,23,--,--,F,--,R,--,Str,--,1.6,--,--,--,--
29,c,--,9,9.5,-,45,21,II,--,F,--,B,--,Str,--,1.3,--,--,--,--
30,--,--,9,16.9,-,48,11,--,--,vF,--,R,--,Wk,--,--,--,--,--,--
