HCG,m_HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
1,a,0,23,29.92,+,25,26,53.9,37.6,26.9,Sc,7,m,10237,39,0,15.02,0,55.0,13.33,2,87.7,1.29,14.87,14.43,0.2,-20.6,U248a
1,b,0,23,28.77,+,25,26,31.9,42.8,10.7,Im,12,m,10266,40,0,15.68,0,32.5,13.85,2,65.7,1.36,15.96,15.04,0.1,-20.0,U248b
1,c,0,23,17.29,+,25,26,47.6,10.7,10.7,E0,0,--,10056,34,0,10.21,0,23.8,14.15,0,51.6,1.69,15.89,15.57,0.1,-19.5,--
1,d,0,23,21.66,+,25,26,53.4,8.5,4.8,S0,1,--,10120,47,0,17.4,0,12.0,15.77,0,13.9,1.6,16.92,16.5,0.2,-18.5,--
2,a,0,28,48.85,+,8,11,32.0,40.5,19.7,SBd,9,m,4326,30,0,14.02,0,60.7,13.1,0,67.5,0.88,13.84,13.35,0.1,--,U312
2,b,0,28,43.74,+,8,11,57.0,21.2,18.4,cI,13,m,4366,34,0,14.62,0,37.6,13.4,0,50.5,1.14,14.63,14.39,0.1,--,Mk552 MCG1-2-18
2,c,0,28,54.32,+,8,7,28.9,32.9,18.1,SBc,7,m,4235,34,0,15.14,0,48.9,13.97,0,55.4,1.1,14.6,14.15,0.1,--,U314
2,d,0,29,3.31,+,8,6,53.1,13.2,12.0,SBb,5,--,21340,85,0,16.74,0,24.7,15.12,0,28.6,1.54,16.0,15.72,0.2,--,U315
3,a,0,31,40.7,-,7,50,25.4,26.6,8.0,Sc,7,--,7302,51,0,15.6,0,30.8,14.11,0,39.3,1.41,15.36,14.72,0.1,--,--
3,b,0,31,52.61,-,7,52,30.9,15.4,9.6,SB0a,2,--,7860,45,0,15.76,0,24.4,14.0,0,31.7,1.71,15.64,15.28,0.1,--,--
3,c,0,31,47.55,-,7,52,32.8,23.7,6.4,Sd,9,--,11545,68,1,16.75,0,19.8,15.27,0,26.2,1.37,16.54,15.87,0.1,--,--
3,d,0,31,37.33,-,7,52,39.9,13.1,9.7,S0,1,--,7804,30,0,15.98,0,20.1,14.15,0,34.7,1.69,15.91,15.64,0.1,--,--
4,a,0,31,43.69,-,21,42,50.9,41.1,33.5,Sc,7,m,8097,36,0,13.8,0,67.5,12.71,0,75.2,1.01,13.78,13.5,0.1,-21.1,--
4,b,0,31,44.16,-,21,44,44.8,24.2,9.1,Sc,7,--,7065,44,0,15.7,0,30.9,14.62,0,34.0,1.03,15.52,14.97,0.2,-19.3,--
4,c,0,31,45.62,-,21,41,36.2,12.8,10.0,E2,0,m,8863,74,1,16.11,0,24.4,14.45,0,37.3,1.51,15.9,15.69,0.1,-19.1,--
4,d,0,31,46.77,-,21,45,11.5,12.7,7.4,E4,0,m,8215,37,0,16.12,0,20.5,14.86,0,26.4,1.19,15.68,15.47,0.1,-19.1,--
4,e,0,31,38.37,-,21,42,41.1,12.9,9.4,Sab,4,--,18480,180,1,16.61,0,19.0,15.26,0,21.3,1.31,16.37,16.05,0.1,--,--
5,a,0,36,19.61,+,6,47,16.6,24.4,24.3,Sab,4,m,12147,34,0,15.08,1,43.5,13.39,1,62.4,1.58,14.79,14.55,0.2,-20.7,N190N U397a
5,b,0,36,19.62,+,6,46,53.1,17.9,17.5,E0,0,m,12221,29,0,15.99,1,28.2,13.7,1,49.2,2.03,15.76,15.52,0.2,-19.9,N1905 U397b
5,c,0,36,17.72,+,6,47,52.8,15.1,13.4,S0,1,--,12489,47,0,16.72,1,21.7,13.77,1,39.1,1.72,16.52,16.26,0.2,-19.2,--
5,d,0,36,19.9,+,6,46,23.9,12.3,5.0,Sc,7,--,8215,37,1,17.3,1,17.2,15.49,1,27.4,1.68,17.27,16.72,0.2,-18.7,--
6,a,0,36,41.7,-,8,40,7.7,14.3,7.3,S0a,2,--,11669,52,1,15.87,1,25.2,13.94,1,44.2,1.62,15.69,15.27,0.2,-20.1,--
