Arp,Name,VT,u_VT,dim1,---,dim2,u_dim2,MType,Uchart,RAh,RAm,RAs,DE-,DEd,DEm,DEs
249,UGC 12891,16.2,--,--,--,--,--,--,--,0,0,19.3,+,22,59,26
249,UGC 12891,16.2,--,1.3,X,0.5,--,--,--,0,0,21.6,+,22,59,42
112,NGC 7805,13.3,--,1.2,X,0.9,--,SAB0^0: pec,89,0,1,26.9,+,31,26,2
112,NGC 7806,13.5,--,1.1,X,0.8,--,SA(rs)bc? pec,89,0,1,30.2,+,31,26,33
130,IC 5378,15.6,--,0.5,--,--,--,SBc,--,0,2,37.7,+,16,39,8
130,IC 5378,15.3,--,--,--,--,--,E,--,0,2,37.8,+,16,38,37
51,MGC-02-01-24,15.0,--,0.8,--,--,--,--,--,0,6,16.8,-,13,26,53
144,NGC 7828,14.4,--,0.9,X,0.5,--,Ring A,260,0,6,27.1,-,13,24,58
144,NGC 7829,14.6,--,0.7,--,--,--,Ring B pec,260,0,6,29.0,-,13,25,15
146,ARP 146,--,--,0.7,X,0.6,--,Ring A,--,0,6,44.0,-,6,38,7
146,VV 790,--,--,--,--,--,--,Pec,--,0,6,44.4,-,6,38,10
146,ARP 146,--,--,0.7,X,0.6,--,Ring A,--,0,6,44.8,-,6,38,14
246,NGC 7837,14.4,--,0.4,X,0.2,--,--,170,0,6,51.4,+,8,21,5
246,NGC 7838,14.3,--,0.7,X,0.3,--,--,170,0,6,53.7,+,8,21,0
235,NGC 0014,12.7,--,2.8,X,2.1,--,(R)IB(S)m pec,170,0,8,46.2,+,15,48,56
113,NGC 0070,14.5,--,1.4,X,1.2,--,SA(rs)c III,89,0,18,22.4,+,30,4,50
256,MCG-02-01-52,13.6,--,1.1,X,0.8,--,SB(S)c pec,--,0,18,50.0,-,10,21,42
256,MCG-02-01-51,14.8,--,1.1,X,0.6,--,SB(S)c pec,--,0,18,50.9,-,10,22,37
256,VV 352,--,--,--,--,--,--,--,--,0,18,51.4,-,10,22,33
65,NGC 0091,13.7,--,2.2,--,--,--,SAB(S)c pec I,126,0,21,51.7,+,22,24,1
35,UGC 00212,15.5,--,--,--,--,--,SP,--,0,22,21.4,-,1,20,47
