Field,RAh,RAm,DE-,DEd,DEm,Pmag,Rem_Code
1,7,12.4,+,0,51,15.7,--
1,7,18.1,-,1,28,15.5,--
1,7,18.2,-,1,36,15.6,--
1,7,20.6,+,2,52,15.3,1
1,7,20.9,+,2,43,15.1,--
1,7,23.5,+,2,5,15.4,--
1,7,24.2,+,1,45,15.6,--
2,7,29.3,-,2,7,15.7,--
2,7,30.6,+,0,58,15.7,--
2,7,31.6,-,1,53,15.6,--
2,7,32.9,+,1,4,15.6,1
2,7,36.1,+,2,20,14.8,--
2,7,37.2,-,2,31,15.5,1
2,7,37.8,-,1,28,15.5,1
2,7,39.3,-,2,35,15.4,--
2,7,42.4,+,0,3,15.6,--
2,7,42.4,-,0,15,15.6,--
2,7,43.5,-,2,48,15.7,--
2,7,43.9,+,2,5,15.4,1
2,7,44.4,-,1,2,15.7,--
2,7,44.6,+,0,55,15.7,--
2,7,45.8,-,1,21,15.6,--
2,7,46.3,-,1,36,15.5,--
2,7,48.8,+,2,27,15.6,--
2,7,49.2,+,2,57,14.7,--
2,7,50.8,-,0,21,15.3,--
3,7,55.0,-,1,25,15.5,--
3,7,56.6,-,0,30,14.2,--
3,7,58.2,+,2,26,15.4,--
3,7,59.5,+,0,57,15.5,1
3,8,0.2,+,0,25,15.5,--
3,8,1.8,+,1,20,15.6,--
3,8,2.0,-,2,14,15.7,--
3,8,3.2,-,3,25,15.5,--
3,8,3.7,-,3,8,15.1,--
3,8,3.8,+,1,11,14.3,--
3,8,6.2,+,1,46,15.4,--
3,8,6.3,+,0,27,14.9,--
3,8,6.6,+,0,25,14.7,--
3,8,6.7,-,0,13,14.5,--
3,8,6.8,+,0,45,14.4,--
3,8,9.9,-,1,17,15.3,--
3,8,11.2,+,0,48,15.2,--
3,8,11.5,-,0,8,15.3,--
3,8,12.2,+,1,42,15.6,--
3,8,12.3,+,0,13,15.4,--
3,8,14.1,-,0,15,15.3,--
3,8,14.1,-,2,50,15.3,--
3,8,14.4,-,0,36,15.6,--
3,8,14.6,-,0,42,15.6,--
3,8,14.7,+,1,22,15.3,1
3,8,15.1,+,0,49,15.7,--
3,8,15.2,-,0,44,15.5,--
3,8,15.4,+,0,54,13.5,--
3,8,15.4,+,2,20,15.5,--
4,8,18.0,-,1,13,15.1,--
4,8,18.2,-,1,15,15.0,1
4,8,19.7,-,1,54,15.6,--
4,8,19.9,+,2,29,15.7,1
4,8,19.9,-,0,53,14.9,--
4,8,19.9,-,0,57,15.5,--
4,8,20.2,-,1,38,15.7,--
4,8,20.4,-,0,12,15.2,--
4,8,20.7,-,0,42,14.8,--
4,8,21.0,+,0,0,15.1,1
