MCG,n_MCG,OtherName,RAh,RAm,DE-,DEd,DEm,Mag,MajAxisIn,MinAxisIn,MajAxis,MinAxis,IntIn,IntOut,Incl
MCG+15-01-001,--,--,0,3.0,+,88,4,16.0,2.0,0.5,16.0,13.0,3,5,2
MCG+15-01-002,--,--,4,55.0,+,88,19,15.0,1.5,1.0,10.0,4.0,2,5,2
MCG+15-01-003,--,--,5,44.0,+,87,42,16.0,1.5,1.0,6.5,3.0,1,6,4
MCG+15-01-004,--,--,6,19.0,+,87,35,16.0,1.0,--,8.0,1.5,4,5,4
MCG+15-01-005a,*,--,6,35.0,+,87,22,17.0,0.3,--,5.0,3.0,5,5,1
MCG+15-01-005b,*,--,6,35.0,+,87,22,18.0,--,--,1.0,--,4,3,--
MCG+15-01-006,--,--,6,58.5,+,87,52,17.0,2.0,1.0,13.0,4.0,5,6,2
MCG+15-01-007,--,--,7,34.0,+,88,16,17.0,0.5,--,6.0,2.5,1,6,2
MCG+15-01-008,--,--,9,17.0,+,89,15,16.0,4.0,1.5,8.0,3.0,2,6,3
MCG+15-01-009,--,--,9,33.5,+,88,23,15.0,0.5,0.3,20.0,17.0,3,6,1
MCG+15-01-010,--,--,11,30.0,+,89,22,16.0,2.5,2.0,11.0,10.0,4,6,1
MCG+15-01-011,--,NGC 3172,11,40.0,+,89,22,15.0,3.0,--,10.0,6.5,2,5,1
MCG+15-01-012,--,--,11,57.0,+,88,25,15.0,4.5,2.5,6.0,3.0,1,5,3
MCG+15-01-013,--,--,12,50.0,+,88,4,16.0,0.5,--,7.0,7.0,1,5,3
MCG+15-01-014,--,--,12,55.5,+,87,35,17.0,3.0,1.5,--,--,3,6,5
MCG+15-01-015,--,--,14,32.5,+,87,23,17.0,0.5,--,4.0,2.5,1,6,2
MCG+15-01-016,--,--,15,44.0,+,87,23,17.0,0.5,0.3,4.0,2.0,1,4,3
MCG+15-01-017,--,--,16,24.0,+,87,57,17.0,1.6,1.3,--,--,1,--,--
MCG+15-01-018,--,--,18,6.0,+,88,19,16.0,2.5,2.0,4.5,2.0,3,6,3
MCG+15-01-019,--,--,18,10.0,+,87,40,16.0,2.5,2.0,5.0,3.0,1,6,2
MCG+15-01-020,--,--,18,19.5,+,87,44,17.0,2.0,1.5,--,--,1,--,--
MCG+15-01-021,--,--,18,32.5,+,87,48,16.0,--,--,13.0,1.5,4,6,5
MCG+15-01-022,--,--,19,29.0,+,88,30,17.0,1.5,1.0,5.0,2.5,5,6,2
MCG+15-01-023,--,--,19,33.0,+,88,37,16.0,1.0,--,6.0,--,4,6,1
MCG+15-01-024,--,--,19,52.5,+,87,9,16.0,1.3,0.5,6.0,--,1,5,1
MCG+15-01-025,--,--,20,10.0,+,88,27,16.0,2.5,2.0,4.0,--,4,6,--
MCG+14-01-001,--,--,22,51.0,+,82,39,14.0,2.5,2.0,24.0,5.0,3,4,3
MCG+14-01-002,--,--,23,6.0,+,86,30,17.0,1.5,--,7.5,6.5,1,5,1
MCG+14-01-003,--,--,23,7.0,+,86,29,16.0,1.5,--,6.0,--,1,5,1
MCG+14-01-004,*,--,23,51.0,+,85,46,17.0,--,--,9.0,0.5,3,3,5
MCG+14-01-005,--,--,23,56.0,+,82,54,16.0,2.5,2.0,6.0,2.5,2,6,3
MCG+14-01-006,--,--,0,9.0,+,85,24,17.0,1.0,--,4.0,2.0,1,5,2
MCG+14-01-007,--,--,0,25.5,+,85,44,17.0,--,--,6.0,2.0,1,2,4
MCG+14-01-008,--,--,0,33.5,+,81,27,17.0,1.5,1.0,6.0,1.5,1,5,4
MCG+14-01-009,--,--,0,36.0,+,82,57,15.0,7.0,2.0,15.0,2.5,1,5,4
MCG+14-01-010,--,--,1,13.0,+,83,42,17.0,1.5,0.7,8.0,1.5,3,4,4
MCG+14-01-011,--,--,1,13.0,+,83,57,16.0,2.0,--,5.0,3.0,2,4,2
MCG+14-01-012,--,--,1,13.0,+,84,2,17.0,--,--,2.0,--,1,--,--
MCG+14-02-001,--,--,1,25.0,+,84,46,15.0,2.5,--,14.0,4.5,2,6,3
MCG+14-02-002,--,--,1,26.0,+,84,5,17.0,0.5,--,6.5,2.5,2,5,--
MCG+14-02-003,--,--,1,32.5,+,84,12,17.0,--,--,3.0,1.5,--,3,3
MCG+14-02-004,--,--,1,32.5,+,84,13,17.0,3.0,1.5,5.0,2.0,1,6,4
MCG+14-02-005,--,--,1,33.5,+,83,40,14.0,1.5,--,8.0,--,4,5,1
MCG+14-02-006,--,--,1,41.2,+,85,1,15.0,5.0,3.0,--,--,2,--,--
MCG+14-02-007,--,--,1,48.0,+,86,26,14.0,4.5,4.0,12.0,8.0,2,6,1
MCG+14-02-008,--,--,2,8.0,+,82,22,16.0,2.0,1.5,8.0,6.5,5,6,2
MCG+14-02-009,--,--,2,22.0,+,83,48,15.0,4.5,2.5,6.0,3.0,2,6,3
MCG+14-02-010,--,--,2,28.5,+,82,0,16.0,4.0,3.0,8.5,4.0,4,5,2
MCG+14-02-011,--,--,2,58.0,+,86,41,16.0,--,--,6.5,2.5,--,4,--
MCG+14-02-012,--,--,3,26.0,+,82,15,16.0,--,--,9.5,2.0,--,2,5
MCG+14-02-013,--,--,3,35.0,+,82,9,17.0,0.6,0.4,4.5,1.5,2,4,4
MCG+14-03-001,--,--,3,50.0,+,83,36,17.0,7.0,0.5,7.0,1.5,--,4,5
MCG+14-03-002,--,--,3,59.0,+,83,19,17.0,2.0,0.5,6.5,5.0,3,6,2
MCG+14-03-003,--,--,4,8.0,+,86,4,15.0,3.0,2.5,4.0,3.5,2,5,2
MCG+14-03-004,--,--,4,17.5,+,82,18,17.0,4.0,2.0,4.5,3.0,3,5,--
MCG+14-03-005,--,--,4,39.0,+,82,35,16.0,3.0,2.0,--,--,1,6,--
MCG+14-03-006,--,NGC 1544,4,44.0,+,86,8,14.0,4.5,3.0,9.0,6.5,2,5,2
MCG+14-03-007,--,--,5,7.0,+,84,1,15.0,7.5,4.5,14.0,11.0,1,4,2
MCG+14-03-008,--,--,5,8.5,+,84,25,15.0,12.0,3.0,11.0,5.0,3,5,3
MCG+14-03-009,*,--,5,26.0,+,81,42,16.0,2.5,--,--,--,1,--,--
MCG+14-03-010,--,--,5,29.0,+,81,51,16.0,1.3,0.5,6.0,4.5,3,4,1
MCG+14-03-011,--,--,5,35.0,+,85,55,16.0,4.5,3.0,15.0,9.5,1,3,2
MCG+14-03-012,--,--,5,38.0,+,83,24,16.0,1.3,1.0,5.0,2.5,2,4,3
MCG+14-03-013,--,--,5,38.0,+,85,51,17.0,4.0,1.5,6.5,0.2,3,4,4
MCG+14-03-014,--,--,5,52.5,+,82,50,16.0,2.5,2.0,6.5,2.5,1,5,3
MCG+14-03-015,*,--,5,54.0,+,82,45,16.0,5.0,2.5,--,--,1,--,--
MCG+14-03-016,--,--,5,54.0,+,83,45,16.0,1.5,--,--,--,2,5,--
MCG+14-03-017,*,--,5,54.5,+,83,50,15.0,3.0,--,--,--,1,6,--
MCG+14-03-018,--,--,6,3.0,+,81,4,16.0,6.5,2.0,17.0,2.0,2,4,5
MCG+14-03-019,*,--,6,6.0,+,81,9,14.0,8.0,4.5,17.0,14.0,2,6,2
MCG+14-03-020,--,--,6,13.5,+,82,22,15.0,4.5,2.5,8.0,2.5,1,4,3
MCG+14-03-021,--,--,6,15.0,+,83,20,16.0,1.3,0.5,5.0,2.0,2,4,3
MCG+14-03-022,--,--,6,15.0,+,84,57,15.0,4.0,2.5,10.0,3.0,1,5,5
MCG+14-04-001,--,--,6,23.0,+,83,33,16.0,3.5,1.5,8.0,2.5,3,5,4
MCG+14-04-002,--,--,6,25.0,+,83,48,16.0,3.0,2.5,8.0,4.5,3,5,2
MCG+14-04-003,--,IC  442,6,26.5,+,82,59,14.0,6.0,5.0,8.0,8.0,1,5,--
MCG+14-04-004,--,--,6,29.0,+,82,59,16.0,4.0,2.0,5.0,2.5,2,6,4
MCG+14-04-005,--,--,6,29.0,+,83,0,17.0,1.5,1.2,4.0,1.5,1,6,3
MCG+14-04-006,--,--,6,34.5,+,84,12,15.0,--,--,15.0,2.5,2,4,4
MCG+14-04-007,--,--,6,36.0,+,83,52,17.0,5.0,1.5,--,--,1,--,4
MCG+14-04-008,--,--,6,42.0,+,84,5,15.0,--,--,8.0,4.5,2,4,3
MCG+14-04-009,--,--,6,41.0,+,85,0,16.0,2.0,1.3,18.0,4.5,1,6,3
MCG+14-04-010,*,--,6,41.0,+,86,38,17.0,3.0,2.0,7.0,5.0,1,3,2
MCG+14-04-011,*,--,6,42.0,+,86,37,16.0,3.0,--,7.0,--,1,5,--
MCG+14-04-012,--,--,6,43.0,+,82,32,16.0,5.0,1.3,13.0,2.0,2,5,4
MCG+14-04-013,--,--,6,43.0,+,84,8,15.0,6.5,4.0,13.0,8.0,2,6,2
MCG+14-04-014,--,--,6,44.0,+,86,45,16.0,4.5,2.0,--,--,1,6,4
MCG+14-04-015,--,--,6,46.0,+,81,0,16.0,1.3,1.0,4.5,4.5,4,5,1
MCG+14-04-016,*,--,6,46.5,+,81,1,15.0,4.0,3.5,--,--,1,--,--
MCG+14-04-017,--,--,6,49.0,+,83,29,17.0,--,--,7.0,1.0,--,2,5
MCG+14-04-018,--,--,6,54.0,+,81,0,15.0,6.0,5.0,--,--,3,--,--
MCG+14-04-019,--,--,6,54.0,+,81,1,16.0,2.0,1.3,8.5,2.0,2,4,3
MCG+14-04-020,--,--,6,58.0,+,85,50,16.0,2.5,2.0,--,--,1,--,--
MCG+14-04-021,--,--,7,0.5,+,85,47,15.0,2.5,2.0,--,--,1,--,--
MCG+14-04-022,*,NGC 2268,7,1.0,+,84,27,12.18,9.5,6.5,32.0,19.0,2,4,2
MCG+14-04-023,--,--,7,2.0,+,81,2,16.0,4.0,3.5,11.0,6.5,4,6,2
MCG+14-04-024,--,--,7,2.0,+,85,50,16.0,7.0,1.3,--,--,3,6,5
MCG+14-04-025,--,--,7,2.0,+,85,59,17.0,2.5,2.0,--,--,2,--,--
MCG+14-04-026,--,--,7,4.0,+,85,39,16.0,6.0,2.5,7.5,3.0,1,5,3
MCG+14-04-027,--,--,7,6.0,+,86,17,16.0,4.5,2.0,9.5,3.0,4,6,4
