Mrk,RAh,RAm,RAs,DE-,DEd,DEm,DEs,z0,Mag,n_Mag,Mabs,Sp,MajDiam,n_MajDiam,MinDiam,r_z0,n_Mrk,MType,Stype,Ddia,Vmag,B-V,U-B,r_Vmag,Var,F12um,l_F25um,F25um,l_F60um,F60um,l_F100um,F100um
1,1,13,19.5,+,32,49,33,0.0167,15.2,--,-19.4,sd2e,27,*,16,9,--,(R)SB0a,Sy2,55,14.44,0.9,0.01,91,--,1.8,--,0.81,--,2.28,--,2.73
2,1,51,55.7,+,36,40,20,0.019,14.2,--,-20.8,s2,20,*,25,9,--,SBa,e,36,13.54,0.6,-0.12,1,--,0.25,--,1.03,--,5.47,--,7.44
3,6,9,48.1,+,71,3,0,0.0141,13.8,--,-20.6,ds2e,35,*,25,9,--,SB0,Sy2,75,12.77,1.13,0.12,91,v,0.7,--,2.86,--,3.88,--,3.35
4,6,21,27.7,+,74,19,53,0.016,15.0,--,-19.6,sd2e:,10,*,--,1,--,SBc,"e,a",--,--,--,--,--,--,--,--,0.34,--,2.35,--,4.4
5,6,35,24.4,+,75,40,14,0.0029,17.0,*,-13.9,d1e,7,*,--,1,--,Im,HII,41,15.25,0.56,-0.34,71,--,--,--,--,--,--,--,--
6,6,45,43.4,+,74,29,7,0.0197,14.8,--,-20.2,s1e,20,*,--,12,--,SAB0/a,Sy1.5,55,13.28,1.01,0.19,91,v,0.31,--,0.68,--,1.11,--,0.94
7,7,22,18.7,+,72,40,24,0.0106,13.9,--,-19.7,d2,25,*,40,5,--,Im,e,41,14.24,0.41,-0.36,71,--,--,<,0.25,--,0.59,--,1.02
8,7,23,38.5,+,72,13,50,0.0126,13.8,--,-20.2,d1,37,*,27,41,--,Im,e,41,13.97,0.49,-0.37,71,--,--,--,0.41,--,2.36,--,3.82
9,7,32,42.0,+,58,53,0,0.04,15.2,--,-21.3,s1e:,25,*,--,12,--,S0p,Sy1,37,14.41,0.56,-0.79,91,v,0.3,--,0.53,--,0.87,--,1.47
10,7,43,7.4,+,61,3,23,0.0293,14.0,--,-21.8,s1e:,20,*,--,59,--,(R)SBbc,Sy1,137,13.03,0.69,-0.38,91,v,--,--,0.3,--,0.84,--,2.13
11,7,43,17.0,+,74,27,30,0.0133,14.4,--,-19.7,s3,26,*,18,35,--,E5/S0,a,32,13.91,0.81,0.3,90,--,--,--,--,--,--,--,--
12,7,44,41.0,+,74,29,6,0.0136,12.7,--,-21.4,d3,25,*,12,9,--,SBc,"e,a",57,12.86,0.47,-0.35,71,--,0.33,--,0.33,--,3.18,--,6.85
13,7,51,56.8,+,60,26,17,0.005,14.5,--,-17.5,sd1e:,20,*,--,1,--,SBbc,SB,114,13.77,0.57,-0.04,70,--,--,<,0.25,--,0.48,--,1.0
14,8,5,21.7,+,72,56,33,0.0105,14.4,--,-19.2,s2,20,*,--,1,--,S0?,SB,29,14.53,0.42,-0.35,71,--,--,--,0.25,--,1.07,--,1.55
15,8,28,48.5,+,75,18,36,0.0219,17.0,*,-18.1,d1e:,10,*,--,9,--,--,e,--,--,--,--,--,--,--,<,0.25,--,0.59,--,1.33
16,8,47,57.6,+,73,22,40,0.0083,14.6,--,-18.4,ds1,20,*,14,9,--,--,"e,a",29,14.69,0.61,0.0,71,--,--,<,0.25,--,0.55,<,1.19
17,8,47,49.0,+,57,17,41,0.0228,17.0,*,-18.2,s2,7,*,--,1,--,--,e,--,--,--,--,--,--,--,--,--,--,--,--,--
18,8,58,1.6,+,60,20,53,0.0111,13.1,--,-20.5,ds3,50,*,25,8,--,Sa?,"e,a",41,13.93,0.78,-0.06,71,--,--,--,0.31,--,2.06,--,3.04
19,9,12,53.5,+,59,58,53,0.0141,15.6,--,-18.5,ds1e,12,*,15,1,--,--,HII,15,15.42,0.45,-0.69,71,--,--,<,0.25,--,0.56,--,1.0
20,9,16,59.6,+,71,45,22,0.0121,14.7,--,-19.1,d3,23,*,13,8,--,SBa,e,29,14.5,0.42,-0.29,71,--,--,<,0.25,--,0.68,--,1.18
21,9,44,57.5,+,58,12,13,0.0281,15.1,--,-20.3,sd3,12,*,9,9,--,SBb?,SB,15,14.85,0.78,0.09,81,--,--,--,--,--,--,--,--
22,9,46,3.1,+,55,48,46,0.005,15.6,--,-16.2,d1e,7,*,13,1,--,--,e,24,15.76,0.62,-0.42,71,--,--,--,--,--,--,--,--
23,9,53,26.7,+,60,12,20,0.0325,15.6,--,-20.3,s2,12,*,--,1,--,--,e,--,--,--,--,--,--,--,<,0.25,--,0.63,--,1.03
24,9,55,59.6,+,54,45,7,0.0456,17.0,*,-19.6,ds2,10,*,13,5,--,--,e,--,--,--,--,--,--,--,--,--,--,--,--,--
25,10,0,22.2,+,59,40,43,0.0103,14.2,--,-19.2,s2e:,18,*,--,12,--,[E],e,24,14.26,0.62,-0.2,71,--,--,--,0.62,--,1.3,--,1.64
26,10,8,26.4,+,59,8,20,0.0307,15.7,--,-20.1,d2e:,13,*,18,7,--,Sc,e,24,15.6,0.42,-0.33,71,--,--,--,--,--,--,--,--
27,10,8,31.6,+,58,58,53,0.0073,17.0,*,-15.6,d1,10,*,--,9,--,p,e,11,16.46,0.46,-0.23,71,--,--,--,--,--,--,--,--
28,10,9,0.0,+,58,38,43,0.0304,17.0,*,-18.7,ds2,8,*,--,9,--,--,e,--,--,--,--,--,--,--,--,--,--,--,--,--
29,10,14,28.2,+,60,18,33,0.031,16.5,*,-19.3,d2,13,*,10,8,--,--,a,--,--,--,--,--,--,--,--,--,--,--,--,--
30,10,16,19.2,+,57,40,13,0.0263,17.0,*,-18.4,d3e:,15,*,10,9,--,--,e,--,--,--,--,--,--,--,--,--,--,--,--,--
31,10,16,24.0,+,57,40,20,0.026,14.7,--,-20.7,s2,10,*,--,9,--,SBb,SB,15,15.55,0.82,0.04,81,--,--,--,--,--,--,--,--
32,10,23,48.0,+,56,31,27,0.0029,16.0,*,-14.6,d3,13,*,10,9,--,p,HII,37,15.79,0.37,-0.05,71,--,--,--,--,--,--,--,--
33,10,29,22.2,+,54,39,23,0.0047,13.2,--,-18.5,sd1e,30,*,25,12,--,Im?,HII,30,13.3,0.33,-0.52,67,--,--,--,0.97,--,4.73,--,5.25
34,10,30,52.2,+,60,17,20,0.0518,16.0,*,-20.9,ds1e,25,*,18,9,--,SB0/a,Sy2,37,14.38,0.98,0.09,91,v,--,--,0.47,--,0.95,--,1.1
35,10,42,16.4,+,56,13,20,0.0034,12.9,--,-18.1,ds1e,45,*,35,2,--,Im,HII,41,13.06,0.44,-0.39,71,--,0.25,--,0.92,--,5.13,--,6.37
36,11,2,15.6,+,29,24,34,0.0019,15.5,*,-14.2,d1e,15,*,10,9,--,I,HII,24,15.24,0.34,-0.61,71,--,--,--,--,--,--,--,--
37,11,13,51.4,+,29,3,0,0.0231,16.0,*,-19.1,d2,16,*,--,25,--,--,e,--,--,--,--,--,--,--,--,--,--,--,--,--
38,11,15,25.8,+,54,1,20,0.0365,15.5,--,-20.6,sd3,25,*,--,9,--,SBb,"e,a",--,--,--,--,--,--,--,<,0.25,--,0.59,--,1.15
39,11,15,29.9,+,54,1,26,0.0368,15.5,--,-20.6,ds1e:,25,*,--,5,--,SBb,"e,a",--,--,--,--,--,--,--,--,--,--,--,--,--
40,11,22,48.0,+,54,39,26,0.0208,16.8,--,-18.1,sd2,10,*,--,15,--,S0,Sy1,29,15.12,0.85,-0.18,91,--,--,--,--,--,--,--,--
41,11,33,58.4,+,55,7,23,0.0196,15.0,--,-19.7,sd2e:,20,*,--,7,--,p,e,15,15.01,0.66,-0.15,67,--,--,<,0.4,--,0.56,--,1.62
42,11,51,5.3,+,46,29,20,0.024,15.2,--,-20.0,s2e:,12,*,--,2,--,SBb,Sy1,--,15.45,0.79,-0.19,2,--,--,--,--,--,--,--,--
43,12,0,26.6,+,39,42,14,0.0204,16.0,*,-18.8,d2,10,*,20,5,--,--,e,38,15.22,0.6,-0.21,71,--,--,--,--,--,--,--,--
44,12,0,51.4,+,39,5,27,0.0231,15.3,--,-19.8,s2,18,*,12,5,--,--,SB,15,15.27,0.62,0.01,81,--,--,--,--,--,--,--,--
45,12,1,1.9,+,60,48,33,0.0143,15.6,--,-18.5,ds3,9,*,16,5,--,[S0],e,29,15.28,0.66,-0.09,71,--,--,--,--,--,--,--,--
46,12,13,26.1,+,41,12,13,0.0125,17.0,*,-16.7,d3,8,*,11,5,--,--,e,24,16.34,0.41,-0.13,71,--,--,--,--,--,--,--,--
47,12,13,29.4,+,40,51,0,0.0196,16.0,*,-18.7,sd3,9,*,--,5,--,--,a,38,14.89,0.71,0.24,71,--,--,--,--,--,--,--,--
48,12,14,1.0,+,58,9,27,0.0159,16.0,*,-18.3,s3,10,*,--,5,--,S0,a,24,14.76,0.95,0.45,71,--,--,--,--,--,--,--,--
49,12,16,36.4,+,4,8,7,0.0034,14.5,--,-16.4,ds1e,13,*,10,50,--,--,HII,24,14.64,0.48,-0.39,71,--,--,<,0.32,--,0.74,--,1.0
50,12,20,50.9,+,2,57,20,0.0232,15.5,*,-19.6,s1,12,*,--,50,--,S0,Sy1,37,14.69,0.82,-0.06,91,--,--,--,--,--,--,--,--
51,12,21,41.1,+,4,30,0,0.0032,15.2,--,-15.6,ds2,20,*,10,2,--,E4,HII,24,15.05,0.62,-0.21,71,--,--,--,--,--,--,--,--
52,12,23,8.9,+,0,51,0,0.0068,13.4,--,-19.0,sd2e,10,*,--,12,--,SBab,SB,64,12.88,0.67,-0.05,70,--,0.35,--,1.09,--,4.58,--,5.91
53,12,53,40.5,+,27,56,50,0.016,15.5,--,-18.8,ds2,13,*,10,5,--,--,e,24,15.3,0.41,-0.33,71,--,--,<,0.26,--,0.63,--,1.61
54,12,54,32.0,+,32,43,7,0.045,15.1,--,-21.4,s1e,13,*,--,65,--,--,HII,--,--,--,--,--,--,--,<,0.42,--,0.92,--,1.81
55,12,54,59.7,+,27,40,34,0.0162,16.0,*,-18.3,sd3,12,*,--,5,--,--,e,24,15.33,0.68,0.03,71,--,--,--,--,--,--,--,--
56,12,56,10.0,+,27,32,0,0.0243,15.4,--,-19.8,d2e:,10,*,--,5,--,S0p?,e,--,--,--,--,--,--,--,--,--,--,--,--,--
57,12,56,12.0,+,27,26,40,0.0253,15.4,--,-19.9,sd1,15,*,--,5,--,S0p?,e,--,--,--,--,--,--,--,--,--,--,--,--,--
58,12,56,40.0,+,27,54,47,0.018,15.1,--,-19.4,s3,15,*,--,52,--,[S0?],"e,a",15,15.34,0.49,-0.06,81,--,--,--,--,--,--,--,--
59,12,56,38.2,+,35,6,50,0.0022,12.8,--,-17.2,d1e,20,*,--,32,--,"Sm,Im",HII,24,13.65,0.38,-0.75,71,--,--,--,0.42,--,1.82,--,2.29
60,12,57,44.5,+,28,8,7,0.0172,15.5,*,-18.9,ds3e:,12,*,--,5,--,Sba,"e,a",15,15.91,0.48,-0.08,71,--,--,--,--,--,--,--,--
61,12,59,17.7,+,29,38,56,0.0571,17.0,*,-20.0,d2,10,*,7,35,--,--,e,--,--,--,--,--,--,--,--,--,--,--,--,--
62,13,2,55.8,+,30,32,36,0.0335,16.5,*,-19.4,d2,10,*,--,27,--,--,e,14,16.66,0.38,-0.4,89,--,--,--,--,--,--,--,--
63,13,3,43.3,+,30,53,1,0.058,17.0,*,-20.1,d1,8,*,--,52,--,--,"e,a",--,--,--,--,--,--,--,--,--,--,--,--,--
64,13,4,47.7,+,34,40,23,0.184,17.0,*,-22.6,sd1,7,*,--,70,--,--,Sy1,--,16.97,0.41,-0.74,84,--,--,--,--,--,--,--,--
65,13,19,13.0,+,59,21,47,0.0434,15.5,*,-21.0,d1,13,*,--,2,--,--,e,--,--,--,--,--,--,--,--,--,--,--,--,--
66,13,23,57.8,+,57,30,39,0.0212,15.0,*,-19.9,d3e:,15,*,--,12,--,--,e,15,14.98,0.42,-0.31,81,--,--,<,0.25,--,0.51,<,1.04
67,13,39,39.4,+,30,46,17,0.0036,16.5,*,-14.5,sd1e,10,*,--,2,--,--,HII,15,16.01,0.52,-0.4,71,--,--,--,--,--,--,--,--
68,13,42,59.3,+,27,22,13,0.0177,17.0,*,-17.5,d2e:,12,*,8,5,--,--,e,--,--,--,--,--,--,--,--,--,--,--,--,--
69,13,43,51.3,+,29,53,3,0.0762,16.5,*,-21.2,s1,8,*,--,5,--,--,Sy1,25,15.93,0.52,-0.44,82,--,--,--,--,--,--,--,--
70,13,53,17.7,+,26,56,17,0.0168,16.0,*,-18.4,d2e:,12,*,--,52,--,--,e,14,15.88,0.5,-0.23,89,--,--,--,--,--,--,--,--
71,7,23,23.7,+,69,17,33,0.0009,11.6,--,-16.7,d1e,20,*,33,41,--,Im,HII,43,13.72,0.42,-0.25,71,--,--,--,0.73,--,3.28,--,4.38
