RFGC,FGC(E),m_FGC(E),PGC,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s,GLON,GLAT,PA,---,aO,bO,aE,bE,Btot,AB,MType,As,SB,N,Notes
--,1878,E,--,0,0,49.3,-,32,48,4,23,58,15.5,-,33,4,46,2.5,-77.67,173,--,0.53,0.07,0.5,0.08,17.5,0.05,c,0,III,2,In cluster
1,2565,--,70,0,0,56.1,+,20,20,17,23,58,22.4,+,20,3,35,107.18,-40.98,110,1,2.02,0.17,1.93,0.18,15.5,0.26,c,1,II,1,--
2,2566,--,106,0,1,23.2,-,17,16,41,23,58,49.5,-,17,33,23,70.78,-74.81,75,2,0.99,0.12,0.99,0.12,16.4,0.1,c,0,II,1,--
3,1879,E,--,0,1,31.0,-,57,49,23,23,58,57.4,-,58,6,5,315.5,-58.07,33,3,0.8,0.1,0.78,0.11,16.7,0.05,c,0,II,0,--
4,2567,--,124,0,1,36.8,+,3,30,17,23,59,3.0,+,3,13,35,99.59,-57.09,3,4,1.34,0.17,1.23,0.19,16.0,0.09,bc,0,III,0,--
5,1880,E,--,0,1,55.8,-,36,21,22,23,59,22.2,-,36,38,4,348.56,-76.02,74,5,0.89,0.09,0.78,0.09,16.8,0.04,cd,0,II,3,Interact. w. gal. at 1.0 SW
--,1881,E,--,0,2,3.1,-,27,1,54,23,59,29.4,-,27,18,36,30.61,-79.01,154,--,0.56,0.07,0.48,0.08,17.6,0.06,c,0,III,4,--
6,2563,--,94,0,2,4.3,+,80,38,32,23,59,29.2,+,80,21,50,120.84,17.97,52,6,1.32,0.13,1.3,0.13,16.0,0.9,d,1,II,0,--
7,2569,--,--,0,2,10.2,-,5,30,40,23,59,36.4,-,5,47,22,92.26,-65.41,4,7,0.76,0.1,0.76,0.1,16.7,0.14,cd,0,II,0,--
8,2568,--,--,0,2,10.3,-,7,1,43,23,59,36.5,-,7,18,25,90.5,-66.75,52,8,0.63,0.09,0.56,0.09,17.0,0.18,dm,1,II,1,Blue. Curved
9,2570,--,--,0,2,14.7,-,12,51,54,23,59,41.0,-,13,8,36,81.61,-71.67,47,9,0.9,0.12,0.87,0.16,16.7,0.13,b,0,III,2,Sharp red nucleus
10,2571,--,--,0,2,16.7,+,2,54,12,23,59,42.9,+,2,37,30,99.48,-57.71,23,10,0.6,0.08,0.56,0.1,17.3,0.09,c,0,III,4,--
11,2572,--,--,0,2,18.5,+,35,14,31,23,59,44.5,+,34,57,49,111.73,-26.56,137,11,0.66,0.09,0.64,0.1,17.1,0.31,d,1,III,0,--
12,2573,--,165,0,2,23.3,+,27,12,38,23,59,49.3,+,26,55,56,109.7,-34.4,48,12,1.68,0.19,1.37,0.21,15.7,0.2,bc,1,II,2,--
13,1882,E,--,0,2,28.0,-,35,30,54,23,59,54.5,-,35,47,36,351.14,-76.61,178,13,0.83,0.09,0.87,0.11,16.8,0.05,b,0,II,2,Round contrast nucleus
--,1,E,--,0,3,6.4,-,52,54,23,0,0,33.4,-,53,11,5,318.91,-62.7,150,--,0.54,0.07,0.78,0.15,17.3,0.06,b,0,III,4,--
14,1,--,--,0,4,3.0,-,6,58,45,0,1,29.3,-,7,15,27,91.61,-66.92,80,14,0.78,0.11,0.75,0.11,16.7,0.15,m,2,III,1,Blue. Patchy.
15,2,--,--,0,4,19.5,-,6,11,36,0,1,45.8,-,6,28,18,92.67,-66.26,120,15,0.9,0.1,0.78,0.12,16.7,0.17,bc,1,II,0,--
16,3,--,--,0,4,22.5,+,51,40,30,0,1,47.6,+,51,23,48,115.54,-10.52,48,16,1.1,0.1,1.01,0.11,16.5,0.98,c,1,II,2,Companion 0.9 at 6.0 NW
17,4,--,--,0,5,0.3,+,4,30,25,0,2,26.5,+,4,13,43,101.66,-56.43,122,17,0.69,0.08,0.57,0.11,17.4,0.09,cd,1,IV,3,--
18,2,E,--,0,5,4.8,-,43,26,20,0,2,32.1,-,43,43,3,329.83,-71.19,118,18,0.6,0.05,0.65,0.06,17.8,0.04,c,0,IV,3,--
19,3,E,--,0,5,11.9,-,52,54,22,0,2,39.6,-,53,11,4,318.28,-62.82,35,19,0.7,0.08,0.61,0.09,17.2,0.06,d,0,III,6,--
20,4,E,379,0,5,27.7,-,35,56,35,0,2,54.8,-,36,13,17,348.05,-76.84,59,20,1.31,0.16,1.36,0.17,15.9,0.06,bc,1,II,4,Curved ends
21,5,E,394,0,5,37.3,-,34,48,52,0,3,4.4,-,35,5,34,352.04,-77.54,134,21,0.82,0.1,0.82,0.15,16.6,0.06,bc,0,I,1,Projected on distant cluster
22,6,E,--,0,5,41.0,-,48,58,48,0,3,8.7,-,49,15,30,321.93,-66.43,95,22,0.76,0.08,0.63,0.1,17.2,0.05,cd,0,III,1,--
--,7,E,--,0,5,59.7,-,45,30,54,0,3,27.4,-,45,47,36,326.15,-69.51,72,--,0.57,0.08,0.59,0.11,17.1,0.05,d,0,II,0,--
23,8,E,--,0,6,17.2,-,36,14,56,0,3,44.5,-,36,31,38,346.55,-76.77,76,23,0.66,0.07,0.66,0.09,17.2,0.05,c,0,II,3,Slightly curved ends
