---,UGC,A,RAh,RAm,DE-,DEd,DEm,MCG,POSS,MajAxis,MinAxis,PA,Hubble,Pmag,RadVel,aR,bR,i
UGC,1,--,0,0.0,+,16,22,MCG+03-01-015,1195,1.5,1.3,--,DBL SYS,14.9,--,--,--,--
UGC,2,--,0,0.0,+,44,39,MCG+07-01-000,1243,1.1,0.2,120,--,17.0,--,1.0,0.2,7
UGC,3,--,0,0.2,+,18,37,MCG+03-01-018,1195,2.0,1.0,90,SBa,14.8,--,1.8,0.8,5
UGC,4,--,0,0.5,+,3,56,MCG+01-01-014,1465,1.3,0.8,155,Sb-c,15.5,--,1.1,0.7,4
UGC,5,--,0,0.6,-,2,11,MCG+00-01-021,319,1.3,0.8,45,SBb/Sc,14.3,--,1.4,0.9,4
UGC,6,--,0,0.6,+,21,42,MCG+04-01-013,779,1.0,0.7,105,PECULR,14.4,6900,1.0,0.7,--
UGC,7,--,0,0.7,+,15,42,MCG+03-01-019,1195,1.5,0.4,54,PECULR,14.9,--,1.5,0.4,6
UGC,8,--,0,0.7,+,15,52,MCG+03-01-020,1195,6.5,2.7,135,Sa-b,12.0,1047,6.3,2.7,7
UGC,9,--,0,0.8,+,4,21,MCG+01-01-000,1465,1.3,1.2,--,--,16.5,--,1.3,1.2,--
UGC,10,--,0,0.8,+,8,20,MCG+01-01-015,1465,1.9,1.7,--,Sc,15.4,--,2.0,2.0,1
UGC,11,--,0,0.8,+,21,50,MCG+04-01-014,779,1.1,0.8,55,--,16.0,--,0.9,0.6,--
UGC,12,--,0,0.8,+,29,31,MCG+05-01-028,1257,1.1,0.9,100,Sc,15.7,--,0.7,0.6,2
UGC,13,--,0,0.9,+,27,5,MCG+04-01-015,779,1.1,1.0,--,SB0/a,15.0,--,1.0,1.0,1
UGC,14,--,0,1.0,+,22,56,MCG+04-01-017,779,1.9,1.0,32,Sc,14.0,--,2.0,1.0,5
UGC,15,--,0,1.2,+,4,0,MCG+01-01-017,1465,1.5,0.3,63,Sa-b,16.0,--,1.2,0.2,6
UGC,16,--,0,1.2,+,7,11,MCG+01-01-018,1465,2.0,2.0,--,Sb/Sc,14.0,--,2.1,2.1,1
UGC,17,--,0,1.3,+,14,56,MCG+02-01-017,10,3.0,2.0,--,DWARF,17.0,--,3.0,2.0,--
UGC,18,--,0,1.4,+,10,35,MCG+02-01-000,10,1.0,0.9,--,COMPACT,15.7,--,1.1,1.0,--
UGC,19,--,0,1.4,+,20,28,MCG+03-01-021,1195,4.0,1.1,45,Sb/Sc,12.7,--,3.8,1.0,6
UGC,20,--,0,1.5,+,80,1,MCG+13-01-004,1213,2.2,1.4,5,--,16.0,--,1.2,1.1,--
UGC,21,--,0,1.6,+,7,5,MCG+01-01-019,1465,1.1,1.1,--,Sc,15.1,--,1.1,1.1,1
UGC,22,--,0,1.7,+,10,2,MCG+02-01-018,10,1.3,0.8,25,S0,16.0,--,1.3,0.8,4
UGC,23,--,0,1.7,+,10,30,MCG+02-01-019,10,1.3,0.9,20,SBb,15.2,--,1.2,0.8,3
UGC,24,--,0,1.7,+,22,19,MCG+04-01-018,779,1.2,0.8,50,SBc,15.4,--,0.9,0.7,--
UGC,25,--,0,1.8,+,5,53,MCG+01-01-020,1465,1.1,0.3,123,Sc,16.0,--,1.1,0.3,6
UGC,26,--,0,1.8,+,31,12,MCG+05-01-029,1257,2.0,1.8,--,SBb,14.3,--,1.9,1.7,1
