VV,m_VV,n_VV,Seq,Con,Rem1,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Note,Rem2,m,u_m,arcmin,Rem3,RVopt,n_RVopt,u_RVopt,o_RVopt,z,o_z,RVrad,u_RVrad,o_RVrad,IR,R,TType,ITType,u_ITType,MCG,m_MCG,u_MCG,Rem4,NGC,m_NGC,n_NGC,u_NGC,Zw,Mrk,Arp,---,UGC,u_UGC,OName
186,--,--,--,+,--,0,0,19.3,+,22,59,26,--,--,16.0,--,--,--,--,--,--,--,--,--,--,--,--,-,-,E,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
186,--,--,--,+,{,--,--,--,--,--,--,--,--,--,--,--,12x5,--,--,--,--,--,--,--,--,--,--,--,--,--,PKt,--,+04-01-007,--,--,--,--,--,--,--,4Zw177,--,249,--,12891,--,--
186,--,--,--,+,--,0,0,21.0,+,22,59,42,--,--,16.0,--,--,--,--,--,--,--,--,--,--,--,--,-,-,E,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
853,--,--,--,--,--,0,0,31.4,+,26,19,29,--,--,14.7,--,10x9,--,7255,--,--,*,--,--,--,--,--,+,+,S,PDt,--,+04-01-008,--,--,--,--,--,--,--,--,1137,--,--,12896,--,--
--,--,--,--,--,--,0,0,31.6,+,26,18,18,--,--,16.0,--,2x2,--,--,--,--,--,--,--,--,--,--,-,-,E,--,--,+04-01-009,--,--,--,--,--,--,--,--,--,--,--,--,--,--
854,--,--,--,--,--,0,0,38.2,+,28,23,6,--,--,14.84,--,11x4,--,8705,--,--,--,--,--,8705,--,--,-,+,S,NNNP,--,+05-01-020,--,--,--,--,--,--,--,--,--,--,--,12897,--,--
--,--,--,--,--,--,0,0,44.3,+,28,24,5,--,--,15.71,--,8x4,--,8216,--,--,--,--,--,--,--,--,-,-,S,--,--,+05-01-021,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,0,0,47.2,+,28,24,7,--,--,14.68,--,10x9,--,8870,--,--,--,--,--,--,--,--,-,-,E,--,--,+05-01-022,--,--,--,--,--,--,--,--,--,--,--,12899,--,--
855,--,--,--,--,--,0,1,3.7,+,13,10,59,--,--,19.0,--,3x2,--,--,--,--,--,--,--,--,--,--,-,-,I,Ch,--,+02-01-008,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,0,1,13.5,+,13,8,38,--,--,15.87,--,9x5,--,5461,--,--,--,--,--,--,--,--,-,-,S,--,--,+02-01-009,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,0,1,14.8,+,13,6,46,--,--,16.97,--,5x2,--,--,--,--,--,--,--,--,--,--,-,-,S,--,--,+02-01-010,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,0,1,20.1,+,13,6,39,--,--,14.06,--,10x6,--,5260,--,--,--,--,--,5367,--,--,+,+,S,--,--,+02-01-011,--,--,--,7803,--,--,--,--,--,--,--,12906,--,--
--,--,--,--,--,--,0,1,26.1,+,13,6,46,--,--,15.26,--,6x5,--,5253,--,--,--,--,--,--,--,--,-,-,S,--,--,+02-01-012,--,--,--,--,--,--,--,--,934,--,--,--,--,--
--,--,--,--,--,--,0,1,29.6,+,13,5,55,--,--,18.0,--,4x4,--,--,--,--,--,--,--,--,--,--,-,-,I,--,--,+02-01-013,--,--,--,--,--,--,--,--,--,--,--,--,--,--
226,--,--,--,--,--,0,1,26.9,+,31,26,2,--,--,14.2,--,12x9,--,4850,--,--,--,--,--,--,--,--,+,+,E,PKbt,--,+05-01-024,--,--,--,7805,--,--,--,--,333,112,--,12908,--,--
--,--,--,--,--,--,0,1,29.9,+,31,26,30,--,--,14.31,--,11x8,--,4761,--,--,--,--,--,4768,--,--,+,+,S,--,--,+05-01-025,--,--,--,7806,--,--,--,--,--,--,--,12911,--,--
--,--,--,--,--,--,0,1,34.5,+,31,26,37,--,--,16.5,--,6x2,--,--,--,--,--,--,--,--,--,--,-,-,S,--,--,+05-01-026,--,--,--,--,--,--,--,--,--,--,--,--,--,--
