ID,n_ID,name,Con_Cl,u_Con_Cl,RAh,RAm,DE-,DEd,DEm,GLON,n_GLON,GLAT,ABS_LAW,A(B),D(0.9),u_D(0.9),Bmean,Dmod,n_Dmod,r,x,y,z,Btot,B-V,M(B),(B-V)o,Sp,n_Sp,RV
104,--,47 Tuc,3,--,0,21.9,-,72,21,306,--,-45,0.34,--,--,--,13.54,13.75,1,5.0,2.1,-2.9,-3.5,4.35,--,-9.5,--,G3,3,-24
228,--,--,10,--,0,50.2,-,26,52,147,:,-89,0.24,--,--,--,14.78,15.78,--,14.8,-0.2,0.0,-14.8,8.56,--,-7.5,--,--,--,-47
362,--,delta 62,3,--,1,0.6,-,71,7,302,--,-47,0.33,--,--,--,14.23,15.03,--,9.7,3.5,-5.7,-7.0,7.6,--,-7.6,--,F8,3,221
1261,--,--,2,--,3,10.9,-,55,25,270,--,-51,0.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,F8,3,46
Pal 1,--,--,12,--,3,25.7,+,79,28,130,--,20,0.7,--,--,--,19.6,20.4,--,87.1,-52.6,62.8,29.8,--,--,--,--,--,--,--
Pal 2,--,--,9,--,4,43.1,+,31,23,171,--,-9,1.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1841,--,--,--,--,4,52.5,-,84,5,297,--,-30,0.48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1851,--,delta 508,2,--,5,12.4,-,40,5,244,--,-35,0.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,F7,3,300
1904,--,M79,5,--,5,22.2,-,24,34,228,--,-29,0.5,--,--,--,15.52,16.32,--,16.5,-9.7,-10.7,-8.0,8.0,--,-8.6,--,F6,3,196
2298,--,--,6,--,6,47.2,-,35,57,246,--,-16,0.87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,F7,3,64
2419,--,--,2,--,7,34.8,+,39,0,181,--,26,0.55,0.54,--,--,18.32,20.0,1,83.2,-74.8,-1.3,36.5,11.07,0.71,-9.1,0.57,F6,--,14
2808,--,--,1,--,9,10.9,-,64,39,283,--,-11,1.26,--,--,--,15.09,15.89,--,9.1,2.0,-8.7,1.8,7.4,--,8.7,--,F8,3,101
Pal 3,--,--,12,--,10,3.0,+,0,18,241,--,42,0.36,--,--,--,--,20.3,1,100.0,-36.0,-65.0,66.9,--,--,--,--,--,--,--
3201,--,delta 445,10,--,10,15.5,-,46,9,277,--,9,1.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,493
Pal 4,--,--,12,--,11,26.6,-,29,15,202,--,72,0.25,--,--,--,20.59,20.3,1,100.0,-29.0,-11.6,95.1,--,--,--,--,--,--,--
4147,--,--,6,:,12,7.6,+,18,49,251,--,77,0.25,0.0,3.4,--,16.94,16.55,1,18.7,-1.4,-4.1,18.2,10.59,0.56,-6.0,0.5,A6,4,191
4372,--,--,12,--,12,23.0,-,72,24,301,--,-10,1.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66
4590,--,M68,10,--,12,36.8,-,26,29,299,--,37,0.4,0.38,6.4,--,14.98,15.78,--,14.0,5.4,-9.8,8.4,8.71,0.67,-7.4,0.57,A7,4,-116
4833,--,--,8,--,12,56.0,-,70,36,304,--,-8,1.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,204
5024,--,M53,5,--,13,10.5,+,18,26,333,--,80,0.24,0.0,8.3,--,15.28,16.7,1,20.0,3.1,-1.5,19.7,8.28,0.58,-8.5,0.52,F4,--,-112
5053,--,--,11,--,13,13.9,+,17,57,335,--,79,0.24,0.12,--,--,15.86,16.25,1,16.4,1.3,-2.1,16.1,10.5,0.63,-5.8,0.57,F5,:,--
5139,--,omega Cen,8,--,13,23.8,-,47,3,309,--,15,0.93,--,--,--,--,14.28,1,5.2,3.2,-3.9,1.3,4.8,--,-9.4,--,F7,3,230
5272,--,M3,6,--,13,39.9,+,28,38,42,--,78,0.25,0.27,9.3,--,14.35,15.32,1,10.6,1.6,1.3,10.4,6.86,0.64,-8.5,0.58,F7,--,-153
5286,--,delta 388,5,--,13,43.0,-,51,7,312,--,11,1.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,F8,3,45
5466,--,--,12,--,14,3.2,+,28,46,42,--,73,0.25,0.54,--,--,15.99,16.79,--,21.3,4.6,4.2,20.4,9.95,0.71,-6.9,0.65,F5,:,--
5634,--,--,4,--,14,27.0,-,5,45,342,--,49,0.32,0.27,--,--,16.65,17.45,--,26.8,16.7,-5.7,20.2,10.4,0.64,-7.0,0.56,F5,--,-63
5694,--,--,7,--,14,36.7,-,26,19,331,--,30,0.48,0.54,2.3,--,17.17,17.97,--,31.6,23.9,13.2,15.9,10.44,0.69,-7.5,0.57,F0,--,-187
I 4499,--,--,11,--,14,52.7,-,82,2,308,--,-21,0.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5824,--,--,1,--,15,0.9,-,32,53,332,--,22,0.64,0.65,3.3,--,--,--,--,--,--,--,--,--,0.71,--,0.55,F5,--,-58
Pal 5,--,--,12,--,15,13.5,+,0,5,1,--,45,0.34,--,--,--,17.27,18.07,--,35.2,24.9,0.4,24.9,--,--,--,--,--,--,--
5897,--,--,11,--,15,14.3,-,20,50,343,--,30,0.48,0.54,15.7,:,15.49,16.2,1,14.5,12.0,-3.6,7.3,9.19,0.7,-7.1,0.58,F5,:,--
5904,--,M5,5,--,15,16.0,+,2,16,4,--,47,0.33,0.27,10.7,--,14.07,14.8,1,8.1,5.5,0.7,5.9,6.69,0.7,-8.2,0.62,F6,--,49
5927,--,--,8,--,15,24.5,-,50,29,326,--,5,2.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,G2,3,-96
5946,--,--,9,--,15,31.8,-,50,30,327,--,4,3.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
