RAh,RAm,RAs,DE-,DEd,DEm,ESO,ID,GLON,GLAT,X,Y,MajAxis,u_MajAxis,MinAxis,u_MinAxis,PA,u_PA,MType,Class,Desc,FlagN,FlagM,FlagRC,FlagV,FlagA,Bmag,e_Bmag,apBmag,r_Bmag,B-V,U-B,r_B-V,RV,e_RV,r_RV
0,0,13,-,53,2.8,149- G  13,--,319.13,-62.8,1.9,102.6,18,:,7,--,100,:,10,Irr,Double system?,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,13,-,80,37.5,12- G  14,--,305.45,-36.54,-2.6,-27.4,26,--,14,:,18,--,10,Irr,"F, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,16,-,32,8.6,409- G   8,--,5.89,-78.42,-0.9,-106.3,11,--,7,--,27,--,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,16,-,66,27.9,78- G  11,I 5380,310.57,-50.22,1.8,-63.2,9,--,4,--,134,--,1,Sa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,21,-,34,30.8,349- G  21,N 7812,355.68,-77.39,4.6,32.1,13,--,8,--,125,--,2,Sa-b,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,32,-,42,27.4,293- G  31,--,333.09,-72.0,5.0,-128.5,13,:,6,--,128,--,1,Sa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,39,-,36,12.9,349- G  22,--,349.29,-76.49,8.1,-58.6,11,:,11,:,--,:,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,41,-,65,38.8,78- G  12,--,310.88,-51.01,4.0,-19.6,14,--,6,--,173,--,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,42,-,52,34.9,149-IG  14,--,319.4,-63.26,5.8,127.4,7,:,2,:,--,:,--,Double system,Streamer,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,51,-,50,4.2,193- G  11,--,321.86,-65.53,6.4,-3.6,11,:,6,:,148,--,-2,SO,"Sev S comps, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,53,-,53,36.5,149- G  15,--,318.44,-62.33,7.1,72.8,15,:,12,:,15,:,6,Sc,vF envelope,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0,0,54,-,65,28.5,78- G  13,I 5382,310.93,-51.18,5.2,-10.4,10,--,9,--,--,:,4,Sb-c,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
