NUM,NGC/Other Cat.,NGC/IC,Con,RA,DEC,VMAG,BMAG,Stars,Size,Class,n
1,103,NGC103,Cas,00h 25m 17.4s,"+61? 19' 19""",9.8,,(30),5,Plei,
2,129,NGC129,Cas,00h 29m 54.1s,"+60? 12' 35""",6.5,,20,21,Plei,
3,133,NGC133,Cas,00h 31m 16.9s,"+63? 21' 10""",9.4,,20,7,Plei,
4,136,NGC136,Cas,00h 31m 30.7s,"+61? 30' 34""",,11.3,(20),1.2,Praes,
5,146,NGC146,Cas,00h 33m 03.9s,"+63? 18' 33""",9.1,,20,6,Plei,
6,188,NGC188,Cep,00h 47m 29.7s,"+85? 14' 29""",8.1,,(120),13,Praes,
7,225,NGC225,Cas,00h 43m 32.3s,"+61? 47' 25""",7,,18,12,Plei,
8,IC1590,IC1590,Cas,00h 52m 59.3s,"+56? 37' 19""",,7.4,nl,25x30,Neb,1
9,366,NGC366,Cas,01h 06m 25.9s,"+62? 13' 44""",,12,(30),3,Plei,
10,381,NGC381,Cas,01h 08m 14.9s,"+61? 35' 00""",9.3,,38,6,Praes,
11,436,NGC436,Cas,01h 15m 57.7s,"+58? 49' 02""",8.8,,25,5,Praes,
12,457,NGC457,Cas,01h 19m 32.6s,"+58? 17' 27""",6.4,,40,13,Praes,
13,559,NGC559,Cas,01h 29m 29.1s,"+63? 18' 30""",9.5,,35,4.4,Praes,
14,581 (M103),NGC581,Cas,01h 33m 21.8s,"+60? 39' 29""",7.4,,25,6,Praes,
15,Tr.1,,Cas,01h 35m 42.0s,"+61? 17' 00""",8.1,,(20),7.4,Praes,
16,609,NGC609,Cas,01h 36m 23.7s,"+64? 32' 12""",11,,(100+),3,Praes,
17,637,NGC637,Cas,01h 43m 03.1s,"+64? 02' 12""",8.2,,11,3.5,Plei,
18,654,NGC654,Cas,01h 43m 59.4s,"+61? 52' 58""",6.5,,30,5,Praes,
19,659,NGC659,Cas,01h 44m 23.0s,"+60? 40' 09""",7.9,,15,5,Praes,
20,663,NGC663,Cas,01h 46m 16.0s,"+61? 13' 06""",7.1,,60,16,Praes,
21,,,Tri,01h 50m 12.0s,"+27? 05' 00""",7.3,,15,7,Plei,2
22,744,NGC744,Per,01h 58m 29.9s,"+55? 28' 29""",7.9,,12,11,Plei,
23,752,NGC752,And,01h 57m 47.9s,"+37? 51' 00""",5.7,,50,50,Plei,
24,869,NGC869,Per,02h 19m 03.8s,"+57? 08' 06""",5.3,,250,29,Praes,3
25,884,NGC884,Per,02h 22m 32.1s,"+57? 08' 39""",6.1,,200,29,Praes,3
26,Mel 15 (IC1805),,Cas,02h 32m 42.0s,"+61? 27' 00""",7.9,,25,22,Plei,4
27,956,NGC956,And,02h 32m 30.9s,"+44? 35' 37""",,8.9,20,7,Plei,
28,957,NGC957,Per,02h 33m 19.0s,"+57? 34' 11""",7.6,,18,11,Plei,
29,Tr.2,,Per,02h 37m 18.0s,"+55? 59' 00""",5.9,,18,20,Plei,
30,1027,NGC1027,Cas,02h 42m 35.1s,"+61? 35' 40""",6.7,,40,20,Neb,
31,1039 (M34),NGC1039,Per,02h 42m 07.4s,"+42? 44' 46""",5.2,,60,35,Praes,
32,IC1848,IC1848,Cas,02h 51m 12.0s,"+60? 26' 00""",6.5,,20,12,Plei,5
33,IC1848,IC1848,Cas,02h 59m 18.0s,"+60? 24' 00""",,5.9,100,39,Plei,5
34,IC1848,IC1848,Cas,03h 00m 54.0s,"+60? 25' 00""",,6.8,60,25,Plei,5
35,1193,NGC1193,Per,03h 05m 55.7s,"+44? 22' 59""",12.6,,(40),1.5,Plei,
36,Tr.3,,Cas,03h 11m 48.0s,"+63¡ã 15' 00""",,7,30,23,Plei,
37,1220,NGC1220,Per,03h 11m 40.7s,"+53? 20' 54""",11.8,,(15),2,Plei,
38,1245,NGC1245,Per,03h 14m 41.5s,"+47? 14' 20""",8.4,,65,10,Praes,
39,Mel 20 (PMC),,Per,03h 22m 00.0s,"+49? 00' 00""",1.2,,60,185,Plei,6
40,1342,NGC1342,Per,03h 31m 40.1s,"+37? 22' 28""",6.7,,30,14,Plei,
41,IC348,IC348,Per,03h 44m 30.0s,"+32? 17' 00""",7.3,,10,7,Neb,7
42,M45,,Tau,03h 47m 00.0s,"+24? 07' 00""",1.2,,100,110,Neb,
