PK,f_PK,Name,RAh,RAm,DE-,DEd,DEm,List,Disc,Note,ImFile,Page
000+17.1,--,PC 12,16,41.0,-,18,52,--,Minkowski 1957,--,--,--
000+12.1,--,IC 4634,16,58.6,-,21,45,--,Fleming 1893,--,--,--
000+06.1,*,Ta 67,17,19.8,-,25,22,S4,"Terzan, Ounnas 1988",--,bb001-005,1
000+06.2,--,Trz 41,17,17.3,-,24,49,S5,Thompson etal. 1991,*,bb001-005,1
000+04.1,*,H 2-11,17,26.3,-,25,47,--,Haro 1952,--,--,--
000+04.2,--,H 1-16,17,26.3,-,26,24,--,Haro 1952,--,--,--
000+04.3,*,IRAS17267-2608,17,26.8,-,26,9,S4,"Ratag etal. 1990, No.20",*,bb001-005,1
000+04.4,*,IRAS17270-2618,17,27.1,-,26,19,S4,"Ratag etal. 1990, No.21",--,bb001-005,1
000+03.1,--,He 2-250,17,31.8,-,26,34,--,Henize 1964,--,--,--
000+02.1,--,Ae 2-J,17,32.5,-,27,22,S2,Allen 1979,--,bb001-005,1
000+02.2,M,ESO-520-13,17,36.2,-,27,14,S2,M S3 (Holmberg etal. 1978),--,--,--
000+02.3,*,K 6-4,17,34.6,-,27,47,S5,Kohoutek 1994,--,bb001-005,2
000+01.1,--,K 6-7,17,36.4,-,27,26,S5,Kohoutek 1994,--,bb001-005,2
000+01.2,--,K 6-8,17,36.5,-,27,46,S5,Kohoutek 1994,--,bb001-005,2
000+01.3,--,JaSt 34,17,39.3,-,27,54,S6,"Jacoby, Van de Steene 1997",--,bb001-005,2
000+01.4,--,JaSt 36,17,39.4,-,27,32,S6,"Jacoby, Van de Steene 1997",--,bb001-005,3
000+01.5,--,JaSt 41,17,40.3,-,27,33,S6,"Jacoby, Van de Steene 1997",--,bb001-005,3
000-00.1,M,Bl 3-4,17,44.0,-,28,45,--,M S2 (Blanco 1964),--,--,--
000-00.2,M,Bl 3-22,17,43.9,-,29,0,--,M S2 (Blanco 1964),--,--,--
000-00.3,--,JaSt 68,17,47.2,-,28,32,S6,"Jacoby, Van de Steene 1997",--,bb001-005,3
000-00.4,--,JaSt 71,17,47.6,-,28,44,S6,"Jacoby, Van de Steene 1997",--,bb001-005,3
000-00.5,--,JaSt 75,17,48.2,-,28,35,S6,"Jacoby, Van de Steene 1997",--,bb001-005,3
000-01.1,--,M 3-43,17,47.2,-,29,24,--,Minkowski 1948,--,--,--
000-01.2,--,Bl 3-15,17,49.4,-,29,6,--,Blanco 1964,--,--,--
000-01.3,M,Bl O,17,50.6,-,28,59,--,M S2 (Blanco 1961),--,--,--
000-01.4,M,Bl 3-14,17,49.2,-,29,45,--,M S2 (Blanco 1964),*,--,--
000-01.5,--,M 2-19,17,50.6,-,29,43,--,Minkowski 1947,--,--,--
000-01.6,--,M 2-20,17,51.2,-,29,36,--,Minkowski 1947,--,--,--
000-01.7,--,Ae 2-Q,17,50.2,-,29,17,S2,Allen 1979,--,bb001-005,4
000-01.8,--,JaSt 66,17,47.0,-,29,18,S6,"Jacoby, Van de Steene 1997",--,bb001-005,3
000-01.9,--,JaSt 72,17,47.6,-,29,24,S6,"Jacoby, Van de Steene 1997",--,bb001-005,4
000-01.10,--,JaSt 90,17,50.2,-,29,49,S6,"Jacoby, Van de Steene 1997",--,bb001-005,4
000-01.11,--,JaSt 76,17,48.7,-,29,30,S6,"Jacoby, Van de Steene 1997",--,bb001-005,4
000-01.12,--,JaSt 83,17,49.7,-,29,29,S6,"Jacoby, Van de Steene 1997",--,bb001-005,4
000-01.13,--,JaSt 93,17,50.8,-,29,20,S6,"Jacoby, Van de Steene 1997",--,bb001-005,5
000-01.14,--,JaSt 74,17,48.0,-,28,56,S6,"Jacoby, Van de Steene 1997",--,bb001-005,5
000-02.1,--,Bl 3-13,17,52.9,-,29,11,--,Blanco 1964,--,--,--
000-02.2,--,Bl 3-10,17,52.1,-,29,57,--,Blanco 1964,--,--,--
000-02.3,M,H 2-32,17,53.2,-,29,38,--,M S4 (Haro 1952),--,--,--
000-02.4,--,M 2-21,17,55.0,-,29,44,--,Minkowski 1947,--,--,--
000-02.5,--,M 3-47,17,54.5,-,30,2,--,Minkowski 1948,--,--,--
000-02.6,--,M 3-19,17,55.1,-,30,0,--,Minkowski 1948,--,--,--
000-03.1,--,M 3-22,17,59.1,-,30,14,--,Minkowski 1948,--,--,--
000-03.2,--,KnFs 1,17,56.1,-,30,3,S4,Kinman etal. 1988,--,bb001-005,5
000-04.1,--,M 2-28,18,1.8,-,30,59,--,Minkowski 1947,--,--,--
000-04.2,--,M 3-23,18,3.9,-,30,35,--,Minkowski 1948,--,--,--
000-04.3,--,Sa 3-117,18,1.5,-,31,3,S1,Sanduleak 1976,*,bb001-005,5
000-05.1,--,H 2-40,18,5.3,-,31,37,--,Haro 1952,--,--,--
000-05.2,--,SB 2,18,5.4,-,31,7,S6,Beaulieu 1996,--,bb001-005,5
000-06.1,M,ESO-456-73,18,9.4,-,32,7,S2,M S3 (Holmberg etal. 1978),--,--,--
000-06.2,--,SB 3,18,9.0,-,31,21,S6,Beaulieu 1996,--,bb001-005,5
000-07.1,--,M 2-35,18,14.4,-,31,58,--,Minkowski 1947,--,--,--
000-07.2,--,H 2-46,18,15.4,-,31,56,--,Haro 1952,--,--,--
000-08.1,--,SB 1,18,15.5,-,32,49,S6,Beaulieu 1996,--,bb006-010,1
001+05.1,--,H 1-14,17,25.0,-,24,23,--,Haro 1952,*,bb006-010,1
001+05.2,--,H 1-15,17,25.6,-,24,49,--,Haro 1952,--,--,--
001+04.1,M,MaC 1-5,17,29.0,-,24,43,S2,M S4 (MacConnell 1978),*,--,--
001+03.1,--,K 5-5,17,32.3,-,25,41,S5,Kohoutek 1994,*,bb006-010,1
001+02.1,--,He 2-262,17,37.1,-,26,43,--,Henize 1964,--,--,--
