Name,Type,Class,RA 2000,Decl 2000,Size,PA,V Mag,B Mag,Surf Br,Con,NGC,WH
NGC 7805,GX,S0p,00 01 26.8,+31 26 01,1.2x0.9,,13.3,14.2,13.2,Peg,"eF,S,R,sbM,stellar,sp of 2",III 855
NGC 7806,GX,Sbcp,00 01 30.1,+31 26 31,1.1x0.8,20.0,13.5,14.3,13.2,Peg,"eF,S,R,stellar,nf of 2",III 856
NGC 7810,GX,S0,00 02 19.2,+12 58 18,1.2x0.9,80.0,13.0,14.0,13.0,Peg,"pF,stellar,2 st np in line",(III 984)
NGC 7814,GX,Sab,00 03 14.9,+16 08 43,5.5x2.3,135.0,10.6,11.6,13.2,Peg,"cB,cL,E,vgbM",II 240
NGC 7816,GX,Sbc,00 03 48.9,+07 28 43,1.7x1.5,,12.8,13.6,13.7,Psc,"vF,pL,R,gbM",III 436
NGC 7817,GX,Sbc,00 03 58.8,+20 45 03,3.5x0.9,45.0,11.8,12.6,12.9,Peg,"pF,cL,mE approx 45°,lbM",II 227
NGC 7826,AST,IV 3 p,00 05 17,-20 41.5,,,,,,Cet,"Cl,vP,vlC",VIII 29
NGC 7832,GX,E4/S0-,00 06 28.5,-03 42 58,1.9x1.0,25.0,12.3,13.3,12.8,Psc,"vF,vS,R,vgpsmbM,2 st 9 sf",III 190
NGC 0012,GX,SBbc,00 08 44.8,+04 36 45,1.7x1.5,125.0,13.1,13.8,14.0,Psc,"eF,pL,vglbM",III 868
NGC 0014,GX,Irp,00 08 46.1,+15 48 56,2.8x2.1,25.0,12.1,12.7,13.9,Peg,"vF,pS,R,glbM",II 591
NGC 0013,GX,Sa,00 08 47.7,+33 25 59,2.5x0.7,53.0,13.2,14.0,13.5,And,"vF,vS,S st + neb",III 866
NGC 0016,GX,E3,00 09 04.3,+27 43 46,1.8x1.0,16.0,12.0,13.0,12.4,Peg,"pB,S,R,bM",IV 15
NGC 0023,GX,Sbp,00 09 53.3,+25 55 26,2.2x1.6,8.0,12.0,12.9,13.0,Peg,3 S st + neb,III 147
NGC 0024,GX,Sb,00 09 56.4,-24 57 49,5.5x1.6,46.0,11.6,12.2,13.7,Scl,"vF,cL,mE,gbm",III 461
NGC 0029,GX,Sb,00 10 46.9,+33 21 10,1.7x0.8,154.0,12.7,13.5,12.9,And,"pB,pL,E 0 degrees",II 853
NGC 0036,GX,Sb,00 11 22.3,+06 23 21,2.2x1.3,21.0,13.2,14.0,14.2,Psc,"vF,pS,iF",III 456
NGC 0039,GX,Sc,00 12 19.0,+31 03 42,1.1x1.0,,13.5,14.2,13.6,And,"vF,pS,R",III 861
NGC 0040,PN,3b(3),00 13 01.0,+72 31 19,"38""x35""",,10.6,,,Cep,"F,vS,R,vsmbM,*12 sp",IV 58
NGC 0052,GX,S:,00 14 40.1,+18 34 54,2.1x0.4,127.0,13.3,14.3,13.1,Peg,"vF,S,E",III 183
NGC 0057,GX,E,00 15 30.9,+17 19 43,2.2x1.9,40.0,11.6,12.7,13.2,Psc,"F,S,R,sbM",II 241=II 243
NGC 0061,GX,S0:p,00 16 24.5,-06 19 21,1.1x0.7,,13.6,14.4,13.2,Psc,"vF,S,iR,psvlbM",III 428
NGC 0068,GX,S0,00 18 18.5,+30 04 18,1.2x1.1,,12.9,13.9,,And,"eF,L,3 or 4 st+neb",V 16
NGC 0095,GX,Sc,00 22 13.6,+10 29 31,1.9x1.1,75.0,12.5,13.2,13.2,Psc,"F,pL,R,gbM",II 257
NGC 0108,GX,SB0,00 25 59.8,+29 12 43,2.0x1.6,,12.1,13.1,13.3,And,"pF,pL,R,pslbM",III 148
NGC 0125,GX,Sa,00 28 50.3,+02 50 19,1.2x1.2,85.0,12.1,13.1,12.4,Psc,"vF,S,bM,D* sp",III 869
NGC 0128,GX,S0p,00 29 15.1,+02 51 51,2.5x0.7,1.0,11.8,12.8,12.2,Psc,"pB,pS,lE 2 degrees,bM",II 854
