NUM,NGC,NAMEZH,TYPE,CLASS,CONZH,CON,RAJ2000,DECJ2000,VMAG,BMAG,B-V,SB,AX,AY,ANGLE,DESP,DESPS
1,NGC1952,Ð·×´ÐÇÔÆ,Nb,SNR,½ðÅ£×ù,TAU,5h34m31.9s,+22h0m52s,8.4,,,,6,4,,"very bright, very large, extended 135¡ã¡À, very gradually a little brighter middle, mottled but not resolved","vB, vL, E 135¡ã ¡À, vglbM, r"
2,NGC7089,,GCL,II,±¦Æ¿×ù,AQR,21h33m27.2s,-0h49m22s,6.6,,,,16,,,"a very remarkable object, a globular cluster, bright, very large, gradually pretty much brighter middle, well resolved, clearly consisting of stars, stars extremely small (faint)","!!, globular, B, vL, gpmbM, rrr, st eS"
3,NGC5272,,GCL,VI,ÁÔÈ®×ù,CVN,13h42m11.2s,+28h22m34s,6.3,,,,18,,,"a very remarkable object, a globular cluster, extremely bright, very large, very suddenly much brighter middle, stars from 11th magnitude","!!, globular cluster of stars, eB, vL, vsmbM, st 11¡­"
4,NGC6121,Ð·×´ÐÇÍÅ,GCL,IX,ÌìÐ«×ù,SCO,16h23m35.5s,-26h31m29s,5.4,,,,36,,,"cluster, 8 or 10 bright stars in line, with 5 stars, well resolved, clearly consisting of stars","Cl, 8 or 10 B st in line, with 5 st, rrr"
5,NGC5904,Ãµ¹åÐÇÍÅ,GCL,V,¾ÞÉß×ù,SER,15h18m33.8s,+2h5m0s,5.7,,,,23,,,"a very remarkable object, a globular cluster, very bright, large, extremely compressed middle, stars from 11th to 15th magnitude","!!, globular, vB, L, eCM, st 11¡­15"
6,NGC6405,ºûµûÐÇÍÅ,OCL,III2p,ÌìÐ«×ù,SCO,17h40m20s,-32h15m30s,4.2,4.5,,,33,,,"a cluster, large, irregularly round, a little compressed, stars of 7th magnitude and from 10th magnitude","Cl, L, iR, lC, st 7, 10¡­"
7,NGC6475,ÍÐÀÕÃÜÐÇÍÅ,OCL,II2r,ÌìÐ«×ù,SCO,17h53m50s,-34h47m36s,3.3,3.5,,,75,,,"a cluster, very bright, pretty rich, a little compressed, stars from 7th to 12th magnitude","Cl, vB, pRi, lC, st 7¡­12"
8,NGC6523,½¸ºþÐÇÔÆ,Nb,EN,ÈËÂí×ù,SGR,18h3m42s,-24h22m48s,5.8,5.8,,,45,30,,"a magnificent or otherwise interesting object, very bright, extremely large, extremely irregular figure, with large cluster","!!! vB, eL, eiF, with L Cl"
9,NGC6333,,GCL,VIII,Éß·ò×ù,OPH,17h19m11.8s,-18h30m57s,7.8,,,,12,,,"a globular cluster, bright, large, round, extremely compressed middle, well resolved, clearly consisting of stars, stars from 14th magnitude","globular, B, L, R, eCM, rrr, st 14"
10,NGC6254,,GCL,VII,Éß·ò×ù,OPH,16h57m8.9s,-4h5m56s,6.6,,,,20,,,"a remarkable object, a globular cluster, bright, very large, round, gradually very much brighter middle, well resolved, clearly consisting of stars, stars from 10th to 15th magnitude","! globular, B, vL, R, gvmbM, rrr, st 10¡­15"
11,NGC6705,Ò°Ñ¼ÐÇÍÅ,OCL,I2r,¶ÜÅÆ×ù,SCT,18h51m5s,-6h16m12s,5.8,,,,11,,,"a remarkable object, a cluster, very bright, large, irregularly round, rich, a 9th magnitude star and stars from 11th magnitude","!, Cl, vB, L, iR, Ri, *9, st 11¡­"
12,NGC6218,¿ÚÏãÌÇÇò×´ÐÇÍÅ,GCL,IX,Éß·ò×ù,OPH,16h47m14.5s,-1h56m50s,6.1,,,,16,,,"a very remarkable object, a globular cluster, very bright, very large, irregularly round, gradually much brighter middle, well resolved, clearly consisting of stars, stars from 10th magnitude","!! globular, vB, vL, iR, gmbM, rrr, st 10¡­"
13,NGC6205,ÎäÏÉ×ùÇò×´ÐÇÍÅ,GCL,V,ÎäÏÉ×ù,HER,16h41m41.5s,+36h27m39s,5.8,,,,20,,,"a very remarkable object, a globular cluster, extremely bright, very rich, very gradually extremely compressed middle, stars from 11th magnitude","!! globular, eB, vRi, vgeCM, st 11¡­"
14,NGC6402,,GCL,VIII,Éß·ò×ù,OPH,17h37m36.1s,-3h14m43s,7.6,,,,11,,,"a remarkable object, a globular cluster, bright, very large, round, extremely rich, very gradually much brighter middle, well resolved, clearly consisting of stars, stars from 15th magnitude","! globular, B, vL, R, eRi, vgmbM, rrr, st 15"
15,NGC7078,·ÉÂí×ùÐÇÍÅ,GCL,IV,·ÉÂí×ù,PEG,21h29m58.3s,+12h10m3s,6.3,,,,18,,,"a remarkable object, a globular cluster, very bright, very large, irregularly round, very suddenly much brighter middle, well resolved, clearly consisting of stars, stars very small (faint)","!, globular, vB, vL, iR, vsmbM, rrr, st vS"
16,NGC6611,Ó¥ÐÇÔÆ,OCL,II3mn,¾ÞÉß×ù,SER,18h18m45s,-13h47m54s,6,,,,8,,,"a cluster, at least 100 stars large and small","Cl, at least 100 st L & S"
17,NGC6618,°ÂÃ×ÇÑÐÇÔÆ,Nb,EN+OCL,ÈËÂí×ù,SGR,18h20m47s,-16h10m18s,6,6,,,20,15,,"a magnificent or otherwise interesting object, bright, extremely large, extremely irregular figure, 2 hooked","!!!, B, eL, eiF, 2 hooked"
18,NGC6613,ºÚÌì¶ìÐÇÍÅ,OCL,II3pn,ÈËÂí×ù,SGR,18h19m58s,-17h6m6s,6.9,,,,7,,,"a cluster, poor, very little compressed","Cl, P, vlC"
