Name,DSPshort,DSPlong
IC1,"D *, 13 & 13, one nebs","a double star, magnitudes 13 and 13, one with nebulosity"
IC10,"F * inv in eF, vL neb","faint star involved in an extremely faint, very large nebula"
IC100,"F, vS, R, N = 12.5m","faint, very small, round, nucleus equal to 12.5 magnitude star"
IC1000,"F, vS, R, N = 14m, stellar","faint, very small, round, nucleus = 14th magnitude, stellar"
IC1001,"eF, S, dif","extremely faint, small, diffuse"
IC1002,"eF, vS, lbM","extremely faint, very small, a little brighter middle"
IC1003,"eF, vS, vS * att, diffic","extremely faint, very small, very small (faint) star attached, difficult"
IC1004,"pF, sbM","pretty faint, suddenly brighter middle"
IC1005,"F, S, R, bM","faint, small, round, brighter middle"
IC1006,F,faint
IC1007,"vF, vS, R, lbM, * 10.5 nr",
IC1008,pF,pretty faint
IC1009,"vF, S, dif","very faint, small, diffuse"
IC101,"vF, pL, E, dif","very faint, pretty large, extended, diffuse"
IC1010,"F, S, dif","faint, small, diffuse"
IC1011,"F, vS, R, N = 14m","faint, very small, round, nucleus = 14th magnitude"
IC1012,No description,no description
IC1013,"eF, vS","extremely faint, very small"
IC1014,"F, pL, R, vgbM","faint, pretty large, round, very gradually brighter middle"
IC1015,"vF, iF","very faint, irregular figure"
IC1016,"vF, vS, R, f h 1806","very faint, very small, round, east of h1806"
IC1017,"pF, vS, sbM, stellar","pretty faint, very small, suddenly brighter middle, stellar"
IC1018,"eF, eS, v diffic","extremely faint, extremely small, very difficult"
IC1019,"F, vS, R, stellar, * 13 nr","faint, very small, round, stellar, 13th magnitude star near"
IC102,"eF, S, dif","extremely faint, small, diffuse"
IC1020,"F, stellar, vF * close","faint, stellar, very faint star close"
IC1021,"F, S, iR","faint, small, irregularly round"
IC1022,"vF, E ns","very faint, extended north-south"
IC1023,Neb,nebula
IC1024,"pB, vS, E ns","pretty bright, very small, extended north-south"
IC1025,"eF, sbM","extremely faint, suddenly brighter middle"
IC1026,pB,pretty bright
IC1027,"eeF, pS, R, another nr ?",
IC1028,"pB, S, R, F * close nf","pretty bright, small, round, faint star close to northeast"
IC1029,"vF, S, lE, mbM","very faint, small, a little extended, much brighter middle"
IC103,"F, vS, R","faint, very small, round"
IC1030,pF,pretty faint
IC1031,"eeF, S, R","most extremely faint, small, round"
IC1032,"eeF, S, R","most extremely faint, small, round"
IC1033,"eeF, S, R","most extremely faint, small, round"
IC1034,"vF, lbM","very faint, a little brighter middle"
IC1035,"pF, vS, R, S, * nr","pretty faint, very small, round, small, star near"
IC1036,"pF, S","pretty faint, small"
IC1037,"F, vS, R, stellar","faint, very small, round, stellar"
IC1038,"F, vS, stellar, * 10 f 8s",
IC1039,"vF, vS, lbM","very faint, very small, a little brighter middle"
IC104,"stellar, 13m","stellar, 13th magnitude"
IC1040,"eF, vS","extremely faint, very small"
IC1041,"pB, vS, R, N = 12m",
IC1042,"vF, vS, R, bM, close D with h 1862",
IC1043,"vF, vS, R, bM","very faint, very small, round, brighter middle"
IC1044,"F, vS, R, gbM","faint, very small, round, gradually brighter middle"
IC1045,"eeF, pS, R, nearly bet 2 st","most extremely faint, pretty small, round, nearly between 2 stars"
IC1046,"eF, S, R, D * f","extremely faint, small, round, double star to east"
IC1047,"vF, S, v, dif",
IC1048,"pB, pL, E pf, r","pretty bright, pretty large, extended east-west, mottled but not resolved"
IC1049,"eeF, pS, R","most extremely faint, pretty small, round"
IC105,"F, eS, R, lbM","faint, extremely small, round, a little brighter middle"
IC1050,"vF, S, R, dif","very faint, small, round, diffuse"
IC1051,"F, vS, stellar","faint, very small, stellar"
IC1052,Neb * 12m,
IC1053,"eF, vS, v dif, * 4 np 28s",
IC1054,"vF, vS, sbMN = 14m",
IC1055,"F, pL, E ns","faint, pretty large, extended north-south"
IC1056,"eeF, L, R, 3 pB st sf",
IC1057,"eF, pS, R, bet 3 st","extremely faint, pretty small, round, between 3 stars"
IC1058,"F, E ns, mbMN = 14m",
IC1059,"F, S, lbm, r","faint, small, a little brighter middle, mottled but not resolved"
IC106,"vF, S, dif, lbM","very faint, small, diffuse, a little brighter middle"
IC1060,No descr,no description
IC1061,"eF, eS, diffic","extremely faint, extremely small, difficult"
IC1062,"pF, iF, diffic","pretty faint, irregular figure, difficult"
IC1063,"pF, stellar","pretty faint, stellar"
IC1064,"vF, vS, R, lbM","very faint, very small, round, a little brighter middle"
IC1065,"vF, pS, R","very faint, pretty small, round"
IC1066,"F, vS, R","faint, very small, round"
IC1067,"F, vS, R, bM","faint, very small, round, brighter middle"
IC1068,"F, pL, dif","faint, pretty large, diffuse"
IC1069,"pF, vS, R, no st nr",
IC107,"vF, vS, R, * close p","very faint, very small, round, star close to the west"
IC1070,"vF, S, R, diffic","very faint, small, round, difficult"
IC1071,"vF, S, R, bM","very faint, small, round, brighter middle"
IC1072,"vF, vS, R, vlbM, 2nd of 3","very faint, very small, round, very little brighter middle, 2nd of 3"
IC1073,"vF, S, R, S * s, 3rd of 3","very faint, small, round, small star to south, 3rd of 3"
IC1074,"eeF, S, R","most extremely faint, small, round"
IC1075,"eeF, pS, R, v diffic","most extremely faint, pretty small, round, very difficult"
IC1076,"eF, pS, R, bM, * sp","extremely faint, pretty small, round, brighter middle, star to southwest"
IC1077,"vF, vS, R, gbMN","very faint, very small, round, gradually brighter middle and nucleus"
IC1078,"pF, vS, R, lbM","pretty faint, very small, round, a little brighter middle"
IC1079,"F, vS, R, gbM","faint, very small, round, gradually brighter middle"
IC108,"F, pL, E ns","faint, pretty large, extended north-south"
IC1080,"vF, vS, R, lbM","very faint, very small, round, a little brighter middle"
IC1081,"eF, pL, E 175°","extremely faint, pretty large, extended 175°"
IC1082,"pF, S, R","pretty faint, small, round"
IC1083,"eeF, S, R","most extremely faint, small, round"
IC1084,"eF, S, R, dif","extremely faint, small, round, diffuse"
IC1085,"pB, vS, lE ns","pretty bright, very small, a little extended north-south"
IC1086,"F, iR, bMN","faint, irregularly round, brighter middle and nucleus"
IC1087,"vF, vS","very faint, very small"
IC1088,"eeF, vS","most extremely faint, very small"
IC1089,"eF, vS, R","extremely faint, very small, round"
IC109,"pB, vS, R","pretty bright, very small, round"
IC1090,"eF, neb ?","extremely faint, possibly nebulous"
IC1091,"vF, S, dif","very faint, small, diffuse"
IC1092,"vF, vS, R","very faint, very small, round"
IC1093,"pB, vS, R, lbM","pretty bright, very small, round, a little brighter middle"
IC1094,"pB, vS, R, biN","pretty bright, very small, round, binuclear"
IC1095,"eeF, S, lE","most extremely faint, small, a little extended"
IC1096,"vF, S, dif","very faint, small, diffuse"
IC1097,"vF, vS, R, lbM","very faint, very small, round, a little brighter middle"
IC1098,vF (? only a * 13m),
IC1099,"eeF, pS, R, bet 2 F st","most extremely faint, pretty small, round, between 2 faint stars"
IC11,"vF, L, triple * on np corner","very faint, large, triple star on northwest corner"
IC110,vF,very faint
IC1100,"vF, pS, lE, bet 2 st","very faint, pretty small, a little extended, between 2 stars"
IC1101,No descr,"Description is extremely faint, very small, 13th magnitude star 1.5 seconds east, 13th magnitude star 2 seconds west and a little north."
IC1102,"eeF, vS, F * sf, v diffic","most extremely faint, very small, faint star to southeast, very difficult"
IC1103,"vF, S","very faint, small"
IC1104,vF,very faint
IC1105,"eeF, S, lE, F * np","most extremely faint, small, a little extended, faint star to northwest"
IC1106,"vF, vS, R, gbM","very faint, very small, round, gradually brighter middle"
IC1107,"F, vS, R, gbM","faint, very small, round, gradually brighter middle"
IC1108,"Stellar, gaseous spectrum",
IC1109,"eeF, pS, R, * nf, v diffic","most extremely faint, pretty small, round, star to northeast, very difficult"
IC111,* 13 with neb,a 13th magnitude star with nebulosity
IC1110,"eeF, S, mE","most extremely faint, small, much extended"
IC1111,"pB, S, R, 2 st nr","pretty bright, small, round, 2 stars near"
IC1112,"eeF, pS, R","most extremely faint, pretty small, round"
IC1113,"eF, * 12 nr","extremely faint, 12th magnitude star near"
IC1114,"vF, ? only a * 13",
IC1115,"eeF, S, R, pB * sf","most extremely faint, small, round, pretty bright star to southeast"
IC1116,"eeF, S, R","most extremely faint, small, round"
IC1117,"F, vS, R, lbM","faint, very small, round, a little brighter middle"
IC1118,"pB, vS, R, S * nr","pretty bright, very small, round, small (faint) star near"
IC1119,"F, pS, R, * 11.5 nf",
IC112,"F, S, dif, E pf","faint, small, diffuse, extended east-west"
IC1120,"eF, eS, vF, * att","extremely faint, extremely small, very faint, star attached"
IC1121,"eeF, eS, stellar, vF * close p","most extremely faint, extremely small, stellar, very faint star close to west"
IC1122,"vF, pS, mbM, * 11 p 1'","very faint, pretty small, much brighter middle, 11th magnitude star one arcmin to west"
IC1123,"vF, eS, stellar","very faint, extremely small, stellar"
IC1124,"eeF, vS, mE, 2 st n","most extremely faint, very small, much extended, 2 stars to north"
IC1125,"F, pL, R, dif","faint, pretty large, round, diffuse"
IC1126,"* 13, nebulous ?","13th magnitude star, nebulous?"
IC1127,pF,pretty faint
IC1128,"pF, pS, R","pretty faint, pretty small, round"
IC1129,"vF, pS, iR, D * nf","very faint, pretty small, irregularly round, double star to northeast"
IC113,"vF, 3' nf of * 5 m","very faint, 3 arcmin northeast of 5th magnitude star"
IC1130,"vF (? another 2' sp?), * 8.7 f",
IC1131,"pF, vS, R, stellar, II. 76 np",
IC1132,No descr,no description
IC1133,"pB, pL, iF","pretty bright, pretty large, irregular figure"
IC1134,"vF, vS, dif","very faint, very small, diffuse"
IC1135,"vF, vS, R","very faint, very small, round"
IC1136,"F, eS, stellar","faint, extremely small, stellar"
IC1137,"vF, S, R, * 9 close np",
IC1138,"vF, S, iF, lbM, r","very faint, small, irregular figure, a little brighter middle, mottled but not resolved"
IC1139,"eeF, S, lE, v diffic","most extremely faint, small, a little extended, very difficult"
IC114,"eF, vS, R","extremely faint, very small, round"
IC1140,"vF (? S Cl), * 9.5 close",
IC1141,"vF, vS, R","very faint, very small, round"
IC1142,"vF, dif","very faint, diffuse"
IC1143,"pF, vS, R, * nr","pretty faint, very small, round, star near"
IC1144,"eeF, vS, R, * sf","most extremely faint, very small, round, star to southeast"
IC1145,"eeF, pS, R, III. 313 nr",
IC1146,"vF, pS, R, 2 st nr, sp of 2","very faint, pretty small, round, 2 stars near, southwestern of 2"
IC1147,"eeF, S, R, nf of 2","most extremely faint, small, round, northeastern of 2"
IC1148,Neb *,a nebulous star
IC1149,"eeF, pS, R, am 4 st, v diffic","most extremely faint, pretty small, round, among 4 stars, very difficult"
IC115,"vF, * 6m 3?' npp","very faint, 6th magnitude star 3 1/2 arcmin to west northwest"
IC1150,2 S st in F neby,
IC1151,"vF, pL, dif","very faint, pretty large, diffuse"
IC1152,"vF, S, R, sp of 2","very faint, small, round, southwestern of 2"
IC1153,"pF, pS, R, bM, * nf, nf of 2","pretty faint, pretty small, round, brighter middle, star to northeast, northeastern of 2"
IC1154,"vF, pS, R","very faint, pretty small, round"
IC1155,"vF, S, diffic","very faint, small, difficult"
IC1156,"eeF, pS, lE, 2 st nr","most extremely faint, pretty small, a little extended, 2 stars near"
IC1157,"vF, vS","very faint, very small"
IC1158,"eeF, pL, iR","most extremely faint, pretty large, irregularly round"
IC1159,"vF, eS, R","very faint, extremely small, round"
IC116,"F, S, R, lbM","faint, small, round, a little brighter middle"
IC1160,"vF, vS, R","very faint, very small, round"
