002.4+05.8 | E         1.5    83.30751
002.4+05.8 | K         2.0    86..1121
003.5-04.6 | E         1.00   86..1120
003.5-04.6 | E         1.3    83.30751
008.0+03.9 | E         2.0    86..1537
008.0+03.9 | E         2.5    83.30751
009.4-05.0 | E         1.4    86..1537
009.4-05.0 | E         1.6    83.30751
009.4-05.0 | K         2.0    86..1121
010.1+00.7 | K         1.5    78..1992
010.1+00.7 | K         2.4    86..1121
010.8-01.8 | E         1.7    86..1537
010.8-01.8 | E         2.2    83.30751
010.8-01.8 | K         2.0    86..1121
011.0+05.8 | E         1.0    86..1537
011.0+05.8 | E         1.3    83.30751
011.7-00.6 | M         1.5    86..1537
011.7-00.6 | E         1.00   80..1020
011.7-00.6 | E         1.1    78..1992
011.7-00.6 | E         1.3    83.30751
011.7-00.6 | E         1.68   86..1120
011.7-00.6 | K         1.6    86..1121
023.9-02.3 | E         1.00   80..1020
023.9-02.3 | E         1.45   78..1992
025.3+40.8 | W         0.85   85....32
025.8-17.9 | M         2.2    70..9096
029.2-05.9 | E         1.5    83.30751
029.2-05.9 | K         1.4    78..1992
033.1-06.3 | E         1.2    86..1537
033.1-06.3 | E         1.3    83.30751
033.1-06.3 | K         1.3  : 78..1992
033.8-02.6 | M         1.7    86..1537
033.8-02.6 | D         1.40   85..3094
033.8-02.6 | E         1.4    83.30751
033.8-02.6 | E         2.1    78..1992
034.5-06.7 | E         1.0    83.30751
034.6+11.8 | E         0.57   80..1020
034.6+11.8 | E         0.6    78..1992
034.6+11.8 | E         0.7    83.30751
034.6+11.8 | K         0.75   78..1992
034.6+11.8 | K       < 2.1    86..1121
034.6+11.8 | X         0.42   83.30751
036.1-57.1 | M         0.08   70..9096
036.1-57.1 | S         0.30   87.35002
037.7-34.5 | M         0.45   78..1992
037.7-34.5 | M         0.5    86..1537
037.7-34.5 | S         2.5    87.35002
037.7-34.5 | W         0.77   85....32
037.7-34.5 | X         0.60   83.30751
037.8-06.3 | E         1.2    83.30751
037.8-06.3 | E         1.3    78..1992
041.8-02.9 | E         1.5    83.30751
041.8-02.9 | E         1.6    86..1537
041.8-02.9 | K         1.6    78..1992
045.7-04.5 | E         1.4    86..1537
045.7-04.5 | E         1.6    78..1992
045.7-04.5 | E         2.0    83.30751
045.7-04.5 | K         1.1    78..1992
046.4-04.1 | E         1.1  : 78..1992
046.4-04.1 | E         1.60   80..1020
046.4-04.1 | E         1.7    83.30751
046.4-04.1 | K         2.1  : 78..1992
046.4-04.1 | K         3.0    86..1121
051.4+09.6 | E         1.0  : 78..1992
054.1-12.1 | E         0.67   80..1020
054.1-12.1 | S         3.8    87.35002
054.1-12.1 | W         0.83   85....32
060.1-07.7 | M         1.75   70..9096
060.1-07.7 | E         2.0    83.30751
060.1-07.7 | K         1.7    86..1121
060.3-07.3 | S         2.0    70...367
060.8-03.6 | E         0.25   83.30751
060.8-03.6 | E         0.32   80..1020
061.4-09.5 | K         1.0    78..1992
063.1+13.9 | M         0.33   70..9096
063.1+13.9 | E         0.35   83.30751
063.1+13.9 | E         0.40   78..1992
063.1+13.9 | E         0.50   80..1020
064.7+05.0 | E         0.6    83.30751
064.7+05.0 | E         0.7    78..1992
064.7+05.0 | E         0.80   80..1020
064.7+05.0 | W         0.24   85....32
065.0-27.3 | M         9.6    86..1537
065.0-27.3 | M        13.5    80..1012
065.9+00.5 | E         2.3    87..1516
066.7-28.2 | W         1.07   85....32
069.4-02.6 | D         1.09   85..3094
069.4-02.6 | E         1.1    78..1992
069.4-02.6 | E         1.5    83.30751
069.4-02.6 | E         1.9    86..1537
069.4-02.6 | E  1.5  - 1.9    73...125
074.5+02.1 | E       > 3.2    78..1992
081.2-14.9 | D         1.63   84...469
081.2-14.9 | W         0.70   85....32
082.1+07.0 | E         1.4    86..1537
082.1+07.0 | E         2.0    83.30751
082.1+07.0 | K         1.8    86..1121
083.5+12.7 | W         1.09   85....32
084.9-03.4 | M  1.   - 1.5    82..1149
084.9-03.4 | E         1.9    86..1537
084.9-03.4 | X         0.94   86...162
086.5-08.8 | E         1.5    83.30751
086.5-08.8 | E         1.6    86..1537
088.7-01.6 | E         1.5    86..1537
088.7-01.6 | E         1.6    87..1516
088.7-01.6 | E  1.3  - 2.5    78..1992
089.0+00.3 | M         1.7    70..9096
089.0+00.3 | D         1.57   85..3094
089.0+00.3 | E         1.4    86..1537
