000.0-06.8 | -84.0   5.0 83...525
000.1+04.3 | +54.0   5.0 83...525
000.1+17.2 | -44.0  11.0 83...525
000.1-01.1 | +20.0  11.0 83...525
000.2-01.9 | -45.0  11.0 83...525
000.3+06.9 | -46.   60.  91..3001
000.3+12.2 | -33.1   4.8 83...525   14.4  89..1542  +
000.3-02.8 | -16.0   5.0 83...525
000.3-04.6 | -17.0  11.0 83...525
000.4-01.9 | +75.0  11.0 83...525
000.4-02.9 |+158.0  11.0 83...525
000.5-01.6 | -67.0       88..2065
000.5-03.1 | -51.0       88..2065
000.6-02.3 |+145.0  11.0 83...525
000.7+03.2 |-200.0  11.0 83...525
000.7-02.7 |-138.5  12.5 83...525
000.7-03.7 | -54.0   5.0 83...525
000.7-07.4 | -21.0  11.0 83...525
000.9-02.0 | 270.   80.  91.30002
000.9-04.8 |-156.0   5.0 83...525
001.2+02.1 |-172.0   5.0 83...525
001.2-03.0 |+109.2   4.3 83...525
001.4+05.3 | +36.0   5.0 83...525
001.4-03.4 |-117.0       88..2065
001.5-06.7 | -18.6   2.6 83...525   13.0* 76.29501      14.5  89.50036  +
001.7+05.7 | +34.0  25.0 83...525
001.7-04.4 | -52.0  11.0 83...525
001.7-04.6 |-106.0  11.0 83...525
002.0-02.0 |  +4.0  11.0 83...525
002.0-06.2 |-112.0  11.0 83...525
002.0-13.4 | +18.9   0.7 83...525                       14.5  89.50036  +
002.1-02.2 | +55.0  11.0 83...525   23.5  89..1542  +
002.1-04.2 |-116.0  11.0 83...525
002.2-02.5 |-101.0       88..2065
002.2-02.7 |+224.1  10.1 83...525
002.2-06.3 |  -1.0  11.0 83...525
002.2-09.4 | -29.7   4.0 83...525   18.0* 76.29501
002.3-07.8 | -82.0  25.0 83...525
002.4+05.8 |-101.0   2.0 88..9285   41.6  88..9285
002.4-03.7 | -70.0  11.0 83...525
002.5-05.4 |+107.0       88..2065
002.6+08.1 |  +2.0  25.0 83...525
002.6-03.4 |+241.0  11.0 83...525
002.7-04.8 | -92.0   3.0 88..9285   25.0  88..9285  +  < 6.0  88..9285
002.7-52.4 | -23.0   6.0 88..9285   53.3  88..9285
003.0-02.6 | +17.0       88..2065
003.1+02.9 | -62.6   3.6 83...525   23.0  82..2586
003.1+03.4 | +87.0   5.0 83...525
003.2-04.4 |+124.0       88..2065
003.2-06.2 |+100.4  10.1 83...525
003.3-04.6 |+152.0   5.0 83...525
003.3-07.5 | +32.0       88..2065
003.4-04.8 | -21.0   3.0 83...525
003.5-02.4 | -15.0   2.0 88..9285   25.0  88..9285  +
003.5-04.6 | -20.0   4.0 88..9285   14.5  88..9285  +   22.0  88..9285
003.6+03.1 | -35.0  11.0 83...525
003.6-02.3 | -52.0   5.0 83...525
003.7-04.6 |+174.0  11.0 83...525
003.8+05.3 | -59.0   5.0 83...525
003.8-17.1 |-172.1   7.7 83...525
003.9-02.3 | +82.0  11.0 83...525
003.9-03.1 | -91.0       88..2065
003.9-14.9 | -65.4   4.8 83...525
004.0-03.0 |-114.0  11.0 83...525
004.0-11.1 | +50.3   5.4 83...525    7.0* 76.29501
004.1-03.8 | -63.0       88..2065
004.2-03.2 |-121.0       88..2065
004.2-05.9 | +57.0   5.0 83...525
004.3-02.6 | +75.0   5.0 83...525
004.6+06.0 |+160.0   5.0 83...525
004.8-05.0 |  -9.8  13.3 83...525
004.9+04.9 | +25.9  16.2 83...525
004.9-04.9 | -75.0  11.0 83...525
005.0+04.4 | +17.0   5.0 83...525
005.2+05.6 | +17.8  10.1 83...525
005.5+06.1 |  +1.0  11.0 83...525
005.5-02.5 |+128.0  11.0 83...525
005.6-04.7 | +17.0       88..2065
005.7-03.6 | -71.0       88..2065
005.7-05.3 | -72.3  14.4 83...525
005.8+05.1 | -56.0   5.0 83...525
005.8-06.1 | +72.6   0.4 83...525
006.0+03.1 | +18.0   5.0 83...525
006.0-03.6 |+157.3  10.1 83...525
006.1+08.3 | +91.7  10.1 83...525
006.2-03.7 |+123.0       88..2065
006.3+04.4 |-116.0  25.0 83...525
006.4+02.0 | +73.0   5.0 83...525
006.5-03.1 | +53.0   5.0 83...525
006.7-02.2 |  -4.7   2.6 83...525
006.8+04.1 |+100.2  10.1 83...525
007.0+06.3 |  -7.0  25.0 83...525
007.0-06.0 | +42.0  25.0 83...525
007.0-06.8 |+115.0  25.0 83...525
007.2+01.8 |  +9.2   3.3 83...525   20.0  82..2586
007.5+04.3 |-108.0   5.0 83...525
007.5+07.4 | +13.2  10.1 83...525
007.6+06.9 | -65.4  10.1 83...525
007.8-03.7 | +70.0  11.0 83...525
007.8-04.4 |+161.0  11.0 83...525
