000.0-06.8 |      |       | 15.09 | 14.92 |B| 91..1502                  |                            |                                                                  |
000.1+17.2 |214   |       | 15.39 | 15.26 |A| SK 89                     |                            |                                                                  |
000.1-01.1 |267   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |
000.1-05.6 |287   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |
000.2-01.9 |      |       |       | 17.3  |D| 91..1502                  |                            |                                                                  |
000.3+12.2 |221   |       | 13.72 | 13.94 |B| SK 89   ,91..1502         |                            |                                                                  |BD -21 4483;HD 153655;GCRV 9805
000.4-01.9 |270   |       |       | 16.1  |D| 91..1502                  |                            |WC 5-6        75..9038|WC          91.50001                       |
000.4-02.9 |      |       |       | 16.9  |D| 91..1502                  |                            |                                                                  |
000.5-03.1 |      |       | 18.4  | 17.3  |C| 91..1502                  |                            |                                                                  |
000.7+04.7 |244   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |SS73 87
000.7-02.7 |      |       | 15.8  | 14.7  |C| 91..1502                  |                            |                                                                  |
000.7-03.7 |      |       | 18.2  |>17.8  |C| SK 89                     |                            |                                                                  |
000.8-01.5 |      |       |       | 17.6  |D| 91..1502                  |                            |                                                                  |
000.9-02.0 |      |       | 17.0  | 16.2  |C| 91..1502                  |                            |                                                                  |
001.0+01.9 |252   |       | 20.3  |       |P| 67.30013                  |                            |                                                                  |
001.2-03.0 |      |       | 16.8  | 16.2  |C| 91..1502                  |                            |                                                                  |
001.2-03.9 |      |       | 18.5  | 16.5  |C| SK 89   ,91..1502         |    field star?             |                                                                  |
001.4+05.3 |      |       | 16.8  | 16.3  |C| 91..1502                  |                            |                                                                  |
001.4-03.4 |      |       | 16.1  | 15.8  |C| 91..1502                  |                            |                                                                  |
001.5-06.7 |300   |       | 11.77 | 11.76 |B| 79.30005,91..1502         |                            |WC 9          82.30028|Of-WR(C)    91.50001                       |CD -30 15469;HD 167362;MWC 288;CPD -30 5412
001.7-04.4 |      |       | 17.03 | 16.57 |A| SK 89                     |                            |                                                                  |
001.7-04.6 |      |       | 16.6  | 17.0  |D| 91..1502                  |                            |                                                                  |
001.8-03.8 |      |       | 15.54 | 14.74 |B| 91..1502                  |    cool star?              |                                                                  |
002.0-02.0 |      |       |       | 16.8  |D| 91..1502                  |                            |                                                                  |
002.0-06.2 |      |       | 14.4  | 14.4  |C| 91..1502                  |                            |                                                                  |
002.0-13.4 |329   |       | 14.3  | 14.1  |C| 86.50105,SK 89   ,91..1502|                            |WC 6 ?        76.25010                                            |CD -33 13537;GCRV 11192;HD 173283
002.1-04.2 |      |       | 15.7  | 15.4  |C| 91..1502                  |                            |                                                                  |
002.2-02.7 |      |       | 16.7  |       |D| 91..1502                  |                            |                                                                  |
002.2-06.3 |301   |       | 14.7  | 14.7  |C| 91..1502                  |                            |                                                                  |
002.2-09.4 |312   |       | 15.5  | 15.2  |C| 91..1502                  |                            |WC 4          91.50001                                            |CD -31 18259;HD 170124;CSI -31 18259
002.4+05.8 |243   |       | 16.99 | 15.94 |B| 88..1306,SK 89   ,91..1502|                            |WC 4          91.30002                                            |CD -23 13397;GCRV 10105;HD 158269
002.4-03.7 |      |       | 14.90 | 14.45 |A| 91..1502                  |                            |                                                                  |
002.5-01.7 |276   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |
002.5-05.4 |      |       | 18.6  | 17.7  |C| 91..1502                  |                            |                                                                  |
002.6-03.4 |      |       | 15.34 | 14.99 |B| 91..1502                  |                            |                                                                  |
002.7-04.8 |291   |       | 18.3  | 17.4  |C| 91..1502                  |                            |                                                                  |
002.7-52.4 |437   |       |       | 16.5  | | 85..9051                  |                            |Hg O(H)       91.50001                                            |
002.8+01.7 |258   |       |       |       | |                           |                            |                                                                  |SS73 101
003.1+02.9 |253   |       | 18.4  |>17.   |D| SK 89                     |                            |WC 4-5        91.30002                                            |
003.1+03.4 |251   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |SS73 93
003.2-06.2 |      |       | 15.47 | 15.73 |C| 91..1502                  |                            |                                                                  |
003.3-04.6 |      |       | 13.37 | 13.29 |A| 91..1502                  |                            |                                                                  |SS73 140
003.5-02.4 |283   |       | 18.0  | 17.6  |D| SK 89                     |  field star?               |                                                                  |
003.5-04.6 |292   |       |       | 18.50 |B| 89..2255                  |                            |                                                                  |
003.6-02.3 |281   |       |       |       | |                           |                            |                                                                  |
003.7+07.9 |238   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |
003.7-04.6 |      |       | 17.7  | 17.1  |C| 91..1502                  |                            |                                                                  |
