000.1+17.2 |           5.75   78..1992
000.1+17.2 |           6.1    84..1511
000.1+17.2 |           6.21   CKS91
000.1+17.2 |           8.88   71..9065
000.1-01.1 |           0.9    84..1511
000.1-01.1 |           2.6    78..1992
000.1-01.1 |           3.6    71..9065
000.1-01.1 |           5.8    CKS91
000.1-05.6 |           5.79   71..9065
000.1-05.6 |           6.4    84..1511
000.2-01.9 |           1.0    84..1511
000.2-01.9 |           3.17   78..1992
000.2-01.9 |           3.66   71..9065
000.2-01.9 |           8.18   CKS91
000.3+12.2 |           1.40   84..4108
000.3+12.2 |           1.75   82...363
000.3+12.2 |           2.5    Ma84
000.3+12.2 |           2.77   CKS91
000.3+12.2 |           2.94   78..1992
000.3+12.2 |           3.68   76..9034
000.3+12.2 |           3.8    71..9065
000.3+12.2 |           3.95   75..9002
000.3-04.6 |           3.7    84..1511
000.3-04.6 |           5.67   78..1992
000.3-04.6 |           6.88   71..9065
000.3-04.6 |           9.45   CKS91
000.4-02.9 |           2.2    84..1511
000.4-02.9 |           4.60   78..1992
000.4-02.9 |           5.05   71..9065
000.4-02.9 |           7.80   CKS91
000.7+03.2 |           2.7    84..1511
000.7+03.2 |           4.20   84..4108
000.7+03.2 |           5.02   78..1992
000.7+03.2 |    5.58 -10.24   71..9065
000.7-02.7 |           6.14   CKS91
000.7-03.7 |           3.0    84..1511
000.7-03.7 |           3.30   84..4108
000.7-03.7 |           5.07   82...363
000.7-03.7 |           5.21   71..9065
000.7-03.7 |           7.64   CKS91
000.9-04.8 |           2.6    84..1511
000.9-04.8 |           3.77   71..9065
000.9-04.8 |           4.21   CKS91
001.0+01.9 |           1.8    71..9065
001.0+01.9 |           1.92   CKS91
001.0+01.9 |           2.2    84..1511
001.2+02.1 |           1.5    84..1511
001.2+02.1 |           5.42   71..9065
001.2+02.1 |           5.77   CKS91
001.2-03.0 |           5.30   84..4108
001.3-01.2 |           1.0    84..1511
001.3-01.2 |           4.13   71..9065
001.3-01.2 |           8.01   CKS91
001.4+05.3 |           5.6    84..1511
001.4+05.3 |           7.96   71..9065
001.4+05.3 |           8.96   CKS91
001.5-06.7 |           1.37   CKS91
001.5-06.7 |           2.1    84..1511
001.5-06.7 |           3.20   78..1992
001.5-06.7 |         > 3.52   75..9002
001.7+05.7 |           6.33   CKS91
001.7+05.7 |           6.6    84..1511
001.7+05.7 |           7.00   78..1992
001.7+05.7 |           7.81   71..9065
001.7-04.4 |           7.10   84..4108
001.7-04.6 |           3.6    84..1511
001.7-04.6 |           6.00   84..4108
001.7-04.6 |           6.72   78..1992
001.7-04.6 |           8.68   71..9065
002.0-02.0 |           5.35   CKS91
002.0-06.2 |           4.70   84..4108
002.0-06.2 |           4.9    84..1511
002.0-06.2 |           6.54   78..1992
002.0-06.2 |           6.77   CKS91
002.0-06.2 |           8.49   71..9065
002.0-13.4 |           1.01   84..1007
002.0-13.4 |           2.00   84..4108
002.0-13.4 |           2.48   82...363
002.0-13.4 |           3.3    84..1511
002.0-13.4 |           3.53   78..1992
002.0-13.4 |           3.90   CKS91
002.0-13.4 |           4.05   71..9065
002.0-13.4 |           4.95   76..9034
002.0-13.4 |           5.01   75..9002
002.1-02.2 |           3.7    84..1511
002.1-02.2 |           4.66   CKS91
002.1-04.2 |           3.00   84..4108
002.1-04.2 |           4.90   CKS91
002.1-04.2 |           5.46   CKS91
002.2-02.7 |           2.60   84..4108
002.2-02.7 |           3.90   CKS91
002.2-06.3 |           5.7    84..1511
002.2-09.4 |           4.93   CKS91
002.3-03.4 |           2.0    84..1511
002.3-03.4 |           5.26   71..9065
002.3-07.8 |           3.75   78..1992
002.3-07.8 |           3.9    84..1511
002.3-07.8 |           4.20   71..9065
002.4+05.8 |           0.33   84..4108
002.4+05.8 |           0.42   82...363
002.4+05.8 |           0.6    Ma84
002.4+05.8 |           0.66   CKS91
002.4+05.8 |           1.08   75..9005
002.4+05.8 |           1.10   76..9034
002.4+05.8 |           1.2    78..1992
002.4+05.8 |           1.5    71..9065
002.4-03.7 |           3.40   84..4108
002.5-01.7 |           1.3    84..1511
002.5-01.7 |           4.46   71..9065
002.6+08.1 |           6.7    84..1511
002.6+08.1 |           7.44   CKS91
002.6+08.1 |           7.45   78..1992
002.6+08.1 |           9.49   71..9065
002.6-03.4 |           4.20   84..4108
002.7-04.8 |           2.6    71..9065
002.7-04.8 |           2.80   84..4108
002.7-04.8 |           2.83   78..1992
002.7-04.8 |           4.12   82...363
002.7-04.8 |           4.3    84..1511
002.7-52.4 |           1.06   CKS91
002.8+01.7 |           1.0    84..1511
002.8+01.7 |           4.28   71..9065
002.8+01.7 |           7.9    CKS91
002.8-02.2 |           1.1    84..1511
002.8-02.2 |           4.22   71..9065
002.8-02.2 |          12.1    CKS91
003.1+02.9 |           1.20   84..4108
003.1+02.9 |           1.30   82...363
003.1+02.9 |           1.45   78..1992
003.1+02.9 |           2.2    84..1511
003.1+02.9 |           2.9    71..9065
003.1+02.9 |           4.59   76..9034
003.1+02.9 |           4.70   75..9002
003.1+03.4 |           4.50   84..4108
003.1+03.4 |           5.63   82...363
003.1+03.4 |           5.88   71..9065
003.1+03.4 |           7.2    84..1511
003.1+03.4 |          10.4    CKS91
003.2-06.2 |           2.70   84..4108
003.2-06.2 |           4.0    84..1511
003.2-06.2 |           4.39   78..1992
003.2-06.2 |           4.60   82...363
003.2-06.2 |           5.49   71..9065
003.2-06.2 |           6.06   CKS91
003.3-04.6 |           2.2    84..1511
003.3-04.6 |           3.29   71..9065
003.3-04.6 |           5.00   82...363
003.3-04.6 |           5.41   CKS91
003.4-04.8 |           2.6    84..1511
003.4-04.8 |           2.90   84..4108
003.4-04.8 |           4.13   71..9065
003.5-02.4 |           2.21   71..9065
003.5-02.4 |           2.30   84..4108
003.5-02.4 |           2.5    78..1992
003.5-02.4 |           3.19   CKS91
003.5-02.4 |           3.31   82...363
003.5-02.4 |           3.4    84..1511
003.5-02.4 |           3.54   76..9034
003.5-02.4 |           3.62   75..9002
003.5-04.6 |           2.5    71..9065
003.5-04.6 |           2.50   84..4108
003.5-04.6 |           3.0    78..1992
003.5-04.6 |           3.5    84..1511
003.5-04.6 |           3.54   82...363
003.5-04.6 |           4.57   75..9002
003.5-04.6 |           4.67   76..9034
003.6-02.3 |           1.3    84..1511
003.6-02.3 |           3.14   71..9065
003.6-02.3 |           8.22   CKS91
003.7+07.9 |          20.54   71..9065
003.7+07.9 |          25.3    84..1511
003.7-04.6 |           8.75   CKS91
003.8+05.3 |           4.90   84..4108
003.8+05.3 |           6.8    71..9065
003.8+05.3 |           6.93   82...363
003.8+05.3 |           7.5    84..1511
003.8+05.3 |          15.2    CKS91
003.8-04.3 |           2.6    84..1511
003.8-04.3 |           5.10   71..9065
003.8-04.3 |           9.35   CKS91
003.8-04.5 |           1.60   84..4108
003.8-04.5 |           2.5    84..1511
003.8-04.5 |           4.38   71..9065
003.8-04.5 |           8.55   CKS91
003.8-17.1 |           5.3    84..1511
003.8-17.1 |           5.5    78..1992
003.8-17.1 |           6.90   84..4108
003.8-17.1 |           7.93   71..9065
003.8-17.1 |           9.15   CKS91
003.9-02.3 |           0.7    84..1511
003.9-02.3 |           2.73   78..1992
003.9-02.3 |           3.20   71..9065
003.9-02.3 |           3.97   CKS91
003.9-14.9 |           1.55   78..1992
003.9-14.9 |           2.70   84..4108
003.9-14.9 |           3.31   82...363
003.9-14.9 |           4.8    84..1511
003.9-14.9 |           5.54   71..9065
003.9-14.9 |           8.0    76..9034
004.0-03.0 |           1.2    84..1511
004.0-03.0 |           3.86   78..1992
004.0-03.0 |           4.22   71..9065
004.0-03.0 |           8.55   CKS91
004.0-05.8 |           5.66   71..9065
004.0-05.8 |           5.9    84..1511
004.0-05.8 |           6.42   CKS91
004.0-11.1 |           3.0    84..1511
004.0-11.1 |           3.43   78..1992
004.0-11.1 |           4.49   82...363
004.0-11.1 |           4.64   71..9065
004.0-11.1 |           5.74   CKS91
004.2-04.3 |           4.0    84..1511
004.2-04.3 |           7.88   71..9065
004.2-04.3 |           9.84   CKS91
004.2-05.9 |           3.8    84..1511
004.2-05.9 |           5.55   71..9065
004.3+01.8 |           3.96   71..9065
004.3+01.8 |           4.10   84..4108
004.3+01.8 |           6.27   82...363
004.3+01.8 |           6.3    84..1511
004.3+01.8 |           8.7    CKS91
004.5+06.8 |          12.9    84..1511
004.6+06.0 |           3.5    84..1511
004.6+06.0 |           4.94   71..9065
004.6+06.0 |           5.84   CKS91
004.7-11.8 |           5.43   71..9065
004.7-11.8 |           5.8    84..1511
004.8+02.0 |           4.00   84..4108
004.8+02.0 |           4.32   71..9065
004.8+02.0 |           5.23   82...363
004.8+02.0 |           6.3    84..1511
004.8+02.0 |          11.4    CKS91
004.8-05.0 |           3.1    84..1511
004.8-05.0 |           4.07   78..1992
004.8-05.0 |           4.97   71..9065
004.8-05.0 |           7.48   CKS91
004.8-22.7 |           4.5    84..1511
004.8-22.7 |         > 5.01   75..9002
004.9+04.9 |           2.00   84..4108
004.9+04.9 |           2.32   82...363
004.9+04.9 |           3.6    84..1511
004.9+04.9 |           3.96   CKS91
004.9+04.9 |           4.4    71..9065
004.9+04.9 |           4.4    78..1992
004.9+04.9 |           6.37   76..9034
004.9+04.9 |           6.51   75..9002
004.9-04.9 |           1.8    84..1511
004.9-04.9 |           5.13   78..1992
004.9-04.9 |           6.19   71..9065
004.9-04.9 |          10.2    CKS91
005.0+03.0 |           3.5    84..1511
005.0+03.0 |           4.15   71..9065
005.0+04.4 |           3.00   84..4108
005.0+04.4 |           4.11   82...363
005.0+04.4 |           4.7    84..1511
005.0+04.4 |           5.57   71..9065
005.0+04.4 |           7.6    CKS91
005.0-03.9 |           3.1    84..1511
005.0-03.9 |           4.25   71..9065
005.1-08.9 |           4.01   71..9065
005.1-08.9 |           4.5    84..1511
005.2+05.6 |           2.50   84..4108
005.2+05.6 |           3.1    84..1511
005.2+05.6 |           3.25   82...363
005.2+05.6 |           4.60   78..1992
005.2+05.6 |           5.51   71..9065
005.2+05.6 |           7.71   CKS91
005.5+06.1 |           3.00   84..4108
005.5+06.1 |           3.1    84..1511
005.5+06.1 |           4.09   78..1992
005.5+06.1 |           4.49   82...363
005.5+06.1 |           5.02   71..9065
005.5+06.1 |           6.90   CKS91
005.5-02.5 |           1.1    84..1511
005.5-02.5 |           2.20   78..1992
005.5-02.5 |           2.62   71..9065
005.5-04.0 |           2.7    84..1511
005.5-04.0 |           4.38   71..9065
005.7-05.3 |           3.7    84..1511
005.7-05.3 |           4.47   78..1992
005.7-05.3 |           5.21   71..9065
005.7-05.3 |           6.90   CKS91
005.8+05.1 |           3.60   84..4108
005.8+05.1 |           3.87   71..9065
005.8+05.1 |           4.53   82...363
005.8+05.1 |           5.22   CKS91
005.8+05.1 |           5.4    84..1511
005.8-06.1 |           4.0    84..1511
005.8-06.1 |           4.30   84..4108
005.8-06.1 |           5.92   78..1992
005.8-06.1 |           6.05   82...363
005.8-06.1 |           6.3    71..9065
005.8-06.1 |           8.32   76..9034
005.8-06.1 |           8.75   CKS91
006.0+03.1 |           2.29   71..9065
006.0+03.1 |           2.40   84..4108
006.0+03.1 |           2.89   82...363
006.0+03.1 |           3.5    84..1511
006.0+03.1 |           3.97   CKS91
006.0-03.6 |           2.30   84..4108
006.1+08.3 |           2.40   84..4108
006.1+08.3 |           3.36   CKS91
006.3+03.3 |           2.5    84..1511
006.3+03.3 |           4.91   71..9065
006.3+04.4 |           3.9    84..1511
006.3+04.4 |           5.00   84..4108
006.3+04.4 |           6.59   78..1992
006.3+04.4 |           7.77   71..9065
006.4+02.0 |           4.22   CKS91
006.4-04.6 |           6.0    84..1511
006.4-04.6 |           7.90   71..9065
006.7-02.2 |           0.84   CKS91
006.7-02.2 |           1.4    84..1511
006.7-02.2 |           3.20   71..9065
006.8+02.0 |           1.0    84..1511
006.8+02.0 |           4.38   71..9065
006.8+04.1 |           1.5    84..1511
006.8+04.1 |           1.90   84..4108
006.8+04.1 |           4.47   78..1992
006.8+04.1 |           5.34   71..9065
006.8-03.4 |           2.3    84..1511
006.8-03.4 |           5.65   71..9065
007.0+06.3 |           3.8    84..1511
007.0+06.3 |           4.70   78..1992
007.0+06.3 |           5.88   71..9065
007.0-06.0 |           4.0    84..1511
007.0-06.0 |           4.61   78..1992
007.0-06.0 |           5.42   71..9065
007.0-06.0 |           8.21   CKS91
007.0-06.8 |           3.9    84..1511
007.2+01.8 |           1.00   84..4108
007.2+01.8 |           1.10   82...363
007.2+01.8 |           1.44   78..1992
007.2+01.8 |           1.66   CKS91
007.2+01.8 |           1.9    84..1511
007.2+01.8 |           2.6    71..9065
007.2+01.8 |           4.26   76..9034
007.2+01.8 |           4.37   75..9002
007.5+07.4 |           4.4    84..1511
007.5+07.4 |           4.56   78..1992
007.5+07.4 |           5.42   71..9065
007.5+07.4 |           9.68   CKS91
007.6+06.9 |           3.7    84..1511
007.6+06.9 |           4.43   78..1992
007.6+06.9 |           5.59   71..9065
007.8-03.7 |           2.0    84..1511
007.8-03.7 |           3.17   78..1992
007.8-03.7 |           3.78   71..9065
007.8-04.4 |           5.20   84..4108
007.8-04.4 |           7.71   CKS91
008.0+03.9 |           0.78   84..4108
008.0+03.9 |           1.0    84..1511
008.0+03.9 |           1.23   82...363
008.0+03.9 |           1.30   75..9002
008.0+03.9 |           1.35   78..1992
008.0+03.9 |           1.37   CKS91
008.0+03.9 |           1.43   76..9034
008.0+03.9 |    1.1  - 1.8    71..9065
008.1-04.7 |           5.60   84..4108
008.1-04.7 |           7.54   82...363
008.1-04.7 |           8.8    84..1511
008.1-04.7 |    5.7  - 7.5    71..9065
008.2+06.8 |           6.94   CKS91
008.2-04.8 |           2.3    84..1511
008.2-04.8 |           4.58   78..1992
008.2-04.8 |           5.7    71..9065
008.2-04.8 |           8.75   CKS91
008.3-01.1 |           0.99   84..4108
008.3-01.1 |           1.06   82...363
008.3-01.1 |           1.81   CKS91
008.3-01.1 |           1.9    84..1511
008.3-01.1 |           2.43   78..1992
008.3-01.1 |           2.8    71..9065
008.3-07.3 |           1.7    84..1511
008.3-07.3 |           1.70   84..4108
008.3-07.3 |           2.50   CKS91
008.3-07.3 |           2.83   78..1992
008.3-07.3 |    6.2  - 7.0    71..9065
008.4-03.6 |           2.1    84..1511
008.4-03.6 |           3.65   82...363
008.4-03.6 |           4.03   71..9065
008.8+05.2 |           2.5    84..1511
008.8+05.2 |           2.89   71..9065
009.0+04.1 |           4.4    84..1511
009.0+04.1 |           6.38   71..9065
009.0+04.1 |           6.51   CKS91
009.0+04.1 |           7.70  
009.4-05.0 |           0.95   84..4108
009.4-05.0 |           1.6    84..1511
009.4-05.0 |           1.85   78..1992
009.4-05.0 |           1.9    71..9065
009.4-05.0 |           1.95   CKS91
009.4-05.0 |           2.31   76..9034
009.4-05.0 |           2.36   75..9002
009.4-05.0 |    1.18 - 3.76   82...363
009.4-09.8 |           4.6    84..1511
009.4-09.8 |           5.16   78..1992
009.4-09.8 |           6.56   CKS91
009.4-09.8 |           6.74   71..9065
009.6+10.5 |           4.51   71..9065
009.6+10.5 |           4.60   CKS91
009.6+10.5 |           5.4    84..1511
009.6+14.8 |           1.13   84..1007
009.6+14.8 |           1.30   84..4108
009.6+14.8 |           1.83   82...363
009.6+14.8 |           2.1    84..1511
009.6+14.8 |           2.53   CKS91
009.6+14.8 |           2.6    78..1992
009.6+14.8 |           2.83   75..9002
009.6+14.8 |           2.95   76..9034
009.6+14.8 |    2.8  - 3.5    71..9065
009.6-10.6 |           5.47   78..1992
009.6-10.6 |           5.6    84..1511
009.6-10.6 |           7.4    71..9065
