000.0-06.8 |18100-3220 1810 17-322034 34  7 90 36.185E-014.636E+004.879E+001.847E+012331
000.1+02.6 |17322-2721 1732170-272115 45  8 93 31.626E+001.135E+001.842E+002.203E+013211
000.1+04.3 |17262-2623 1726171-262344 29  6 94 36.821E-015.955E+005.126E+001.027E+013331
000.1+17.2 |16409-1851 1640583-185140 20  6 97 62.638E-013.995E+003.982E+009.393E+001331
000.1-01.1 |17472-2924 1747129-292426 17  4 92 43.971E+004.893E+003.792E+016.383E+021311
000.1-02.3 |17519-2957 1751587-295720 25  6 91 31.667E+001.741E+001.520E+018.485E+013311
000.2-01.9 |17505-2943 1750342-294312 46 10 91 22.226E+009.916E-012.829E+005.916E+011331
000.3+12.2 |16585-2145 1658339-214514 29  7 96 39.008E-011.202E+011.233E+015.604E+003333
000.3-04.6 |18018-3058 18 1492-305833 65  8 91 32.260E+007.919E-012.876E+005.213E+011231
000.4-01.9 |17512-2935 1751140-293538 32  6 91 32.670E+003.843E+006.201E+001.863E+021331
000.4-02.9 |17551-3000 1755 71-30 027 39  6 91 34.444E+001.465E+005.087E+006.303E+011331
000.5-01.6 |17502-2916 1750142-291634 76 12 91 23.510E+008.155E-013.301E+001.034E+021131
000.7+03.2 |17318-2634 1731480-2634 0 36  6 93 32.012E+002.010E+004.514E+001.615E+011331
000.7+04.7 |17263-2546 1726204-254648 24  6 94 34.968E-016.556E+007.203E+007.563E+003331
000.7-02.7 |17548-2944 1754519-294412 20  6 91 31.021E+001.507E+007.778E+009.913E+013311
000.7-03.7 |17590-3014 1759 55-301426 43  9 91 35.365E+002.340E+001.812E+006.959E+011331
000.7-07.4 |18143-3158 1814226-3158 4 76 14 89 24.465E-014.255E-017.322E-013.392E+001131
000.8-01.5 |17506-2858 1750380-285838 48  7 91 33.211E+003.683E+004.770E+003.079E+021331
000.8-07.6 |18152-3156 1815166-3156 9 26 12 89 34.517E-014.406E-018.076E-012.782E+001131
000.9-02.0 |17528-2910 1752513-291051 41  5 91 33.435E+001.681E+001.884E+012.122E+021311
000.9-04.8 |18038-3034 18 3526-303444 41  6 90 34.753E-013.331E+004.018E+003.882E+012331
001.0+01.9 |17374-2700 1737257-27 058 37  6 93 33.238E+003.833E+001.754E+001.813E+013311
001.0-02.6 |17552-2920 1755132-292035 19  5 91 31.387E+003.447E+001.743E+009.257E+013331
001.2+02.1 |17371-2641 1737 79-264148 44 11 93 22.187E+003.000E+002.510E+002.707E+013311
001.2-03.0 |17574-2921 1757261-292148 29  6 91 31.314E+005.495E+007.003E+008.375E+011331
001.3-01.2 |17506-2826 1750374-282646 43  7 91 33.309E+003.240E+005.499E+003.342E+021321
001.5-06.7 |18129-3053 1812575-305312 26  6 89 31.745E+018.600E+012.385E+015.872E+003333
001.6-01.3 |17513-2812 1751237-281211 50 10 91 23.413E+003.492E+001.540E+011.111E+021322
001.7+05.7 |17249-2423 1724584-2423 2 58  8 94 33.779E-017.401E-019.703E-013.703E+011231
001.7-04.6 |18047-2945 18 4422-2945 4 45  6 90 31.511E+001.908E+002.305E+005.288E+011331
002.0-02.0 |17552-2814 1755134-281440 23  5 91 37.961E+003.587E+004.451E+002.472E+013113
002.0-06.2 |18118-3016 1811533-301634 39  8 90 33.902E-012.283E+002.991E+003.399E+001231
002.0-13.4 |18425-3323 1842336-332348 35  6 86 38.571E-011.096E+016.798E+002.515E+003333
002.1+03.3 |17347-2519 1734454-2519 4 37  8 93 31.935E+001.710E+003.200E+001.626E+011331
002.1-02.2 |17561-2813 1756101-281339 69  6 92 42.424E+001.776E+001.758E+012.029E+021311
002.1-04.2 |18039-2913 18 3563-291332 58  6 90 32.431E+004.841E+001.588E+006.419E+011321
002.2-02.7 |17585-2825 1758318-282545 35  7 91 31.934E+009.314E+001.635E+001.267E+023331
002.2-06.3 |18131-3008 1813 62-30 840 38  6 89 31.309E+008.018E+002.113E+003.915E+003331
002.2-09.4 |18259-3132 1825575-3132 2 27  6 88 21.690E+007.473E+009.374E+006.667E+003333
002.3-07.8 |18194-3045 1819249-3045 5 36 12 89 23.121E-013.745E-018.070E-013.418E+001131
002.4+05.8 |17262-2343 1726174-234314 20  6 93 39.038E+006.552E+011.093E+025.704E+013333
002.4-03.7 |18029-2840 18 2547-284051 46  6 90 35.975E-016.428E+005.206E+009.220E+012331
002.6+04.2 |17329-2423 1732547-242339 41 10 93 21.354E+003.357E+006.907E+001.128E+011331
002.6+08.1 |17182-2215 1718170-221541 21  5 94 32.801E-012.297E+004.502E+008.901E+001331
002.6-03.4 |18022-2822 18 2169-282222 24  6 90 32.527E+008.475E+009.195E+009.420E+011321
002.7-04.8 |18079-2859 18 7574-285943 18  5 90 31.244E+009.534E-017.107E+007.562E+001332
002.7-52.4 |21565-3937 2156343-393729 33  9 70 32.500E-013.637E-012.362E+005.886E+001133
002.8-02.2 |17580-2738 1758 16-273825 49  8 91 22.211E+001.292E+006.588E+001.863E+021331
003.1+02.9 |17388-2440 1738490-244044 39  6 92 31.343E+001.030E+012.085E+011.278E+013331
003.1+03.4 |17370-2424 1737 29-242410 40  7 92 31.832E+002.730E+004.090E+001.468E+011331
003.2-06.2 |18144-2909 1814289-29 933 24  7 89 22.652E-012.343E+004.969E+009.639E+001331
003.3-04.6 |18084-2823 18 8251-282322 30  7 90 31.452E+008.490E+009.841E+004.002E+011331
003.4-04.8 |18095-2820 18 9349-282049 21  7 90 31.239E+001.100E+004.329E+004.929E+013311
003.5-02.4 |18001-2706 18 0110-27 635 15  3 96 32.565E+007.767E+001.502E+012.006E+011332
003.5-04.6 |18087-2811 18 8435-281130 33  7 90 31.532E+001.762E+006.852E+009.962E+001333
003.6+03.1 |17389-2409 1738542-24 954 43  6 92 38.135E-019.884E+001.106E+011.058E+013331
003.6-02.3 |18001-2659 18 0 71-2659 9 29  8 90 31.482E+001.105E+003.846E+003.537E+013232
003.7-04.6 |18094-2758 18 9259-275859 26  7 90 31.256E+001.778E+003.054E+004.216E+011331
003.8+05.3 |17314-2251 1731243-225120 54  8 93 34.186E-014.307E-011.077E+007.845E+001131
003.8-04.5 |18092-2752 18 9179-275256 31 11 90 31.355E+004.510E-011.311E+004.828E+011231
003.8-17.1 |19022-3316 19 2175-331622 57  7 84 32.500E-019.033E-014.661E-011.255E+001311
003.9-02.3 |18005-2643 18 0356-264345 19  7 90 31.436E+007.250E+001.405E+011.545E+023231
003.9-14.9 |18523-3219 1852233-321942 22  6 85 32.799E-013.903E+001.931E+001.117E+002331
004.0-03.0 |18035-2655 18 3326-265522 38  8 90 38.501E-011.995E+002.277E+007.451E+012331
