000.0-06.8 |             > 9.5                 74...295
000.1+17.2 |             >10.0                 74...295
000.1-02.3 |             > 9.9                 75...240
000.3+12.2 |10.90  11.28  10.58         N      87.13590,85..2580             86..1262
000.7+04.7 |             > 9.1                 74...295
000.7-02.7 |             > 9.7                 75...240
000.7-07.4 |             > 9.6                 74...295
000.8-07.6 |             > 9.6                 74...295
000.9-02.0 |             >10.6                 74...295
001.2-03.0 |             > 9.7                 74...295
001.5-06.7 | 9.10   8.50   7.94         D      87.35005                      79....19
001.6-01.3 |             > 9.9                 75...240
001.7-04.4 |             > 9.6                 74...295
001.7-04.6 |             > 9.5                 74...295
002.0-02.0 | 9.26   7.73   6.52   4.82  D      74...295
002.0-13.4 |11.10  11.62  10.90         N      85..2580
002.1-02.2 |             > 9.4                 74...295
002.1-04.2 |             > 9.5                 74...295
002.2-06.3 |             > 9.2                 74...295
002.2-09.4 |             >10.4                 75...240
002.4+05.8 |10.32  10.38   9.40         N      87.13590,80....53             86..1262
002.4-03.7 |        9.3    9.0                 75...240
002.6+04.2 |             > 7.9                 74...326
002.6-03.4 |             >10.5                 74...295
003.1+02.9 |11.23  11.76  10.62         N      87.35001                      86..2654
003.1+03.4 |              10.0                 74...295
003.4-04.8 |       10.3    8.44 > 7.2          74...295
003.6+03.1 |             > 8.9                 74...326
003.7-04.6 |             > 9.7                 75...240
003.9-14.9 |        9.3    9.3          S      74...295
004.2-04.3 |             > 9.2                 75...240
004.3-02.6 |             >10.4                 74...295
004.8-22.7 |             > 9.5                 74...295
004.9-04.9 |10.13   9.48   9.33                85..2580
005.1-03.0 |             > 9.6                 74...295
005.2+04.2 |             > 9.3                 74...326
006.0+02.8 |             > 9.2                 74...326
006.0-03.6 |             > 9.9                 75...240
006.1+08.3 |11.92  12.02  10.90         N      87.35001
006.3+04.4 |             > 9.6                 74...326
006.4+02.0 |             > 8.9                 74...326
006.5-03.1 |             >10.2                 74...295
006.8+02.3 |             > 9.2                 74...326
007.0-06.8 |             > 9.9                 74...295
007.2+01.8 |10.52  10.02   9.38         S+D    85..2580                      86..2654
007.8-04.4 |             > 9.8                 74...295
008.1-04.7 |       10.0    9.5                 74...326
008.3-07.3 |             > 9.9                 74...295
009.3+04.1 |             > 9.4                 74...326
009.4-05.0 |                                                                 86..1262
009.4-09.8 |             >11.8                 74...295
009.6+14.8 |11.69  11.70  10.96         N      87.13590, 85..2580
010.1+00.7 |                                   86..1262
010.1+00.7 |10.32  10.36   9.34         N      85..2580, 80....53
010.6+03.2 |             > 9.6                 74...295
010.7-06.4 |             > 9.6                 74...771
