A 11           | 196-12 1 | 05 37.3 +08 16 |196.81 -12.38 | Reflection nebula ? (a)
A 17           | 221- 4 1 | 06 48.6 -09 32 |221.12 -04.96 | No emission-line object detected (b)
A 32           | 227+33 1 | 09 16.4 +03 53 |227.46 +33.77 | Galaxy or plate fault ? (a)
A 76           |  50-36 1 | 21 30.1 -02 48 |050.76 -36.13 | Galaxy (a - c)
AG Car         | 289- 0 1 | 10 56.2 -60 27 |289.18 -00.70 | Peculiar emission-line star (a)
Al 2-C         |*358+ 3 10|                |              | Al 2-C = 358+ 3. 1 (see 358.2+03.6)
Al 2-D         |*357+ 2 8 | 17 29.5 -29 47 |357.40 +02.52 | No emission line object detected (b)
Al 2-E         |*359+ 3 5 |                |              | Al 2-E = 359+ 3 4 (See Note 1)
Al 2-L         |*358- 1 3 |                |              | Al 2-L = 358- 1 1 = ESO 455-34 = Wray 17- 98 (see 358.2-01.1)
Al 2-M         |*357- 2 1 | 17 47.8 -32 21 |357.33 -02.17 | No emission-line object detected (b)
Al 2-S         |*  1- 1 5 |                |              | Al 2-S = 1-1 4 = Sa 3-92 (see 001.1-01.6)
Anon. 23h33m   | 114+ 3 1 | 23 35.5 +64 53 |114.98 +03.18 | H II region (b)
Ap 1-1         | 357+ 2 1 | 17 28.8 -29 06 |357.89 +03.02 | No emission-line object detected (a)
Ap 1-2         | 357+ 2 2 | 17 29.1 -29 14 |357.82 +02.89 | No emission-line object detected (a)
Ap 1-3         | 358+ 2 1 | 17 31.2 -28 23 |358.78 +02.96 | No emission-line object detected (a)
Ap 1-4         | 359+ 3 3 | 17 32.1 -27 04 |359.99 +03.52 | No emission-line object detected (a)
Ap 1-5         | 359+ 2 2 | 17 33.2 -28 20 |359.06 +02.62 | No emission-line object detected (a)
Ap 1-7         |   1- 3 2 | 18 01.5 -29 20 |001.42 -03.19 | Star (a)
Ap 1-8         |   2- 3 1 | 18 04.5 -28 22 |002.59 -03.28 | Symbiotic star (a)
Ap 1-9         |   3- 4 2 | 18 10.4 -28 09 |003.41 -04.33 | Symbiotic star (a)
Ap 1-10        |   3- 4 1 | 18 10.7 -27 58 |003.59 -04.30 | Symbiotic star (a)
Ap 1-11        |   3- 4 6 | 18 11.0 -28 33 |003.12 -04.63 | Symbiotic star (a)
Ap 3-1         |  37- 2 1 | 19 10.6 +02 50 |037.64 -02.97 | Me star (a)
Bl L           | 359- 2 1 | 17 53.2 -30 18 |359.68 -02.12 | Symbiotic star ? (a)
Bl 3-2         |   1+ 0 1 | 17 46.0 -26 58 |001.72 +00.96 | Symbiotic star ? (a)
Bl 3-3         |   1- 0 2 | 17 49.5 -27 46 |001.44 -00.13 | No emission-line object detected (a)
Bl 3-4         |   0- 0 1 | 17 47.2 -28 47 |000.31 -00.20 | HII Region ?(a)
Bl 3-5         | 358- 0 1 | 17 42.3 -30 27 |358.34 -00.18 | M star ? (a)
Bl 3-6         | 358- 2 2 | 17 53.0 -31 19 |358.77 -02.59 | Symbiotic star (a)
Bl 3-11        |   1- 0 1 | 17 48.2 -28 01 |001.09 -00.01 | Symbiotic star (a)
Bl 3-19        |   1- 0 3 | 17 51.8 -27 48 |001.68 -00.58 | Emission-line star (a)
Bl 3-22        |   0- 0 2 | 17 47.0 -29 01 |000.09 -00.29 | No emission-line object detected (a)
CiPg 1         |* 65-27 2 | 21 30.0 +12 10 |065.02 -27.32 | No emission-line object detected (a)
Cn 1-2         | 326-10 1 | 16 44.6 -62 37 |326.41 -10.94 | Symbiotic star (a)
CnMy 17        |   1- 6 1 | 18 15.4 -30 32 |001.81 -06.41 | Symbiotic star (a)
CoMaC 2        |          | 05 21.9 +39 31 |168.46 +01.65 | HII region or galaxy (b)
ESO 023-08     |*313-21 1 | 17 02.0 -78 27 |313.94 -21.40 | Galaxy (b)
ESO 038-07     |*295-13 1 | 11 02.7 -74 53 |295.90 -13.52 | Plate fault (a)
ESO 089-05     |*276-18 1 | 07 50.6 -64 16 |276.71 -18.18 | Emission-line galaxy (a - b - c)
ESO 092-02     |*285- 7 1 | 09 59.5 -64 44 |285.85 -07.73 | Emission-line galaxy (b - c)
ESO 097-03     |*308- 1 1 | 13 41.1 -64 16 |308.29 -01.91 | Plate fault (a)
ESO 100-07     |*321- 9 1 | 16 01.3 -64 48 |321.46 -09.00 | Emission-line galaxy (a - b - c)
ESO 100-12     |*321-11 1 | 16 12.4 -66 39 |321.02 -11.13 | Galaxy (a)
ESO 100-16     |*321-11 2 | 16 17.1 -66 38 |321.37 -11.45 | Galaxy ? (a)
ESO 126-01     |*277- 7 1 | 09 12.6 -58 51 |277.74 -07.13 | Galaxy ? (a)
ESO 128-25     |*288+ 0 2 | 10 59.7 -59 01 |288.97 +00.79 | Diffuse nebula or HII region ? (a)
ESO 135-09     |*319- 4 1 | 15 27.4 -62 31 |319.88 -04.90 | No emission-line object detected (a)
