000.1+02.6 |   42.  82..2501|
000.1+04.3 |                |   58.4  88.30862
000.1+17.2 |                |   19.   89..1570
000.2-01.9 |                |   14.   89..1570
000.3+12.2 |  125.  82..1559|  118.   89..1570
000.3-04.6 |                |   10.   89..1570
000.4-01.9 |                |    3.2  91..1533
000.4-02.9 |                |    5.5  89..1570
000.5-03.1 |                |    2.1  89..1570
000.7+03.2 |                |   15.   83..1405
000.7+04.7 |   42.  82..2501|   27.7  88.30862
000.7-02.7 |   20.  82..1559|
000.7-03.7 |                |    5.   89..1570
000.9-02.0 |   16.  82..1559|   10.   79..1507
000.9-04.8 |                |   28.   89..1570
001.0+01.9 |                |   25.   89..1570
001.2+02.1 |                |   26.   89..1570
001.2-03.0 |                |   10.   83..1405
001.3-01.2 |                |   17.   89..1570
001.4+05.3 |                |   13.   89..1570
001.4-03.4 |                |<   1.5  89..1285
001.5-06.7 |  240.  82..1559|  130.   90..1502
001.7+05.7 |                |   22.   89..1570
001.7-04.4 |   10.  82..1559|    5.3  83..1405
001.7-04.6 |                |    7.8  83..1405
002.0-02.0 |   11.  82..2501|    5.   82..2501
002.0-06.2 |   19.  82..1559|   12.   83..1405
002.0-13.4 |   69.  82..1559|   64.1  84..2631
002.1+03.3 |                |    5.   88.30862
002.1-02.2 |    4.  82..1559|   40.   82..2582
002.1-04.2 |   20.  82..1559|   31.   83..1405
002.2-02.5 |                |    1.4  89..1570
002.2-02.7 |   62.  82..1559|   41.   83..1405
002.2-06.3 |   20.  Mi 79   |    9.   89..1570
002.2-09.4 |                |   44.   89..1570
002.3-07.8 |<  10.  82..1559|
002.4+05.8 | 1718.  82..1559| 2002.   82..2582
002.4-03.7 |   40.  82..1559|   24.   83..1405
002.5-05.4 |                |    1.5  89..1570
002.6+04.2 |   24.  82..1559|   13.5  91..1533
002.6+08.1 |                |   13.   89..1570
002.6-03.4 |                |   15.   83..1405
002.7-04.8 |   25.  82..1559|   24.   89..1570
002.8+01.7 |    1.  82..1559|
002.8-02.2 |                |    2.   89..1570
002.9+06.5 |                |    3.6  88.30862
003.0-02.6 |                |    1.1  89..1285
003.1+02.9 |  148.  82..1559|  170.   90..1502
003.1+03.4 |   11.  82..1559|    9.6  89..1570
003.2-04.4 |                |    2.3  89..1570
003.2-06.2 |                |   13.   89..1570
003.3-04.6 |<   1.  82..1559|<  13.   79..1507
003.3-07.5 |                |    0.8  89..1570
003.4-04.8 |                |<   0.9  83..1405
003.5-02.4 |>  41.  89..1570|   62.   89..1570
003.5-04.6 |   28.  82..1559|   38.2  84..2631
003.6+03.1 |                |   39.1  88.30862
003.6-02.3 |                |    5.   89..1570
003.7-04.6 |   13.  82..1559|   14.   89..1570
003.8+05.3 |   11.  82..1559|    2.   89..1570
003.8-04.3 |<   1.  82..1559|
003.8-04.5 |                |    2.   89..1570
003.8-17.1 |   11.  82..1559|    5.9  83..1405
003.9-02.3 |   60.  82..1559|   54.   89..1570
003.9-03.1 |                |    1.9  89..1570
003.9-14.9 |   29.  82..1559|   35.   82..2582
004.0-03.0 |    2.  82..1559|    8.   89..1570
004.0-05.8 |    3.  82..1559|<  12.   79..1507
004.0-11.1 |   11.  82..1559|<  12.   79..1507
004.1-03.8 |                |    2.5  89..1570
004.2-03.2 |                |    3.5  89..1570
004.2-04.3 |   10.  82..1559|
004.3+01.8 |   12.  82..1559|   13.   79..1507
004.3-02.6 |   25.  82..1559|
004.6+06.0 |    8.  82..1559|   15.   89..1570
004.8+02.0 |                |    3.5  89..1570
004.8-05.0 |                |    8.   89..1570
004.8-22.7 |   11.  82..1559|   23.   75..9002
004.9+04.9 |   57.  82..1559|   57.   90..1502
004.9-04.9 |                |    9.   89..1570
005.0+04.4 |   11.  82..1559|   18.   89..1570
005.2+05.6 |                |   12.5  89..1570
005.4-01.9 |                |   52.   88.30862
005.5+02.7 |                |   13.2  91..1533
005.5+06.1 |                |   10.   89..1570
005.6-04.7 |                |    2.0  89..1570
005.7-03.6 |                |    3.5  89..1570
005.7-05.3 |                |    8.   89..1570
005.8+05.1 |                |    3.   89..1570
005.8-06.1 |   12.  82..1559|    3.5  89..1570
006.0+02.8 |    7.  82..1559|
006.0+03.1 |   22.  82..1559|   20.   79..1507
006.0-03.6 |                |   51.   83..1405
006.1+08.3 |                |   51.   90..1502
006.2-03.7 |                |   11.2  89..1570
006.3+04.4 |                |   11.   83..1405
006.4+02.0 |   57.  89..1570|   59.   89..1570
006.7-02.2 |                |  350.   89..1570
006.8+02.3 |   34.  82..1559|   18.4  91..1533
006.8+04.1 |                |   65.   83..1405
007.0-06.0 |                |    6.   89..1570
007.0-06.8 |   44.  82..1559|   37.   89..1570
007.2+01.8 |  241.  82..1559|  243.   89..1570
007.5+07.4 |                |    3.5  89..1570
007.8-04.4 |                |   10.   83..1405
008.0+03.9 |  322.  82..1559|  368.   75..9002
008.1-04.7 |    8.  82..1559|    8.   79..1507
008.2+06.8 |                |   13.   90..1502
008.2-04.8 |<   1.  82..1559|   14.   89..1570
008.3-01.1 |  175.  82..1559|  208.   89..1570
008.3-07.3 |                |   98.2  84..2631
008.8+05.2 |                |    2.2  91..1533
009.0+04.1 |                |   16.   89..1570
009.3+02.8 |<   1.  82..1559|
009.3+04.1 |                |    6.1  91..1533
009.4-05.0 |  234.  82..1559|  275.   89..1570
009.4-09.8 |                |   12.   89..1570
009.6+10.5 |                |    5.   89..1570
009.6+14.8 |  146.  82..1559|  102.   91..1533
009.6-10.6 |                |    7.5  89..1570
009.8-04.6 |                |   11.   89..1570
010.1+00.7 |  557.  82..1559|  610.   89..1570
010.4+04.5 |<   6.  82..1559|   10.   89..1570
010.7+07.4 |                |    3.8  91..1533
010.7-06.4 |   39.  82..1559|   56.   75..9002
010.7-06.7 |                |    3.   89..1570
010.8+18.0 |   44.  89..1570|   36.   89..1570
010.8-01.8 |  143.  82..1559|  170.   82..2582
011.0+05.8 |   52.  82..1559|   55.   90..1502
011.0+06.2 |    6.  82..1559|   19.   89..1570
011.0-05.1 |                |   14.   89..1570
011.1+11.5 |                |   13.   90..1502
011.3+02.8 |                |<   0.2  90..1502
011.3-09.4 |                |   66.   89..1570
011.7-00.6 |                |  176.   75..9002
011.9+04.2 |   63.  82..1559|   61.   89..1570
012.5-09.8 |                |   12.8  91..1533
012.6-02.7 |   16.  82..1559|   19.   83..1405
013.1+04.1 |                |   60.   89..1570
013.3+32.7 |                |    7. : 90..1502
013.4-03.9 |   12.  82..1559|    6.   89..1570
014.0-05.5 |                |<  10.   90..1502
014.2-07.3 |                |    9.   89..1570
014.3-05.5 |                |   10.   90..1502
014.6-04.3 |   40.  82..1559|   50.   82..2582
014.9+06.4 |    7.  82..1559|<   3.   89..1570
015.4-04.5 |   17.  82..1559|   55.   82..2582
015.6-03.0 |   10.  82..1559|   10.   89..1570
015.9+03.3 |   98.  82..2501|   98.   89..1570
016.0-04.3 |   41.  82..1559|   38.   82..2582
016.1-04.7 |   20.  82..1559|   21.   89..1570
016.4-01.9 |   83.  82..1559|   81.   89..1570
017.3-21.9 |<   1.  82..1559|<  15.   82..2582
017.6-10.2 |   26.  82..1559|   64.
017.7-02.9 |                |    8.   89..1570
017.9-04.8 |   10.  82..1559|    7.   89..1570
018.0+20.1 |   18.  89..1570|   22.   89..1570
018.6-02.2 |                |    8.   90..1502
018.9+03.6 |   16.  82..1559|   19.   90..1502
018.9+04.1 |                |    3.   89..1570
019.2-02.2 |                |   33.   90..1502
019.4-05.3 |                |   97.   90..1502
019.7+03.2 |                |   76.   89..1570
019.7-04.5 |   49.  82..1559|   48.   90..1502
019.8-23.7 |   51.  82..1559|   56.   82..2582
020.7-05.9 |                |   11.   90..1502
020.9-01.1 |                |  319.   89..1570
021.1-05.9 |    9.  82..1559|
021.8-00.4 |                |   33.   89..1570
022.0-03.1 |   40.  82..1559|   60.   82..2582
022.1-02.4 |   60.  82..1559|   70.   89..1570
023.8-01.7 |                |   17.   90..1502
023.9-02.3 |  105.  82..1559|  108.   90..1502
024.1+03.8 |   44.  82..1559|   53.   82..2501
024.2+05.9 |                |   42.   89..1570
024.3-03.3 |                |    6.   89..1570
024.8-02.7 |                |    3.   89..1570
025.0-11.6 |<   1.  82..1559|   11.   79..1507
025.3+40.8 |   83.  82..1559|  104.   82..2582
025.4-04.7 |   46.  82..1559|   44.   89..1570
025.8-17.9 |  270.  82..1559|  281.   75..9002
025.9-02.1 |                |    8.   90..1502
025.9-10.9 |<   1.  82..1559|
026.0-01.8 |                |    9.   90..1502
026.5-03.0 |                |    6.   89..1570
026.6-01.5 |                |<   0.3  90..1502
027.3-02.1 |                |   42.   89..1570
027.4-03.5 |                |   22.   90..1502
027.6+04.2 |  233.  82..1559|  148.   90..1502
027.6-09.6 |   44.  82..1559|   43.   90..1502
027.7+00.7 |  146.  82..1559|  154.   89..1570
028.2-04.0 |   26.  82..1559|<   5.   89..1570
028.5+01.6 |                |   54.   89..1570
028.5+05.1 |                |   31.   90..1502
028.7+02.7 |                |   30.   90..1502
028.7-03.9 |                |<   3.   89..1570
029.2-05.9 |   54.  82..1559|   63.   82..2582
031.0+04.1 |                |   55.   90..1502
031.0-10.8 |   31.  82..1559|   29.   89..1570
031.2+05.9 |                |   34.   89..1570
032.0-03.0 |   30.  82..1559|   11.   89..1570
032.1+07.0 |   13.  82..1559|   26.   90..1502
032.7+05.6 |   23.  82..1559|   21.   79..1507
032.7-02.0 |                |   59.   90..1502
032.9+07.8 |                |<   5.   90..1502
032.9-02.8 |                |   23.   90..1502
033.0-05.3 |                |    6.   89..1570
033.1-06.3 |   96.  82..1559|   73.   89..1570
033.8-02.6 |  183.  82..1559|  220.   75..9002
034.0+02.2 |                |   34.   90..1502
034.3+06.2 |                |    3.   89..1570
034.5-06.7 |   53.  82..1559|   55.   82..2582
034.6+11.8 |                | 1260.   87...336
035.1-00.7 |  283.  82..1559|  262.   89..1570
035.7-05.0 |                |<   0.5  90..1502
035.9-01.1 |  119.  82..1559|   83.   82..2582
036.0+17.6 |    1.  82..1559|
036.1-57.1 |                | 1292.   82..2582
037.5-05.1 |<   1.  82..1559|
037.7-34.5 |  649.  82..1559|  750.   75..9002
037.8-06.3 |  256.  82..1559|  240.   90..1502
038.1-25.4 |    4.  82..1559|<   3.   89..1570
038.2+12.0 |   62.  82..1559|   64.8  84..2631
039.5-02.7 |   44.  82..1559|   45.   89..1570
039.8+02.1 |                |  345.   89..1570
040.3-00.4 |   76.  82..1559|
040.4-03.1 |                |   23.   90..1502
041.8+04.4 |                |    4.   90..1502
041.8-02.9 |  287.  82..1559|  310.   89..1570
042.0+05.4 |                |    4.8  90..1502
042.5-14.5 |   13.  82..1559|   20.   82..2582
042.9-06.9 |   28.  82..1559|   29.   90..1502
043.0-03.0 |                |    8.   89..1570
043.1+03.8 |                |   22.   89..1570
043.1+37.7 |  184.  82..1559|  311.   75..9002
043.3+11.6 |   47.  82..1559|
043.5-13.4 |    6.  82..1559|<   2.   89..1570
044.0+05.2 |    6.  82..1559|    6. : 90..1502
044.3-05.6 |                |<   0.2  90..1502
045.4-02.7 |                |   50.   82..2501
045.7-04.5 |  126.  82..1559|  132.   82..2582
045.9-01.9 |                |   17.   90..1502
046.3-03.1 |                |   40.   90..1502
046.4-04.1 |  110.  82..1559|   88.7  84..2631
048.0-02.3 |                |   50.   90..1502
048.1+01.1 |                |   58.   90..1502
048.5+04.2 |                |    3. : 90..1502
048.7+02.3 |    3.  82..1559|
049.3+88.1 |                |<   0.3  90..1502
049.4+02.4 |                |    7.   89..1570
050.1+03.3 |  230.  82..1559|  237.   75..9002
050.4-01.6 |                |   19.   90..1502
051.0+03.0 |                |   40.   90..1502
051.0-04.5 |   11.  82..1559|<   0.3  90..1502
051.4+09.6 |   95.  82..1559|  110.   90..1502
051.9-03.8 |   34.  82..1559|   43.   89..1570
052.2+07.6 |                |<   0.3  90..1502
052.2-04.0 |   37.  82..1559|   29.   89..1570
052.5-02.9 |   30.  82..1559|   44.   89..1570
052.9+02.7 |                |   39.   90..1502
052.9-02.7 |                |    1.7  90..1502
053.2-01.5 |                |   31.   89..1570
053.3+03.0 |                |   18.   89..1570
053.8-03.0 |<   1.  82..1559|
054.1-12.1 |   97.  82..1559|  140.   82..2582
054.4-02.5 |                |   26.   90..1502
055.1-01.8 |                |<   0.4  90..1502
055.2+02.8 |                |   32.   90..1502
055.3+02.7 |                |   14.   89..1570
055.3+06.6 |                |<   2.   89..1570
055.5-00.5 |                |  204.   89..1570
055.6+02.1 |                |   15.   89..1570
056.0+02.0 |                |   40.   90..1502
056.4-00.9 |                |   19.   90..1502
056.8-06.9 |                |<   0.4  90..1502
057.2-08.9 |   42.  82..1559|   18.   89..1570
057.9-01.5 |                |   60.   90..1502
058.3-10.9 |  100.  82..1559|  127.   75..9002
058.9+01.3 |                |   20.   90..1502
059.4+02.3 |                |   17.   90..1502
059.9+02.0 |                |   11.   90..1502
060.1-07.7 |  102.  82..1559|  105.   75..9002
060.5+01.8 |                |   43.   90..1502
060.8-03.6 | 1325.  75..9002|
061.4-09.5 |   70.  82..1559|   62.   75..9002
061.8+02.1 |                |    6.   90..1502
061.9+41.3 |                |    6.   90..1502
062.4-00.2 |                |   19.   89..1570
063.8-03.3 |                |    7.5  90..1502
064.7+05.0 |                |  630.   87...336
064.9+15.5 |                |    2.4  89..1570
064.9-02.1 |                |   50.   90..1502
065.0-27.3 |    5.  82..1559|    3.1  83..1351
065.9+00.5 |                |>  19.   89..1570
066.7-28.2 |   17.  82..1559|<  10.   82..2582
066.9-05.2 |                |   18.   89..1570
067.9-00.2 |                |   65.   90..1502
068.3-02.7 |                |   64.   90..1502
068.7+01.9 |                |   15.   90..1502
068.7+03.0 |                |   21.   90..1502
069.2+02.8 |                |    7.   90..1502
069.4-02.6 |                |   61.   89..1570
069.7-00.0 |                |   90.   90..1502
071.6-02.3 |                |  130.   90..1502
072.1+00.1 |                |   60.   90..1502
073.0-02.4 |                |   12.   90..1502
074.5+02.1 |                |  120.   90..1502
078.5+18.7 |                |    1.   89..1570
078.6+05.2 |                |    6.   90..1502
082.1+07.0 |                |  175.2  84..2631
082.5+11.3 |                |   21.   90..1502
084.9-03.4 |                | 5700.   73..9007
086.5-08.8 |                |  336.4  84..2631
088.7+04.6 |                |   15.   90..1502
088.7-01.6 |                |   37.   89..1570
089.0+00.3 |  310.  KK 69   |
089.3-02.2 |                |   25.   89..1570
089.8-05.1 |                |  175.   90..1502
093.3-00.9 |                |   30.   89..1570
093.3-02.4 |                |   19.   89..1570
093.4+05.4 |                |  217.   89..1570
093.5+01.4 |                |  884.   89..1570
094.5-00.8 |                |    6.5  89..1570
095.1-02.0 |                |   35.   90..1502
095.2+00.7 |                |  115.   90..1502
096.3+02.3 |                |   14.   89..1570
096.4+29.9 |  940.  S 75    |
097.6-02.4 |                |    6.5  89..1570
098.1+02.4 |                |   29.   89..1570
098.2+04.9 |                |   43.   90..1502
100.0-08.7 |                |   40.   90..1502
100.6-05.4 |                |   47.5  84..2631
101.8+08.7 |                |   17.   89..1570
103.7+00.4 |                |   14.   89..1570
104.1+01.0 |                |   54.   90..1502
104.1+07.9 |                |<   3.   89..1570
104.4-01.6 |                |   11.   89..1570
104.8-06.7 |                |    8.   90..1502
106.5-17.6 |                |  631.   89..1570
107.4-02.6 |                |    4.5  89..1570
