ID,RA2PI,DEC2PI,VMAG,SIZED,TYPE
IC5370,0.000661771,0.571401405,14.1,0.013333333,Gxy
IC5371,0.001076286,0.573030379,14.7,0.008333333,Gxy
IC5372,0.001185369,0.572346791,14.5,0.008333333,Gxy
NGC7801,0.001672607,0.885580062,99,0,*Grp
NGC7807,0.001934407,-0.328853968,14.6,0.011666667,Gxy
IC5373,0.002130756,0.572152866,14.7,0.013333333,Gxy
NGC7802,0.004399684,0.108937634,13.5,0.018333333,Gxy
IC5374,0.004697845,0.078539816,14.3,0.011666667,Gxy
IC5375,0.004719661,0.079271885,14.3,0.016666667,Gxy
NGC7804,0.005730498,0.135238776,99,0,*2
IC5376,0.005810492,0.602589469,13.7,0.033333333,Gxy
NGC7803,0.005817764,0.228836906,13.1,0.016666667,Gxy
NGC7805,0.006305002,0.54862001,13.3,0.02,Gxy
NGC7806,0.006552257,0.548765454,13.5,0.018333333,Gxy
IC1526,0.006654068,0.198036692,14.4,0.008333333,Gxy
IC5377,0.009126618,0.289559819,14.7,0.016666667,Gxy
NGC7809,0.009410234,0.051322376,14.5,0.008333333,Gxy
NGC7810,0.010115637,0.226398293,13,0.02,Gxy
IC1527,0.01029017,0.071388815,14.6,0.021666667,Gxy
NGC7811,0.010646508,0.058502467,14.5,0.006666667,Gxy
IC5378,0.01147554,0.29049551,13.6,0.018333333,Gxy
IC5379,0.011693706,0.2897392,15.2,0.006666667,Gxy
IC5380,0.012326388,-1.155175254,14.7,0.013333333,Gxy
NGC7812,0.012668181,-0.597528014,13.2,0.018333333,Gxy
IC5381,0.013897184,0.278646663,14.1,0.021666667,Gxy
NGC7814,0.014166256,0.281788256,10.6,0.091666667,Gxy
NGC7815,0.014900748,0.361336485,14.4,0,*
IC5382,0.015002559,-1.137896495,14.6,0.013333333,Gxy
NGC7808,0.015424347,-0.187521084,13.2,0.021666667,Gxy
NGC7822,0.015707963,1.171988593,99,1.666666667,Nb
IC5383,0.016638806,0.279495087,99,0,NF
NGC7816,0.01665335,0.130521539,12.8,0.028333333,Gxy
NGC7817,0.017344209,0.362165516,11.8,0.058333333,Gxy
NGC7818,0.018107791,0.128790754,14,0.016666667,Gxy
