Ced,Note
1,+64 13 nebulous. Source: (366). (715).
2,IC 11. Disc. Barnard. R. Not identified.  Probably of class C.2.
3,"NGC 281. Disc. Barnard 1881 (43). FA 182, 183. (114, 194, 209, 216, 304,"
3,"366, 482, 486, 615 Pl 22, 630 Pl 20 Pl 26, 715). R. +55 191 = HD 5005."
4,"a = IC 59. b = IC 63. Disc. Wolf, Barnard 1893. FA 183. (54, 69, 216, 366,"
4,"482, 486, 521, 603 Pl 4, 615 Pl 25, 630 Pl 20 Pl 26, 645, 715, 797). R."
4,Immediately north of the two well-known fan-shaped nebulae at {gam} Cass.
4,is a third mass of nebulosity 9'x4'. The three objects seem to be
4,connected by faint streaks. {gam} Cass +59 144 = HD 5394 = Boss 1117.
5,IC 155. Disc. Wolf 1893 (797). R. Not identified. Size (according to Wolf)
5,as IC 59. Fainter. Probably of class C.2.
6,"IC 1795. Disc. Barnard. (93 Pl 1, 630 Pl 26 Pl 27)."
6,R. The nebula apparently consists of three parts.
6,a = +61 411 with a fan-shaped appendix.
6,b = A thirteenth mag. star with ditto.
6,c = General background veil.
7,"IC 1805. Disc. Barnard. (93 Pl 1 Pl 2, 194, 216, 482, 486, 571, 630 Pl 26"
7,"Pl 27, 726 No 27, 753). R. Nebulous cluster containing the BD stars:"
7,"+60 496-502, 504-509, 511-513. +60 502 = HD 15558. +60 504 = HD 15570."
7,"+60 507 = HD 15629. The spectra of these stars are stated to be ""perhaps"
7,"B0"". There is a conspicuous condensation at +60 507."
8,IC 1831. Disc. Wolf 1905 (811). R. Not identified. Size : several square
8,degrees. Very faint. Irregular. Orientated chiefly NW to SE.
8,(According to Wolf).
9,"a = IC 1848. Disc. Barnard. (194, 630 Pl 26, 753), R. The nebulosity may"
9,possibly extend to the clusters (194) No 33 and No 34. HD stars within the
9,boundary of IC 1848: +59 548 = HD 17356. +59 552 = HD 17505 = Boss 3398.
9,+59 553 = HD 17520. +59 559 = HD 17688.
9,b =Emission field (726) No 29. R. Centered on +59 559.
9,"c = +60 596 nebulous. Disc. Barnard. (93 Pl 2, 366, 630 Pl 26, 715)."
9,"d = Anon. 2h 45.8, +60{deg} 9'. R.(93) Pl 2: ""About 5' north of it"
9,(+60 596) is a fainter nebulous star).
10,"IC 1851. Disc. Barnard. (93 Pl 2, 216).  R. +57 651 = HD 17581 = Boss 3413."
11,IC 1871. Disc. Barnard. R. The Bergedorf spectral DM has +60 624 in the
11,position given by Barnard. This star seems to be very faintly nebulous on
11,"(93) Pl 2. This identification, however, needs corroboration."
12,"+31 597 = HD 21110 = Boss 4072 nebulous. Disc. Barnard. (91, 93 Pl 3, 366,"
12,715).
13,"+30 540 nebulous. Disc. Barnard. (91, 93 Pl 3)."
14,+58 607 = HD 21389 = Boss 4140 nebulous.
14,"Disc. Barnard. (93 Pl 2, 630 Pl 27)."
15,"+29 565 nebulous. Disc. Barnard. (91) p 255, where +30 565 means +29 565."
15,"(93 Pl 3, 366, 715)."
16,NGC 1333 = GC 710 = +30 0548. Discovered by Schonfeld in 1855 in
16,"connection with the BD observations. (91, 93 Pl 3, 114, 196, 304, 365,"
16,"366, 486, 578, 630 Pl 29, 631, 715)."
17,"The nebulosity connected with Nova Persei 1901. Disc. Flammarion,"
17,"Antoniadi 1901. Comprehending discussion: (439). (77, 216, 244, 457, 482,"
17,"486, 562) R. New outburst discovered by Barnard in 1916."
18,a = Emission field (725) No 34.
18,b = The nebulous region around Omicron Persei = +31 642 = HD 23180 =
18,"Boss 4461. (88 Pl 16, 91, 93 Pl 3, 482, 486, 576)."
19,The nebulous region of the Pleiades.
19,"History: (113, 191, 772). General discussions : (30, 46, 53, 54, 78, 119,"
19,"184, 186, 191, 194, 206, 207, 331, 345, 365, 366, 560, 571, 578, 709, 715,"
19,"750, 751, 753, 755, 804). Visual and photographic observations : (19, 33,"
19,"69, 93 Pl 4, 100, 105, 114, 216, 241, 261, 280, 328, 334, 335, 336, 344,"
19,"553, 586, 587, 596, 597, 598, 603, 612, 631, 792). The exterior"
19,"nebulosities : (56, 73, 76, 84, 91, 422, 629, 779, 800). Parallax : (14,"
19,"221, 299, 482, 484, 486, 565, 753). Stellar data : (13, 94, 101, 159, 233,"
19,"285, 546, 560, 697, 783). Nebular spectrum : (289, 293, 688, 695, 745)."
19,"Nebular photometry : (196, 344, 712). Polarization : (337). Absorption :"
19,"(40, 424, 560, 783)."
19,a = IC 336. Disc. Barnard 1894. WP 201. (56).
19,R. Part of the general background. +22 518 aligned.
19,b = IC 341. Disc. Barnard 1894. (56).
19,R. Part of the general background with a condensation of about 1{deg} in
19,diameter around +20 492 = HD 18902.
19,c = The nebula around Celaeno = +23 505 = HD 23288 = Boss 4475. Disc.
19,"Schiaparelli 1875 (Compare Tempel: AN 86 col 67, 1875). (119, 325)."
19,d = The nebula around Electra = +23 507 = HD 23302 = Boss 4477. Disc.
19,"Schiaparelli 1875. (336, 337, 715)."
19,e = The nebula around Taygeta = +24 547 = HD 23338 = Boss 4486. Disc.
19,Roberts 1886 (596).
19,f = NGC 1432 = The nebula around Maia = +23 156 = HD 23408 = Boss 4500.
19,Disc. P. and Pr. Henry 1884 (335). Taken for a flaw in the negative at
19,"Harvard a month earlier, according to (186) p 230. (336, 337, 394, 523,"
19,"553, 556, 711, 715, 771, 777)."
19,g = The general nebulous background of the Pleiades.
19,Compare the above references.
19,h = The nebula around Asterope = +24 553 = HD 23432 = Boss 4502.
19,Disc. Roberts 1886 (596). (715).
19,"i= Barnard's Merope nebula = IC 349. Disc. Barnard 1890. (46, 47, 67, 154,"
19,"402, 570, 752). R. Merope = +23 522 = HD 23480 = Boss 4512."
19,"j = NGC 1435 = The large Merope nebula. Disc. Tempel 1859. (28, 42, 196,"
19,"199, 200, 203, 227, 293, 294, 325, 337, 358, 365, 366, 569, 631, 715, 731,"
19,"748, 798, 808)."
19,k = The nebula around +23 524 = HD 23512. Source: (93) Pl 4. (715).
19,l = The nebula around Alcyone = +23 541 = HD 23630 = Boss 4541.
19,Disc. Searle 1875. (Compare Harvard Ann 13 p 74). (715).
19,m = IC 1990. Disc. Stratonoff M95 (708).
19,n = NGC 1456. Disc. Lohse. R.  This is probably only a condensation in the
19,exterior Pleiades nebulosity. Compare (114).
19,o = The nebula around Atlas = +23 557 = HD 23850 = Boss 4586.
19,Disc. Roberts 1886 (596).
19,p = The nebula around Pleione +23 558 = HD 23862 = Boss 4587.
19,Disc. Roberts 1886 (596).
19,q = IC 354. Disc. Barnard 1894 (56).
20,"IC 348. Disc. Safford (The NGC appendix). (76, 88 Pl 16, 91, 93 Pl 3,"
20,"194, 196, 209, 216, 274, 366, 486, 576, 630 Pl 29, 715)."
20,R. +31 643 = Boss 4465.
21,"Anon. 3h 38m4, +32  1'. Source: (93) Pl 3: ""A very small, bright nebula,"
21,"like a nebulous star, is 7' east and slightly north of Omicron Persei."
21,"This is sligghtly west of and involves a star not in the BD"". (630) Pl 29."
22,"IC 1995. Disc. Barnard 1900. (76, 88 Pl 13 Pl 15, 422, 482,486)."
22,R. +25 624 = HD 23985 = Boss 4616.
23,NGC 1465. Disc. Swift 1886 (734). (114). R. Not identified. Class B.3?
24,IC 353. Disc. Barnard 1900 (76). (422). R. + 25641 = HD 24368 = Boss 4680.
25,"NGC 1491 = GC 793 = H I 258. Disc. 1790. (114, 252, 550, 578, 791)."
25,R. Classified as a barred spiral by Curtis in (217).
25,+50 886 probably only aligned.
26,"NGC 1499. Disc. Barnard 1885 (65). WP 10. (16, 91, 114, 209, 216, 289, 294,"
26,"304, 362, 365, 366, 420, 26 478, 630 Pl 29, 631, 646, 715,810,820)."
26,R. {ksi} Persei +35 775 = HD 24912 = Boss 4779.
27,+27 633 = HD 25823 = Boss 4937 nebulous. Source: (88) Pl 15.
28,"NGC 1514 = GC 810 = h 311 = H IV 69. Disc. 1790. (48, 93 Pl 5, 103, 114,"
28,"155, 216, 252, 366, 482, 486, 491, 592, 631, 715, 761, 762, 791). R."
28,+30 623 = HD 26125. HD spectrum: K0! Has also been classified as a planetary
29,IC 360. Disc. Barnard 1900 (76). (630) Pl 30 Pl 31. R. Part of the general
29,Taurus veil. Bohlin's object (120) probably refers to a condensation
29,in IC 360.
30,"IC 359. Disc. Swift 1891 (737). (84, 93 Pl 5, 196, 365, 366, 630 Pl 30, 715,"
30,717). R. There has been some confusion as to the identity of Swift's object.
30,In recent investigations Hubble's identification
30,in (366) p 406 has been accepted. IC 359 would thus inean the nebulous star
30,"north following Barnard's ""dark"" object B 10. However, Swift has described"
30,"his discovery as pL, which may as well refer to the whole region of B 10."
30,In the catalogue: a = Hubble's nebulous star. Bohlin's object (121) is B 10.
31,"+28 645 nebulous. Disc. Barnard 1907 (84). (93 Pl 5, 196, 630 Pl 30, 715)."
31,R. Connected with the dark nebula B 214.
32,"The nebulous region around T Tauri, a = NGC 1554 = GC 5339 = Struve's lost"
32,nebula. Disc. O. Struve 1868. Compare (59). b = NGC 1555 = GC 839 =
32,"Hind's variable nebula. Comprehending discussion: (59). (63, 75, 92, 114,"
32,"124, 152, 153, 156, 212, 216, 406, 460, 486, 491, 548, 550, 578, 600, 631,"
32,746). Disc. Hind 1852. C = T Tauri nebulous. Disc. Burnham 1890 (152).
32,"(1, 59, 216)."
33,"Anon. 4h21.0m +25 51. Source: (93) Pl 5: ""A very minute bright nebula"
33,"(No 100) is not listed in the NGC"". R. The illuminating star, which is"
33,"probably situated in the middle of the nebula, is not discernable"
33,on available photographs. The BD Chart has nothing in this position. The
33,nebula is starlike on FA and on (630) Pl 30.
34,+22 699 = HD 28149 = Boss 5396 nebulous. Disc. Barnard 1907 (84).
34,"(486, 630 Pl 31)."
35,"NGC 1579 = GC 853 = h 315 = H I 217. Disc. 1788. WP 21. (91, 114, 209, 216,"
35,"486, 549, 578, 630 Pl 30, 631, 791). R. Due to a wrong identification Pease"
35,has stated that +34 883 should be involved.
36,Anon. 12' north following NGC 1579. Disc. Curtis 1913 (209). WP 21. (216).
37,"NGC 1624 = GC 879 = H V 49. Disc. 1790. (114, 194, 209, 366, 486, 578,"
37,630 Pl 27).
38,"IC 2087. Disc. Barnard 1892 (84). WP 22. (93 Pl 5, 196, 630 Pl 30 Pl 31,"
38,717). R. This is the object B 14.
39,IC 2088. Disc. Wolf 1906 (811). (630) Pl 31. R. A brighter part or the
39,Taurus veil.
40,"NGC 1788 = GC 1005 = h 347= H V 32. Disc. 1786. (106, 114, 153, 196, 209,"
40,"252, 297, 366, 486, 578, 619, 630 Pl 34, 6311 791)."
41,"IC 2118 = ""The Witch Head nebula"". Disc. Wolf 1905 (809). (294, 365, 366,"
41,"630 Pl 33, 715, 809). R. NGC 1779, 1797, 1799, IC 398, 402 are probably"
41,"parts of IC 2118. They have not been included in the catalogue, as it has"
41,proved impossible to identify them with any certainty on available
41,photographs. The divisions a and b are due to Hubble (366) p 406.
41,Illuminating star: Rigel = -8 1063 = HD 34085 = Boss 6410.
42,"IC 405 = ""The flaming star"". Disc. Schaeberle 1892 (643). WP 24. (294, 366,"
42,"413, 482, 486, 623, 627, 630 Pl 32, 715, 796, 805)."
42,R. +34 980 = HD 34078 = Boss 6429.
43,IC 410. Disc. Wolf 1893 (796). R. Earlier known as the open cluster
43,"NGC 1893 = GC 1101 = h 351, which has a wrong position in the NGC. WP 24."
43,"(194, 482, 486, 571, 630 Pl 32, 753, 796, 805). HD stars belonging to the"
43,cluster: +33 1017 = HD 34760. +33 1018 = HD 34841. The nebula seems to
43,"condense around these stars and around +33 1023-1026, 1028, 1029."
44,The nebula connected with +8 933 = HD 34989 = Boss 6574. Discovered by
44,"Melotte and Lundmark on the FA plates in 1926 (502). (93 Pl 6, 339, 486,"
44,"630 Pl 33, 715)."
45,+6 919 = HD 35468 = Boss 6668 = {gam} Orionis nebulous. Source: (93) P1 6.
45,FA 97. (630) Pl 33.
46,"IC 417. Disc. Wolf 1893 (796). FA 145. WP 66. (482, 486, 630 Pl 33, 805)."
46,R. {phi} Aurigae is probably only aligned. The nebulosity seems to
46,"condense around the stars +34 1053, 1054, 1056. This condensation = a in"
46,"the catalogue. There is, however, traces of nebulosity also around other"
46,faint stars in the cluster.
47,+12 801 = HD 35956 = Boss 6760 nebulous. Source: (93) Pl 6. (715).
48,IC 419. Disc. Wolf 1893 (796). R. Not identified. Wolf's description :
48,"""Bright. Elongated. Some minutes in length""."
49,"NGC 1931 = GC 1137 = h 355 = H I 261. Disc. 1793. FA 145. WP 66. (114,"
49,"153, 194, 208, 216, 252, 354, 549, 578, 630 Pl 32, 631, 632, 796)."
50,"The nebula around Nova T Aurigae. Disc. Barnard 1892 (52). (160, 208, 216,"
50,"277, 796). Description by Barnard (53) : ""Tenth magnitude star in nebular"
50,"condensation of 3"" diameter surrounded by fainter glow of 0.5' diameter""."
51,"The nebula at +11 836. Sources: (93 Pl 6, 630 Pl 33). R. This star has a"
51,fan-shaped appendix which seems to be superimposed on a faint background
51,"veil. The McDonald spectrograph has revealed, emission in this region"
51,(724).
52,"IC 423. Disc. Pickering 1890 (557). WP 166. (216, 630 Pl 33 Pl 34)."
52,R. This peculiur annular object may be a planetary. No central star is
52,"visible. Apparently it is well within reach of the belt stars, but it"
52,stands out definitely against the general nebulous background.
53,"NGC 1952 = GC 1157 = h 357 = M 1 = ""The Crab nebula"". Disc. Bevis 1731."
53,"The object occurs in Bevis' atlas. WP 27. (27, 30, 103, 114, 174, 191,"
53,"216, 220, 232, 236, 242, 259, 300, 301, 354, 366, 454, 455, 457, 486, 489,"
