RCW,add,Text
1,--,"Horseshoe-shaped bright region 2 deg. in diameter, with 8'x 5'"
1,--,"concentration at 07h 08m, -12 deg 12'. Fainter region 150' diameter,"
1,--,"centred on 07h 08m, -09 deg 30'."
1,*,The original publication gave two positions. Here a single position is
1,*,given and is very crude.
2,--,"Circular, connected to RCW1 by faint emission."
5,--,Circular region.
6,--,Contains diffuse outer region.
7,--,Circuliar region.
9,--,Part of the Vela-Puppis Nebula?
11,--,Part of Vela-Puppis?
13,--,Circular region.
14,--,Possibly connected with Vela-Puppis. Possible concentration in RCW15.
15,--,"Loop, possibly connected with Vela-Puppis."
16,--,Circular region.
19,--,Large area with one bright edge.
20,--,Surrounded by diffuse emission; could be associated with RCW19.
22,--,Part of Vela-Puppis?
27,--,Region showing structure.
30,--,Two small regions 1' X 1'.
31,--,Connected with Vela-Puppis?
32,--,Circular region.
33,--,"Almost circular, with more intense area ""comma""-shaped."
36,--,"Group of 3 bright regions-""S""-shaped."
37,--,Filamentary.
38,--,"Emission region containing four concentrations at: 08h 57m.5,-47deg 16'(6'"
38,--,"X 4'); 08h 57m.7, -47 deg 22'(3 X 2); 08h 58m.0, -47deg 08' (9' X 7'); and"
38,--,"08h 58m.4, -47 deg 20'(12 X 9)."
40,--,Bright region possibly associated with diffuse surrounding background
40,--,emission.
42,--,Circular.
43,--,Stellar-like.
48,--,Bright crescent shape.
49,--,Emission region outlying Eta Carina nebula.
50,--,Possibly associated with RCW49.
51,--,Bright knot possibly separated from the main Eta Carinae nebula by
51,--,obscuration.
52,--,Bright knot in Eta Carinae nebula separated from main region by absorption.
53,--,"Main irregular Eta Carinae nebula. Boundaries at 10h 28m, -58 deg; 10h 55m,"
53,--,"-58 deg 18'; 10h 27m, -60 deg 48'."
53,*,"The original cross identification also included G30,31, and 33, and"
53,*,NGC3372. Editor's note this is the entire Eta Carinae region.
54,--,"Outlying Eta Carina, with concentrations at: 10h 57m.5, -61 deg 00' (40' X"
54,--,"20'); 10h 58m.0, -59 deg 20'(70' X 40')(filamentary); 11h 08m.0, -59 deg"
54,--,"54'(25 X 25'); 11h 10m.5, -58 deg 30'(25' X 10')."
54,*,The original gave three positions. The single position given here is
54,*,extremely crude.
55,--,"Circular region,appears to have central star;not part of Eta Carina."
57,--,Appears abscuration-bounded and contains bright crescent-shaped region 50'
57,--,X 20'.
59,--,3 deg diameter loop.
60,--,Outlying part of Lambda Cen nebula. Contains bright regions centred at: 11h
60,--,"26m.5, -62 deg 21'(21' X 18'); 11h 26.5m.5, -62 deg 42'(15 X 10)."
61,--,Circular region near Lambda Cen nebula.
62,--,"Main Lambda Cen nebula, uneven intensity."
63,--,Large band of emission.
63,*,Two positions are given in the original. The position given here is once
63,*,again very crude.
65,--,Region has diffuse edges.
74,--,Crescent-shaped.
75,--,Diffuse edges.
76,--,Planetary?
78,--,Bright central region (10' X 6').
82,--,Circular.
85,--,Possibly obscuration bound.
86,--,Crescent-shaped.
90,*,The original size is given as 0.5 X 0.5 arcminutes. Here the size is given
90,*,as 1 X 1 arcminutes to avoid formating problems.
91,--,Possibly obscuration bound.
