Sh2,GlLund,GbLund,GLon,GLat,RAh,RAm,RAds,DE-,DEd,DEm,DEs,RA1950h,RA1950m,RA1950ds,DE1950-,DE1950d,DE1950m,DE1950s,Diam,Form,Struct,Bright,Stars
1,3152,190,3472,202,15,52,480,-,25,50,0,15,55,492,-,25,58,43,150,3,2,3,1
2,3153,7,3476,20,16,57,180,-,38,0,0,17,0,420,-,38,4,24,60,3,2,2,1
3,3161,-10,3484,2,17,6,540,-,38,23,0,17,10,192,-,38,26,43,12,2,3,3,0
4,3161,-25,3484,-12,17,12,540,-,39,14,0,17,16,211,-,39,17,17,5,2,3,3,0
5,3168,-20,3491,-7,17,13,120,-,38,21,0,17,16,375,-,38,24,16,100,3,2,2,9
6,3174,-4,3497,8,17,8,180,-,37,0,0,17,11,407,-,37,3,37,4,3,2,3,0
7,3178,210,3499,223,15,54,240,-,22,40,0,15,57,215,-,22,48,37,240,3,2,1,1
8,3190,-9,3513,4,17,14,420,-,35,56,0,17,18,31,-,35,59,10,120,3,3,3,4
9,3192,157,3513,170,16,15,60,-,25,21,0,16,18,81,-,25,28,17,80,3,2,2,1
10,3203,6,3526,19,17,12,240,-,33,59,0,17,15,417,-,34,2,20,60,3,2,2,1
11,3211,-7,3534,6,17,19,540,-,34,7,0,17,23,122,-,34,9,47,90,3,3,3,2
12,3235,-15,3558,-2,17,29,240,-,32,32,0,17,32,398,-,32,34,6,120,1,2,2,9
13,3237,0,3560,14,17,24,0,-,31,29,0,17,27,140,-,31,31,30,40,2,2,2,1
14,3248,7,3571,21,17,23,540,-,30,11,0,17,27,60,-,30,13,30,2,3,1,2,0
15,3262,-35,3586,-21,17,44,60,-,31,14,0,17,47,200,-,31,15,2,30,2,2,2,3
16,3276,-20,0,-6,17,41,300,-,29,16,0,17,44,410,-,29,17,14,20,3,2,2,0
17,3278,-15,1,-1,17,39,480,-,28,49,0,17,42,582,-,28,50,21,25,3,2,2,0
18,3278,-22,1,-8,17,42,240,-,29,13,0,17,45,348,-,29,14,10,4,1,2,2,0
19,3280,-22,3,-8,17,43,0,-,29,5,0,17,46,106,-,29,6,7,12,1,1,2,0
20,3283,-19,7,-5,17,42,540,-,28,38,0,17,46,40,-,28,39,8,10,3,2,2,0
21,3284,-25,7,-11,17,45,180,-,28,52,0,17,48,283,-,28,52,57,5,3,2,2,0
22,3321,-12,44,2,17,48,540,-,25,1,0,17,51,587,-,25,1,42,60,3,2,2,5
23,3322,282,43,296,16,8,0,-,8,7,0,16,10,420,-,8,14,45,50,3,2,1,0
24,3330,294,51,308,16,5,420,-,6,49,0,16,8,226,-,6,56,54,30,2,1,2,0
25,3338,-30,62,-15,17,59,180,-,24,24,0,18,2,218,-,24,23,56,90,3,3,3,14
26,3341,-12,64,3,17,52,540,-,23,19,0,17,55,563,-,23,19,24,20,3,2,1,0
27,3341,221,63,236,16,31,420,-,10,22,0,16,34,270,-,10,28,11,480,3,2,2,1
28,3342,-20,66,-6,17,56,360,-,23,35,0,17,59,387,-,23,35,8,40,1,2,1,0
29,3347,-38,71,-24,18,4,240,-,24,1,0,18,7,273,-,24,0,34,40,3,2,2,3
30,3348,-19,72,-5,17,57,300,-,23,1,0,18,0,320,-,23,1,4,20,3,3,3,1
31,3350,-39,73,-24,18,5,120,-,23,49,0,18,8,150,-,23,48,31,8,1,1,2,1
32,3351,-37,74,-23,18,4,480,-,23,40,0,18,7,508,-,23,39,32,8,1,2,2,2
33,3362,349,83,363,15,54,420,-,1,20,0,15,57,170,-,1,28,36,35,3,2,1,0
34,3363,-16,87,-4,18,0,240,-,21,40,0,18,3,241,-,21,39,52,90,3,2,2,1
35,3386,-31,110,-16,18,9,540,-,20,17,0,18,12,522,-,20,16,10,20,3,1,2,5
36,3392,349,114,363,16,0,240,+,0,40,0,16,2,570,+,0,31,45,45,1,2,1,0
37,3394,-32,117,-18,18,11,480,-,19,42,0,18,14,455,-,19,41,2,20,3,2,2,3
38,3396,-7,119,8,18,2,540,-,18,17,0,18,5,496,-,18,16,41,3,3,2,1,0
39,3402,-25,125,-11,18,10,540,-,18,41,0,18,13,501,-,18,40,6,3,3,1,2,0
40,3404,-11,127,3,18,6,120,-,17,46,0,18,9,70,-,17,45,27,15,3,2,2,0
41,3404,-22,127,-7,18,10,0,-,18,16,0,18,12,556,-,18,15,10,90,3,2,2,6
42,3410,-3,133,12,18,4,300,-,16,50,0,18,7,237,-,16,49,34,3,3,1,2,0
43,3412,-19,135,-4,18,10,360,-,17,26,0,18,13,305,-,17,25,7,15,2,1,2,0
44,3418,-16,141,-1,18,10,420,-,16,46,0,18,13,356,-,16,45,7,60,3,2,2,2
45,3428,-22,151,-7,18,15,0,-,16,13,0,18,17,530,-,16,11,48,60,3,3,3,6
46,3429,18,152,33,18,0,300,-,14,10,0,18,3,205,-,14,9,52,25,2,2,2,1
47,3429,-13,153,2,18,12,0,-,15,39,0,18,14,522,-,15,38,1,5,1,2,2,1
48,3444,-18,167,-3,18,16,420,-,14,38,0,18,19,330,-,14,36,41,10,3,2,2,1
49,3445,-7,168,7,18,13,0,-,14,0,0,18,15,502,-,13,58,57,90,3,3,3,10
50,3446,-26,169,-11,18,19,480,-,14,46,0,18,22,391,-,14,44,27,35,3,2,2,1
51,3447,-67,170,-52,18,35,0,-,16,39,0,18,37,532,-,16,36,21,35,3,1,1,0
52,3451,-237,175,-222,19,41,480,-,23,20,0,19,44,475,-,23,12,43,2,2,1,2,0
53,3459,-18,182,-3,18,19,360,-,13,17,0,18,22,252,-,13,15,28,15,3,2,2,0
54,3464,5,187,20,18,12,180,-,11,46,0,18,15,55,-,11,45,0,140,3,3,3,7
55,3480,-26,203,-11,18,26,360,-,11,50,0,18,29,235,-,11,47,58,5,3,2,1,1
56,3497,-14,220,0,18,25,360,-,9,47,0,18,28,210,-,9,45,2,7,1,2,1,0
57,3506,-8,229,7,18,25,60,-,8,41,0,18,27,497,-,8,39,5,2,3,2,1,1
58,3508,-9,231,5,18,26,0,-,8,32,0,18,28,435,-,8,30,1,8,3,2,2,0
59,3522,-18,245,-3,18,31,360,-,7,41,0,18,34,185,-,7,38,36,20,3,2,1,0
60,3530,-13,253,2,18,31,180,-,6,47,0,18,33,595,-,6,44,38,20,3,2,2,0
61,3541,3,264,18,18,27,360,-,5,5,0,18,30,155,-,5,2,54,2,3,2,3,0
62,3545,21,268,35,18,22,180,-,3,55,0,18,24,561,-,3,53,17,4,3,1,1,0
63,3551,-224,274,-209,19,52,60,-,14,23,0,19,54,545,-,14,15,4,55,3,2,1,0
64,3567,21,290,35,18,26,240,-,1,59,0,18,28,598,-,1,56,59,25,3,2,2,0
65,3568,-22,291,-7,18,41,420,-,3,51,0,18,44,200,-,3,47,53,7,3,2,2,0
66,3582,-11,305,4,18,40,180,-,2,6,0,18,42,540,-,2,2,59,8,3,2,2,0
67,3583,-21,306,-6,18,44,120,-,2,28,0,18,46,483,-,2,24,42,10,2,1,1,0
68,3584,48,307,62,18,20,60,+,0,48,0,18,22,386,+,0,49,33,8,3,2,2,0
69,3596,0,319,14,18,39,180,-,0,23,0,18,41,520,-,0,20,3,20,2,2,2,1
70,27,99,351,114,18,9,480,+,7,2,0,18,12,133,+,7,2,48,5,3,1,2,0
71,38,-28,361,-14,18,57,0,+,2,1,0,18,59,312,+,2,5,12,3,2,2,3,0
72,41,-31,364,-17,18,58,480,+,2,10,0,19,1,191,+,2,14,20,25,3,2,2,0
73,50,431,377,446,16,6,480,+,22,8,0,16,8,576,+,22,0,9,75,3,2,1,0
74,76,-27,399,-13,19,3,540,+,5,27,0,19,6,215,+,5,31,41,3,3,2,2,0
75,79,1,402,15,18,54,240,+,6,59,0,18,56,496,+,7,3,1,10,1,2,1,0
76,81,11,405,25,18,51,360,+,7,41,0,18,54,7,+,7,44,49,7,1,2,1,0
77,84,-135,406,-121,19,43,120,+,0,54,0,19,45,445,+,1,1,21,8,2,1,1,0
78,145,25,469,38,18,58,360,+,13,59,0,19,0,535,+,14,3,18,12,1,1,1,0
79,167,-18,490,-5,19,18,420,+,13,47,0,19,21,1,+,13,52,42,40,3,2,1,0
80,179,20,502,33,19,7,0,+,16,42,0,19,9,143,+,16,46,54,2,3,2,3,0
81,195,-109,516,-97,19,56,300,+,11,31,0,19,58,516,+,11,39,12,10,3,1,1,0
82,213,-12,536,0,19,25,540,+,18,4,0,19,28,72,+,18,10,11,9,3,1,2,1
83,228,12,551,24,19,20,120,+,20,36,0,19,22,220,+,20,41,48,2,1,2,2,0
84,236,-50,559,-38,19,44,360,+,18,9,0,19,46,500,+,18,16,26,15,3,2,3,2
85,250,79,574,90,18,59,120,+,25,41,0,19,1,145,+,25,45,20,6,3,2,2,1
86,271,-13,594,-2,19,38,540,+,23,3,0,19,41,17,+,23,10,3,40,1,2,2,3
87,286,-12,609,-1,19,42,120,+,24,23,0,19,44,182,+,24,30,16,10,3,1,1,1
88,292,-8,615,3,19,41,480,+,25,6,0,19,43,533,+,25,13,15,25,3,2,2,1
89,307,-10,630,1,19,45,540,+,26,14,0,19,47,581,+,26,21,31,5,1,2,1,0
90,309,-6,632,5,19,45,60,+,26,37,0,19,47,95,+,26,44,28,6,3,2,2,0
91,317,34,641,44,19,31,360,+,29,23,0,19,33,350,+,29,29,34,120,3,3,2,0
92,318,6,641,16,19,42,360,+,28,0,0,19,44,375,+,28,7,18,50,1,1,1,4
93,319,-15,642,-5,19,50,540,+,26,57,0,19,52,575,+,27,4,50,1,3,2,3,0
94,325,57,649,68,19,24,0,+,31,16,0,19,25,556,+,31,22,3,25,3,3,1,0
95,336,-4,659,6,19,51,0,+,29,2,0,19,53,7,+,29,9,51,1,1,2,2,0
96,337,61,661,72,19,24,540,+,32,29,0,19,26,480,+,32,35,7,25,3,2,1,0
97,346,-1,669,9,19,52,60,+,30,0,0,19,54,55,+,30,7,55,10,1,2,1,0
98,358,0,682,10,19,54,480,+,31,9,0,19,56,461,+,31,17,5,15,1,1,1,1
99,378,8,702,17,19,57,0,+,33,13,0,19,58,555,+,33,21,13,5,3,2,3,0
100,380,6,703,16,19,58,0,+,33,14,0,19,59,555,+,33,22,17,4,3,2,3,0
101,392,19,716,28,19,56,120,+,35,1,0,19,58,46,+,35,9,10,20,3,2,2,1
102,392,-62,714,-53,20,27,420,+,30,16,0,20,29,445,+,30,26,6,40,3,1,1,0
103,420,-92,741,-83,20,46,240,+,30,33,0,20,48,281,+,30,44,9,210,3,3,3,0
104,425,-3,748,6,20,14,0,+,36,26,0,20,15,525,+,36,35,17,7,1,2,2,0
105,431,16,755,24,20,8,240,+,38,3,0,20,10,132,+,38,11,56,18,2,3,3,1
106,441,-14,764,-6,20,23,420,+,37,4,0,20,25,347,+,37,13,51,3,3,2,3,0
107,452,-45,774,-37,20,38,540,+,35,59,0,20,40,502,+,36,9,44,5,2,2,2,1
108,459,10,782,18,20,19,0,+,39,56,0,20,20,476,+,40,5,34,180,3,3,3,0
109,472,-6,795,1,20,30,0,+,40,0,0,20,31,491,+,40,10,13,1080,2,3,2,0
110,476,-129,796,-122,21,16,360,+,32,2,0,21,18,422,+,32,14,41,50,3,2,1,0
111,493,-177,812,-170,21,37,300,+,29,39,0,21,39,415,+,29,52,37,90,3,1,1,0
112,514,26,838,33,20,30,300,+,45,19,0,20,32,100,+,45,29,15,15,1,2,2,1
113,516,-89,837,-83,21,16,480,+,37,40,0,21,18,480,+,37,52,42,15,3,1,1,0
114,521,-85,842,-79,21,17,120,+,38,17,0,21,19,112,+,38,29,43,9,3,3,2,0
115,525,33,849,39,20,31,180,+,46,32,0,20,32,558,+,46,42,17,50,3,2,2,0
116,526,39,850,45,20,29,60,+,47,1,0,20,30,425,+,47,11,10,2,1,2,2,0
117,532,-16,855,-10,20,55,120,+,43,56,0,20,56,591,+,44,7,37,240,3,3,2,1
118,554,-95,875,-89,21,33,0,+,39,46,0,21,35,3,+,39,59,26,480,3,2,1,0
119,554,-44,876,-38,21,14,420,+,43,31,0,21,16,337,+,43,43,35,160,2,2,3,1
120,579,15,903,20,21,0,300,+,49,29,0,21,2,85,+,49,40,53,1,1,1,1,0
121,579,12,902,17,21,1,540,+,49,15,0,21,3,332,+,49,26,57,1,3,2,1,0
122,581,-416,892,-411,23,3,480,+,14,23,0,23,6,175,+,14,39,14,40,3,2,1,0
123,590,-68,912,-64,21,38,300,+,44,5,0,21,40,262,+,44,18,40,13,2,2,2,0
124,622,-19,945,-15,21,34,480,+,49,54,0,21,36,346,+,50,7,30,70,1,2,2,0
125,623,-59,944,-55,21,49,420,+,46,48,0,21,51,373,+,47,2,7,9,2,2,3,1
126,635,-172,954,-168,22,29,0,+,38,4,0,22,31,135,+,38,19,26,160,3,2,2,1
127,639,22,963,26,21,25,300,+,54,11,0,21,27,58,+,54,24,5,2,3,2,2,0
128,651,28,975,32,21,29,0,+,55,25,0,21,30,342,+,55,38,15,1,3,2,3,0
129,660,77,985,80,21,9,120,+,59,33,0,21,10,285,+,59,45,18,140,3,2,2,1
130,662,124,989,127,20,41,120,+,62,52,0,20,42,60,+,63,2,50,3,3,2,2,1
131,669,35,993,37,21,35,540,+,57,2,0,21,37,270,+,57,15,33,170,1,2,2,5
132,705,-8,1028,-6,22,15,60,+,55,38,0,22,16,565,+,55,53,1,90,3,3,2,3
133,705,94,1031,96,21,26,420,+,63,52,0,21,27,510,+,64,5,8,80,3,1,1,0
134,715,24,1038,26,22,8,60,+,58,55,0,22,9,477,+,59,9,47,160,3,2,2,1
135,723,11,1046,13,22,18,360,+,58,14,0,22,20,235,+,58,29,7,15,3,2,2,0
136,724,131,1051,132,21,15,0,+,67,50,0,21,15,450,+,68,2,35,5,3,2,3,0
137,731,77,1056,79,21,54,240,+,64,13,0,21,55,455,+,64,27,17,90,3,2,1,2
138,733,2,1056,4,22,28,540,+,57,58,0,22,30,465,+,58,13,26,1,3,2,2,0
139,735,-1,1058,0,22,31,120,+,57,42,0,22,33,58,+,57,57,29,10,3,2,1,0
140,743,52,1068,53,22,15,540,+,62,47,0,22,17,306,+,63,2,2,30,2,2,3,1
141,744,32,1068,33,22,25,0,+,61,8,0,22,26,450,+,61,23,19,5,1,1,2,0
142,749,-10,1072,-10,22,43,360,+,57,32,0,22,45,355,+,57,47,48,30,3,3,3,3
143,750,-15,1073,-14,22,46,120,+,57,11,0,22,48,130,+,57,26,52,4,3,1,1,0
144,754,8,1077,8,22,41,0,+,59,22,0,22,42,557,+,59,37,45,4,3,2,1,0
145,755,57,1079,58,22,22,180,+,63,48,0,22,23,555,+,64,3,14,90,2,2,1,0
146,759,5,1082,6,22,45,300,+,59,24,0,22,47,277,+,59,39,51,2,3,2,2,0
147,760,-11,1083,-11,22,51,240,+,57,56,0,22,53,265,+,58,11,59,2,1,1,1,0
148,761,-11,1084,-11,22,52,60,+,57,59,0,22,54,86,+,58,15,0,2,3,2,3,0
149,761,-11,1084,-11,22,52,180,+,58,0,0,22,54,207,+,58,16,0,1,1,1,2,0
150,764,61,1089,61,22,27,540,+,64,36,0,22,29,326,+,64,51,24,40,3,2,2,0
151,764,-28,1086,-27,22,58,480,+,56,32,0,23,0,552,+,56,48,8,20,3,1,1,1
152,765,-10,1088,-9,22,54,300,+,58,15,0,22,56,335,+,58,31,3,2,3,2,3,0
153,765,-11,1088,-10,22,55,60,+,58,12,0,22,57,97,+,58,28,4,5,1,2,2,0
154,766,16,1090,16,22,47,300,+,60,39,0,22,49,270,+,60,54,54,60,3,2,2,0
155,778,26,1102,26,22,52,480,+,62,5,0,22,54,455,+,62,21,1,60,3,2,2,9
156,778,1,1101,1,23,1,0,+,59,43,0,23,3,48,+,59,59,10,2,1,2,3,0
157,790,-6,1113,-7,23,11,420,+,59,30,0,23,13,522,+,59,46,21,90,3,3,3,5
158,792,9,1116,8,23,9,240,+,60,58,0,23,11,316,+,61,14,19,10,2,3,3,0
159,793,4,1117,4,23,11,240,+,60,36,0,23,13,330,+,60,52,21,7,3,2,2,0
160,795,41,1120,41,23,1,480,+,64,8,0,23,3,473,+,64,24,11,80,3,2,1,3
161,795,11,1119,11,23,11,120,+,61,19,0,23,13,201,+,61,35,21,55,2,2,2,0
162,799,3,1122,2,23,16,180,+,60,39,0,23,18,295,+,60,55,25,40,3,3,3,2
163,813,-6,1136,-7,23,28,420,+,60,14,0,23,31,1,+,60,30,34,10,3,2,2,0
164,817,-15,1139,-16,23,33,420,+,59,25,0,23,36,31,+,59,41,36,3,3,2,2,0
165,823,3,1146,2,23,35,60,+,61,23,0,23,37,268,+,61,39,37,10,2,2,2,1
166,823,-7,1146,-8,23,37,240,+,60,25,0,23,39,465,+,60,41,38,10,1,1,1,1
167,826,33,1150,32,23,30,480,+,64,18,0,23,33,45,+,64,34,35,2,1,1,1,0
168,835,-14,1158,-16,23,48,60,+,59,55,0,23,50,341,+,60,11,41,7,2,2,2,0
169,836,-16,1159,-17,23,49,0,+,59,49,0,23,51,286,+,60,5,41,5,1,1,1,1
170,853,25,1177,23,23,56,360,+,64,4,0,23,59,83,+,64,20,42,20,1,2,2,1
171,860,49,1184,47,23,59,300,+,66,36,0,0,2,41,+,66,52,42,180,3,2,3,3
172,864,-11,1186,-13,0,10,120,+,60,42,0,0,12,516,+,60,58,41,1,2,1,1,0
173,872,-7,1195,-9,0,16,240,+,61,11,0,0,19,70,+,61,27,39,30,1,2,2,2
174,875,187,1203,184,23,42,360,+,80,23,0,23,44,410,+,80,39,40,10,3,2,1,0
175,880,22,1204,20,0,21,420,+,64,9,0,0,24,295,+,64,25,37,2,1,2,2,0
176,881,-52,1203,-55,0,26,60,+,56,44,0,0,28,518,+,57,0,35,10,3,2,1,0
177,883,0,1207,-3,0,25,540,+,61,55,0,0,28,425,+,62,11,35,40,3,1,1,2
178,884,256,1214,254,22,34,60,+,87,15,0,22,27,255,+,87,30,27,420,3,2,1,0
179,894,3,1217,0,0,34,360,+,62,19,0,0,37,296,+,62,35,30,1,1,1,1,0
180,903,4,1226,1,0,42,480,+,62,23,0,0,45,462,+,62,39,24,15,3,1,1,0
181,903,27,1227,23,0,43,120,+,64,40,0,0,46,131,+,64,56,23,15,3,1,1,0
182,905,22,1228,19,0,44,120,+,64,12,0,0,47,131,+,64,28,22,2,3,1,1,0
183,908,32,1232,28,0,47,480,+,65,10,0,0,50,526,+,65,26,19,35,3,2,1,0
184,910,-59,1231,-63,0,47,0,+,56,4,0,0,49,545,+,56,20,20,40,3,2,3,1
185,917,-15,1240,-19,0,53,540,+,60,27,0,0,56,560,+,60,43,13,120,3,2,2,1
186,926,7,1249,3,1,2,300,+,62,36,0,1,5,393,+,62,52,3,1,3,2,2,0
187,944,-4,1267,-8,1,16,360,+,61,20,0,1,19,507,+,61,35,44,10,3,3,2,0
188,959,-37,1281,-41,1,24,120,+,57,51,0,1,27,246,+,58,6,33,9,3,3,2,0
189,992,32,1316,27,2,4,360,+,63,42,0,2,8,208,+,63,56,13,2,1,1,1,0
190,1025,16,1348,9,2,25,480,+,61,0,0,2,29,343,+,61,13,21,150,3,3,3,8
191,1036,1,1359,-6,2,29,120,+,59,12,0,2,32,545,+,59,25,12,2,3,1,3,0
192,1037,28,1361,21,2,39,240,+,61,34,0,2,43,178,+,61,46,44,1,2,1,1,0
193,1038,28,1361,21,2,39,420,+,61,35,0,2,43,360,+,61,47,43,2,2,1,1,0
194,1038,27,1361,21,2,39,300,+,61,31,0,2,43,236,+,61,43,44,2,2,1,2,0
195,1040,3,1363,-4,2,32,360,+,59,13,0,2,36,198,+,59,26,3,3,3,1,1,0
196,1040,32,1364,25,2,43,240,+,61,49,0,2,47,203,+,62,1,32,4,1,1,2,0
197,1042,4,1365,-3,2,34,240,+,59,13,0,2,38,85,+,59,25,58,5,3,2,1,0
198,1051,9,1374,2,2,42,240,+,59,17,0,2,46,117,+,59,29,36,9,2,2,2,0
199,1052,18,1376,11,2,46,480,+,60,0,0,2,50,396,+,60,12,23,120,3,2,3,9
200,1057,48,1381,41,3,2,300,+,62,26,0,3,6,362,+,62,37,34,6,2,2,1,1
201,1061,24,1385,16,2,55,180,+,60,5,0,2,59,130,+,60,16,57,5,3,2,3,0
202,1082,27,1406,19,3,10,540,+,59,16,0,3,14,517,+,59,27,8,170,3,2,1,8
203,1112,-10,1435,-19,3,14,300,+,54,31,0,3,18,146,+,54,41,56,45,1,2,1,0
204,1134,38,1458,30,3,47,420,+,57,8,0,3,51,430,+,57,17,0,40,3,2,2,0
205,1162,7,1486,-2,3,48,300,+,52,54,0,3,52,183,+,53,2,57,120,3,2,2,1
206,1183,0,1506,-9,3,55,420,+,51,3,0,3,59,270,+,51,11,30,50,3,2,3,1
207,1189,31,1512,21,4,12,180,+,52,54,0,4,16,108,+,53,1,26,4,1,2,2,0
208,1190,30,1513,20,4,12,0,+,52,44,0,4,15,523,+,52,51,27,1,1,2,3,0
209,1193,7,1516,-2,4,3,300,+,50,54,0,4,7,160,+,51,2,1,14,3,2,2,0
210,1204,39,1528,29,4,23,120,+,52,20,0,4,27,50,+,52,26,43,20,3,1,2,0
211,1223,35,1546,25,4,29,180,+,50,44,0,4,33,75,+,50,50,19,2,3,2,3,0
212,1231,36,1554,26,4,33,0,+,50,11,0,4,36,485,+,50,17,4,5,1,2,3,0
213,1248,-25,1571,-36,4,13,360,+,44,41,0,4,17,90,+,44,48,22,1,3,2,1,0
214,1254,-28,1576,-39,4,14,300,+,44,8,0,4,18,20,+,44,15,18,4,1,1,1,0
215,1261,-46,1583,-57,4,10,360,+,42,22,0,4,14,40,+,42,29,34,2,3,2,2,0
216,1263,19,1586,8,4,37,360,+,46,38,0,4,41,161,+,46,43,45,80,3,2,2,1
217,1268,44,1592,33,4,51,180,+,47,51,0,4,55,23,+,47,55,48,9,2,2,2,0
218,1270,124,1595,113,5,33,180,+,52,8,0,5,37,170,+,52,9,48,70,2,1,1,0
219,1270,37,1594,26,4,48,420,+,47,14,0,4,52,246,+,47,18,59,3,2,2,3,0
220,1280,-111,1601,-123,3,54,60,+,36,20,0,3,57,217,+,36,28,37,320,3,2,3,1
221,1284,38,1608,27,4,54,180,+,46,12,0,4,57,586,+,46,16,36,120,3,2,1,0
222,1332,-78,1654,-90,4,23,360,+,35,3,0,4,26,526,+,35,9,43,6,3,2,3,0
223,1334,37,1658,25,5,10,60,+,42,6,0,5,13,386,+,42,9,29,70,3,2,2,0
224,1338,57,1662,44,5,20,60,+,42,53,0,5,23,408,+,42,55,46,30,3,3,2,1
