BHe,m_BHe,Text,Flag
5,--,Only one color plate available.,--
13,a,Looks a bit like R Mon.,--
17,a,Only one color plate available.,--
18,--,Only one color plate available.,--
20,--,Only one color plate available.,--
23,--,Associated with RCW38.,--
25,a,Emission Nebula.,--
41,a,Emission plus reflection nebulosity.  Emission ring excited by       *,--
41,a,HD92206; reflection nebulosity by HD 92207.,--
42,a,Associated with NGC3293.,--
42,b,Associated with NGC3293.,--
43,--,Emission plus reflection nebulosity.,--
45,b,Emission plus reflection nebulosity.,--
46,--,Emission plus feflection nebulosity.,--
47,a,Near RCW 57a.,--
47,b,Near RCW 57a.,--
47,c,"Near RCW 57a.  Nebula has ""hour glass"" form.",--
50,a,Emission plus reflection nebulosity.,--
51,--,Emission nebula.,--
60,a,Located in a fossil H II region.,--
60,b,Located in a fossil H II region.,--
62,"a,b,c",Quoted diameter D(B) is for No. 62b.,--
63,--,Nebula sits at edge of very dark elliptical cloud.,--
65,a,Comet nebula.,--
69,--,Only one color plate available.,--
72,a,Associated with NGC 6193.,--
72,b,Associated with NGC 6193.,--
72,c,Associated with NGC 6193.,--
73,a,Emission plus reflection nebulosity? Located in a fossil H II region.,--
73,b,Emission plus reflection nebulosity? Located in a fossil H II region.,--
73,c,Located in a fossil H II region.,--
73,d,Located in a fossil H II region.,--
73,e,Located in a fossil H II region.,--
74,--,Associated with NGC 6193.,--
75,--,Nebulosity illuminated by NGC 6250 rather than the individual star?,--
78,--,Emission nebula.,--
79,a,Associated with NGC 6193.  Associated with NGC 6250.,--
80,--,Emission plus reflection nebulosity?  Emission nebula?,--
81,--,Located in a fossil H II region.,--
85,a,Emission nebula.  In the region of RCW 127.,--
85,b,Emission nebula.  In the region of RCW 127.,--
85,c,Emission nebula.  In the region of RCW 127.,--
86,--,Emission nebula.  In the region of RCW 127.,--
87,--,Only one color plate available.,--
89,--,Emission nebula.  Probably associated with NGC 6357.,--
93,a,Located in a fossil H II region.,--
93,b,Located in a fossil H II region.,--
