HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Dyna,Type,MCount,AngSize,TotMag,Emag,z,Aname1,Aname2,Aname3,Aname4
1,0,23,23,+,25,26,29,*,S3,4,2.9,12.8,13.8,--,U248,--,--,--
2,0,28,55,+,8,9,19,*,S2,4,7.1,12.1,12.9,--,U312,--,--,--
3,0,31,39,-,7,52,7,*,S2,4,3.8,12.3,13.0,--,--,--,--,--
4,0,31,46,-,21,43,20,*,S1,5,3.6,12.5,13.0,--,--,--,--,--
5,0,36,19,+,6,47,20,*,S2,4,1.6,12.5,13.3,--,N190,U397,--,--
6,0,36,38,-,8,40,12,*,E3,4,1.6,12.3,13.4,--,--,--,--,--
7,0,36,50,+,0,36,13,*,E2,4,5.7,11.4,12.1,--,N192,U401,--,--
8,0,46,57,+,23,18,31,*,E2,4,1.2,12.3,13.2,--,--,--,--,--
9,0,51,51,-,23,49,20,--,E1,4,2.1,13.1,13.6,--,--,--,--,--
10,1,23,17,+,34,25,53,*,S3,4,10.9,10.1,10.9,--,N536,U1013,--,--
11,1,24,11,-,23,29,26,--,S1,4,4.9,12.1,12.5,--,--,--,--,--
12,1,25,2,-,4,55,46,*,E1,5,2.6,12.9,13.4,--,--,--,--,--
13,1,29,52,-,8,8,16,*,E2,5,2.5,13.3,14.0,--,--,--,--,--
14,1,57,18,-,7,16,14,*,S3,4,6.7,12.1,13.0,--,--,--,--,--
15,2,5,4,+,1,54,4,*,E3,6,7.7,11.7,13.3,--,U1624,--,--,--
16,2,7,6,-,10,23,56,*,S3,4,6.4,10.2,11.4,--,ARP318,N835,--,--
17,2,11,24,+,13,4,49,*,E3,5,1.0,13.7,15.0,--,--,--,--,--
18,2,36,19,+,18,10,5,--,S2,4,2.0,12.7,13.4,--,ARP258,VV143,U2140,--
19,2,40,21,-,12,37,26,--,E3,4,3.1,12.1,13.0,--,--,--,--,--
20,2,41,20,+,25,53,31,*,S3,6,1.5,13.0,14.5,--,--,--,--,--
21,2,42,58,-,17,49,46,*,S3,5,10.8,10.1,11.0,--,N1099,--,--,--
22,3,1,11,-,15,52,14,*,E1,5,5.0,10.5,11.1,--,N1199,--,--,--
23,3,4,41,-,9,46,38,*,S3,5,7.1,11.2,12.1,--,N1214,--,--,--
24,3,17,55,-,11,2,40,*,E2,4,2.4,12.7,13.6,--,--,--,--,--
25,3,18,11,-,1,13,53,*,S3,7,6.4,11.8,12.9,--,--,--,--,--
26,3,19,33,-,13,49,27,*,S2,4,1.9,12.7,13.3,--,--,--,--,--
27,4,17,0,-,11,49,46,*,S3,5,3.8,14.0,15.1,--,--,--,--,--
28,4,24,57,-,10,25,39,*,S1,4,1.2,13.2,13.7,--,--,--,--,--
29,4,32,49,-,30,38,58,*,S2,4,0.8,14.8,15.2,--,--,--,--,--
30,4,33,58,-,2,55,59,*,S3,4,4.5,11.6,12.4,--,--,--,--,--
31,4,59,8,-,4,19,42,*,S2,4,0.9,13.5,14.3,--,--,--,--,--
32,4,59,27,-,15,29,29,*,E1,4,3.0,12.7,13.3,--,--,--,--,--
33,5,7,53,+,17,58,25,*,E3,4,2.1,12.4,13.5,--,--,--,--,--
34,5,19,6,+,6,37,45,*,E1,4,1.2,12.7,13.1,--,--,--,--,--
35,8,41,56,+,44,42,14,*,S3,6,2.2,12.4,13.6,--,--,--,--,--
36,9,6,37,+,15,59,57,--,S1,4,1.9,12.5,12.9,--,--,--,--,--
37,9,10,36,+,30,13,16,*,E2,5,3.2,11.5,12.1,--,--,--,--,--
38,9,24,56,+,12,29,56,*,S3,4,2.9,12.5,13.8,--,--,--,--,--
39,9,26,56,-,1,7,30,*,E2,4,1.0,13.9,15.1,--,--,--,--,--
40,9,36,24,-,4,37,32,*,E2,6,1.7,11.4,12.5,--,--,--,--,--
41,9,54,31,+,45,28,41,--,S1,4,4.1,11.9,12.4,--,U5345,--,--,--
42,9,58,0,-,19,24,31,*,E1,4,6.0,10.6,10.9,--,N3091,--,--,--
43,10,8,40,+,0,12,55,*,S2,5,3.5,12.4,13.3,--,--,--,--,--
44,10,15,15,+,22,3,46,*,S2,4,16.4,9.3,10.0,0.004,ARP316,--,--,--
45,10,15,49,+,59,21,38,*,S1,4,3.4,13.5,14.0,--,U5564,--,--,--
46,10,19,19,+,18,4,3,*,E3,4,3.6,12.3,13.8,--,--,--,--,--
