 01a   10237   Sc      Tidal arm (I)
 01b   10266   Im      Tidal arm (I)
 02a    4326   SBd     Disturbed morpho tail-like possibly IR (I)
 02b    4366   cI      Disturbed morpho-IR (I)
 02c    4235   SBc     Disturbed morpho (I)
 04a    8097   Sc      IR
 04c    8863   E2      Disturbed morpho (M?)
 04d    8215   E4      Disturbed morpho-emission-too blue (M)
 05a   12147   Sab     Distorted spiral arm-interacting with b (I)
 05b   12221   E0      Interacting with a (I)
 06b   11377   Sab     Boxy dust lane-weak radio
 07a    4210   Sb      Dust lane-tidal spiral arms-radio-IR (I)
 07c    4366   SBc     IR
 08a   16014   E5      Double nuclei strongly n.c.i. (M,I)
 08b   15966   S0      Extension toward 08a (I)
 10a    5148   SBb     H I anomalous profile (I)
 10b    4862   E1      Sharp extension (M)
 10c    4660   Sc      Warped disk or tidally distorted spiral arms (I)
 12a   14407   S0      Double nuclei (M)
 12b   14956   SB0     Large P.A. twist
 13b   12100   E0      n.c.i.-interacting with c emission-radio (I)
 13c   12240   S0      Asym-interacting with b (I)
 14a    5929   Sb      IR
 14b    5305   E5      Diffuse, extended galaxy-emission (I)
 14c    5145   Sbc     Asym. morpho (I)
 15a    6967   Sa      Weak radio
 15b    7117   E0      Strong dust lane in the center
 15d    6244   E2      n.c.i.-weak radio (I)
 15f    6242   Sbc     Disturbed morpho (I)
 16a    4152   SBab    Disturbed morpho-lopsided r.c.-radio-IR (I)
 16b    3977   Sab     Tidal tails-peculiar r.c. (I)
 16c    3851   Im      Sinusoidal r.c.-radio-IR (M)
 16d    3847   Im      Sinusoidal r.c.-radio-IR (M)
 21a    7614   Sc      IR
 22a    2705   E2      Dust lane
 23a    4798   Sab     Weak nuclear and disk emission
 23b    4921   SBc     Luminous cusps at end or bar-radio IR (I)
 23c    5016   S0      Spindle counterrotating gas-[N II], H_alpha emission (I)
 23d    4562   Sd      Peculiar morpho-IR (I)
 24b    9137   SBa     Peculiar morpho (I)
 25a    6285   SBc     Weak radio IR
 25b    6408   SBa     Extension to the south towards 25f (I)
 25d    6401   S0      Peculiar morpho may have warped disk (I)
 25f    6279   S0      Extension toward 25b (I)
 26a    9678   Scd     Asym. morpho weak radio-IR (I)
 26b    9332   E0      Tail-like features-weak radio (I)
 26d    9133   cI      Extension to the south-possibly IR (I)
 26e    9623   Im      Disturbed morpho (I)
 27f   26100   S0      Radio
 28a   11441   Sb      Extension toward 28e dust lane (I)
 28c   11290   S0      Probably interacting with 28a (I)
 30b    4625   Sa      Dust lane
 30c    4508   SBbc    Peculiar morpho (I)
 30d    4666   S0      Boxy isophotes
 31a    4042   Sdm     Sinusoidal r.c.-disturbed morpho-WR-possibly IR (I,M)
 31b    4171   Sm      Peculiar morpho and r.c.-WR-possibly IR (I)
 31c    4068   Im      Peculiar morpho and r.c.-IR (I,M)
 33a    7570   E1      Distorted outer isophote emission-radio (I)
 33b    8006   E4      Distorted outer isophote emission (I)
 33c    7283   Sd      In common envelope with a and b-radio-IR (I)
 34a    8997   E2      [N II], H_alpha emission-two emission peaks-radio (I)
 34b    9620   Sd      Tail-like feature-radio-IR (I)
 34c    9392   SBd     Weak radio-irregular vel. pattern-possibly IR (n
 35a   15919   S0      Weak emission which extends beyond the nucleus
 37a    6745   E7      Rapidly rotating disk of ionized gas-blue-radio (I)
 37b    6741   Sbc     Asym. vel. pattern-dust lane-radio IR (I)
 37c    7357   S0a     Contains ionized gas-in the envelope of 37a
 37d    6207   SBdm    Weak radio
 37e    6363   E0      Blue (I)
 38a    8760   Sbc     Peculiar morpho (I)
 38b    8739   SBd     Tidal tail-strongly disturbed morpho (I,M) IR
