  1 NGC 2857         09 24.63  49 21.4  5.2 E 168 224  84
  2 UGC 10310        16 16.30  47 02.8  3.5 E 252 336 126
  3 MCG-01-57-016    22 36.57 -02 54.3  5.2 N 168 224  84
  4 MCG-02-05-50+A   01 48.43 -12 22.9  3.5 E 252 336 126
  5 NGC 3664         11 24.41  03 19.6  2.6 N 336 448 168
  6 NGC 2537         08 13.24  45 59.5  2.6 E 336 448 168
  7 MCG-03-23-009    08 50.29 -16 34.6  2.6 N 336 448 168
  8 NGC 0497         01 22.39 -00 52.5  3.5 S 252 336 126
  9 NGC 2523         08 14.99  73 34.8  3.5 E 252 336 126
 10 UGC 01775        02 18.44  05 39.2  2.6 E 336 448 168
 11 UGC 00717        01 09.39  14 20.2  5.2 W 168 224  84
 12 NGC 2608         08 35.29  28 28.4  3.5 S 252 336 126
 13 NGC 7448         23 00.04  15 59.4  2.6 S 336 448 168
 14 NGC 7314         22 35.76 -26 03.0  5.2 N 168 224  84
 15 NGC 7393         22 51.66 -05 33.5  2.6 E 336 448 168
 16 MESSIER 66       11 20.25  12 59.3 10.4 S  84 112  42
 17 UGC 03972        07 44.55  73 49.8  2.1 W 420 560 210
 18 NGC 4088         12 05.59  50 32.5  5.2 E 168 224  84
 19 NGC 0145         00 31.75 -05 09.2  2.6 E 336 448 168
 20 UGC 03014        04 19.90  02 05.7  2.1 W 420 560 210
 21 CGCG 155-056     11 04.98  30 01.6  2.1 S 420 560 210
 22 NGC 4027         11 59.51 -19 15.8 10.4 N  84 112  42
 23 NGC 4618         12 41.54  41 09.0 20.8 W  42  56  21
 24 NGC 3445         10 54.61  56 59.4  3.5 E 252 336 126
 25 NGC 2276         07 27.22  85 45.3  5.2 N 168 224  84
 26 MESSIER 101      14 03.21  54 21.0 32.4 N  27  36  14
 27 NGC 3631         11 21.04  53 10.3  5.2 E 168 224  84
 28 NGC 7678         23 28.46  22 25.3  2.6 W 336 448 168
 29 NGC 6946         20 34.87  60 09.2 20.8 E  42  56  21
 30 NGC 6365A + B    17 22.72  62 10.4  2.6 N 336 448 168
 31 IC 0167          01 51.14  21 54.8  3.5 E 252 336 126
 32 UGC 10770        17 13.13  59 19.4  2.1 N 420 560 210
 33 UGC 08613        13 37.40  06 26.2  3.5 E 252 336 126
 34 NGC 4615+13+14   12 41.62  26 04.3  5.2 W 168 224  84
 35 UGC 00212 +comp  00 22.38 -01 18.2  5.2 S 168 224  84
 36 UGC 08548        13 34.25  31 25.5  2.6 N 336 448 168
 37 MESSIER 77       02 42.68  00 00.8  3.5 E 252 336 126
 38 NGC 6412         17 29.60  75 42.3  3.5 N 252 336 126
 39 NGC 1347         03 29.70 -22 16.7  3.5 E 252 336 126
 40 IC 4271          13 29.34  37 24.5  2.1 E 420 560 210
 41 NGC 1232 + A     03 09.76 -20 34.7 10.4 E  84 112  42
 42 NGC 5829+IC4526  15 02.70  23 19.9  3.5 N 252 336 126
 43 IC 0607          10 24.26  16 44.6  2.6 E 336 448 168
 44 IC 0609          10 25.55 -02 13.3  3.5 S 252 336 126
 45 UGC 09178        14 19.85  51 54.3  2.6 E 336 448 168
 46 UGC 12665        23 33.69  30 02.6  2.1 N 420 560 210
 47 CGCG 105-026     14 47.21  18 51.5  2.6 N 336 448 168
 48 CGCG 436-026     01 19.94  12 20.7  2.1 W 420 560 210
 49 NGC 5665         14 32.43  08 04.8  2.6 E 336 448 168
 50 IC 1520          23 57.97 -14 01.8  2.1 E 420 560 210
 51 MCG-02-01-24     00 06.28 -13 26.9  2.1 N 420 560 210
 52 CGCG 421-027     05 19.73  03 43.0  2.1 N 420 560 210
 53 NGC 3290         10 35.29 -17 16.5  2.6 W 336 448 168
 54 MCG-01-07-007    02 24.03 -04 41.6  2.6 N 336 448 168
 55 UGC 04881        09 15.93  44 19.9  2.6 ? 336 448 168
 56 UGC 01432        01 57.43  17 13.0  2.1 W 420 560 210
 57 MCG+03-34-012    13 16.67  14 26.2  2.6 E 336 448 168
 58 UGC 04457        08 31.97  19 12.8  2.6 S 336 448 168
 59 NGC 0341         01 00.76 -09 11.1  2.6 S 336 448 168
 60 ARP 060          13 14.79  26 05.1  2.1 W 420 560 210
 61 UGC 03104        04 36.70 -02 17.2  2.1 W 420 560 210
 62 UGC 06865        11 53.60  43 27.3  2.1 S 420 560 210
 63 NGC 2944         09 39.28  32 18.6  2.1 W 420 560 210
 64 UGC 09503        14 45.43  19 27.9  2.6 W 336 448 168
 65 NGC 0091         00 21.86  22 24.0  5.2 E 168 224  84
 66 UGC 10396        16 26.88  51 33.3  2.6 N 336 448 168
 67 UGC 00892        01 21.28 -00 32.7  2.6 S 336 448 168
 68 NGC 7757(56?)    23 48.75  04 10.4  3.5 W 252 336 126
 69 NGC 5579 + 80    14 20.44  35 11.3  2.6 S 336 448 168
 70 UGC 00934        01 23.47  30 47.1  2.6 S 336 448 168
 71 NGC 6045         16 05.13  17 45.4  2.1 E 420 560 210
 72 NGC 5994 + 96    15 46.89  17 52.3  3.5 W 252 336 126
 73 IC 1222          16 35.15  46 12.8  2.6 E 336 448 168
 74 UGC 01626        02 08.36  41 28.8  2.6 S 336 448 168
 75 NGC 0702         01 51.31 -04 03.3  3.5 E 252 336 126
 76 MESSIER 90       12 36.83  13 09.8 10.4 N  84 112  42
 77 NGC 1097         02 46.32 -30 16.5 10.4 W  84 112  42
 78 NGC 0772 + 770   01 59.34  19 00.4 10.4 W  84 112  42
 79 NGC 5490C        14 10.12  17 36.9  2.1 E 420 560 210
 80 NGC 2633         08 48.11  74 06.0  3.5 S 252 336 126
 81 NGC 6621 + 22    18 12.91  68 21.8  2.6 S 336 448 168
 82 NGC 2535 + 36    08 11.23  25 12.4  5.2 S 168 224  84
 83 NGC 3800 + 3799  11 40.22  15 20.6  3.5 W 252 336 126
 84 NGC 5395 + 94    13 58.64  37 25.5  5.2 N 168 224  84
 85 MESSIER 51       13 29.87  47 11.9 21.8 N  40  54  20
 86 NGC 7753 + 52    23 47.08  29 29.0  5.2 W 168 224  84
 87 NGC 3808 + A     11 40.74  22 25.7  3.5 N 252 336 126
 88 VV 445           01 19.09  12 28.7  2.1 E 420 560 210
 89 NGC 2648 + comp  08 42.67  14 17.1  5.2 S 168 224  84
 90 NGC 5930 + 29    15 26.13  41 40.5  2.6 S 336 448 168
 91 NGC 5953 + 54    15 34.54  15 11.7  2.6 N 336 448 168
 92 NGC 7603 + comp  23 18.94  00 14.6  2.6 N 336 448 168
 93 NGC 7284 + 85    22 28.60 -24 50.6  5.2 N 168 224  84
 94 NGC 3226 + 27    10 23.45  19 53.9 10.4 N  84 112  42
 95 IC 4461 + 62     14 35.03  26 32.6  2.6 N 336 448 168
 96 UGC 03528A       07 03.01  86 36.2  3.5 E 252 336 126
 97 UGC 07085A       12 05.76  31 03.6  2.6 N 336 448 168
 98 UGC 01095 +comp  01 32.28  32 05.4  2.6 W 336 448 168
 99 NGC 7550 + 49    23 15.27  18 57.7 10.4 S  84 112  42
100 IC 0018 + 19     00 28.64 -11 34.4 10.4 S  84 112  42
101 UGC 10169 + 164  16 04.53  14 49.1  5.2 S 168 224  84
102 UGC 10814        17 19.24  48 58.8 10.4 S  84 112  42
103 UGC 10586        16 49.43  45 27.5  3.5 N 252 336 126
104 NGC 5218 + 16    13 32.18  62 46.0 10.4 S  84 112  42
105 NGC 3561A&B      11 11.22  28 41.7  5.2 S 168 224  84
106 NGC 4211 + A     12 15.60  28 10.6  2.6 S 336 448 168
107 UGC 05984        10 52.31  30 04.0  3.5 E 252 336 126
108 ESO 547-G002&3   03 03.09 -22 13.0  2.6 S 336 448 168
109 UGC 10053        15 48.13  69 27.5  3.5 E 252 336 126
110 MCG-03-58-011    22 54.15 -15 14.2  2.1 W 420 560 210
111 NGC 5421         14 01.68  33 49.7  2.6 S 336 448 168
112 NGC 7805 + 06    00 01.45  31 26.0  3.5 S 252 336 126
113 NGC 0070         00 18.37  30 04.8  5.2 N 168 224  84
114 NGC 2300+2276    07 32.33  85 42.5 10.4 W  84 112  42
115 UGC 06678        11 43.05  26 16.6  2.6 S 336 448 168
116 MESSIER 60       12 43.66  11 33.2 10.4 W  84 112  42
117 IC 0982 + 983    14 09.98  17 41.8  5.2 S 168 224  84
118 NGC 1144 + 43    02 55.19  00 10.6  2.1 E 420 560 210
119 UGC 00849        01 19.40  12 26.8  2.6 S 336 448 168
120 NGC 4438         12 27.76  13 00.5 10.4 S  84 112  42
121 MCG-01-03-051    00 59.39 -04 48.2  2.6 S 336 448 168
122 NGC 6040A + B    16 04.45  17 45.0  2.6 W 336 448 168
123 NGC 1888 + 89    05 22.54 -11 29.7  3.5 S 252 336 126
124 NGC 6361         17 18.68  60 36.4  3.5 E 252 336 126
125 UGC 10491        16 38.23  41 55.8  2.1 E 420 560 210
126 UGC 01449        01 58.09  03 06.0  2.6 E 336 448 168
127 NGC 0191         00 38.99 -09 00.1  2.6 E 336 448 168
128 UGC 00827        01 17.41  14 41.8  2.1 W 420 560 210
129 UGC 05146        09 39.41  32 21.7  2.1 W 420 560 210
130 IC 5378          00 02.63  16 38.6  2.6 N 336 448 168
131 MCG-03-08-25     02 47.3  -14 48.1  2.6 N 336 448 168
132 CGCG 011-053     11 19.35 -03 05.4  2.1 S 420 560 210
133 NGC 0541         01 25.74 -01 22.8  2.6 E 336 448 168
134 MESSIER 49       12 29.77  07 59.8 10.4 S  84 112  42
135 NGC 1023         02 40.40  39 03.8 10.4 E  84 112  42
136 NGC 5820         14 58.67  53 53.2  3.5 S 252 336 126
137 NGC 2914         09 34.05  10 06.5  2.1 N 420 560 210
138 NGC 4015         11 58.71  25 02.2  2.1 N 420 560 210
139 MCG+05-31-135    13 07.40  26 43.1  2.1 W 420 560 210
140 NGC 0275 + 74    00 51.08 -07 03.8  2.6 E 336 448 168
141 UGC 03730        07 14.35  73 28.8  2.6 S 336 448 168
142 NGC 2936 + 37    09 37.74  02 45.6  3.5 N 252 336 126
143 NGC 2444         07 46.88  39 01.9  3.5 S 252 336 126
144 NGC 7828         00 06.45 -13 25.0  2.6 W 336 448 168
145 ARP 145          02 23.13  41 22.2  2.6 N 336 448 168
146 VV 790           00 06.74 -06 38.2  2.1 N 420 560 210
147 IC 029  8        03 11.31  01 18.8  2.1 N 420 560 210
