MCG-06-01-001            23 50 12 -34 51 15.5  2   1 0.1   0.1  1  0.4   0.3    5                              N   ; H
MCG-06-01-002 *          23 50 42 -34 19 15.   3   1            1  0.2   0.2                                   N8  ;11                                                                                                                                    1 2 003           0.6
MCG-06-01-003 *          23 50 48 -34 19 15.5  2   1            1  0.2   0.2                                   N8                                                                                                                                         1 D 002           0.6
MCG-06-01-004 *          23 52 24 -34 52 15.5  2   1 0.2   0.15 2  0.6   0.5    4  1  1.0   0.9                N8  ;1#BFP                                                   S C      L
MCG-06-01-005            23 52 24 -33 10 15.5  2   1 0.15  0.15 1  0.4   0.4    5                              N   ; HK
MCG-06-01-006 *          23 53 54 -34 52 16.   3   1 0.15  0.15 1  0.3   0.3    6                              N84 , HA                                                                                                                                                         2 2 17 0.2
MCG-06-01-007 *          23 54 24 -34 56 15.   3   1 0.2   0.15 1  0.7   0.5    4  1  1.3   1.0     8          N   ;1B4    ; DA                                             S B      L
MCG-06-01-008 *          23 54 24 -35 01 14.33 1 257 0.2   0.15 1  0.7   0.6    46    2.2   1.0 1 163          N8  ; HB                                                     SO       L                                         1.07 257                                         1 2 18 0.4
MCG-06-01-009 *NGC 7793  23 55 24 -32 51  9.7  2   6 1.0   1.0  2  6.0   5.0    6  1 14.0   8.0 1  98          LA  ;9SFC   2 LC                            R  SAS8   SI*AF  S D      L    217 185                    -0.14 228 0.50 228            F5
MCG-06-01-010 *          23 55 30 -34 34 14.5  2   1 0.15  0.15 1  0.5   0.4    5     1.0   0.6 1 140 1        N   ; H                                                      SO       L
MCG-06-01-011            23 55 36 -33 10 15.5  2   1            4  0.6   0.5    5  2                           $   ,2BF    ; DA    ; RB  2 , DA    2 RB
MCG-06-01-012 *          23 56 30 -35 21 15.   3   1 0.15  0.15 1  0.5   0.3    46 2                       N   NE  ; H     ,11FA                                                                                                                          2 2         B     0.2
MCG-06-01-013 *          23 58 24 -33 54 15.   3   1 0.1   0.1  2  0.8   0.7    4  1  1.5   1.2   120          L   ; LA    ;2#B                                             S C      L
MCG-06-01-014 *          23 59 12 -37 06 15.   3   1 0.1   0.1  1  0.5   0.5    56 1  1.2   1.1                N   ; D     2 RPA                                            S A:     L
MCG-06-01-015 *          23 59 30 -33 44 15.   3   1 0.4   0.2  1  1.3   0.5    6  2  1.0   0.6     8      N   F   ;92B    ; T                                              S A      L                                                                    2 3         B   1 0.6
MCG-06-01-016 *NGC 7812  00 00 24 -34 31 13.5  2   1            2  0.6   0.4    4  2  1.3   0.8   125          L   ;91B  1 2 LB                                             S 1      L                                                                                          1 2 17 0.2
MCG-06-01-017 *          00 00 42 -36 12 15.   3   1 0.15  0.15 1  0.6   0.5    46    1.1   1.1 1              N   ; HK                                                     SO       L
MCG-06-01-018 *          00 02 24 -35 58 16.   3   1            1  0.6   0.15   46 4                           L   ;29A                                                                                                                                   1 2 019           1.8
MCG-06-01-019 *          00 02 30 -35 58 15.   3   1 0.3   0.25 1  0.5   0.5    4                              N   ; H                                                                                                                                    1 D 018           1.8
MCG-06-01-020 *          00 02 54 -36 12 16.   3   1 0.2   0.1  2  1.0   0.1    46 5  1.4   0.2    55          L   ;29B1                                                    S 2      L                                                                    1 D 021           2.8
MCG-06-01-021 *          00 03 06 -36 13 15.5  2   1 0.1   0.1  2  0.5   0.5    4     1.1   1.0                N8  ; DB                                                     S B      L                                                                    1 2 020           2.8
MCG-06-01-022            00 03 24 -36 23 15.   3   1               0.15  0.15   1                              N      K
MCG-06-01-023 *          00 04 48 -37 44 16.   3   1 0.25  0.15 1  0.7   0.2    4  3  1.1   0.3 1   0          L   ; HB                                                     S        L
MCG-06-01-024 *NGC   10  00 06 06 -34 08 13.   3   1 0.5   0.25 1  1.7   1.2    35 2  3.0   1.5 1  25      N   L   ;9#A    2 LA    ;1#A                    R  SBS3          S C      L                                         0.83 243                                         1 4 17 0.8
MCG-06-01-025            00 06 18 -37 37 15.5  2   1 0.2   0.15 1  0.3   0.2                                   N83    K
MCG-06-01-026 *          00 06 30 -37 38 15.   3   1 0.2   0.15 1  0.8   0.6    5  1  1.0   0.7 1 171          NE  ; HB                                                     SO       L
MCG-06-01-027 *          00 06 36 -33 12 16.   3   1 0.4   0.2  1  1.0   0.2    5  3  1.7   0.3    20          L   ;9SB  1                                                  S B      L
MCG-06-01-028            00 06 54 -37 50 15.   3   1 0.4   0.35 1  0.7   0.5    4                       EP4
MCG-06-01-029            00 06 54 -37 53 17.   3   1 0.15  0.15 2  0.5   0.5    5  1                           $E  ;11C    , DB
MCG-06-01-030            00 07 00 -37 57 15.   3   1 0.25  0.25 1  0.5   0.5    5  1                           N   ; HB
MCG-06-01-031            00 07 18 -35 33 15.   3   1            1  0.3   0.3    3  1                    FC N                                                                                                                                                                    2 2 16 0.5
MCG-06-01-032            00 07 30 -37 03 14.5  2   1            1  0.25  0.2                                   N8E
MCG-06-01-033 *          00 08 24 -35 30 15.5  2   1 0.15  0.1  1  1.0   0.8    6     0.9   0.9                N8E ; H                                                      SR       L
MCG-06-01-034 *          00 08 48 -33 52 14.5  2   1 0.5   0.3  1  1.5   0.6    56 2  1.6   0.8    57          L   ;91A                                                     S B      L
MCG-06-01-035            00 10 42 -37 48 15.   3   1 0.15  0.1  1  0.5   0.4    46                             N8E ; H
MCG-06-01-036 *          00 12 00 -37 57 14.2  2 254 0.3   0.15 2  1.0   0.6    46 2  1.2   0.7    60   FB *                                                                S A      L
MCG-06-01-037 *          00 13 18 -33 18 14.5  2   1 0.3   0.2  2  0.9   0.7    45 2  1.0   0.7    16   FA4                                                                 S A:     L
MCG-06-01-038            00 14 12 -36 33 15.   3   1            1  0.25  0.25   5  1                           N3  ; H     ,12C
MCG-06-01-039 *          00 15 36 -34 10 15.   3   1 0.2   0.2  1  0.5   0.5    46 3  1.8   1.4    90          N   ;29A    , H                                              S2       L
MCG-06-01-040            00 16 42 -36 53 16.5  2   1            2  0.4   0.15   3  2                       N   L   ;9#B  1
MCG-06-01-041 *          00 17 18 -34 46 15.   3   1 0.15  0.15 1  0.8   0.5    4     1.6   1.1   121          N   ; HB                                                     SBA      L
MCG-06-02-001 *          00 18 00 -34 47 16.   3   1            2  0.4   0.07   3  4                    FC                                                                                                                                                1 2 002     B
MCG-06-02-002 *          00 18 01 -34 47 16.   3   1 0.15  0.15 1  0.4   0.3    46 1                           L   ;1#A    ,1#A    2 C                                                                                                                    1 D 001     B2        1 2 18 0.4
MCG-06-02-003 *          00 23 00 -33 20 15.5  2   1 0.2   0.2  1  0.3   0.3    56 1  1.5   1.1 1  23          N3  ; H                                                      SO       L
MCG-06-02-004 *          00 23 18 -33 22 16.   3   1 0.05  0.05 1  0.2   0.2    5     1.0   0.9                N   ; H                                                      S B:     L
MCG-06-02-005            00 23 54 -33 41 15.5  2   1 0.2   0.2  1  0.3   0.3    5                              N   ; H
