Mrk,Name
1,"N449, I1661, KUG"
2,"U1385, KUG"
3,U3426
4,"U3460, KUG"
5,KUG
6,"I450, U3547, KUG"
7,"U3838, VII Zw 153, VV 141a, KUG"
8,"I2184, U3852, VII ZW 156, VV 644, CP 135ab, KUG"
9,"VV 21, KUG"
10,"U4013, KUG"
11,"U4014, KUG"
12,"U4028, VV 439, KUG"
13,"I2209, U4093, KUG"
14,"U4242, KUG"
15,KUG
18,"N2726, U4750"
20,"= Mrk 107, U4951, KUG"
21,U5243
22,KUG
23,"VII Zw 301, KUG"
25,"U5408, VII Zw 308, VV 35, IG 393, KUG"
26,"U5491, KUG"
28,KUG
29,KUG
30,"N3188a, KUG"
31,"N3188, U5569, KUG"
33,"U5720, Arp 233, Haro 2"
35,"N3353, U5860, Haro 3"
36,"Haro 4, CG 82, PG"
37,CG 94
38,U6315
39,"VV 402, U6315"
40,"I Zw 26, VV 144, Arp 151, LB 2012"
41,"I2943, KUG"
42,A4R-46
43,KUG
44,"I2987, KUG"
47,KUG
49,"=Mrk 1318, U7354, Haro 8"
52,"N4385, U7515, UM 499"
53,"PB 3129, KUG"
54,"HZ 46, KUG"
55,KUG
56,KUG
59,"N4861, U8098, I Zw 49, Arp 266, VV797, CP 362a, PG, KUG"
60,KUG
61,KUG
62,"PB 3292, KUG"
64,"B 340, KUG"
68,OQ 208
71,"N2366, U3851, CP 133a"
73,KUG
77,KUG
78,"VV 22, KUG"
79,U3973
81,U3981
82,KUG
84,U4079
85,"N2534, U4268"
86,"N2537, U4274, Arp 6, VV 138, IG 235"
87,"N2544, U4327, CP 160a, KUG"
88,"U4417, I ZW 14"
90,U4438
95,KUG
98,KUG
100,U4687
101,U4749
102,U4829
103,KUG
105,"VV 28, KUG"
107,= Mrk 20
108,"I2458, VII Zw 276"
109,"CP 198a, KUG"
110,"VV 30, KUG"
111,"U5028, VII Zw 280, Arp 300, VV 106, CP 203a, KUG"
114,"IG339, U5055, KUG"
115,"U5063, KUG"
116,"I Zw 18, KUG"
117,KUG
119,"N2909, U5188"
121,N2957
124,"VV 32, KUG"
126,KUG
127,KUG
128,KUG
131,"N3073, U5374"
132,"I3453, U7666, A3-360"
133,"N3066, U5379, KUG"
139,KUG
140,KUG
143,"IG417, KUG"
144,KUG
146,"U5744, KUG"
148,"U5747, KUG"
149,"U5776, VII Zw 339"
150,KUG
153,PG
155,"U5953, 155"
156,U5998
157,U6029
158,"N3471, U6064"
159,CP 258a
161,"U6103, KUG"
162,KUG
169,"I691, U6447"
170,U6448
171,"N3690+I694, U6471-2, Arp 299, VV 118, Holm 256, CP 288ab"
174,KUG
175,U6520
176,"U6527, I Zw 27, VV 150, Arp 332, KUG"
177,KUG
178,"A4R-5, U6541"
179,"N3725, U6542"
180,VII Zw 412
181,U6583
184,KUG
185,"N3811, U6650"
186,"N3870, U6742"
188,"N3888, U6765, VV 455, KUG"
190,"N3928, U6834"
191,VII Zw 426
194,VII Zw 433
201,"N4194, U7241, I Zw 33, VV261, Arp 160"
203,U7340
207,"N4384, U7506"
209,"I ZW 36, Haro 29, PG"
210,U 7560
211,"I Zw 37a, N3"
212,"I Zw 37b, N2, VV737, CP 340b"
213,"N4500, U7667"
217,VII Zw 472
220,"U7905, I Zw 41, CP 354a"
221,"U7905, I Zw 41, VV 708, CP 354b"
223,VII Zw 483
231,"U8058, VII Zw 490"
238,VV605
241,KUG
248,"CP 368b, U8327"
249,"I875, U8355"
256,"N5144, U8420, VII Zw 511"
257,"N5164, U8458"
259,PG
261,VII Zw 518
265,KUG
266,"N5256, U8632, I Zw 67, CP 388ab"
270,"N5283, U8672"
271,"N5278-9, U8677-8, I Zw 69, Arp 239, VV 19, CP 390ab"
273,"U8696, I Zw 71, VV 851"
277,VII Zw 528
278,U8811
279,U8823
280,VV 688
281,"N5383, U8875, KUG"
283,"PB 1248+51, CG 334, KUG"
286,"N5607, U9189, VII Zw 547"
287,VII Zw 556
290,PG
291,KUG
292,KUG
293,KUG
294,KUG
295,KUG
296,KUG
297,"N6052, U10182, Arp 209, VV 86, KUG"
298,"I1182, U10192, VV 220, KUG"
299,KUG
300,"I1189, KUG"
303,N7244
304,II Zw 175
305,U12066
306,U12066
307,"N7316, U12098, IG 974"
309,"IV Zw 121, IG 993, PG"
310,KUG
311,"I1461, KUG"
312,KUG
313,"N7465, U12317, Ark 573, Holm 302b, PG, KUG"
314,"N7468, U12329, KUG"
315,II Zw 187
316,N7525
317,KUG
318,"N7580, U12481"
319,"U12490, CP 581a, KUG"
321,"N7620, U12520, KUG"
322,"IV Zw 142, KUG"
323,"N7624, U12527, KUG"
325,"N7673, U12607, IV Zw 149, CP 584a, VV 619, KUG"
326,"N7677, U12610, CP 584b, VV619, KUG"
328,IG 1031
330,U127147
331,"CP 593b, KUG"
332,"N7798, U12884, KUG"
333,"N7805, U12908, Arp 112, VV 226, CP 602a, KUG"
334,"U6, IV Zw 1, VV 806, KUG"
335,KUG
336,"N7836, U65, KUG"
337,KUG
338,U226
339,U233
341,"N169+I1559, Arp 282, CP 13b"
343,U386
347,"I1586, III Zw 12"
348,"N262, U499, OB+376"
353,"N354, U645"
358,KUG
359,U1032
360,"III Zw 33, VV 790"
361,PG
363,"N694, U1310, V Zw 122"
364,V Zw 155
366,III Zw 42
368,"I235, U2016"
369,"II Zw 4, III Zw 50"
370,"N1036, I1828-9, U2160"
372,I1854
375,KUG
380,KUG
382,"IG214, KUG"
383,"N2495, KUG"
384,"N2512, U4191"
386,"N2565, U4334, KUG"
388,"Ton 323, AT Cnc"
389,"N2599, KUG"
391,"N2691, U4664, KUG"
392,"G 047-018, WD"
394,"N2824, U4933"
399,CG 259
400,U5023
401,"N2893, U5060, CG 21, KUG"
402,"CG 22, KUG"
404,"IN N2964, U5183, CP 210a, KUG"
405,"N2970, T 25a, CG 31"
406,"CG 32, KUG"
407,KUG
408,CG 289
409,"N3011, U5259, CG 33, KUG"
410,"CG 300, KUG"
411,"I2524, CG 310, KUG"
412,"CG 43, KUG"
413,CG 47
414,"CP 226a, Holm 169a"
415,KUG
416,U5833
418,"N3442, U6001"
420,KUG
421,"U6132, B2 1101+38, OM 303, KUG"
422,N3558
424,"PG, KUG"
426,KUG
427,KUG
428,KUG
429,KUG
430,"N3921, U6823, I Zw 28, Arp 224, VV31, KUG"
431,U6827
432,"N4004, U6950, VV 230, KUG"
433,KUG
435,KUG
439,"N4369, U7489"
441,I3723
442,"N4687, U7958, KUG"
443,KUG
444,Haro 37
445,I3808
446,"N4719, U7987, IG 553, KUG"
449,"N5014, U8271, KUG"
450,"U8323, VV 616, KUG"
451,"KUG, PG"
452,"N5142, U8435, CP 373b, KUG"
453,KUG
454,VV 831
455,"U8520, VV326, KUG, PG"
456,KUG
459,"U8561, KUG"
461,U8713
463,U8850
464,"PB 996, KUG"
466,U8945
467,"KUG, CG 374"
468,"PB 1851, CG386, KUG"
469,KUG
470,"N5596, U9208, KUG"
471,"U9214, CG 411, KUG"
472,"CG 442, KUG"
473,KUG
474,"N5683, Holm 663b, CG 476, Reiz 4231"
475,CG 493
476,CG 492
477,"I Zw 92, N1, VV 74, CG 509, KUG"
478,"CG 512, PG"
479,"I1076, U9595, CP 444b"
480,"N5860, U9717, I Zw 102, CG 626, CP 454a"
481,CG 729
482,CG 730
483,CG 741
484,CG 748
486,"I Zw 121,1, PG"
487,I Zw 123
489,"N5992, U10003, CP 471a"
490,PG
491,I1144
492,KUG
493,U10120
494,"U10128a, VV 828"
496,"N6090, U10627, I Zw 135, CP 486b, VV 626"
498,I Zw 140
499,I Zw 166
501,"U10599, B2 1652+39"
503,"=Mark 890, N6275, VII Zw 667"
504,PG
506,CP 510b
514,II Zw 123
518,U11865
520,U11871
521,N7427
522,KUG
523,N7455
526,U12416
527,"N7518, U12422"
528,U12434
529,N7532
530,"N7603, U12493, Arp 92, UM 156"
531,"N7648, I1486, U12575"
533,"N7674, U12608, Arp 182, VV 343"
534,"N7679, U12618, Arp 216, VV 329"
535,KUG
538,"N7714, U12699, CP 587a, VV 51, Arp 284, UM 167, PB 5465"
542,"UM 191, PB 5623"
543,"N7811, III Zw 127, PB 5697"
544,PB 5712
545,"N23, U89"
546,"UM 219, PB 5812, KUG"
547,"N788, U194, CP 6b, KUG"
549,"UM 229, KUG"
550,KUG
551,"IV Zw 23a+IV Zw 23b, CP 11ab"
552,"Holm 11, PB 6005"
553,UM 50
554,U402
555,"N245, U476, UM 274"
556,UM 71
558,"N279, U532"
561,U696
562,"I1639, U750"
563,UM 308
564,PB 6329
565,"I89, U818, UM 90"
567,UM 93
568,PB 6399
570,Ark 47
571,"N622, U1143, UM 343"
572,U1209
573,"U1214, UM 363"
575,U1260
576,UM 140
577,U1282
580,KUG
581,KUG
582,"U1449, Arp 126, VV 122, KUG  UM 152, PB 6529+30, CP 47b"
584,"UM 387, PB 6568"
585,"UM 391, PB 6611"
586,"UM 397, PB 6679, NAB 0205+02, KUG"
