Name,Mrk
Asiago A1-91,636
Asiago A3-119,769
Asiago A3-360,1328
Asiago A4R-5,178
Asiago A4R-40,1460
Asiago A4R-46,42
Ark  42,991
Ark  47,570
Ark  62,1010
Ark  64,1011
Ark  80,1034
Ark  81,1034
Ark  89,1050
Ark 120,1095
Ark 176,626
Ark 198,1228
Ark 202,705
Ark 209,1418
Ark 225,1242
Ark 233,1247
Ark 236,719
Ark 251,1260
Ark 253,1261
Ark 268,1271
Ark 307,745
Ark 311,747
Ark 312,1304
Ark 323,640
Ark 332,1308
Ark 351,761
Ark 364,1267
Ark 370,770
Ark 374,771
Ark 375,772
Ark 380,649
Ark 383,778
Ark 409,1477
Ark 410,785
Ark 423,1356
Ark 432,1365
Ark 440,667
Ark 439,803
Ark 465,838
Ark 470,842
Ark 489,1496
Ark 490,1101
Ark 493,866
Ark 497,1104
Ark 549,900
Ark 559,913
Ark 567,922
Ark 570,923
Ark 573,313
Ark 583,929
Ark 585,1134
Arp 6,86
Arp 59,968
Arp 72,691
Arp 84,1508
Arp 86,1134
Arp 91,1512
Arp 92,530
Arp 109,1099
Arp 111,665
Arp 112,333
Arp 118,1504
Arp 119,984
Arp 126,582
Arp 151,40
Arp 160,201
Arp 161,1304
Arp 163,656
Arp 182,533
Arp 186,617
Arp 209,297
Arp 216,534
Arp 224,430
Arp 228,575
Arp 233,33
Arp 239,271
Arp 259,1089
Arp 266,59
Arp 282,341
Arp 284,538
Arp 298,1512
Arp 299,171
Arp 300,111
Arp 318,1021
Arp 318,1022
Arp 332,176
B2 1101+38,421
B2 2320+32,929
CG 2,628
CG 21,401
CG 22,402
CG 31,405
CG 32,406
CG 33,409
CG 43,412
CG 47,413
CG 82,36
CG 94,37
CG 104,635
CG 112,737
CG 118,744
CG 121,746
CG 127,748
CG 150,757
CG 168,766
CG 184,774
CG 220,626
CG 224,627
CG 259,399
CG 289,408
CG 300,410
CG 310,411
CG 334,283
CG 336,666
CG 340,1369
CG 374,467
CG 382,671
CG 384,672
CG 397,676
CG 402,1490
CG 411,471
CG 418,811
CG 442,472
CG 386,468
CG 476,474
CG 492,476
CG 493,475
CG 497,818
CG 498,1386
CG 509,477
CG 512,478
CG 554,825
CG 557,826
CG 558,827
CG 559,828
CG 560,829
CG 590,833
CG 593,834
CG 626,480
CG 636,845
CG 641,846
CG 677,848
CG 488,686
CG 700,1399
CG 715,854
CG 729,481
CG 730,482
CG 741,483
CG 748,484
CG 751,857
CP 6b,547
CP 11a+b,551
CP 13b,341
CP 29a,984
CP 30a+b,938
CP 34a,997
CP 47b,582
CP 59b,588
CP 67ab,1034
CP 83b,1504
CP 89a,1076
CP 97a,1080
CP 98b,1081
CP 99b,616
CP 103b,1087
CP 133a,71
CP 135ab,8
CP 160a,87
CP 198a,109
CP 203a,111
CP 206b,1233
CP 210a,404
CP 216b,1236
CP 226a,414
CP 258a,159
CP 272b,729
CP 288ab,171
CP 295a,744
CP 307a,752
CP 322b,1466
CP 335a,1325
CP 340b,212
CP 354a,220
CP 354b,221
CP 362a,59
CP 368b,248
CP 370ab,786
CP 372ab,788
CP 373b,452
CP 384ab,1479
CP 385b,1356
CP 388ab,266
CP 390ab,271
CP 395a,1360
CP 404a,1508
CP 407a,665
CP 414b,803
CP 419a,1376
CP 424ab,809
CP 438a,829
CP 444b,479
CP 451b,839
CP 452a,842
CP 454a,480
CP 463a,851
CP 468ab,1512
CP 471a,489
CP 472a,691
CP 482a,1104
CP 486b,496
CP 488ab,874
CP 510b,506
CP 552b,897
CP 575a,1514
CP 581a,319
CP 584a,325
CP 584b,326
CP 587a,538
CP 591a,1134
CP 593b,331
CP 602a,333
Haro 2,33
Haro 3,35
Haro 4,36
Haro 8,49
Haro 9,656
Haro 15,960
Haro 25,727
Haro 27,1507
Haro 29,209
Haro 30,650
Haro 37,444
Haro 42,685
Holm  4,937
Holm 11,552
Holm 146,1237
Holm 29b,966
Holm 169a,414
Holm 211a,1261
Holm 256,171
Holm 258b,1296
Holm 275,747
Holm 302b,313
Holm 344a,758
Holm 423a,775
Holm 423b,776
Holm 428,1329
Holm 439,780
Holm 441a,1333
Holm 476b,1337
Holm 497,781
Holm 569,799
Holm 583,804
Holm 604,1376
Holm 623,1379
Holm 663b,474
Holm 683a,827
Holm 683b,828
Holm 693a,842
Holm 708a,852
Holm 708b,853
Holm 714,1512
Holm 803,1514
I19,949
I25,952
I89,565
I118,700
I162,1007
I162,1008
I214,1027
I225,1038
I234,1045
I235,368
I277,602
I399,1090
I401,1092
I450,6
I528,1225
I576,1240
I606,721
I630,1259
I638,632
I666,1276
I676,731
I691,169
I694,171
I723,1305
I745,1208
I767,760
I875,249
I961,664
I1076,479
I1102,1395
I1141,861
I1144,491
I1166,867
I1182,298
I1189,300
I1198,871
I1235,1109
I1460,923
I1461,311
I1486,531
I1536,939
I1559,341
I1586,347
I1598,962
I1639,562
I1661,1
I1683,987
I1765,1771
I1828-9,370
I1854,372
I2184,8
I2209,13
I2431,1224
I2453,1229
I2458,108
I2524,411
I2551,717
I2637,732
I2943,41
I2950,638
I2961,748
I2987,44
I3078,767
I3453,1328
I3533,774
I3582,649
I3589-91,1329
I3592,775
I3593,776
I3600,650
I3723,441
I3808,445
I4395,673
I4397,1510
I4630,1111
I5384,936
I5431,913
IG  214,382
IG  235,86
IG  248,387
IG  339,114
IG  359,1419
IG  383,710
IG  393,25
IG  417,143
IG  553,446
IG  974,307
IG  993,309
IG 1031,328
KUG 0000+216,334
KUG 0003+199,335
KUG 0005+327,336
KUG 0009+206,337
KUG 0012-018,546
KUG 0017+005,547
KUG 0019-018,549
KUG 0024-020A,946
KUG 0024-020B,947
KUG 0024+011,550
KUG 0028-006,952
KUG 0113+328,1
KUG 0113+328,976
KUG 0116+345,980
KUG 0119+341,987
KUG 0120+343,988
KUG 0121+318,992
KUG 0121+319,991
KUG 0121+345,990
KUG 0122+318,993
KUG 0123+313,358
KUG 0143+346,1006
KUG 0147+350,1009
KUG 0147+334,1008
KUG 0150+064,581
KUG 0150+067,580
KUG 0151+366,2
KUG 0152+351,1010
KUG 0154-056,1012
KUG 0155+028,582
KUG 0157-077,1013
KUG 0205+024,586
KUG 0206-080,1019
KUG 0206-103,1021
KUG 0207-078,1024
KUG 0207-103,1022
KUG 0207-080,1023
KUG 0207-090,1025
KUG 0207-078,1024
KUG 0207-105,1026
KUG 0208+035,588
KUG 0208+056,587
KUG 0211+038,589
KUG 0211+049,1027
KUG 0212-009,590
KUG 0214+014,591
KUG 0214+314,1028
KUG 0217-004,592
KUG 0217+324,1032
KUG 0220+319,1034
KUG 0223+009,1038
KUG 0225+310,1040
KUG 0229-003,1045
KUG 0229+306,1046
KUG 0230+004,1047
KUG 0234+342,1050
KUG 0237+350,1051
KUG 0246+351,1056
KUG 0246+338,1057
KUG 0246+347,1058
KUG 0249+365,1061
KUG 0254-029,601
KUG 0256-046,1065
KUG 0306-031,603
KUG 0309-003,1070
KUG 0310-054,604
KUG 0313-036,605
KUG 0314-002,1074
KUG 0316-063,1075
KUG 0317+003,1076
KUG 0322-031,608
KUG 0322-032,607
KUG 0322-063B,609
KUG 0323-063,610
KUG 0323-003,611
KUG 0328-033,612
KUG 0441+087,1084
KUG 0621+743,4
KUG 0635+756,5
KUG 0645+744,6
KUG 0646+774,701
KUG 0702+677,375
KUG 0713+745,380
KUG 0722+726,7
KUG 0723+722,8
KUG 0727+633,73
KUG 0732+588,9
KUG 0732+604,77
KUG 0737+652,78
KUG 0742+625,82
KUG 0743+610,10
KUG 0743+744,11
KUG 0744+744,12
KUG 0751+604,13
KUG 0752+393,382
KUG 0757+399,383
KUG 0804+391,622
KUG 0805+729,14
KUG 0813+261,623
KUG 0815+741,87
KUG 0816+221B,386
KUG 0821+258,624
KUG 0828+753,15
KUG 0829+227A,389
KUG 0842+371,626
KUG 0843+366,627
KUG 0844+703,95
KUG 0846+720,98
KUG 0851+397,391
KUG 0911+679,103
KUG 0915+716,105
KUG 0916+717,20
KUG 0919+474,109
KUG 0921+525,110
KUG 0923+686,111
KUG 0924+482,112
KUG 0926+560,114
KUG 0927+297,401
KUG 0927+494,115
KUG 0930+554,116
KUG 0930+502,117
KUG 0932+306,402
KUG 0937+485,1418
KUG 0939+320,404
KUG 0940+322,405
KUG 0941+298,406
KUG 0944+393,407
KUG 0944+542,1425
KUG 0945+507,124
KUG 0946+324,409
KUG 0946+558,22
KUG 0948-013,1238
KUG 0949+524,126
KUG 0950+379,410
KUG 0951+420,1427
KUG 0953+602,23
KUG 0951+514,127
KUG 0953+603,128
KUG 0954+338,411
KUG 0955+324,412
KUG 0957+723,133
KUG 1000+596,25
KUG 1001+067,714
KUG 1008+591,26
KUG 1008+589,27
KUG 1009+586,28
KUG 1012+440,139
KUG 1013+455,140
KUG 1014+603,29
KUG 1016+576A,30
KUG 1016+576B,31
KUG 1020+610,1431
KUG 1023+442,144
KUG 1023+625,143
KUG 1025+400B,415
KUG 1032+448,146
KUG 1032+445,148
KUG 1035+447,150
KUG 1048+448A,155
KUG 1052+394,1268
KUG 1052+407,1269
KUG 1059+454,161
KUG 1100+381,420
KUG 1101+384A,421
KUG 1102+450,162
KUG 1113+418,1443
KUG 1127+370,424
KUG 1128+564,174
KUG 1129+532,176
KUG 1130+553,177
KUG 1133+157A,742
KUG 1133+162,636
KUG 1133+551,41
KUG 1134+146,740
KUG 1134+157,742
KUG 1135+123,743
KUG 1137+552,184
KUG 1138+354,426
KUG 1138+382,638
KUG 1139+162A,747
KUG 1140+363,427
KUG 1140+537,1451
KUG 1141+374,428
KUG 1141+553,1452
KUG 1141+374,428
KUG 1142+558,1455
KUG 1143+351,429
KUG 1144+527,1456
KUG 1144+527,1457
KUG 1144+562,188
KUG 1145+527,1458
KUG 1146+159,749
KUG 1147+153,750
KUG 1148+553,430
KUG 1149+156,751
KUG 1149+351,641
KUG 1155+281,432
KUG 1156+545,433
KUG 1200+390,44
KUG 1200+397B,43
KUG 1202+311,757
KUG 1209+294,761
KUG 1209+409,435
KUG 1213+408B,47
KUG 1214+283,765
KUG 1215+300,766
KUG 1226+317,770
KUG 1230+323,773
KUG 1237+352,653
KUG 1240+343,654
KUG 1241+291,655
KUG 1243+273,656
KUG 1244+356,442
KUG 1245+336,443
KUG 1246+274,657
KUG 1246+347,444
KUG 1247+334,446
KUG 1253+279,53
KUG 1254+276,55
KUG 1254+327,54
KUG 1255+246,447
KUG 1256+275,56
KUG 1256+274,57
KUG 1256+351,59
KUG 1257+281,60
KUG 1259+296,61
KUG 1302+305,62
KUG 1303+332,241
KUG 1304+346,64
KUG 1309+365,449
KUG 1312+242,658
KUG 1312+351,450
KUG 1313+305,785
KUG 1322+368,451
KUG 1322+366A,452
KUG 1323+332,453
KUG 1324+268,454
KUG 1326+225,660
KUG 1328+315,455
KUG 1329+272,661
KUG 1330+374A,456
KUG 1332+343,459
KUG 1335+280C,265
KUG 1338+306,268
KUG 1339+307,67
KUG 1342+273,68
KUG 1343+298,69
KUG 1344+299,274
KUG 1346+316,275
KUG 1351+406,1485
KUG 1352+152,1365
KUG 1353+124,797
KUG 1353+388,464
KUG 1355+420,281
KUG 1401+151,802
KUG 1401+418B,283
KUG 1406+149,1372
KUG 1406+154,1371
KUG 1407+165,805
KUG 1409+398,669
KUG 1410+347,467
KUG 1412+269,670
KUG 1413+347,671
KUG 1413+412,468
KUG 1415+270,673
KUG 1416+345,469
KUG 1417+365,675
KUG 1419+237,678
KUG 1420+373,470
KUG 1420+330,471
KUG 1421+330,679
KUG 1422+573,812
KUG 1424+231,681
KUG 1426+274,682
KUG 1426+361,472
KUG 1427+232,683
KUG 1428+274,685
KUG 1430+529,815
KUG 1430+570,473
KUG 1431+529,816
KUG 1439+537,477
KUG 1448+526,826
KUG 1453+557,831
KUG 1504+565,843
KUG 1507+526,846
KUG 1551+232,692
KUG 1551+232,693
KUG 1552+193,291
KUG 1553+190,292
KUG 1556+259,864
KUG 1556+269,492
KUG 1557+188,293
KUG 1559+165,694
KUG 1559+189,294
KUG 1600+264,867
KUG 1600+160,695
KUG 1601+193,295
KUG 1601+192,296
KUG 1603+206,297
KUG 1603+179,298
KUG 1603+174,299
KUG 1604+183,300
KUG 1606+124,871
KUG 1606+199,872
KUG 1608+181,873
KUG 1620+384,879
KUG 1621+406,880
KUG 1622+411,699
KUG 1624+404,881
KUG 1625+392,882
KUG 2255+164,310
KUG 2256+149,311
KUG 2257+161,522
KUG 2258+160,312
KUG 2259+156,313
KUG 2300+163,314
KUG 2311+235,317
KUG 2316+249,319
KUG 2317+259,322
KUG 2317+239,321
KUG 2317+270,323
KUG 2325+233,325
KUG 2325+232,326
KUG 2329+255,535
KUG 2348+203,331
KUG 2356+175,332
KUG 2358+311,333
N17,938
N23,545
N34,938
N78B,547
N114,946
N118,947
N169,341
N245,555
N262,348
N279,558
N341,968
N354,353
N449,1
N451,976
N569,997
N589,999
N591,1157
N622,571
N632,1002
N638,1003
N688,1009
