SuperCl,Flag,Cluster,z,SGX,SGY,SGZ
1.1,*,14,0.064,3.0,-229.0,10.0
1.1,*,44,0.0559,119.0,-161.0,33.0
1.1,*,74,0.0672,16.0,-238.0,-10.0
1.1,*,75,0.0617,158.0,-152.0,35.0
1.1,*,76,0.0416,82.0,-131.0,15.0
1.1,--,77,0.0719,203.0,-145.0,47.0
1.1,--,79,0.0927,214.0,-228.0,45.0
1.1,*,85,0.0518,54.0,-182.0,2.0
1.1,*,86,0.061,18.0,-218.0,-11.0
1.1,--,104,0.0822,216.0,-182.0,38.0
1.1,*,114,0.0566,19.0,-203.0,-19.0
1.1,*,117,0.0536,57.0,-187.0,-10.0
1.1,*,119,0.044,70.0,-147.0,-2.0
1.1,*,133,0.0604,22.0,-215.0,-28.0
1.1,*,147,0.0438,80.0,-141.0,-7.0
1.1,*,150,0.0596,139.0,-164.0,1.0
1.1,*,151,0.0526,41.0,-186.0,-25.0
1.1,*,154,0.0658,165.0,-167.0,4.0
1.1,*,158,0.0645,160.0,-166.0,3.0
1.1,*,160,0.0447,112.0,-122.0,0.0
1.1,*,168,0.0452,78.0,-147.0,-14.0
1.1,*,171,0.0706,172.0,-181.0,-3.0
1.1,*,179,0.0547,146.0,-136.0,-3.0
1.1,*,189,0.0334,63.0,-108.0,-14.0
1.1,*,193,0.0482,106.0,-141.0,-15.0
1.1,*,195,0.0422,115.0,-107.0,-6.0
1.1,*,225,0.0692,181.0,-165.0,-21.0
1.1,*,240,0.0618,132.0,-175.0,-35.0
1.1,*,245,0.079,160.0,-219.0,-48.0
1.1,*,246,0.07,142.0,-198.0,-44.0
1.1,*,257,0.0706,171.0,-178.0,-38.0
1.1,*,261,0.0467,79.0,-147.0,-42.0
1.1,--,277,0.0947,122.0,-283.0,-92.0
1.1,*,279,0.0815,144.0,-233.0,-71.0
1.1,--,281,0.088,122.0,-263.0,-86.0
1.1,*,2665,0.0559,92.0,-171.0,60.0
1.2,*,71,0.022,67.0,-48.0,17.0
1.2,*,262,0.0161,57.0,-26.0,-2.0
1.2,*,347,0.0187,69.0,-21.0,-7.0
1.2,*,426,0.0183,67.0,-15.0,-17.0
1.2,*,2506,0.0331,57.0,-90.0,66.0
1.2,*,2572,0.0395,84.0,-101.0,68.0
1.2,*,2589,0.0421,87.0,-111.0,68.0
1.2,*,2593,0.0433,85.0,-118.0,69.0
1.2,*,2634,0.0312,82.0,-70.0,48.0
1.2,*,2657,0.0414,75.0,-125.0,51.0
1.2,*,2666,0.0265,72.0,-61.0,36.0
1.3,--,16,0.0838,144.0,-245.0,55.0
1.3,--,2618,0.0705,161.0,-161.0,103.0
1.3,--,2622,0.0621,155.0,-131.0,93.0
1.3,--,2625,0.0609,136.0,-148.0,87.0
1.3,--,2626,0.0573,130.0,-139.0,83.0
1.3,--,2630,0.0675,135.0,-176.0,92.0
1.3,--,2675,0.0726,136.0,-203.0,76.0
1.3,--,2694,0.0958,163.0,-268.0,83.0
1.3,--,2700,0.0978,136.0,-292.0,74.0
1.3,--,0008.0+1056,0.089,168.0,-244.0,72.0
1.4,--,194,0.0178,31.0,-61.0,-9.0
1.4,--,260,0.0348,116.0,-61.0,-7.0
1.4,--,397,0.0325,89.0,-69.0,-49.0
1.4,--,400,0.0232,53.0,-59.0,-41.0
1.4,--,0023.0-3318,0.0497,-23.0,-181.0,-8.0
1.4,--,0105.1-4708,0.023,-28.0,-81.0,-21.0
1.4,--,0107.6-4610,0.024,-28.0,-85.0,-22.0
1.4,--,0237.5-3124,0.021,-1.0,-70.0,-41.0
1.4,--,0410.6-6252,0.017,-36.0,-40.0,-38.0
1.4,--,0621.6-6426,0.0265,-65.0,-40.0,-66.0
1.4,--,2345.0-2824,0.0279,-10.0,-105.0,13.0
1.4,--,2349.1-2839,0.037,-13.0,-138.0,14.0
1.4,--,2349.3-3442,0.031,-22.0,-115.0,7.0
1.5,--,1060,0.0114,-27.0,23.0,-27.0
1.5,--,1228.3+1240,0.0039,-4.0,15.0,-1.0
1.5,--,1246.0-4103,0.0107,-38.0,16.0,-8.0
1.5,--,1346.3-3012,0.0145,-49.0,29.0,3.0
