1.1 *   14          0.0640       3.  -229.    10.
1.1 *   44          0.0559     119.  -161.    33.
1.1 *   74          0.0672      16.  -238.   -10.
1.1 *   75          0.0617     158.  -152.    35.
1.1 *   76          0.0416      82.  -131.    15.
1.1     77          0.0719     203.  -145.    47.
1.1     79          0.0927     214.  -228.    45.
1.1 *   85          0.0518      54.  -182.     2.
1.1 *   86          0.0610      18.  -218.   -11.
1.1    104          0.0822     216.  -182.    38.
1.1 *  114          0.0566      19.  -203.   -19.
1.1 *  117          0.0536      57.  -187.   -10.
1.1 *  119          0.0440      70.  -147.    -2.
1.1 *  133          0.0604      22.  -215.   -28.
1.1 *  147          0.0438      80.  -141.    -7.
1.1 *  150          0.0596     139.  -164.     1.
1.1 *  151          0.0526      41.  -186.   -25.
1.1 *  154          0.0658     165.  -167.     4.
1.1 *  158          0.0645     160.  -166.     3.
1.1 *  160          0.0447     112.  -122.     0.
1.1 *  168          0.0452      78.  -147.   -14.
1.1 *  171          0.0706     172.  -181.    -3.
1.1 *  179          0.0547     146.  -136.    -3.
1.1 *  189          0.0334      63.  -108.   -14.
1.1 *  193          0.0482     106.  -141.   -15.
1.1 *  195          0.0422     115.  -107.    -6.
1.1 *  225          0.0692     181.  -165.   -21.
1.1 *  240          0.0618     132.  -175.   -35.
1.1 *  245          0.0790     160.  -219.   -48.
1.1 *  246          0.0700     142.  -198.   -44.
1.1 *  257          0.0706     171.  -178.   -38.
1.1 *  261          0.0467      79.  -147.   -42.
1.1    277          0.0947     122.  -283.   -92.
1.1 *  279          0.0815     144.  -233.   -71.
1.1    281          0.0880     122.  -263.   -86.
1.1 * 2665          0.0559      92.  -171.    60.
1.2 *   71          0.0220      67.   -48.    17.
1.2 *  262          0.0161      57.   -26.    -2.
1.2 *  347          0.0187      69.   -21.    -7.
1.2 *  426          0.0183      67.   -15.   -17.
1.2 * 2506          0.0331      57.   -90.    66.
1.2 * 2572          0.0395      84.  -101.    68.
1.2 * 2589          0.0421      87.  -111.    68.
1.2 * 2593          0.0433      85.  -118.    69.
1.2 * 2634          0.0312      82.   -70.    48.
1.2 * 2657          0.0414      75.  -125.    51.
1.2 * 2666          0.0265      72.   -61.    36.
1.3     16          0.0838     144.  -245.    55.
1.3   2618          0.0705     161.  -161.   103.
1.3   2622          0.0621     155.  -131.    93.
1.3   2625          0.0609     136.  -148.    87.
1.3   2626          0.0573     130.  -139.    83.
1.3   2630          0.0675     135.  -176.    92.
1.3   2675          0.0726     136.  -203.    76.
1.3   2694          0.0958     163.  -268.    83.
1.3   2700          0.0978     136.  -292.    74.
1.3   0008.0+1056   0.0890     168.  -244.    72.
1.4    194          0.0178      31.   -61.    -9.
1.4    260          0.0348     116.   -61.    -7.
1.4    397          0.0325      89.   -69.   -49.
1.4    400          0.0232      53.   -59.   -41.
1.4   0023.0-3318   0.0497     -23.  -181.    -8.
1.4   0105.1-4708   0.0230     -28.   -81.   -21.
1.4   0107.6-4610   0.0240     -28.   -85.   -22.
1.4   0237.5-3124   0.0210      -1.   -70.   -41.
1.4   0410.6-6252   0.0170     -36.   -40.   -38.
1.4   0621.6-6426   0.0265     -65.   -40.   -66.
1.4   2345.0-2824   0.0279     -10.  -105.    13.
1.4   2349.1-2839   0.0370     -13.  -138.    14.
1.4   2349.3-3442   0.0310     -22.  -115.     7.
1.5   1060          0.0114     -27.    23.   -27.
1.5   1228.3+1240   0.0039      -4.    15.    -1.
1.5   1246.0-4103   0.0107     -38.    16.    -8.
1.5   1346.3-3012   0.0145     -49.    29.     3.
1.5   1400.7-3344   0.0138     -48.    24.     5.
1.5   1611.0-6045   0.0176     -67.   -10.     8.
1.5   1957.2-3840   0.0186     -45.   -40.    40.
2.1   2366          0.0542       3.  -145.   134.
2.1   2377          0.0808      -8.  -214.   182.
2.1   2382          0.0648     -23.  -185.   137.
2.1   2384          0.0943     -51.  -261.   179.
2.1   2388          0.0615      58.  -143.   158.
2.1   2399          0.0587       7.  -165.   134.
2.1   2400          0.0881      -7.  -241.   183.
2.1   2410          0.0806       2.  -224.   169.
2.1   2412          0.0735     -42.  -219.   132.
2.1   2415          0.0597      18.  -168.   133.
2.1   2420          0.0838      -3.  -240.   163.
2.1   2440          0.0904      56.  -245.   180.
2.1   2448          0.0810      26.  -240.   146.
2.1   2457          0.0597      54.  -171.   120.
2.1   2459          0.0736      -3.  -231.   118.
2.1   2462          0.0698      -8.  -223.   107.
2.1   2469          0.0656      97.  -164.   136.
2.2 * 2528          0.0955     -16.  -307.   101.
2.2 * 2538          0.0817      -6.  -269.    89.
2.2 * 2556          0.0865     -12.  -285.    85.
2.2 * 2559          0.0796      24.  -260.    94.
2.2 * 2566          0.0821      -5.  -273.    81.
2.2 * 2597          0.0852      39.  -278.    89.
2.2 * 2638          0.0825      47.  -273.    71.
2.2 * 2670          0.0745      54.  -251.    52.
3.1 * 1890          0.0570     -77.   175.    77.
3.1 * 1899          0.0536     -43.   172.    82.
3.1 * 1913          0.0533     -46.   169.    85.
3.1 * 1983          0.0441     -39.   133.    87.
3.1 * 1991          0.0586     -43.   173.   115.
3.1 * 2004          0.0640     -22.   188.   129.
3.1 * 2020          0.0578     -80.   156.   114.
3.1 * 2022          0.0564      -7.   166.   119.
3.1 * 2040          0.0456     -66.   121.    97.
3.1 * 2052          0.0348     -52.    93.    77.
3.1 * 2055          0.0530     -79.   135.   114.
3.1 * 2063          0.0337     -47.    89.    78.
3.1 * 2107          0.0421     -22.   111.   108.
3.1 * 2147          0.0356     -30.    83.   100.
3.1 * 2148          0.0442     -10.   107.   123.
3.1 * 2151          0.0371     -27.    86.   106.
3.1 * 2152          0.0374     -30.    86.   106.
3.1 * 2162          0.0320       2.    77.    93.
3.1 * 2197          0.0303      25.    70.    87.
3.1 * 2199          0.0303      22.    70.    88.
3.2   1691          0.0722      48.   244.    57.
3.2   1749          0.0590      32.   202.    60.
3.2 * 1775          0.0696     -13.   235.    73.
3.2 * 1781          0.0762       2.   254.    84.
3.2 * 1793          0.0849      14.   276.    97.
3.2 * 1795          0.0616     -12.   209.    71.
3.2 * 1800          0.0724      -7.   241.    84.
3.2 * 1813          0.0962      33.   303.   116.
3.2 * 1825          0.0618     -35.   206.    75.
3.2 * 1827          0.0668     -34.   221.    82.
3.2 * 1831          0.0733      -9.   241.    93.
3.2 * 1873          0.0776     -10.   248.   110.
