Group,Name,HubCode,HubBar,MB,MWay,V0
11 -1 +1,1216+14,13,P,--,--,-314.0
11 -1,1217+12,13,P,--,--,187.0
11 -1,1220+12,13,P,--,--,-40.0
11 -1,1223+15,13,P,--,--,392.0
11 -1,1228+12,-5,P,-16.88,--,1408.0
11 -1,1228+12,13,P,--,--,1171.0
11 -1,1230+09,-5,--,-16.13,--,1200.0
11 -1,1230+11,3,XP,-15.48,--,27.0
11 -1,1230+13,13,P,-16.33,--,300.0
11 -1,N 4124,-2,A,-19.13,--,1551.0
11 -1,N 4168,-5,--,-18.93,--,2342.0
11 -1,N 4178,8,B,-19.77,--,285.0
11 -1,N 4189,6,X,-18.72,--,2039.0
11 -1,N 4192,2,X,-21.08,--,-220.0
11 -1,N 4206,4,A,-19.05,--,616.0
11 -1,N 4212,4,A,-19.56,--,-163.0
11 -1,N 4216,3,X,-20.96,--,55.0
11 -1,N 4237,5,X,-18.87,--,871.0
11 -1,N 4254,5,A,-20.84,--,2323.0
11 -1,N 4262,-2,B,-18.81,--,1290.0
11 -1,N 4267,-2,B,-19.41,--,1177.0
11 -1,N 4294,6,B,-19.0,--,327.0
11 -1,N 4298,5,A,-19.34,--,1044.0
11 -1,N 4299,7,B,-18.3,--,150.0
11 -1,N 4302,5,--,-19.34,--,1044.0
11 -1,N 4307,1,--,-18.63,--,1207.0
11 -1,N 4318,-5,--,-17.13,--,-300.0
11 -1,N 4321,4,X,-21.13,--,1522.0
11 -1,N 4340,-2,B,-19.17,--,790.0
11 -1,N 4342,-2,--,-17.59,--,609.0
11 -1,N 4350,-2,A,-19.28,--,1120.0
11 -1,N 4351,2,A,-18.46,--,2214.0
11 -1,N 4365,-5,--,-20.52,--,1073.0
11 -1,N 4371,-2,B,-19.3,--,897.0
11 -1,N 4374,-5,--,-20.95,--,854.0
11 -1,N 4377,-2,A,-18.55,--,1265.0
11 -1,N 4379,-5,--,-18.67,--,971.0
11 -1,N 4380,2,A,-18.93,--,872.0
11 -1,N 4382,-2,AP,-21.11,--,717.0
11 -1,N 4383,-2,P,-18.63,--,1545.0
11 -1,N 4387,-5,--,-18.31,--,432.0
11 -1,N 4388,3,P,-19.93,--,2527.0
11 -1,N 4394,3,B,-19.49,--,889.0
11 -1,N 4406,-5,--,-21.15,--,-419.0
11 -1,N 4411,7,X,-17.59,--,1186.0
11 -1,N 4413,3,B,-18.33,--,14.0
11 -1,N 4417,-2,B,-19.13,--,733.0
11 -1,N 4419,1,B,-19.72,--,-342.0
11 -1,N 4421,1,B,-18.82,--,1625.0
11 -1,N 4424,2,BP,-19.11,--,366.0
11 -1,N 4425,-2,--,-18.45,--,1804.0
11 -1,N 4429,-2,A,-20.08,--,1028.0
11 -1,N 4435,-2,B,-19.51,--,792.0
11 -1,N 4438,0,AP,-20.36,--,182.0
11 -1,N 4442,-2,B,-19.84,--,489.0
11 -1,N 4450,2,A,-20.36,--,1899.0
11 -1,N 4451,-2,A,-17.83,--,600.0
11 -1,N 4452,-2,--,-18.03,--,130.0
11 -1,N 4458,-5,--,-18.34,--,308.0
11 -1,N 4459,-2,A,-19.86,--,1039.0
11 -1,N 4461,-2,B,-19.21,--,1811.0
11 -1,N 4464,-5,--,-17.53,--,1102.0
11 -1,N 4467,-5,--,-15.73,--,1377.0
11 -1,N 4469,0,B,-18.73,--,404.0
11 -1,N 4472,-5,--,-21.82,--,847.0
11 -1,N 4473,-5,--,-20.19,--,2205.0
11 -1,N 4474,-2,--,-18.61,--,1455.0
11 -1,N 4476,-2,A,-18.06,--,1899.0
11 -1,N 4477,-2,B,-19.87,--,1190.0
11 -1,N 4478,-5,--,-19.08,--,1403.0
11 -1,N 4479,-2,B,-17.77,--,749.0
11 -1,N 4483,-2,B,-17.93,--,903.0
11 -1,N 4486,-5,P,-21.64,--,1181.0
11 -1,N 4492,1,A,-17.93,--,1639.0
11 -1,N 4498,7,B,-18.93,--,1448.0
11 -1,N 4501,3,A,-21.23,--,2217.0
11 -1,N 4503,-2,B,-19.12,--,1335.0
11 -1,N 4519,7,B,-18.91,--,1136.0
11 -1,N 4522,4,--,-18.83,--,2241.0
11 -1,N 4523,9,X,-16.8,--,198.0
11 -1,N 4526,-2,X,-20.55,--,354.0
11 -1,N 4535,5,X,-20.6,--,1873.0
11 -1,N 4540,6,X,-18.93,--,1224.0
11 -1,N 4548,3,B,-20.28,--,406.0
11 -1,N 4550,-2,--,-18.82,--,274.0
11 -1,N 4551,-5,--,-18.37,--,903.0
11 -1,N 4552,-5,--,-20.4,--,165.0
11 -1,N 4564,-5,--,-19.3,--,942.0
11 -1,N 4567,4,A,-19.2,--,2139.0
11 -1,N 4568,4,A,-19.81,--,2168.0
11 -1,N 4569,2,X,-21.27,--,-383.0
11 -1,N 4570,-2,--,-19.43,--,1634.0
11 -1,N 4571,6,A,-19.38,--,282.0
11 -1,N 4578,-2,A,-18.86,--,2196.0
11 -1,N 4579,3,X,-20.67,--,1729.0
11 -1,N 4595,5,--,-18.43,--,601.0
11 -1,N 4596,-2,B,-19.67,--,1939.0
11 -1,N 4608,-2,B,-19.04,--,1789.0
11 -1,N 4612,-2,X,-18.23,--,1740.0
11 -1,N 4621,-5,--,-20.45,--,340.0
11 -1,N 4623,-2,--,-17.83,--,1873.0
11 -1,N 4638,-2,--,-19.19,--,1006.0
11 -1,N 4639,3,X,-19.1,--,917.0
11 -1,N 4647,5,X,-19.34,--,1285.0
11 -1,N 4649,-5,--,-21.36,--,1127.0
11 -1,N 4651,5,A,-20.07,--,748.0
11 -1,N 4654,6,X,-20.31,--,978.0
11 -1,N 4660,-5,--,-19.3,--,943.0
11 -1,N 4689,5,A,-19.62,--,1715.0
11 -1,N 4694,-2,BP,-18.93,--,1121.0
11 -1,N 4698,2,A,-20.08,--,905.0
11 -1,N 4710,-2,A,-19.36,--,1076.0
11 -1,N 4754,-2,B,-19.74,--,1393.0
11 -1,N 4762,-2,B,-20.04,--,874.0
11 -1,U 7209,4,A,-18.03,--,2144.0
11 -1,U 7249,10,--,-16.63,--,541.0
11 -1,U 7279,9,--,-17.03,--,1883.0
11 -1,U 7307,10,--,--,--,1091.0
11 -1,U 7352,8,--,-17.23,--,2363.0
11 -1,U 7470,9,BP,-17.53,--,-517.0
11 -1,U 7513,5,--,-17.63,--,898.0
11 -1,U 7546,7,A,-18.11,--,1170.0
11 -1,U 7547,10,--,-16.23,--,1016.0
11 -1,U 7557,9,--,-17.93,--,833.0
11 -1,U 7563,10,--,-17.23,--,2271.0
11 -1,U 7666,10,--,-17.03,--,2489.0
11 -1,U 7737,10,--,--,--,598.0
11 -1,U 7781,9,--,-17.93,--,978.0
11 -1,U 7784,10,B,-17.53,--,1055.0
11 -1,U 7822,10,--,-16.99,--,1995.0
11 +2 +1,1221+04,-2,--,-16.87,--,829.0
11 +2 +1,N 4457,0,X,-19.55,--,752.0
11 +2 +1,N 4586,1,A,-19.17,--,722.0
11 +2 +1,N 4630,9,B,-18.16,--,587.0
11 +2 +1,N 4636,-5,--,-20.68,--,869.0
11 +2 +1,N 4665,0,B,-19.36,--,678.0
11 +2 +1,N 4688,6,B,-18.26,--,891.0
11 +2 +1,N 4701,6,A,-18.83,--,624.0
11 +2 +1,N 4713,7,X,-19.21,--,560.0
11 +2 +1,N 4765,1,--,-18.83,--,687.0
11 +2 +1,N 4772,1,A,-18.77,--,982.0
11 +2 +1,N 4808,6,A,-19.4,--,668.0
11 +2 +1,N 4809,10,P,-17.63,--,843.0
11 +2 +1,N 4810,10,P,-17.37,--,779.0
11 +2 +1,N 4900,5,B,-19.09,--,870.0
11 +2 +1,U 7943,5,--,-17.59,--,743.0
11 +2 +1,U 8053,8,X,-17.43,--,621.0
11 +2 +1,U 8074,9,--,-17.29,--,811.0
11 -3 +1,N 4532,10,B,-19.09,--,1909.0
11 -3 +1,U 7739,10,--,-16.2,--,1931.0
11 -4 +1,1229+04,10,--,--,--,1659.0
11 -4 +1,N 4420,5,--,-18.22,--,1557.0
11 -4 +1,N 4496,9,B,-19.03,--,1625.0
11 -4 +1,N 4527,4,X,-19.72,--,1614.0
11 -4 +1,N 4536,4,X,-20.02,--,1748.0
11 -4 +1,U 7512,10,--,-16.09,--,1379.0
11 -4 +1,U 7612,9,B,-16.82,--,1452.0
11 +4 +1,N 4303,4,X,-20.71,--,1464.0
11 +4 +1,U 7354,-5,--,-16.52,--,1461.0
11 +4 +1,U 7685,8,B,-18.34,--,1405.0
11 -5 +1,N 4339,-5,--,-19.68,--,1169.0
11 -5 +1,N 4423,9,--,-18.21,--,984.0
11 +5 +1,N 4061,-5,--,-16.62,--,1545.0
11 +6 +1,N 4643,0,B,-20.5,--,1233.0
11 +6 +1,U 7911,9,B,-18.16,--,1066.0
11 +7 +1,N 4064,1,BP,-19.32,--,959.0
11 +7 +1,N 4065,-5,--,-17.52,--,1122.0
11 -8 +1,N 4632,5,A,-18.76,--,1572.0
11 -8 +1,N 4666,5,X,-19.77,--,1395.0
11 +9 +1,N 4753,13,--,-20.05,--,1102.0
11 +9 +1,U 8041,7,B,-18.46,--,1218.0
