11 -1 +1    1216+14    13 P             -314.   
11 -1       1217+12    13 P              187.   
11 -1       1220+12    13 P              -40.   
11 -1       1223+15    13 P              392.   
11 -1       1228+12    -5 P   -16.88    1408.   
11 -1       1228+12    13 P             1171.   
11 -1       1230+09    -5     -16.13    1200.   
11 -1       1230+11     3XP   -15.48      27.   
11 -1       1230+13    13 P   -16.33     300.   
11 -1       N 4124     -2A    -19.13    1551.   
11 -1       N 4168     -5     -18.93    2342.   
11 -1       N 4178      8B    -19.77     285.   
11 -1       N 4189      6X    -18.72    2039.   
11 -1       N 4192      2X    -21.08    -220.   
11 -1       N 4206      4A    -19.05     616.   
11 -1       N 4212      4A    -19.56    -163.   
11 -1       N 4216      3X    -20.96      55.   
11 -1       N 4237      5X    -18.87     871.   
11 -1       N 4254      5A    -20.84    2323.   
11 -1       N 4262     -2B    -18.81    1290.   
11 -1       N 4267     -2B    -19.41    1177.   
11 -1       N 4294      6B    -19.00     327.   
11 -1       N 4298      5A    -19.34    1044.   
11 -1       N 4299      7B    -18.30     150.   
11 -1       N 4302      5     -19.34    1044.   
11 -1       N 4307      1     -18.63    1207.   
11 -1       N 4318     -5     -17.13    -300.   
11 -1       N 4321      4X    -21.13    1522.   
11 -1       N 4340     -2B    -19.17     790.   
11 -1       N 4342     -2     -17.59     609.   
11 -1       N 4350     -2A    -19.28    1120.   
11 -1       N 4351      2A    -18.46    2214.   
11 -1       N 4365     -5     -20.52    1073.   
11 -1       N 4371     -2B    -19.30     897.   
11 -1       N 4374     -5     -20.95     854.   
11 -1       N 4377     -2A    -18.55    1265.   
11 -1       N 4379     -5     -18.67     971.   
11 -1       N 4380      2A    -18.93     872.   
11 -1       N 4382     -2AP   -21.11     717.   
11 -1       N 4383     -2 P   -18.63    1545.   
11 -1       N 4387     -5     -18.31     432.   
11 -1       N 4388      3 P   -19.93    2527.   
11 -1       N 4394      3B    -19.49     889.   
11 -1       N 4406     -5     -21.15    -419.   
11 -1       N 4411      7X    -17.59    1186.   
11 -1       N 4413      3B    -18.33      14.   
11 -1       N 4417     -2B    -19.13     733.   
11 -1       N 4419      1B    -19.72    -342.   
11 -1       N 4421      1B    -18.82    1625.   
11 -1       N 4424      2BP   -19.11     366.   
11 -1       N 4425     -2     -18.45    1804.   
11 -1       N 4429     -2A    -20.08    1028.   
11 -1       N 4435     -2B    -19.51     792.   
11 -1       N 4438      0AP   -20.36     182.   
11 -1       N 4442     -2B    -19.84     489.   
11 -1       N 4450      2A    -20.36    1899.   
11 -1       N 4451     -2A    -17.83     600.   
11 -1       N 4452     -2     -18.03     130.   
11 -1       N 4458     -5     -18.34     308.   
11 -1       N 4459     -2A    -19.86    1039.   
11 -1       N 4461     -2B    -19.21    1811.   
11 -1       N 4464     -5     -17.53    1102.   
11 -1       N 4467     -5     -15.73    1377.   
11 -1       N 4469      0B    -18.73     404.   
11 -1       N 4472     -5     -21.82     847.   
11 -1       N 4473     -5     -20.19    2205.   
11 -1       N 4474     -2     -18.61    1455.   
11 -1       N 4476     -2A    -18.06    1899.   
11 -1       N 4477     -2B    -19.87    1190.   
11 -1       N 4478     -5     -19.08    1403.   
11 -1       N 4479     -2B    -17.77     749.   
11 -1       N 4483     -2B    -17.93     903.   
11 -1       N 4486     -5 P   -21.64    1181.   
11 -1       N 4492      1A    -17.93    1639.   
11 -1       N 4498      7B    -18.93    1448.   
11 -1       N 4501      3A    -21.23    2217.   
11 -1       N 4503     -2B    -19.12    1335.   
11 -1       N 4519      7B    -18.91    1136.   
11 -1       N 4522      4     -18.83    2241.   
11 -1       N 4523      9X    -16.80     198.   
11 -1       N 4526     -2X    -20.55     354.   
11 -1       N 4535      5X    -20.60    1873.   
11 -1       N 4540      6X    -18.93    1224.   
11 -1       N 4548      3B    -20.28     406.   
11 -1       N 4550     -2     -18.82     274.   
11 -1       N 4551     -5     -18.37     903.   
11 -1       N 4552     -5     -20.40     165.   
11 -1       N 4564     -5     -19.30     942.   
11 -1       N 4567      4A    -19.20    2139.   
11 -1       N 4568      4A    -19.81    2168.   
11 -1       N 4569      2X    -21.27    -383.   
11 -1       N 4570     -2     -19.43    1634.   
11 -1       N 4571      6A    -19.38     282.   
11 -1       N 4578     -2A    -18.86    2196.   
11 -1       N 4579      3X    -20.67    1729.   
11 -1       N 4595      5     -18.43     601.   
11 -1       N 4596     -2B    -19.67    1939.   
11 -1       N 4608     -2B    -19.04    1789.   
11 -1       N 4612     -2X    -18.23    1740.   
11 -1       N 4621     -5     -20.45     340.   
11 -1       N 4623     -2     -17.83    1873.   
11 -1       N 4638     -2     -19.19    1006.   
11 -1       N 4639      3X    -19.10     917.   
11 -1       N 4647      5X    -19.34    1285.   
11 -1       N 4649     -5     -21.36    1127.   
11 -1       N 4651      5A    -20.07     748.   
11 -1       N 4654      6X    -20.31     978.   
11 -1       N 4660     -5     -19.30     943.   
11 -1       N 4689      5A    -19.62    1715.   
11 -1       N 4694     -2BP   -18.93    1121.   
11 -1       N 4698      2A    -20.08     905.   
