Dataset,Bibcode,Text
WHI-36,1936ApJ....83..424W,"Whitford, A.E. 1936, ApJ 83, 424"
STW-37,1937ApJ....86..247S,"Stebbins, J., Whitford, A.E., 1937 ApJ, 86 247"
BIG-51,1951AnAp...14..319B,"Bigay, J.H. 1951, Ann. d'Astrophys. 14, 319"
STW-52,1952ApJ...115..284S,"Stebbins, J., Whitford, A.E. 1952, ApJ 115, 284"
BIG-53,1953AnAp...16..133B,"Bigay, J.H., Dumont, R., Lenouvel, F., Lunel, M. 1953, Ann. d'Astrophys. 16, 133"
BIG-54,1954AnAp...17...78B,"Bigay, J.H., Dumont, R. 1954, Ann. d'Ap. 17, 78"
PET-54,1954ApJ...120..413P,"Pettit, E. 1954, ApJ 120, 413"
BIG-55,1955AnAp...18..141B,"Bigay, J.H., Dumont, R. 1955, Ann. d'Ap. 18, 141"
HII-58,1958ApJ...128..443H,"Hiltner, W.A., Iriarte, B. 1958 ApJ 128, 443"
HOL-58,1958MeLu2.136....1H,"Holmberg, E., 1958, Medd. Lunds Obs. II, 136"
GDV-59,1959LowOB...4..105D,"de Vaucouleurs, G., 1959, Lowell Obs. Bull., 4, n. 97 & n 98"
HO1-61,1961AJ.....66..249H,"Hodge, P. 1961, AJ 66, 249"
HO2-61,1961AJ.....66..384H,"Hodge, P. 1961, AJ 66, 384"
ODE-61,1961AJ.....66..558M,"O'Dell, C.R., quoted by Minkowski, R. 1961, AJ 66, 558"
TIF-61,1961AJ.....66..390T,"Tifft, W.G. 1961, AJ 66, 390"
HOD-62,1962AJ.....67..125H,"Hodge, P. 1962, AJ 67, 125"
HOD-63,1963AJ.....68..237H,"Hodge, P. 1963, AJ 68, 237"
HO2-63,1963AJ.....68..468H,"Hodge, P. 1963, AJ 68, 468"
SAN-63,1963ApJ...138..863S,"Sandage, A.R. 1963, ApJ 138, 863"
TIF-63,1963AJ.....68..302T,"Tifft, W.G. 1963, AJ 68, 302"
BIG-64,1964AnAp...27..170B,"Bigay, J.H. 1964, Ann. d'Astrophys., 27,170"
HOD-64,1964AJ.....69..438H,"Hodge, P. 1964, AJ 69, 438"
HO2-64,1964AJ.....69..853H,"Hodge, P. 1964, AJ 69, 853"
WEB-64,1964AJ.....69..442W,"Webb, C.J. 1964, AJ 69, 442"
GVA-65,1965PASP...77..272d,"de Vaucouleurs, G., Ables, H. 1965, PASP 77, 272"
KIM-65,1965ApJ...142.1376K,"Kinman, T. D. 1965, ApJ 142, 1376"
JOH-66,1966ApJ...143..187J,"Johnson, H.L. 1966, ApJ 143, 187"
SHO-66,1966MNRAS.131..351S,"Shobbroock, R.R. 1966, MNRAS 131, 351"
COR-67,1967Thesi.........C,"Corwin, H.G.jr. 1967, Ms. Sc. Thesis, Univ. of Kansas,"
FIT-67,1967ApJ...150L..67F,"Fitch, W. S., Pacholczyk, A. G., Weymann, R. J. 1967, ApJ 150, L67"
HOD-67,1967ApJ...148..719H,"Hodge, P. 1967, ApJ 148, 719"
SAN-67,1967ApJ...150L.177S,"Sandage, A.R. 1967, ApJ 150, L177"
WAC-67,1967ApJ...147..416W,"Walker, M. F., Chincarini, G. 1967, ApJ 147, 416 & ApJ 147, 407 & ApJ 149, 487"
BAR-68,1968Thesi.........B,"Barnes, T. G. 1968, Thesis, David Dunlap Obs., Univ. Toronto,"
DIB-68,1968ATsir.481....2D,"Dibai, E. A., et al. 1968, Astron. Circ. (USSR) n. 481,"
MCB-68,1968AJ.....73.1008M,"Mc Clure, R.D., van den Bergh, S. 1968, AJ 73, 1008"
ROB-68,1968AJ.....73..442R,"Rood, H.J., Baum, W.A. 1968, AJ 73, 442"
VVS-68,1968MNRAS.139..425d,"de Vaucouleurs, G., de Vaucouleurs, G., Solheim, E. 1968, MNRAS 139, 425 (Appendix)"
WIK-68,1968AJ.....73..866W,"Wisnienski, W.A., Kleinmann, D.E. 1968, AJ 73, 866"
DDV-69,1969PASP...81..637D,"Dupuy, D.L., de Veny, J.B. 1969, PASP 81, 637"
DIB-69,1969AZh....46..420D,"Dibai, E.A., Zaitseva, G.V., Lyutyi, V.M. 1969, Astron. Zh. 46, 420"
FAA-69,1969PASP...81..685F,"Fairall, A., Angione, R.J. 1969, PASP 81, 685"
HOD-69,1969SAOSR.306....3H,"Hodge, P., 1969, S.A.O. special report, 306, 3"
KWE-69,1969Afz.....5..113W,"Weedman, D.W., Khachikian, E.Y. 1969, Astrofizika 5, 113"
SBN-69,1969ApJ...157...55S,"Sandage, A.R., Becklin, E.E., Neugebauer, G. 1969, ApJ 157, 55"
TIF-69,1969AJ.....74..354T,"Tifft, W.G. 1969, AJ 74, 354"
WEW-69,1969AJ.....74..335W,"Westerlund, B.E., Wall, J.V. 1969, AJ 74, 335"
DIB-70,1970Afz.....6..350D,"Dibai, E.A. 1970, Astofizika 6, 350"
DUP-70,1970AJ.....75.1143D,"Dupuy, D.L. 1970, AJ 75, 1143"
LAS-70,1970AJ.....75...21L,"Lasker, B.M. 1970, AJ 75, 21"
NEF-70,1970MNRAS.149...45N,"Neff, J.S. 1970, MNRAS 149, 45"
PRS-70,1970AJ.....75..695P,"Peterson, B.A. 1970, AJ 75, 695"
SAR-70,1970ApJ...160..405S,"Sargent, W.L.W. 1970, ApJ 160, 405"
ABL-71,1971PUSNO..20....4A,"Ables, H. 1971, Publ. U. S. Naval Obs., XX, Part IV,"
KUB-71,1971ApJ...170L...7K,"Kunkel, W.E., Bradt, H.V. 1971, ApJ 170, L7"
LYN-71,1971ApJ...168L..87L,"Lynds, R. 1971, ApJ 168, L87"
AAB-72,1972AJ.....77..642A,"Ables, H., Ables, P.G. 1972, AJ 77, 642"
ARA-72,1972Afz.....8..473A,"Arakelian, M.A., Dibai, E.A., Lyutyi, V.M. 1972, Astrofizika 8, 473"
SAN-72,1972ApJ...176...21S,"Sandage, A.R. 1972, ApJ 176, 21"
SWS-72,1972ApL....11...21S,"Smith, M.G., Weedman, D.W., Spinrad, H. 1972, Astrophys. Lett. 11, 21"
VDB-72,1972..............V,"van den Bergh, S., 1972, in ''The role of Schmidt Telescopes in Astropnomy'', Ham. Obs. Publ., 67"
AND-73,1973MNRAS.162p..35G,"Andrew, P.J., 1973, quoted by Glass, I. S., MNRAS 162, 35p"
DIS-73,1973ApJ...181L..55D,"Disney, M.J. 1973, ApJ 181, L55"
FRE-73,1973Priv..........F,"Freeman, K., 1973, Longo and De Vaucouleurs (LdV) catalogue: private communication"
HOD-73,1973ApJ...182..671H,"Hodge, P. 1973, ApJ 182, 671"
PEN-73,1973MNRAS.162..359P,"Penston, M.V. 1973, MNRAS 162, 359"
SAN-73,1973ApJ...183..711S,"Sandage, A.R. 1973, ApJ 183, 711"
TIF-73,1973PASP...85..283T,"Tifft, W.G. 1973, PASP 85, 283"
WEE-73,1973ApJ...183...29W,"Weedman, D.W. 1973, ApJ 183, 29"
ALC-74,1974A&AS...13..305A,"Alcaino, G. 1974, A&AS 13, 305"
ANG-74,1974Priv..........A,"Angione, R.J. 1974, Longo and De Vaucouleurs (LdV) catalogue: private communication"
ARS-74,1974ATsir.814....6A,"Arkhipova, V.P., Saveljeva, M.V. 1974, Astron. Circ. (USSR), 814"
GRA-74,1974Obs....94..632G,"Graham, J. 1974, Observatory 94, 290"
KAR-74,1974Afz....10..632K,"Karachentseva, V.E., Kostyuk, I.P. 1974, Astrofizika 10, 632"
KIM-74,1974PASP...86..336K,"Kinman, T.D., Mohaffey, C.T. 1974 PASP 86, 336"
KOS-74,1974ApJ...193...19K,"Kormendy, J., Sargent, W.L.W. 1974, ApJ 193, 19"
KWE-74,1974ApJ...192..581K,"Khachikian, E.Y., Weedman, D.W. 1974, ApJ 192, 581"
OSW-74,1974ApJ...189..187O,"Osmer, P.S., Smith, M.G., Weedman, D.W. 1974, ApJ 189, 187"
WEC-74,1974ApJ...188....1W,"Weedman, D.W., Carswell, R.F. 1974, ApJ 188, 1"
CJT-75,1975PASP...87..123C,"Craine, E.R., Johnson, K., Tapia, S. 1975, PASP 87, 123"
