Dataset,Rres,e_Rres,Nmeas,Wres,e_Wres,o_Wres,Bcorr,Vcorr,Rcorr,Icorr,Ucorr,WG,WZ,Ngal,WD
WHI-36,-0.01,0.28,17.0,-0.02,0.33,12.4,0.0,0.0,0.0,0.0,0.0,0.15,0.8,11,1.0
STW-37,-0.07,0.18,279.0,-0.07,0.14,205.5,-0.07,-0.06,0.0,0.0,0.0,0.4,0.55,166,1.0
BIG-51,-0.03,0.3,216.0,-0.11,0.26,115.8,-0.09,0.0,0.0,0.0,0.0,0.15,0.75,171,1.0
STW-52,0.02,0.18,190.0,0.0,0.1,126.8,0.0,0.03,0.0,0.0,0.0,0.4,1.0,167,1.0
BIG-53,0.07,0.21,30.0,0.05,0.17,23.8,0.0,0.04,0.0,0.0,0.0,0.4,0.85,19,1.0
BIG-54,-0.09,0.06,48.0,-0.05,0.14,32.6,-0.06,-0.03,0.0,0.0,0.0,0.4,1.0,45,1.0
PET-54,0.01,0.15,453.0,0.02,0.11,275.8,0.0,0.01,0.0,0.0,0.0,0.4,1.0,619,1.0
BIG-55,-0.05,0.18,15.0,-0.05,0.05,12.4,-0.05,-0.05,0.0,0.0,0.0,0.65,1.0,8,1.0
HOL-58,0.09,0.15,99.0,0.02,0.14,189.0,0.04,0.04,0.0,0.0,0.0,0.37,1.0,287,1.0
GDV-59,0.01,0.07,69.0,0.03,0.09,140.3,0.0,0.02,0.0,0.0,0.02,0.6,1.0,132,1.0
ODE-61,-0.02,0.05,2.0,-0.02,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
TIF-61,0.01,0.07,49.0,0.0,0.05,45.9,0.0,0.02,0.0,0.01,0.01,0.85,1.0,52,1.0
HOD-63,-0.03,0.11,72.0,-0.01,0.06,56.5,0.0,0.02,0.0,0.0,0.03,0.85,1.0,60,1.0
SAN-63,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,1.0
TIF-63,-0.23,0.08,19.0,-0.2,0.05,17.2,-0.18,-0.18,0.0,0.0,-0.18,0.8,1.0,12,1.0
BIG-64,0.02,0.12,122.0,0.01,0.07,106.6,0.0,0.02,0.0,0.0,0.02,0.7,1.0,48,1.0
WEB-64,0.0,0.12,73.0,-0.04,0.09,55.0,-0.04,-0.0,0.0,0.0,-0.03,0.8,1.0,12,1.0
GVA-65,0.04,0.26,4.0,0.01,0.26,3.5,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1,1.0
KIM-65,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
JOH-66,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,10,1.0
SHO-66,-0.02,0.08,90.0,-0.01,0.09,74.9,0.0,0.01,0.0,0.0,-0.06,0.7,1.0,53,1.0
COR-67,-0.03,0.15,12.0,-0.06,0.11,14.8,-0.02,-0.01,0.0,0.0,-0.03,0.5,0.95,3,1.0
FIT-67,0.0,0.0,0.0,-0.22,0.12,6.7,-0.06,-0.06,0.0,0.0,-0.06,0.45,0.75,1,1.0
HOD-67,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
PAW-67,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
SAN-67,-0.34,0.39,36.0,-0.28,0.36,31.3,-0.03,-0.03,0.0,0.0,-0.03,0.15,0.8,10,1.0
WAC-67,0.02,0.18,3.0,-0.06,0.1,16.2,-0.04,-0.04,0.0,0.0,-0.04,0.8,1.0,4,1.0
BAR-68,0.09,0.18,76.0,0.08,0.16,66.1,0.05,0.05,0.0,0.0,0.05,0.55,0.75,15,1.0
DIB-68,0.04,0.25,36.0,0.1,0.13,27.2,0.05,0.05,0.0,0.0,0.05,0.45,0.9,8,1.0
MCB-68,-0.02,0.03,31.0,-0.02,0.03,26.0,-0.02,-0.02,0.0,0.0,-0.01,1.0,1.0,32,1.0
ROB-68,0.0,0.04,16.0,0.0,0.03,15.3,0.0,0.03,0.0,0.0,0.0,1.0,1.0,14,1.0
VVS-68,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
WIK-68,0.17,0.0,19.0,0.11,0.12,16.2,0.08,0.08,0.08,0.08,0.08,0.55,0.8,10,1.0
DDV-69,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
DIB-69,0.07,0.05,3.0,0.08,0.06,3.0,0.03,0.03,0.0,0.0,-0.01,1.0,1.0,1,1.0
HOD-69,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
KWE-69,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,5,1.0
SBN-69,-0.12,0.21,5.0,0.04,0.06,2.7,0.0,0.01,0.0,0.0,0.01,0.85,1.0,2,1.0
TIF-69,0.01,0.11,206.0,-0.02,0.08,185.3,-0.02,-0.02,0.0,0.0,0.04,0.8,1.0,65,1.0
WEW-69,0.02,0.22,116.0,0.02,0.16,89.9,0.0,0.01,0.0,0.0,0.02,0.35,0.95,61,1.0
