Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Bt,SBe,e1,e2,e3,e4,e5,B-Ve,e_B-Ve,gB-V,U-Be,e_U-Be,gU-B,V-Re,e_V-Re,gV-R,V-Ie,e_V-Ie,gV-I,Nap,LastA,Tphot,Mode,Q
ESO001-006,14,9,20.0,-,87,32,35,13.65,22.73,0.006,0.003,0.006,0.083,0.002,0.87,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,29,0.04,6.2,1,2
ESO001-007,16,7,37.0,-,88,48,54,15.47,23.2,0.01,0.005,0.011,0.185,0.003,0.86,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,18,0.05,7.4,1,2
ESO002-012,1,2,5.5,-,85,47,30,16.33,22.62,0.021,0.009,0.02,0.0,0.0,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,11,0.4,5.9,0,6
ESO003-003,1,40,21.0,-,83,37,0,14.56,22.79,0.006,0.003,0.006,0.087,0.001,0.86,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,26,0.03,7.7,1,2
ESO003-004,1,43,6.0,-,83,27,47,14.73,22.7,0.004,0.003,0.006,0.109,0.001,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,24,0.11,4.1,1,1
ESO004-010,4,6,45.0,-,84,13,48,14.06,21.25,0.005,0.008,0.01,0.364,0.001,1.01,0.021,-0.071,0.37,0.212,0.691,0.64,0.029,-0.041,1.31,0.034,-0.097,14,0.03,-3.9,1,2
ESO004-019,5,33,49.0,-,86,25,36,14.64,23.9,0.014,0.019,0.059,0.177,0.012,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,16,0.3,6.1,1,3
ESO005-010,7,39,45.0,-,83,57,35,13.68,21.82,0.007,0.014,0.022,0.631,0.006,1.1,0.035,-0.142,0.51,0.074,-0.13,0.64,0.048,-0.006,1.38,0.053,-0.007,11,0.15,-4.9,1,2
ESO006-003,8,41,28.0,-,83,17,12,15.07,22.67,0.016,0.007,0.013,0.313,0.004,0.88,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,18,0.06,6.0,1,2
ESO007-002,10,56,36.0,-,85,19,29,14.59,21.56,0.005,0.009,0.017,0.0,0.0,0.9,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.2,9.99,9.99,18,0.26,3.0,0,6
ESO008-001,13,28,27.0,-,82,52,23,16.52,22.7,0.023,0.009,0.022,0.0,0.0,0.87,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,10,0.42,6.9,0,6
ESO008-007,14,54,51.0,-,82,35,53,15.96,22.82,0.019,0.007,0.02,0.0,0.0,0.85,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.17,9.99,9.99,12,0.51,9.0,0,6
ESO009-001,15,49,28.0,-,82,46,11,16.08,22.82,0.032,0.011,0.029,0.0,0.0,0.87,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,11,0.56,6.8,0,6
ESO009-010,17,23,33.0,-,85,16,30,13.1,22.35,0.006,0.009,0.025,0.074,0.003,0.89,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.19,9.99,9.99,27,0.34,4.7,1,6
ESO010-004,19,13,16.0,-,86,6,47,13.91,24.11,0.006,0.007,0.022,0.077,0.007,0.86,9.99,9.99,--,9.99,9.99,--,9.99,9.99,1.18,9.99,9.99,22,0.27,7.3,1,2
