ESO001-006 140920.0-873235 13.65  22.73   .006   .003   .006   .083   .002   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  29   .04   6.2 1 2
ESO001-007 160737.0-884854 15.47  23.20   .010   .005   .011   .185   .003   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  18   .05   7.4 1 2
ESO002-012 010205.5-854730 16.33  22.62   .021   .009   .020   .000   .000   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  11   .40   5.9 0 6
ESO003-003 014021.0-833700 14.56  22.79   .006   .003   .006   .087   .001   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  26   .03   7.7 1 2
ESO003-004 014306.0-832747 14.73  22.70   .004   .003   .006   .109   .001   .89 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  24   .11   4.1 1 1
ESO004-010 040645.0-841348 14.06  21.25   .005   .008   .010   .364   .001  1.01  .021  -.071   .37  .212   .691   .64  .029  -.041  1.31  .034  -.097  14   .03  -3.9 1 2
ESO004-019 053349.0-862536 14.64  23.90   .014   .019   .059   .177   .012   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  16   .30   6.1 1 3
ESO005-010 073945.0-835735 13.68  21.82   .007   .014   .022   .631   .006  1.10  .035  -.142   .51  .074  -.130   .64  .048  -.006  1.38  .053  -.007  11   .15  -4.9 1 2
ESO006-003 084128.0-831712 15.07  22.67   .016   .007   .013   .313   .004   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  18   .06   6.0 1 2
ESO007-002 105636.0-851929 14.59  21.56   .005   .009   .017   .000   .000   .90 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  18   .26   3.0 0 6
ESO008-001 132827.0-825223 16.52  22.70   .023   .009   .022   .000   .000   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  10   .42   6.9 0 6
ESO008-007 145451.0-823553 15.96  22.82   .019   .007   .020   .000   .000   .85 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.17 9.990  9.990  12   .51   9.0 0 6
ESO009-001 154928.0-824611 16.08  22.82   .032   .011   .029   .000   .000   .87 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  11   .56   6.8 0 6
ESO009-010 172333.0-851630 13.10  22.35   .006   .009   .025   .074   .003   .89 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  27   .34   4.7 1 6
ESO010-004 191316.0-860647 13.91  24.11   .006   .007   .022   .077   .007   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  22   .27   7.3 1 2
