N0007       2693  OXN, poss bar, B knotty arms. Many vF gal near. Sup on grp.   
N0010        757  vBN, elong cent, (r'): 1.0 x 0.6. Line of knots on nf arm.    
N0024       3428  OXN, pat arms w F knots and dust patches. Much incl.          
N0025        921  Dbl N, cD. Brtst in cl.                                       
N0025       1739  OXN, dbl or dist bar, dist lens and F corona. 1st in cl.      
N0028       1739  OXN w nubs, trace of (R) or arms in corona. Sev F gal sup.    
N0031        921  1.8 nff N28. pB * 1.7 nf.                                     
N0031       1739  OXN, B bar, pat arms, vF exts. 2nd in cl.                     
N0037        921  (R'): 0.8 x 0.5. F comp 0.6 sp.                               
N0037       1739  OXN, short bar, pB lens w F (R): 0.7 x 0.45.                  
N0045       3428  plsb, vFN, many knots on F arms. * sup 1.5 ssf. Sup on grp.   
N0053        921  pBN, (r): 0.9 x 0.8, (R'): 2.0 x 1.5. B * 1.6 sp.             
N0055       3578  OX bar, well res, many F knots. I1537 is f part of gal.       
N0059       3720  OXN, trace of (r) in B lens. FE corona.                       
N0065       3566  OXN, F (r'): 0.75 x 0.45 in lens. 2nd in grp.                 
N0065       3639  Near plate edge.                                              
N0066       3566  OX bar, B (r): 0.55 x 0.3, B arms; F plume to s inc in dim.   
N0066       3566    pB * 1.4 nnf. 1st in grp.                                   
N0077       3566  OXN, eFE corona. vS S0 0.3 sff.                               
N0087       3714  Knotty w plumes. In compact int grp. N88 1.4 sf.              
N0088       3714  OXN, dist lens and corona. In compact int grp. N89 1.5 sf.    
N0089       3714  OXN and bar, eF dist env. In compact int grp. N89 1.5 np.     
N0092       3714  OXN, dust lane, dist env and long plume. Brtst and lrgst in   
N0092       3714    compact int grp. N88 1.8 sp.                                
N0098       1048  BN, B short bar, broken (r): 0.5 x -. Nar pat arms. F comp    
N0098       1048    3.1 np.                                                     
N0101        778  pBN, short pat arms. * sup 0.6 nff.                           
N0115       2633  OX bar, p smo arms w many knots.                              
N0119       1804  OXN, pB lens 0.6 x 0.6 w dust, vF corona.                     
N0119       1812  OXN, B lens w knots, eF corona                                
