  153 PA             realigned  
  256 MCG +08-02-006 +08-02-003
  333 MGC +08-02-006 +08-02-003 
  341 PA  666        66 
  388 PA  3            3   
  522 MCG +04-02-020 +07-02-020
  532 MCG +00-03-019 +00-03-19a
  593 RA  0057.8     0054.8  
  696 MCG +02-04-003 +03-04-003
  800 MCG +05-04-005 +05-04-05a
  830 RA  1115.3     0115.3
 1000 RA  0120.0     0123.0
 1438 MCG +07-08-030 +07-05-030
 1489 MGC +05-05-000 +05-07-000
 1644 RA  0206.2     0206.3
 1675 MGC +04-06-007 +06-06-007      
 2072 MCG +08-06-006 +08-06-000                  
 2169 RA  0235.8     0238.5
 2238 MCG +02-05-003 +02-08-003
 2262 RA  0344.9     0244.9
 2342 RA  0249.3     0249.0
 2363 RA  0253.6     0250.6
 2461 MCG +06-07-025 +06-07-028
 2663 MGC +00-09-000 +01-09-000
 2679 MCG +00-09-050 +00-09-060
 2726 MGC +00-09-000 +01-09-000
 2774 MCG +00-09-006 +01-09-006
 2809 RA  0036.6     0336.6
 2826 Dec +5808      +6808
 3048 MCG +12-05-003 +12-05-03a
 3059 MCG +01-01-005 +01-12-005
 3344 MGC +12-06-010 +10-09-000
 3368 RA  0547.0     0548.0
 3463 RA  0522.5     0622.5
 3517 Dec +4111      +7111
 3597 Dec +7800      +4800
 3617 RA  0657.9     0654.9
 3693 RA  0705.7     0705.4
 3750 MCG +11-09-038 +11-09-38a
 3842 MGC +08-19-011 +03-19-08
 3869 Dec +3435      +2435
 3914 Dec +1323      +1823
 3932 MCG +04-18-027 +04-18-028
 4000 Dec +5611      +4611
 4041 MCG +12-08-013 +12-08-016
 4106 RA  0753.6     0753.3
 4405 MCG +04-02-052 +04-20-052
 4562 MGC +08-16-000 +07-18-000
 4564 MGC +08-15-017 +09-15-017
 4672 MGC +02-23-013 +00-23-013
 4802 RA  0908.9     0905.9 
 4862 MCG +07-19-066 +07-19-036
 4966 RA  0915.8     0918.5
 5041 RA  0927.8     0924.8
 5119 RA  0937.0     0934.0 
 5166 RA  0928.2     0938.2
 5228 Num 5228       5258 (for RA=0946.7)
 5562 MCG +04-24-024 +04-24-027
 5600 MCG +13-08-016 +13-08-16a
 5749 MCG +05-25-022 +05-25-22a
 5849 MGC +00-28-003 -01-28-003
 5918 Dec +5650       +6550
 6063ARA  1050.4     1056.0
 6098 RA  1057.8     1058.7
 6237 MCG +11-14-010 +11-14-10a
 6244 MCG +05-27-023 +05-27-23a
 6441 MGC +05-21-035 +08-21-035
 6470 MCG +01-29-031 +02-29-031
 6507 RA  1228       1128
 6530 Dec +4223      +7223
 7284 MGC +02-13-072 +02-31-072
 7374 MCG +05-27-057 +05-29-057
 7431 MCG +02-32-012 +02-32-12a
 7479 MCG +10-18-035 +10-18-038
 7518 RA  1223.6     1223.3
 8144 MCG +07-29-019 +07-29-017
 8295 MGC +13-13-001 +12-13-001
 8381 MCG +00-34-026 +00-34-029
 8478 MCG +02-37-022 +02-34-022
 8488 Dec +3141      +1341
 8537 RA  1311.1     1331.1
 8571 MCG +10-17-095 +10-19-095
 8612 RA  1234.9     1334.9
 8644 RA  1334.5     1337.5
 8859 RA  1357.0     1354.0
 9000 MCG +02-36-032 +02-36-32a
 9001 MCG +02-36-032 +02-36-32b
 9288 MCG +02-37-015 +02-37-15a
 9315 Dec +2547      +3547
 9448 MCG +09-22-028 +09-24-028
 9551 MCG +00-35-008 +00-38-008
 9615 Dec +0325      +3025
 9736 MCG +09-25-027 +09-25-024
 9851 RA  1424.3     1524.3
10075 Dec +3237      +6227
10315 MCG +11-20-009 +11-20-09a
10327 MCG +04-37-050 +04-38-050
10339 MCG +01-42-001 +00-42-001
10374 Num 10374      10377 (for RA=1622.9)
10399 MCG +08-13-017 +08-30-017
10691 RA  1403.2     1703.2
10832 RA  1422.3     1722.3
10848 Num 10848      10878 (for RA=1727.7)
10862 RA  1425.8     1725.8
10907 MCG +13-12-024 +13-12-027
11103 MGC +06-42-000 +05-42-000
11430 Dec +4614      +4314
11432 Dec +6403      +6103
11557 MGC +00-29-005 +10-29-005
11741 MCG +02-25-025 +02-54-025
11748 Num 11748      11718 (for RA=2116.3)
11783 RA  2153.8     2136.8
11804 MCG +08-39-002 +08-39-02a
11805 MCG +08-39-002 +08-39-02b
11874 MGC +08-40-000 +09-40-000
11967 MCG +05-42-005 +05-52-005
12342 Num 12342      12392 (for RA=2306.7)
12375 Dec +2459      +3459
12376 MGC +00-58-000 +03-58-000
12408 MCG +01-59-005 +02-59-005
12466 RA  2312.5     2313.5
12571 Dec +1330      +4330
12571 MCG +01-59-037 +01-59-034
12648 RA  2329.7     2329.4
12764 MCG +04-55-003 +04-55-000            
12821 MCG +05-53-016 +05-56-016
12836 MCG +09-01-001 +09-01-000    
12840 MGC +01-01-002 +05-01-002
12847 Num 12847      12817 (for RA=2349.3)
12848 Num 12848      12818 (for RA=2349.6)
12873 Num 12873      12843 (for RA=2353.0)
12896 Dec +3603      +2603
20016 Num 20016      12016 (for RA=2221.1)
