ID,Text
1,See MCG
2,"de Vaucouleurs, G., de Vaucouleurs, A., 1964, Reference Catalogue of"
2,"Bright Galaxies, The University of Texas Press, Austin"
A,"Arp, H., 1966, Atlas of Peculiar Galaxies, California Institute of"
A,"Technology, Pasadena"
ADHW,"Auner, G., Dengel, J., Hartl, H., Weinberger, R., 1979, private"
ADHW,communication
Ag,"Aguero, E.L., 1971, Pub. Astron. Soc. Pacific 83, 310"
AL,"Andrews, A.D., Lindsay, E.M., 1967, Irish Astron. J. 8, 126"
Al,"Allen, D.A., 1973, Observatory 93, 85"
BDS,"Blaauw, A., Danziger, I.J., Schuster, H.-E., 1975, Astron. Astrophys."
BDS,"44, 469"
Be,"Bernard, A., 1981, private communication, Observatoire de Lyon"
BH,"Bergh, S. van den, Hagen (Harris), G.L., 1975, Astron. J. 80, 11"
BHe,"Bergh, S. van den, Herbst, W., 1975, Astron. J. 80, 208"
BMT,"Bergh, S. van den, Marscher, A.P., Terzian, Y., 1973, Astrophys. J."
BMT,"Suppl. Ser. 26, 19"
BRABCMS,"Bergh, S. van den, Racine, R., Agt, S., van, Barnes, T., Coutts, C.,"
BRABCMS,"Madore, B., Skill, A., 1973, Astrophys. J. 179, 863"
CCG,"Clark, D.H., Caswell, J.L., Green, Anne, J., 1973, Nature 246, 28"
CG,"Cesco, C.U., Gibson, J., 1973, Astron. Astrophys. Suppl. 11, 335"
CHT,"Cannon, R.D., Hawarden, T.G., Tritton, S.B., 1977, Mon. Not. R. Astr."
CHT,"Soc. 180, 81p"
CLLSW,"Cesarsky, D.A., Laustsen, S., Lequeux, J., Schuster, H.-E., West,"
CLLSW,"R.M., 1977, Astron. Astrophys. 61, L 31"
DB,"Dodd, R.J., Brand, P.W.J.L., 1976, Astron. Astrophys. Suppl. 25, 519"
DDKS,"Danziger, I.J., Dennefeld, M., Kunth, D., Schuster, H.-E., 1974,"
DDKS,"Astron. Astrophys. 37, 419"
DDO,"Bergh, S. van den, 1959, Publ. David Dunlop Obs. 5, 147"
DHW,"Dengel, J., Hartl, H., Weinberger, R., 1980, Astron. Astrophys. 85,"
DHW,356
EU:1,"Holmberg, E.B., Lauberts, A., Schuster, H.-E., West, R.M., 1974a,"
EU:1,"Astron. Astrophys. Suppl. 18, 463"
EU:2,"Holmberg, E.B., Lauberts, A., Schuster, H.-E., West, R.M., 1974b,"
EU:2,"Astron. Astrophys. Suppl. 18, 491"
EU:3,"Holmberg, E.B., Lauberts, A., Schuster, H.-E., West, R.M., 1975,"
EU:3,"Astron. Astrophys. Suppl. 22, 327"
EU:4,"Holmberg, E.B., Lauberts, A., Schuster, H.-E., West, R.M., 1977,"
EU:4,"Astron. Astrophys. Suppl. 27, 295"
EU:5,"Holmberg, E.B., Lauberts, A., Schuster, H.-E., West, R.M., 1978a,"
EU:5,"Astron. Astrophys. Suppl. 31, 15"
EU:6,"Holmberg, E.B., Lauberts, A., Schuster, H.-E., West, R.M., 1978b,"
EU:6,"Astron. Astrophys. Suppl. 34, 285"
