RAh,RAm,RAs,DE-,DEd,DEm,ESO,Text
0,1,28,-,51,40.3,193- G  13,S comp 0.5 nf
0,2,20,-,45,45.9,241- G  13,connected w S comp 0.6 sf
0,3,12,-,40,3.5,293-IG  32,"incl 2 S comp, in group"
0,3,27,-,44,5.6,241- G  15,L in group
0,3,40,-,40,29.6,293-IG  33,in group
0,3,48,-,41,46.3,293-IG  34,"incl 2 vS comps sp, nf; in group w IG 37, S comp 1.2 f"
0,4,34,-,41,38.1,293-IG  37,"star imp, sev S comps; in group w IG 34"
0,4,49,-,64,49.3,78- G  16,connected? w S comp sp
0,7,23,-,49,14.0,193- G  33,in cl
0,7,23,-,64,39.0,78- G  17,distant cl in backgr
0,9,18,-,24,38.5,472- G  17,image distorted by calibration spots
0,9,43,-,23,46.8,472- G  19,image distorted by calibration spots
0,10,31,-,24,29.6,472- G  20,image distorted by calibration spots; diameters
0,10,31,-,24,29.6,472- G  20,measured on adj plate
0,10,48,-,26,52.3,472-IG  21,B starlike centre in 1st obj
0,12,9,-,39,53.6,293-IG  48,"arms term in 2 S comps n, s ; in group"
0,12,34,-,24,58.2,473- G   3,image distorted by calibration spots
0,12,35,-,35,25.3,350-IG   3,in cl
0,12,55,-,48,37.1,193-IG  40,vF bridge to S comp 1.2 s
0,13,33,-,56,21.3,149-IG  25,S comp at tip of arm
0,15,34,-,34,9.1,350- G   7,B comp 2.0 sp
0,16,33,-,23,12.9,473- G  10,S comp 3.6 np = NGC 65
0,17,13,-,51,32.7,194- G   4,L in group
0,17,56,-,49,31.7,194-IG   5,in G 06 cl
0,19,5,-,40,39.9,294- G   5,in group w G 04
0,19,5,-,48,54.2,194-IG  12,broad ext southw
0,19,54,-,32,32.9,410- G   9,in field 350
0,21,33,-,62,32.9,78-IG  23,con w starlike obj 0.7 np
0,23,2,-,69,5.0,50-IG  11,close pair connected by F bridge to 3rd member
0,25,0,-,40,52.8,294-IG  11,in group
0,25,20,-,38,57.7,294-IG  13,L in group
0,25,29,-,50,51.6,194-IG  18,2 S comp 1.3 np
0,25,52,-,48,56.3,194-IG  19,plume westw from 2nd comp
0,26,12,-,41,11.2,294-IG  14,in cl
0,27,19,-,51,47.7,194- G  21,cz=3312:40(ES)?
0,28,9,-,34,39.3,350- G  24,in foreground of dist galaxy cluster
0,28,44,-,41,38.5,294- G  19,starlike object nf on tip of arm
0,28,59,-,33,38.8,350- G  29,in cl
0,29,33,-,49,58.2,194-IG  25,eF bridge incl S comp 1.8 s and 3.2 s
0,29,46,-,64,40.0,79- G   2,2 S comps 0.5 sf
0,30,13,-,45,30.5,242- G  12,contact w S comp s
0,32,44,-,33,39.1,350- G  36,incl S comp f
0,34,52,-,20,12.7,540- G   6,cz=3460(5D)
0,35,15,-,33,59.5,350- G  40,vF spir arms inside knotty ring; 2 S comps 1.0 nf
0,36,51,-,19,11.6,540- G   9,NGC RA 2.6 m off
0,38,33,-,63,43.1,79- G   5,disturbed? sev S objs near
0,41,7,-,50,27.5,194- G  31,cz=8900:250(2C)
0,42,7,-,51,28.6,194- G  33,"L in cl, or in foreground?"
0,44,31,-,41,53.3,295-IG   4,eF streamer? terminating in S comp nf
0,47,38,-,47,39.6,195-IG   4,L in group
0,50,17,-,31,28.6,411- G  25,S and F comp 3.4 np
0,51,11,-,47,38.9,195-IG  11,star between
0,51,28,-,45,27.4,243- G   8,IC Dec off 10'
0,52,37,-,23,47.8,474- G  43,in G 42 group
0,54,45,-,53,11.6,151- G  13,sev S comps
0,54,50,-,63,45.1,79-IG  13,B nucl reg in knotty ring;
0,54,50,-,63,45.1,79-IG  13,interacting w S E or compact 0.8 sp
0,54,52,-,43,59.8,243- G  15,S comp 0.2 sp
0,56,12,-,51,4.0,195- G  20,"incl 2 S comp n,s"
0,56,30,-,19,0.8,541- G   4,"NGC pos 0.4 m, 19' off, cf. G 08"
0,56,43,-,68,45.6,51-IG   8,"patchy, chaotic spiral; in group"
0,57,41,-,18,53.8,541- G   8,"NGC pos 0.8 m, 12' off, cf. G 04"
0,57,47,-,33,58.7,351- G  30,"discovered by Harlow Shapley, Boyden Observatory, South"
0,57,47,-,33,58.7,351- G  30,"Africa, in 1937."
0,58,21,-,31,12.0,412- G   2,S comp 0.8 f
0,58,34,-,50,48.6,195-IG  22,bridges con sev S comp
0,58,42,-,26,19.7,475- G   5,S bar-like comp attached to s arm
0,59,9,-,23,32.1,475- G   6,NGC RA 0.7 min off
0,59,10,-,23,31.3,475- *   7,NGC RA 0.8 min off
1,0,13,-,39,20.3,295- G  29,"2 S comps 1.0 s, 0.5 sf"
1,0,34,-,47,27.3,243-IG  19,"""cigar"" through ring"
1,2,6,-,51,18.0,195- G  28,in G 27 group
1,2,32,-,64,23.4,79- G  16,S knot attached
1,2,45,-,57,38.7,113-IG   9,interacting w 3 S comps
1,3,27,-,56,36.0,151- G  23,redshift based on G?
1,4,8,-,20,36.0,541- G  19,"NGC pos 3.8 m, 19' off"
1,5,20,-,17,46.4,541-IG  23,"VV 114; p w G 22, in cl"
1,5,49,-,49,57.9,195- C  31,comet West - Kohoutek - Ikemura
1,5,57,-,46,21.6,243- G  34,IC Dec off 10'
1,7,3,-,39,2.2,296- G   3,S comp 0.7 sp
1,9,50,-,61,47.5,113- G  22,nom val of Dec off 5'
1,10,29,-,58,28.4,113- G  24,in G 23 group
1,10,48,-,58,32.8,113- G  25,in G 23 group
1,12,8,-,70,6.7,51- G  25,"nearest to nominal position X =+92. , Y = - 4."
1,12,9,-,31,26.7,412- G  21,in cl
1,12,19,-,55,17.1,151- G  35,filaments perpendicular to major axis; eruptive?
1,15,1,-,34,6.2,352- G  33,NGC Dec 28' off
1,15,15,-,61,43.7,113- G  33,2 S comps sf
1,15,56,-,44,43.6,244- G  12,2nd ref to rad vel in main catalog is Ag;
1,15,56,-,44,43.6,244- G  12,cz=6700:10(2C); Dec off 13'
1,16,52,-,37,4.2,352-IG  42,"sf of 2, in cl"
1,17,13,-,51,13.6,196- G   2,IC Dec off 19'
1,17,43,-,41,29.9,296-IG  11,sev B conds; in G 13 group
1,19,5,-,54,47.6,151- G  41,interact? w comp 1.0 nf
1,21,40,-,38,16.3,296-IG  17,in cl
1,21,51,-,59,3.9,113-IG  45,vB centre or star? Inv S comp 0.4 sf
1,22,58,-,38,19.7,296- G  25,in cl
1,23,0,-,20,28.9,542- G  11,NGC Dec 16' off
1,23,22,-,68,52.7,52-IG   1,mean velocity
1,23,36,-,37,35.6,296- G  29,in cl
1,24,44,-,20,17.7,542- G  12,NGC RA 1.8 min off
1,24,45,-,18,54.8,542- G  13,NGC Dec 28' off
1,24,54,-,31,3.2,413- G?  6,not vis on PSS prints
1,25,57,-,35,55.7,353- G   4,IC Dec off 5'
1,26,24,-,52,53.8,152-IG   3,Mean of 3700 and 3200 for the nuclei
1,27,40,-,61,43.3,113- G  50,compact E 1.2 sp
1,28,41,-,51,23.9,196- G  11,S comp 0.7 sf
1,29,10,-,31,49.9,413-IG? 10,not vis on PSS prints
1,30,4,-,54,7.1,152- G   7,"2 S comps 0.7 nf, 1.2 sp"
1,30,14,-,54,49.5,152- G   8,redshift based on H?
1,31,17,-,56,18.8,152- G  11,"2 S comps f, in group of 3"
1,31,46,-,39,20.9,297-IG   1,in group
1,35,56,-,61,7.1,114-IG   1,vF ext to S comp 1.1 sp
1,36,45,-,42,50.3,244- G  43,redshift based on 5175
1,36,53,-,50,3.0,196-IG  14,star between
1,36,55,-,43,37.3,244- G? 46,p w G 47
1,37,21,-,51,14.8,196-IG  15,S comp 0.8 sf
1,40,16,-,45,37.7,245-IG   2,streamer tow star? 0.8 n
1,41,13,-,33,43.6,353- G  37,vF bridge to S comp 0.5 f
1,42,58,-,43,50.9,245- G   5,associated? w G 07
1,47,34,-,27,42.8,414- G   5,NGC RA 0.9 min off
1,49,3,-,44,41.5,245- G   7,associated? w G 05
1,50,27,-,36,21.2,354-IG   8,interacting w IG 07
1,51,16,-,49,48.3,197- G  10,"abs lane? perpendicular to major axis, like Cen A"
1,53,26,-,30,10.0,414- G  11,IC RA 4.4 min off
1,53,52,-,54,7.6,152-IG  35,2 S comps inv
1,54,12,-,50,13.7,197-IG  13,interacting? w IG 14
1,54,19,-,50,14.0,197-IG  14,interacting? w IG 13
1,54,42,-,44,13.0,245- G  10,sev S comps
1,55,11,-,32,13.8,414- G  15,IC notes ?PD 123 deg which brings it close to IC 1759
1,56,28,-,61,45.1,114- G  17,S comp s on tip of arm
1,56,46,-,56,29.5,153-IG   4,"B in grp, sev S comp"
1,57,21,-,56,40.8,153-IG   5,e dif bridge to S comp 1.2 sp
1,58,7,-,34,33.5,354- G  25,p w G 26
1,58,35,-,56,26.5,153-IG   9,in IG 04 group
1,58,45,-,56,16.1,153-IG  10,in IG 04 group
2,1,11,-,69,41.3,52-IG  17,cz=7800:40(2C) west; cz=8300:10(2C) east        km/s
2,1,54,-,61,28.3,114- G  22,S comp 1.5 nf
2,2,18,-,51,46.4,197-IG  20,"con? w compact 1.4 sf, eF bridge to dif comp 1.9 np"
2,3,7,-,55,27.3,153-IG  16,"S comp 1.0 sf, in G 17 group"
2,3,42,-,60,1.0,114- G  25,B comp 3.1 sf
2,4,50,-,55,27.0,153-IG  21,in G 17 group
2,4,53,-,71,21.2,52- G  20,S E 3.5 f
2,4,54,-,62,12.0,114- G  27,associated? w G 29
2,7,13,-,23,18.7,478- C   8,dimensions refer to trail of nucleus
2,7,56,-,69,35.5,52-IG  22,"connected w 2 S comps n, nf"
2,9,22,-,40,31.5,298- G  17,pos on B member
2,12,31,-,54,55.1,153- G  29,S comp 2.2n
2,13,44,-,23,32.2,478- G  18,NGC Dec 7' off
