000128-5140.3 193- G  13 S comp 0.5 nf
000220-4545.9 241- G  13 connected w S comp 0.6 sf
000312-4003.5 293-IG  32 incl 2 S comp, in group
000327-4405.6 241- G  15 L in group
000340-4029.6 293-IG  33 in group
000348-4146.3 293-IG  34 incl 2 vS comps sp, nf; in group w IG 37, S comp 1.2 f
000434-4138.1 293-IG  37 star imp, sev S comps; in group w IG 34
000449-6449.3  78- G  16 connected? w S comp sp
000723-4914.0 193- G  33 in cl
000723-6439.0  78- G  17 distant cl in backgr
000918-2438.5 472- G  17 image distorted by calibration spots
000943-2346.8 472- G  19 image distorted by calibration spots
001031-2429.6 472- G  20 image distorted by calibration spots; diameters
001031-2429.6 472- G  20 measured on adj plate
001048-2652.3 472-IG  21 B starlike centre in 1st obj
001209-3953.6 293-IG  48 arms term in 2 S comps n, s ; in group
001234-2458.2 473- G   3 image distorted by calibration spots
001235-3525.3 350-IG   3 in cl
001255-4837.1 193-IG  40 vF bridge to S comp 1.2 s
001333-5621.3 149-IG  25 S comp at tip of arm
001534-3409.1 350- G   7 B comp 2.0 sp
001633-2312.9 473- G  10 S comp 3.6 np = NGC 65
001713-5132.7 194- G   4 L in group
001756-4931.7 194-IG   5 in G 06 cl
001905-4039.9 294- G   5 in group w G 04
001905-4854.2 194-IG  12 broad ext southw
001954-3232.9 410- G   9 in field 350
002133-6232.9  78-IG  23 con w starlike obj 0.7 np
002302-6905.0  50-IG  11 close pair connected by F bridge to 3rd member
002500-4052.8 294-IG  11 in group
002520-3857.7 294-IG  13 L in group
002529-5051.6 194-IG  18 2 S comp 1.3 np
002552-4856.3 194-IG  19 plume westw from 2nd comp
002612-4111.2 294-IG  14 in cl
002719-5147.7 194- G  21 cz=3312:40(ES)?
002809-3439.3 350- G  24 in foreground of dist galaxy cluster
002844-4138.5 294- G  19 starlike object nf on tip of arm
002859-3338.8 350- G  29 in cl
002933-4958.2 194-IG  25 eF bridge incl S comp 1.8 s and 3.2 s
002946-6440.0  79- G   2 2 S comps 0.5 sf
003013-4530.5 242- G  12 contact w S comp s
003244-3339.1 350- G  36 incl S comp f
003452-2012.7 540- G   6 cz=3460(5D)
003515-3359.5 350- G  40 vF spir arms inside knotty ring; 2 S comps 1.0 nf
003651-1911.6 540- G   9 NGC RA 2.6 m off
003833-6343.1  79- G   5 disturbed? sev S objs near
004107-5027.5 194- G  31 cz=8900:250(2C)
004207-5128.6 194- G  33 L in cl, or in foreground?
004431-4153.3 295-IG   4 eF streamer? terminating in S comp nf
004738-4739.6 195-IG   4 L in group
005017-3128.6 411- G  25 S and F comp 3.4 np
005111-4738.9 195-IG  11 star between
005128-4527.4 243- G   8 IC Dec off 10'
005237-2347.8 474- G  43 in G 42 group
005445-5311.6 151- G  13 sev S comps
005450-6345.1  79-IG  13 B nucl reg in knotty ring;
005450-6345.1  79-IG  13 interacting w S E or compact 0.8 sp
005452-4359.8 243- G  15 S comp 0.2 sp
005612-5104.0 195- G  20 incl 2 S comp n,s
005630-1900.8 541- G   4 NGC pos 0.4 m, 19' off, cf. G 08
005643-6845.6  51-IG   8 patchy, chaotic spiral; in group
005741-1853.8 541- G   8 NGC pos 0.8 m, 12' off, cf. G 04
005747-3358.7 351- G  30 discovered by Harlow Shapley, Boyden Observatory, South
005747-3358.7 351- G  30 Africa, in 1937.
