Field,NPC_RAh,NPC_RAm,NPC_DEdeg,Plate,RAh,RAm,RAs,DE-,DEd,DEm,Diff_X,Diff_Y,Exp.Y,Exp.M,Exp.d,ExpST.h,ExpST.m,Seeing,Obs_Code,Note
1,16,0,-90,1577,14,3,43,-,89,50.0,7.65,-8.86,1976,7,18.02231,15,33,4,HES,2
2,0,0,-85,1650,23,59,49,-,85,2.5,0.21,2.18,1976,9,18.18406,23,31,1,HES,--
3,2,24,-85,3083,2,25,49,-,85,7.4,-2.07,6.6,1978,12,2.07894,1,53,4,HES,1
4,4,48,-85,2537,4,47,44,-,85,2.1,0.32,1.85,1978,1,5.06578,3,49,4,GPA,6
5,7,12,-85,2542,7,9,40,-,84,59.8,2.73,-0.17,1978,1,6.15585,6,3,2,GPA,--
6,9,36,-85,2596,9,34,36,-,84,59.2,1.64,-0.67,1978,1,17.2297,8,33,1,GPA,--
7,12,0,-85,2141,11,59,1,-,84,56.7,1.16,-2.97,1977,5,12.03762,11,30,5,HES,7
8,14,24,-85,2744,14,22,49,-,84,51.3,1.41,-7.77,1978,3,13.28452,13,29,3,HES,6
9,16,48,-85,568,16,48,38,-,85,5.5,-0.73,4.86,1974,7,20.03003,15,50,3,HES,--
10,19,12,-85,1656,19,11,48,-,85,2.1,0.23,1.91,1976,9,19.98399,18,50,1,HES,--
11,21,36,-85,1646,21,35,38,-,85,1.1,0.43,0.95,1976,9,17.08983,21,11,1,HES,7
12,0,0,-80,1654,0,1,26,-,80,6.6,-3.29,5.9,1976,9,19.16194,23,3,4,HES,--
13,1,30,-80,1655,1,30,40,-,80,3.0,-1.53,2.68,1976,9,19.22219,0,30,4,GPA,--
14,3,0,-80,1659,2,59,5,-,79,58.2,2.12,-1.57,1976,9,20.2804,1,58,4,HES,--
15,4,30,-80,1743,4,29,59,-,79,59.4,0.02,-0.55,1976,11,19.20037,3,59,2,HES,--
16,6,0,-80,1740,6,0,30,-,80,9.7,-1.14,8.59,1976,11,18.25782,5,18,4,HES,--
17,7,30,-80,2539,7,29,37,-,80,3.1,0.9,2.74,1978,1,5.17036,6,20,3,GPA,--
18,9,0,-80,2584,9,0,17,-,79,49.8,-0.65,-9.08,1978,1,13.2143,7,55,4,GPA,--
19,10,30,-80,1290,10,28,51,-,80,9.8,2.63,8.73,1976,2,6.23883,10,3,2,HES,--
20,12,0,-80,2661,11,59,16,-,79,53.1,1.71,-6.14,1978,2,15.25232,11,0,3,GPA,--
21,13,30,-80,2142,13,29,17,-,80,1.3,1.67,1.18,1977,5,12.0951,12,53,5,OPA,6
22,15,0,-80,573,14,59,54,-,80,3.7,0.24,3.26,1974,7,20.99821,15,8,4,HES,--
23,16,30,-80,563,16,32,36,-,80,3.1,-6.02,2.74,1974,6,23.12176,16,16,5,HES,2
24,18,0,-80,562,18,0,10,-,80,2.7,-0.37,2.42,1974,6,22.15496,17,0,5,HES,2
25,19,30,-80,933,19,29,14,-,80,2.1,1.78,1.84,1975,6,6.26164,18,30,3,HES,--
26,21,0,-80,1653,20,59,24,-,80,6.0,1.4,5.36,1976,9,19.04351,20,12,1,HES,--
27,22,30,-80,1658,22,29,47,-,80,0.7,0.52,0.63,1976,9,20.09618,21,32,3,HES,--
28,0,0,-75,2994,23,59,39,-,75,1.1,1.23,0.97,1978,9,28.15877,23,32,3,HES,--
29,1,6,-75,2995,1,6,8,-,75,6.1,-0.44,5.42,1978,9,28.2211,1,2,3,OPA,--
30,2,12,-75,422,2,12,0,-,75,2.6,-0.01,2.28,1973,11,25.17228,3,41,2,DBA,--
