 1           Vorontsov-Velyaminov, B.A., Arhipova, V.P., 1968, Morfologiceskij
 1           Katalog Galaktik (Morphological Catalogue of Galaxies), IV, Moscow
 1           State University, Moscow
 2 UBV,Z     de Vaucouleurs, G., de Vaucouleurs, A., Corwin, H.G.: 1976, Second
 2           Reference Catalogue of Bright Galaxies, University of Texas Press,
 2           Austin
 3 UBV,Z     Sandage, A., Tammann, G.A.: 1981, A Revised Shapley-Ames Catalog of
 3           Bright Galaxies, Carnegie Institution of Washington, Washington,
 3           D.C.
 4 Z         Allen, D.A., Longmore, A.J., Hawarden, T.G., Cannon, R.D., Allen,
 4           C.J.: 1978, Mon. Not. R. Astr. Soc. 184, 303
 5 Z         Aguero, E., Carranza, G.J.: 1977, The Observatory 97, 241
 6 Z         Arp, H.: 1981, Astrophys. J. Suppl. 46, 75
 7 UBV,Z     Bergvall, N.A.S., Borchkhadze, T.M., Breysacher, J., Ekman, A.B.G.,
 7           Lauberts, A., Laustsen, S., Muller, A.B., Schuster, H.-E., Surdej,
 7           J., West, R.M., Westerlund, B.E.: 1978, Astron. Astrophys. Suppl.
 7           33, 243
 8 Z         Bohuski, T.J., Burbidge, E.M., Burbidge, G.R., Smith, M.G.: 1972,
 8           Astrophys. J. 175, 329
 9 UBV,Z     Bohuski, T.J., Fairall, A.F., Weedman, D.W.: 1978, Astrophys. J.
 9           221, 776
10 UBV       Bucknell, M.J., Peach, J.V.: 1976, The Observatory 96, 61
11 Z         Burbidge, E.M., Burbidge, G.R.: 1972, Astrophys. J. 171, 253
12 Z         Catchpole, R.M., Evans, D.S., Jones, D.H.: 1969, The Observatory
12           89, 21
13 Z         Cesarsky, D.A., Laustsen, S., Lequeux, J., Schuster, H.-E., West,
13           R.M.: 1977, Astron. Astrophys. 61, L31
14 UBV       Danks, A.C., Wamsteker, W., Vogt, N., Salinari, P., Tarenghi, M.,
14           Duerbeck, H.W.: 1979, Astrophys. J. 227, L59
15 Z         Danziger, I.J., Schuster, H.-E.: 1974, Astron. Astrophys. 34, 301
16 Z         Dawe, J.A., Dickens, R.J., Peterson, B.A.: 1977, Mon. Not. R. Astr.
16           Soc. 178, 675
