OCL-1         1   Ruprecht 140    000.01 -08.86 18 18.5 -33 16
OCL-2         3   Ruprecht 131    000.14 -00.77 17 45.8 -29 12  SO- 90  17 46 -30  224 217
OCL-3         5   NGC 6558        000.20 -06.03 18 06.8 -31 47  SO- 95  18 20 -30  284  77
OCL-4         7   Ruprecht 134    000.27 -01.66 17 49.6 -29 33  SO- 90  17 46 -30  187 202
OCL-5         9   CR 351          000.59 -00.59 17 46.2 -28 43  SO- 90  17 46 -30  221 244
OCL-6        11   Ruprecht 133    000.97 -01.17 17 49.3 -28 42  SO- 90  17 46 -30  190 249
OCL-7        13   Ruprecht 168    001.23 -01.12 17 49.7 -28 27  SO- 90  17 46 -30  186 261
OCL-8        15   Czernik 37      002.22 -00.63 17 50.1 -27 21  SO- 90  17 46 -30  180 320
OCL-9        17   Trumpler 31     002.25 -02.32 17 56.7 -28 11  SO- 90  17 46 -30  102 274
OCL-10       19   NGC 6520        002.87 -02.85 18 00.2 -27 54  SO- 90  17 46 -30   60 290
OCL-11       21   NGC 6540        003.26 -03.36 18 03.2 -27 49  SO- 90  17 46 -30   26 290
OCL-12       23   CR 468          003.61 -03.27 18 03.5 -27 28  SO- 95  18 12 -30  332 308
OCL-13       25   Ruprecht 137    004.85 -00.83 17 56.8 -25 11  O- 175  17 46 -24   97 114
OCL-14       27   Ruprecht 169    005.15 -00.47 17 56.4 -24 47  O- 175  17 46 -24  100 135
OCL-15       29   Ruprecht 136    005.19 -00.55 17 56.2 -24 42  O- 175  17 46 -24  102 140
OCL-16       31   Ruprecht 138    005.29 -00.59 17 56.9 -24 41  O- 175  17 46 -24   95 141
OCL-17       33   NGC 6544        005.86 -02.22 18 04.4 -25 00  O- 326  18 12 -24  318 114
OCL-18       35   NGC 6523        005.91 -01.07 18 00.1 -24 23  O- 175  17 46 -24   53 158
OCL-19       39   NGC 6530        006.13 -01.36 18 01.7 -24 20  O- 175  17 46 -24   40 156
OCL-20       45   Ruprecht 139    006.41 -00.26 17 58.1 -23 33  O- 175  17 46 -24   82 203
OCL-21       47   NGC 6469        006.50 +01.98 17 49.9 -22 20  O- 175  17 48 -24  178 269
OCL-22       49   CR 367          006.97 -02.17 18 06.5 -24 00  O- 326  18 12 -24  291 172
OCL-23       51   NGC 6514        006.99 -00.25 17 59.3 -23 02  O- 175  17 46 -24   63 237
OCL-24       55   NGC 6546        007.31 -01.37 18 04.2 -24 19  O- 326  18 12 -24  318 205
OCL-25       57   Dolidze 27      007.62 +24.66 16 33.8 -08 51  O-1043  16 24 -06  110  32
OCL-26       59   NGC 6531        007.72 -00.44 18 01.6 -22 30  O- 175  17 46 -24   41 257
OCL-26.1     61.1 VandenB. RN 113 009.07 -00.74 18 05.6 -21 28
OCL-27       63   NGC 6583        009.28 -02.54 18 12.8 -22 09  O- 326  18 12 -24  215 268
OCL-28       65   NGC 6568        009.43 -01.66 18 09.8 -21 37  O- 326  18 12 -24  253 300
OCL-29       67   NGC 6642        009.82 -06.43 18 28.8 -23 30  O- 326  18 12 -24   19 194
OCL-30       69   NGC 6494        009.85 +02.85 17 53.9 -19 01  O-1106  18 00 -18  328 118
OCL-31       71   NGC 6595        011.39 -01.69 18 14.0 -19 54  O-1106  18 00 -18   75  72
OCL-32       73   NGC 6507        011.58 +03.10 17 56.7 -17 24  O-1106  18 00 -18  290 204
OCL-33       75   Markarjan 38    011.99 -00.93 18 12.3 -19 01  O-1106  18 00 -18   95 119
OCL-34       77   Trumpler 33     012.43 -03.22 18 21.8 -19 43  O- 569  18 24 -18  268  79
OCL-35       79   CR 469          012.80 -00.80 18 13.5 -18 14  O-1106  18 00 -18   78 157
OCL-36       81   NGC 6603        012.86 -01.32 18 15.5 -18 26  O-1106  18 00 -18   54 151
OCL-37       83   NGC 6717        012.87 -10.91 18 52.1 -22 46  O- 173  18 38 -24   54 235
OCL-38       85   IC 4725         013.58 -04.48 18 28.7 -19 17  O- 569  18 24 -18  190 110
OCL-39       91   Ruprecht 146    014.08 -09.70 18 49.6 -21 11  O- 173  18 38 -24   84 321
OCL-40       93   NGC 6613        014.15 -01.01 18 17.0 -17 09  O-1106  18 00 -18   33 222
OCL-41       95   NGC 6596        014.29 -00.28 18 14.6 -16 41  O-1106  18 00 -18   64 243
OCL-42       97   CR 394          014.84 -09.56 18 50.5 -20 27  O-1111  18 48 -18  209  44
OCL-43       99   Blanco          014.97 -79.26 00 01.7 -30 13  SO- 21  00 52 -30  113 138
OCL-44      101   NGC 6618        015.09 -00.74 18 17.9 -16 12  O-1106  18 00 -18   24 270
OCL-45      105   NGC 6647        015.25 -03.57 18 28.6 -17 23  O- 569  18 24 -18  310 203
OCL-46      107   NGC 6716        015.40 +09.58 18 51.6 -19 57  O-1111  18 48 -18  195  61
OCL-47      109   NGC 6605        015.73 +00.62 18 14.2 -14 59  O-1106  18 00 -18   72 338
OCL-48      111   NGC 6645        015.77 -03.59 18 29.7 -16 56  O- 569  18 24 -18  168 230
OCL-49      113   Ruprecht 135    016.39 +06.22 17 55.4 -11 41  O- 503  18 00 -12  304 189
OCL-50      115   Ruprecht 171    016.48 -03.11 18 29.3 -16 05  O- 569  18 24 -18  173 276
OCL-51      117   IC 1257         016.54 +15.14 17 24.4 -07 03  E- 266  17 12 -06   75 123
OCL-52      119   Ruprecht 145    016.62 -07.94 18 47.6 -18 09  O-1111  18 48 -18  250 151
OCL-53      121   Dolidze 28      016.96 -01.01 18 22.5 -14 41  O- 296  18 24 - 2  254  26
OCL-54      123   NGC 6611        016.99 +00.79 18 16.0 -13 48  O- 503  18 00 -12   33  72
OCL-55      129   Trumpler 32     017.21 +01.28 18 14.7 -13 22  O- 503  18 00 -12   53  98
OCL-56      131   NGC 6604        018.26 +01.69 18 15.3 -12 15  O- 503  18 00 -12   43 156
OCL-57      133   NGC 6639        018.78 -01.36 18 27.3 -13 14  O- 296  18 24 -12  198 106
OCL-58      135   NGC 6625        019.01 +00.67 18 20.4 -12 05  O- 296  18 24 -12  287 167
OCL-59      137   NGC 6631        019.47 -00.19 18 24.4 -12 04  O- 296  18 24 -12  236 167
OCL-60      139   Ruprecht 141    019.70 -01.20 18 28.5 -12 21  O- 296  18 24 -12  179 152
OCL-61      141   Ruprecht 142    019.85 -01.34 18 29.3 -12 17  O- 296  18 24 -12  168 155
OCL-62      143   Ruprecht 143    020.01 -01.40 18 29.8 -12 10  O- 296  18 24 -12  162 160
OCL-63      145   Ruprecht 144    020.72 -01.24 18 30.6 -11 28  O- 296  18 24 -12  151 200
OCL-64      147   Ruprecht 170    021.00 +01.18 18 22.4 -10 05  O- 296  18 24 -12  258 275
OCL-65      149   Ruprecht 147    021.02 -12.81 19 13.8 -16 22  O- 157  19 12 -18  221 253
