000+04.3 *IRAS17267-2608 PM 1-151 (RPZM 2-20) in SECGPN.
000+04.4 *IRAS17270-2618 RPZM 2-21 in SECGPN.
000-03.2  KnFs 1         KFL 1 in SECGPN.
000-04.3  Sa 3-117       Wray 16-363 in SECGPN.
001+03.1  K 5-5          IRAS 17322-2540 in S1 to SECGPN.
001-00.6  JaSt 78        Coordinates in S1 to SECGPN wrong.        
001-02.1 *H 2-34         Rejected from SECGPN as SS.
001-03.3  SAWI 1         ShWi 2-1 in SECGPN.
001-03.4 *SAWI 2         ShWi 2-2 in SECGPN.
001-03.5 *SAWI 3         Rejected from SECGPN (ShWi 2-3) as M star.
001-03.6 *SAWI 4         ShWi 2-4 in SECGPN.
001-03.7  SAWI 5         ShWi 2-5 in SECGPN.
001-03.8 *SAWI 6         ShWi 2-6 in SECGPN.
001-03.9  SAWI 7         ShWi 2-7 in SECGPN.
001-06.1 *CnMy 17        Rejected from SECGPN as SS.
002+06.1 *IRAS17248-2254 PM 1-149 in SECGPN.
002+05.2  K 5-3          IRAS 17276-2342 in S1 to SECGPN.
002-02.5  KnFs 2         KFL 2 in SECGPN.
002-03.1 *Ap 1-8         Rejected from SECGPN as SS.
002-03.4 *H 2-38         Rejected from SECGPN as SS?.
002-03.7  Sa 3-115       Wray 17-107 in SECGPN.
002-05.1 *He 2-370       Rejected from SECGPN as SS?.
002-05.2  KnFs 14        KFL 14 in SECGPN.
003+06.1 *IRAS17269-2235 GLMP 572 in S1 to SECGPN.
003+04.1  K 5-6          PM 1-159 in S1 to SECGPN. IRAS 17324-2309.
003+03.1 *H 2-17         Chart given in SECGPN turned by 180 deg.
003+02.2 *IRAS17414-2412 PBOZ 11 in SECGPN.
003-02.4 *KnFs 4         KFL 4 in SECGPN.
003-03.2  KnFs 7         KFL 7 in SECGPN.
003-04.2 *Ap 1-9         Rejected from SECGPN as SS.
003-04.11 KnFs 12        KFL 12 in SECGPN.
003-07.1  KnFs 19        KFL 19 in SECGPN.
004+02.2  IRAS17445-2412 PBOZ 16 in SECGPN.
004-03.2  KnFs 10        KFL 10 in SECGPN.
004-03.3  KnFs 11        KFL 11 in SECGPN.
004-05.2 *He 2-376       Rejected from SECGPN as em.-line star.
005-01.1  IRAS18023-2513 PBOZ 34 in SECGPN.
005-03.3  KnFs 13        KFL 13 in SECGPN.
005-04.2  KnFs 16        KFL 16 in SECGPN.
005-05.2 *He 2-390       Rejected from SECGPN as SS?.
005-18.1  SKWL 2-21      StWr 2-21 in SECGPN.
006+03.3 *IRAS17448-2131 PBOZ 29 in S1 to SECGPN.
006+02.2 *H 2-28         Rejected from SECGPN as SS.
006-03.4  KnFs 15        KFL 15 in SECGPN.
006-08.1  Ae 1           Al 1 and Wray 15-1876 (chart) in SECGPN.
006-19.1  SKWL 2-18      Wray 16-423 in SECGPN.
006-41.1  PaRu 1-1       PRMG 1 in SECGPN.
007+02.1 *Th 4-8         Rejected from SECGPN because no em.-line object 
007+02.1 *Th 4-8         detected.
007+01.2 *M 3-18         Rejected from SECGPN as SS.
009+05.1 *He 3-1475      Pre-PN in S5. IRAS 17423-1755.
009-07.1  IRAS18333-2357 GJJC 1 in SECGPN.
011+17.1 *DeHt 10        DHW 2 in S1 to SECGPN (not DeHt 1 228-22.1 in SECGPN!).
011-07.1 *V348 Sgr       SB 17 in S1 to SECGPN. Possible PN in SECGPN. 
011-07.1 *V348 Sgr       IRAS 18372-2257.
011-14.1 *HtDe 10        HDW 10 in SECGPN.
012+04.1 *IRAS17514-1555 PM 1-188 in SECGPN.
013+05.2 *MaC 1-9        Rejected from SECGPN as SS.
013-15.1 *We 4-5         Wei 1-5 in S1 to SECGPN.
014+03.1 *IRAS17597-1442 GLMP 698 in S1 to SECGPN.
014-25.1 *HtDe 12        HDW 12 in SECGPN.
017+11.1  IRAS17395-0841 PDJ 1 in S1 to SECGPN.
