000+12.1  IC 4634        Coordinates 09.133.025 probably not correct.
000+02.1  Ae 2-J         Identification not certain.
000+01.5  JaSt 41        Ko,Ku (1999): identification not certain.
000-01.2  Bl 3-15        Coordinates 55.002.049 not correct.
000-01.7  Ae 2-Q         Ko,Ku (1999): identification not certain.
000-01.10 JaSt 90        Ko,Ku (1999): identification not certain.
000-02.5  M 3-47         Coordinates 25.135.020 probably not correct.
000-02.6  M 3-19         Coordinates 25.135.020 not correct.
000-04.3  Sa 3-117       Ko,Ku (1999): identif. uncertain because 
000-04.3  Sa 3-117       made only according to the coordinates.
001+05.1  H 1-14         Coordinates Ko,Ku (1999) belong partly to 
001+05.1  H 1-14         wrong (old) identif.
001+02.1  He 2-262       IRAS 17371-2641 nearby.
001+01.4  JaSt 43        Ko,Ku (1999): identif. somewhat uncertain.
001+00.2  JaSt 51        Ko,Ku (1999): identif. somewhat uncertain.
001-00.6  JaSt 78        Probably printing error in coordinates Ja,St (1997).
001-00.6  JaSt 78        Ko,Ku (1999): identif. very uncertain, 
001-00.6  JaSt 78        coord. estimated only.
001-01.2  Bl Q           IRAS 17513-2812 nearby.
001-01.3 *H 2-31         Coordinates CGPN/Koal 65 probably not correct.
001-03.3  SAWI 1         Ko,Ku (1999): identif. very uncertain, 
001-03.3  SAWI 1         object nearly invisible.
001-03.5 *SAWI 3         Identification not certain.
001-03.7  SAWI 5         Ko,Ku (1999): identif. somewhat uncertain. 
001-03.7  SAWI 5         IRAS 18007-2951 nearby.
001-03.9  SAWI 7         Identification not certain.
002+06.1 *IRAS17248-22   Ko,Ku (1999): identif. corresponds with that of SECGPN.
002+01.1  H 2-20         Coordinates 18.133.025, GSC 6832-00834 and partly 
002+01.1  H 2-20         Ko,Ku (1999) belong to wrong (old) identification.
002+01.3 *K 5-15         The object marked in Kohoutek (1994AN....315..235K) is 
002+01.3 *K 5-15         between the comp. C1 and C2. It may be a variable star 
002+01.3 *K 5-15         with a large amplitude or a nova.
002-03.2  H 2-37         Coordinates differ too much.
002-03.3  M 1-37         Probably printing error in coordinates CGPN/Mi 59.
002-04.2  M 1-42         IRAS 18079-2859 nearby.
002-05.2  KnFs 14        Ko,Ku (1999): identif. uncertain, object nearly 
002-07.1  M 2-41         invisible IRAS 18194-3045 nearby.
003+05.1  H 2-15         Coord. 70.002.006 rad: deviation in DEC from optical 
003+05.1  H 2-15         position.
003-02.1  M 1-35         IRAS 18005-2643 nearby.
003-02.2  M 2-26         IRAS 18001-2659 nearby.
003-02.4 *KnFs 4         Ko,Ku (1999): identification uncertain, a variable star
003-02.4 *KnFs 4         with a large amplitude or a nova? Two candidates 
003-02.4 *KnFs 4         measured, the object may be identical with C2.
003-03.2  KnFs 7         Ko,Ku (1999): identification not certain.
003-04.2 *Ap 1-9         Coordinates CGPN/Fc 62 not correct.
