1966ApJ...144..259A Abell                       (A,IC)                               (1964, priv. comm. to CGPN; see Abell, 1955PASP...67..258A)
1992A&A...264..217A Acker  et al.               (Ta 233)
1988A&AS...73..325A Acker et al.
1900PASP...12..203A Aitken                      (IC)
1997MNRAS.289..589A Ali & Pfleiderer            (AGPF)
1973Obs....93...85A Allen                       (Ae)
1979Obs....99...83A Allen                       (Ae2)
1984PASAu...5..369A Allen
                    Apriamashvili               (Ap1)                                see Francman, 1962AZh....39..256F
1959ATsir.202...13A Apriamashvili               (PC 22)
1962ATsir.231...25A Apriamashvili               (Ap2)                                1962a
1962ATsir.232....3A Apriamashvili               (Ap3)                                1962b
1964ATsir.279....1A Apriamashvili               (Ap4)
1976ATsir.930....5A Arkhipova & Esipov          (HM Sge)
1994PAZh...20..700A Arkhipova & Ikonnikova
1978SvAL....4....7A Arkhipova & Lozinskaya      (S)
1992PAZh...18..436A Arkhipova et al.            (to V1027 Cyg)
1993PAZh...19..436A Arkhipova et al.
1999AstL...25...25A Arkhipova et al.            (IRAS)
1967ApJ...150..707A Arp & Scargle               (PHL)
1935PASP...47...99B Baade                       (Ba)
1994MNRAS.271..175B Barstow et al.
1981ApJ...250L..79B Baud
                    Beaulieu                    (SB)                                 1996, Thesis, Mt. Stromlo and Siding Spring Obs. (Dynamics of the galactic bulge using planetary nebulae)
1999ApJ...515..610B Beaulieu et al.             (to SB)
1994ApJS...91..347B Becker et al.               (to GPS)
1999PASA...16..134B Beer & Vaughan              (BeVa)
1995A&A...303..747B Bica et al.                 (TaJu 5,23)
1975A&A....44..469B Blaauw et al.               (BLDZ)
                    Blanco                      (Bl2)                                1964, priv. communication to CGPN
                    Blanco                      (Bl3)                                1964, see Wehinger et al. 1964, priv. comm.
1961CoBos..13....1B Blanco                      (Bl)
1995ApJ...446L..89B Bobrowsky et al.            (He3)                                (see also Univ. of Haifa Conference on Asymmetrical Planetary Nebulae, p.178, 1995)
1977ApJ...213..421B Boeshaar & Bond             (BOBN)
1956PASP...68..430B Bohm-Vitense                (BV)
                    Bond                                                             2000, Proc. ASP Conference Series Vol. 199, 115
1999PASP..111..217B Bond & Ciardullo            (to NGC 246)
1990AJ....100..788B Bond & Meakes
1991A&A...242..247B Bujarrabal & Bachiller
1988A&A...204..242B Bujarrabal et al.
1974A&A....36..139C Caloi & Panagia             (CIPG)
1894AstAp..13..448C Campbell                    (BD)
1921HarCi.224.....C Cannon                      (Cn1)
1923BHarO.784.....C Cannon                      (Cn2)
1926BHarO.837.....C Cannon                      (Cn3)
1938BHarO.908...20C Cannon & Mayall             (CnMy)
1989IAUS..131...61C Cappellaro et al.           (IRAS)
1990A&AS...86..503C Cappellaro et al.           (CTSS,Sh2)
1991Msngr..64...39C Cappellaro et al.           (CSST)
1994MNRAS.267..871C Cappellaro et al.           (CBSS)
1992A&A...262..106C Carballo et al.
1973A&AS...11..335C Cesco & Gibson              (Y-C)
1984BAAA...28..159C Cesco et al.                (Y-C)
1958BOTT....2q..15C Chavira
1996AJ....111.2332C Ciardullo & Bond
1999AJ....118..488C Ciardullo et al.
1977A&A....61..459C Ciatti et al.               (HM Sge)
1973Natur.246...28C Clark et al.                (VB 1)
1989ApJ...346..803C Cohen & Gillett             (IRAS)
1987ApJ...321L.151C Cohen & Jones               (IRAS)
1986AJ.....92...94C Condon & Broderick
1998ApJS..117..361C Condon & Kaplan             (to A 58, IRAS)
1999ApJS..123..219C Condon et al.               (IRAS)
1993ApJ...408..593C Conlon et al.               (LSIV-12 111)
                    Copeland                    (NGC)                                1884, Copernicus 3, 193
1997A&A...324..276C Corradi et al.              (CoVi)
1974VatOP...1..181C Coyne et al.
1970ApL.....6....5C Crampton et al.             (V1016 Cyg)(HBV 475)
1973PASP...85..401C Cudworth                    (to NGC 650-1, A 24, A 30, A 33)
1993A&A...277..203C Cuisinier et al.            (Ta)
1994A&A...287..227C Cuisinier et al.            (Ta)
1918PLicO..13...55C Curtis                      (NGC)
1919PASP...31..285C Curtis                      (NGC,IC)
1977ApJ...211..866D Davidsen et al.             (to MaC 1-5)
1995BAAS...27.1346D Dayal et al.
1990ApJ...351..271D Demers et al.
1979MitAG..45..182D Dengel et al.               (DeHt)
1980A&A....85..356D Dengel et al.               (DeHt)
1971ATsir.629....6D Dolidze                     (DD)
