Chavira 137     00 02 00.  -24 41     Hot sdO star, no nebula (Mendez etal.,1988); see
Chavira 137     00 02 00.  -24 41       Chavira (1958).
KPD 0005+5106   00 05 42.1 +51 06 37  Hot DO star, no nebulosity (Werner etal.,1997).
KPD 0005+5106   00 05 42.1 +51 06 37    WD 0005+511 (McCook, Sion, 1999).
Chavira 144     00 07 42.  -26 29     Hot sdO star, no nebula (Mendez etal.,1988); see
Chavira 144     00 07 42.  -26 29       Chavira (1958).
LB 1566         00 38 06.  -55 18     Hot sdO star, no nebula (Mendez etal.,1988).
PG 0038+199     00 38 57.2 +19 52 51  sdOC star, no nebulosity (Kwitter etal.,1989).
PG 0038+199     00 38 57.2 +19 52 51    Hot DO star, no nebulosity (Werner etal.,1997).
PG 0046+078     00 46 02.5 +07 46 24  Hot DO star, no nebulosity (Werner etal.,1997).
PG 0046+078     00 46 02.5 +07 46 24    Pre-WD, no nebulosity (Rauch, 1999). WD 0046+077
PG 0046+078     00 46 02.5 +07 46 24    (McCook, Sion, 1999).
PG 0108+101     01 08 29.2 +10 05 44  Hot DO star, no nebulosity (Werner etal.,1997).
PG 0108+101     01 08 29.2 +10 05 44    WD 0108+100 (McCook, Sion, 1999).
PG 0109+111     01 09 45.1 +11 07 43  Hot DO star, nebulosity (Werner etal.,1997).
RX J0122.9-7521 01 21 52.2 -75 36 47  Pre-WD, no nebulosity (Rauch, 1999).
PG 0122+200     01 22 39.9 +20 02 15  PG 1159 type star as pre-WD (Dreizler etal.,1994).
PG 0122+200     01 22 39.9 +20 02 15    No neb. (Kwitter etal.,1989; Werner etal.,1997).
MCT 0130-1937   01 30 14.8 -19 37 04  PG 1159 type WD, no nebulosity (Demers etal.,1990).
MCT 0130-1937   01 30 14.8 -19 37 04    PG 1159 type star as pre-WD (Dreizler etal.,1994).
MCT 0130-1937   01 30 14.8 -19 37 04    No nebulosity (Rauch, 1999). WD 0130-196 (McCook,
MCT 0130-1937   01 30 14.8 -19 37 04    Sion, 1999).
SB 705          01 41 00.  -38 48     Hot sdO star, no nebula (Mendez etal.,1988); see
SB 705          01 41 00.  -38 48       Slettebak, Brundage (1971).
HS 0158+2335    01 58 38.8 +23 35 24  Hot-wind DO star, no nebulosity (Werner etal.,1997).
HS 0158+2335    01 58 38.8 +23 35 24    WD 0158+235 (McCook, Sion, 1999).
LB 3241         02 11 18.  -49 59     Hot sdO star, no nebula (Mendez etal.,1988).
PG 0216+032     02 16 43.0 +03 13 08  sdOC star, no nebula (Kwitter etal.,1989).
PG 0217+155     02 17 50.8 +15 30 23  sdOB star, no nebula (Kwitter etal.,1989).
PG 0226+151     02 26 04.9 +15 07 13  sdOC star, no nebula (Kwitter etal.,1989).
PG 0231+051     02 31 04.2 +05 05 31  Hot DAO star, no nebulosity (Werner etal.,1997).
PG 0231+051     02 31 04.2 +05 05 31    HS 0231+0505, pre-WD, no nebulosity (Rauch, 1999).
PG 0231+051     02 31 04.2 +05 05 31    WD 0231+050 (McCook, Sion, 1999).
PG 0237+116     02 37 24.0 +11 35 37  Hot DO star, no nebulosity (Werner etal.,1997).
PG 0237+116     02 37 24.0 +11 35 37    WD 0237+115 (McCook, Sion, 1999).
HS 0444+0453    04 44 25.5 +04 53 27  PG 1159 type star as pre-WD (Dreizler etal.,1994).
HS 0444+0453    04 44 25.5 +04 53 27    No nebulosity (Werner etal.,1997; Rauch, 1999).
RE 0503-289     05 01 56.0 -28 59 11  Pre-WD, no nebulosity (Rauch, 1999). WD 0501-289
RE 0503-289     05 01 56.0 -28 59 11    (McCook, Sion, 1999).
HE 0504-2408    05 04 14.0 -24 08 14  Pre-WD, no nebulosity (Rauch, 1999). WD 0504-241
HE 0504-2408    05 04 14.0 -24 08 14    (McCook, Sion, 1999).
KPD 0549+1948   05 49 41.  +19 48 18  sdOC star, no nebulosity (Kwitter etal.,1989); see
KPD 0549+1948   05 49 41.  +19 48 18    Downes (1986).
KPD 0553+1755   05 53 08.  +17 55 54  sdOC star, no nebulosity (Kwitter etal.,1989); see
KPD 0553+1755   05 53 08.  +17 55 54    Downes (1986).
HS 0615+6535    06 15 29.6 +65 35 40  Hot DO star, no nebulosity (Werner etal.,1997).
HD 49798        06 46 34.8 -44 15 34  SAO 218207=CP-44 1096. Hot sdO star, no nebula
HD 49798        06 46 34.8 -44 15 34    (Mendez etal.,1988).
HS 0704+6153    07 04 59.2 +61 53 09  PG 1159 type star as pre-WD (Dreizler etal.,1994).
HS 0704+6153    07 04 59.2 +61 53 09    WD 0704+618 (McCook, Sion, 1999).
HS 0713+3958    07 13 36.0 +39 58 48  Hot-wind DO star, no nebulosity (Werner etal.,1997).
HS 0713+3958    07 13 36.0 +39 58 48    WD 0713+399 (McCook, Sion, 1999).
KPD 0720-0003   07 20 20.  -00 03 18  Hot sdO star, no nebula (Mendez etal.,1988); see
KPD 0720-0003   07 20 20.  -00 03 18    Downes (1986).
LSS 630         07 37 39.6 -27 20 50: Hot sdO star, no nebula (Mendez etal.,1988); see
LSS 630         07 37 39.6 -27 20 50:   Stephenson, Sanduleak (1971).
PG 0823+546     08 23 01.0 +54 37 58  sdOC star, no nebula (Kwitter etal.,1989).
Ton 320         08 23 58.8 +31 40 03  PG 0823+317. H-rich WD, asymmetric nebula (Tweedy,
Ton 320         08 23 58.8 +31 40 03    Kwitter, 1994). WD 0823+316 (McCook, Sion, 1999).
