A       Abell (1955, 1966)
Ac      Acker (in Skiff, Acker, 1996)
Ae      Allen (1973)
Ae2     Allen (1979)
AG Car  Thackeray (1950)
AGPF    Ali, Pfleiderer (1997)
Anon.   Anonymus
Ap1     Apriamashvili (see Francman, 1962)
Ap2     Apriamashvili (1962a)
Ap3     Apriamashvili (1962b)
Ap4     Apriamashvili (1964)
AS      Additional Stars to MWC:
AS         Kohoutek (1987)
B       Batiz (in Peimbert, Batiz, 1960)
Ba      Baade (1935)
BD      Bonner Durchmusterung:
BD         Campbell (1894)
BD         Napiwotzki (1993)
BeVa    Beer, Vaughan (1999)
BE UMa  Liebert et al. (1995)
BI Cru  Schwarz, Corradi (1992)
Bl      Blanco (1961)
Bl2     Blanco (1964)
Bl3     Blanco (see Wehinger et al., 1964)
BLDZ    Blaauw, Danziger, Schuster (1975)
BN      Bond (in Boeshaar, Bond, 1977)
BN      Bond (in Ellis et al., 1984)
BOBN    Boeshaar, Bond (1977)
Br      Bernard (in Terzan, Bernard, Ju, 1978)
BV      Bohm-Vitense (1956)
C       Costero (in Peimbert, Costero, 1961)
CBSS    Cappellaro et al. (1994)
CD      Cordoba Durchmusterung:
CD         McCarthy et al. (1991)
CIPG    Caloi, Panagia (1974)
Cn      Cannon (in Mayall, Cannon, 1940)
Cn1     Cannon (1921)
Cn1     Lutz (1984), see S4
Cn2     Cannon (1923)
Cn3     Cannon (1926)
CnMy    Cannon, Mayall (1938)
CoVi    Corradi et al. (1997)
CPD     Cape Photographic Durchmusterung:
CPD        Pacheco de Freitas, Veliz (1987)
CPD        Parthasarathy et al. (1993)
CPD        Sanduleak, Stephenson (1972)
CPD        Webster, Glass (1974)
CRL     Westbrook et al. (1975)
CSST    Cappellaro et al. (1991)
CTIO    Smith et al. (1976)
CTSS    Cappellaro et al. (1990)
DD      Dolidze (1971)
DDDM    Dolidze, Dzhimshelejshvili (1966)
De      Dengel (in Hartl, Dengel, Weinberger, 1983)
De      Dengel (in Weinberger et al., 1983)
DeHt    Dengel et al. (1979)
DeHt    Dengel, Hartl, Weinberger (1980)
DM      Dzhimshelejshvili (in Dolidze, Dzhimshelejshvili, 1966)
Do      Djorgovski (in Thompson et al., 1991)
DS      Drilling (1983)
DS      Drilling (in Heber, Drilling, 1984)
DZ      Danziger (in Blaauw, Danziger, Schuster, 1975)
EL      Ellis (in Ellis et al., 1984)
Em      McCuskey (1961)
Er      Emberson (in Jones, Emberson, 1939), see S3
ESO     European Southern Observatory:
ESO        Holmberg et al. (1974, 1975, 1977, 1978a,b, 1980)
ESO        Lauberts (1982)
ESO        Lauberts et al. (1981)
Fa      Fairall (in Henize, Fairall, 1983)
FE      Fesen (in Heckathorn et al., 1982)
FEGU    Fesen et al. (1983)
Fg      Fleming (1910, 1911)
Fs      Feast (in Kinman et al., 1988)
Fu      Fullton (in Jacoby et al., 1997)
G       Xilouris et al. (1994)
GM      Gasparyan, Parsamyan (1988)
GR      Grayson (in Ellis et al. 1984)
GU      Gull (in Fesen et al. 1983)
H1      Haro (1952), Table I
H2      Haro (1952), Table II, possible PNe
H3      Haro et al. (1953); not classified as PNe by Haro but appearing 
H3         in the list of RV of PNe by N.U. Mayall.
H4      Haro (1951)
Hb      Hubble (1921)
HBDS    Heber, Drilling (1984)
He1     Henize (1961)
He2     Henize (1964)
He3     Henize (1976)
He3     Bobrowsky et al. (1995)
He3     Garcia-Lario et al. (1999)
HeFa    Henize, Fairall (1983)
HEFE    Heckathorn et al. (1982)
Hf      Hoffleit (1953)
Hf2     Hoffleit (1953), two anon. probable PNe
Ht      Hartl (in Dengel et al., 1979)
Ht      Hartl (in Dengel et al., 1980)
HtDe    Hartl, Dengel, Weinberger (1983)
HtTr    Hartl, Tritton (1983)
HtWe    Hartl, Weinberger (1987)
Hu1     Humason (1921)
Hu2     Humason (1922)
IC      Index Catalogue to NGC:
IC         Abell (1955)
IC         Aitken (1900)
IC         Curtis (1919)
IC         Hoffmeister (1961)
IC         Hubble (1921)
IC        Barnard, Fleming, W. Herschel
IRAS    IR Astronomical Sattelite:
IRAS       Arkhipova et al. (1999)
IRAS       Cappellaro et al. (1989)
IRAS       Cohen J.G., Gillett (1989)
IRAS       Cohen M., Jones (1987)
IRAS       Condon et al. (1999)
IRAS       Garcia-Lario (1996)
IRAS       Garcia-Lario et al. (1993)
IRAS       Garcia-Lario et al. (1996)
IRAS       Gillet et al. (1989)
IRAS       Hu, Bibo (1990)
IRAS       Hu, Dong (1992)
IRAS       Manchado, Garcia-Lario, Pottasch (1989)
IRAS       Pottasch et al. (1988)
IRAS       Ratag et al. (1990)
IRAS       Turatto et al. (1990)
IRAS       Vijapurkar et al. (1997)
IRAS       Vijapurkar et al. (1998)
IRAS       Whitelock, Menzies (1986)
IsWe    Ishida, Weinberger (1987)
J       Jonckheere (1916)
JaFu    Jacoby et al. (1997)
JaSt    Jacoby, Van de Steene (1997)
Jn      Jones (see Miller, van Dien, 1949)
JnEr    Jones, Emberson (1939), see S3 (Misidentified PNe)
Ju      Ju (in Terzan, Ju, 1980)
Ju      Ju (in Terzan et al., 1978)
Ju      Ju (in Thompson et al., 1991)
K1      Kohoutek (1962, 1963, 1971, 1977)
K2      Kohoutek (1963, 1964, 1971, 1977), possible PNe
K3      Kohoutek (1965, 1969, 1972)
K4      Kohoutek (1965, 1969, 1972), possible PNe
K5      Kohoutek (1994)
K6      Kohoutek (1994), possible PNe
KJ1     Kazaryan (1966)
KJ2     Kazaryan (1976)
KJPN    Kazaryan, Parsamyan (1971)
KLSS    Kerber et al. (1994)
KLW     Kerber et al. (1996)
KnFs    Kinman, Feast, Lasker (1988)
Kr1     Krasnogorskaja (1962)
Kr2     Krasnogorskaja (1962), possible PNe
KsRm    Koester, Reimers (1989)
