000.0-06.8 |-11.99   .10   91..1504
000.1+04.3 |-13.1    .3    91..1504
000.1+17.2 |-11.91   .00   89...513
000.1-02.3 |-12.8    .2    91..1504
000.1-05.6 |-13.2    .4    91..1504
000.2-01.9 |-12.56   .01   89...513
000.2-04.6 |-13.2    .4    91..1504
000.3+12.2 |-10.89   .01   81..1549,89...513
000.3-02.8 |-14.0    .3    91..1504
000.3-04.6 |-12.60   .04   89...513,91..1504
000.4-01.9 |-12.3    .2    83..3099,91..1504
000.4-02.9 |-12.9    .2    91..1504
000.5-03.1 |-13.98   .10   88..2065,91..1504
000.6-01.3 |-14.6    .3    91..1504
000.6-02.3 |-13.20   .10   91..1504
000.7+03.2 |-13.4    .2    91..1504
000.7+04.7 |-13.9    .3    91..1504
000.7-02.7 |-12.10   .03   83..3099
000.7-03.7 |-12.61   .01   89...513
000.7-07.4 |-12.57   .10   91..1504
000.8-01.5 |-13.14   .02   89...513
000.8-07.6 |-12.84   .10   91..1504
000.9-02.0 |-13.8    .3    91..1504
000.9-04.8 |-12.2    .2    91..1504
001.0-02.6 |-13.03   .10   91..1504
001.1-01.6 |-13.9    .3    91..1504
001.2+02.1 |-13.73   .10   91..1504
001.2-03.0 |-12.61   .10   91..1504
001.2-03.9 |-12.87   .04   88..2065,89...513,91..1504
001.3-01.2 |-13.96   .01   89...513,91..1504
001.4+05.3 |-12.7    .3    91..1504
001.4-03.4 |-13.32   .06   89...513
001.5-06.7 |-10.33   .10   91..1504
001.6-01.3 |-13.9    .3    91..1504
001.7+05.7 |-13.2    .2    91..1504
001.7-01.6 |-14.4    .3    91..1504
001.7-04.4 |-12.61   .05   89...513,91..1504
001.7-04.6 |-12.14   .04   89...513,91..1504
001.8-03.8 |-12.61   .02   89...513
002.0-02.0 |-12.8    .3    91..1504
002.0-06.2 |-11.6    .3    91..1504
002.0-13.4 |-10.72   .05   O 63    ,Ka 80   ,83..3099
002.1-02.2 |-12.40   .04   83..3099,91..1504
002.1-04.2 |-11.88   .03   83..3099
002.2-02.5 |-14.34         88..2065
002.2-02.7 |-11.57   .03   83..3099
